E(MeV)  pendfb7/B10:2
1e-11  39.763342
1.02999e-11  39.1816718
1.06087e-11  38.6087332
1.09269e-11  38.0439549
1.12544e-11  37.4878273
1.1592e-11  36.9395614
1.19395e-11  36.3996458
1.22976e-11  35.8673882
1.26662e-11  35.3432388
1.30462e-11  34.8264576
1.34372e-11  34.317684
1.38403e-11  33.8160174
1.42552e-11  33.3220862
1.46827e-11  32.8351347
1.51229e-11  32.3555763
1.55765e-11  31.8827821
1.60434e-11  31.4173106
1.65246e-11  30.9583674
1.70199e-11  30.5064699
1.75304e-11  30.0609823
1.80559e-11  29.6222592
1.85975e-11  29.1897734
1.9155e-11  28.7639066
1.97295e-11  28.3440865
2.03209e-11  27.9306628
2.09305e-11  27.5230775
2.15579e-11  27.1218003
2.22045e-11  26.726162
2.28701e-11  26.336613
2.35561e-11  25.9525457
2.42622e-11  25.5744155
2.49899e-11  25.201621
2.5739e-11  24.8345423
2.6511e-11  24.4726808
2.73057e-11  24.1163476
2.81247e-11  23.7650971
2.89678e-11  23.4192044
2.98367e-11  23.078229
3.07311e-11  22.742504
3.16528e-11  22.4115469
3.26017e-11  22.0856557
3.35795e-11  21.7644084
3.45861e-11  21.448086
3.56235e-11  21.1362617
3.66913e-11  20.8292383
3.77919e-11  20.5265705
3.89247e-11  20.2285722
4.00923e-11  19.9347946
4.12941e-11  19.6455634
4.25327e-11  19.3604256
4.38076e-11  19.0797029
4.51216e-11  18.8029653
4.64742e-11  18.5304965
4.78681e-11  18.2619136
4.9303e-11  17.9974647
5.07818e-11  17.7367977
5.23041e-11  17.4801421
5.38729e-11  17.2271561
5.54878e-11  16.978077
5.71521e-11  16.7325594
5.88653e-11  16.4908309
6.0631e-11  16.2525543
6.24484e-11  16.0179784
6.43215e-11  15.7867551
6.62496e-11  15.5591064
6.82368e-11  15.3347156
7.02822e-11  15.1138143
7.23903e-11  14.8960734
7.45603e-11  14.6817131
7.67967e-11  14.4704241
7.90987e-11  14.2624254
8.14712e-11  14.0574139
8.39134e-11  13.855585
8.64304e-11  13.6566583
8.90212e-11  13.4608363
9.16913e-11  13.267833
9.44399e-11  13.0778345
9.72725e-11  12.8905808
1.00188e-10  12.706245
1.03193e-10  12.5246022
1.06287e-10  12.345743
1.09475e-10  12.1694887
1.12756e-10  11.9960134
1.16139e-10  11.8250169
1.1962e-10  11.6567505
1.23208e-10  11.4908927
1.26901e-10  11.3276577
1.30707e-10  11.1668037
1.34626e-10  11.0084472
1.38664e-10  10.8523952
1.4282e-10  10.6988398
