E(MeV)  pendfb7/B10:107
1e-11  193277.753
1.02999e-11  190443.153
1.06087e-11  187650.996
1.09269e-11  184898.498
1.12544e-11  182188.048
1.1592e-11  179515.801
1.19395e-11  176884.139
1.22976e-11  174289.685
1.26662e-11  171734.638
1.30462e-11  169215.386
1.34372e-11  166735.05
1.38403e-11  164289.238
1.42552e-11  161881.012
1.46827e-11  159506.691
1.51229e-11  157168.287
1.55765e-11  154862.736
1.60434e-11  152592.759
1.65246e-11  150354.485
1.70199e-11  148150.436
1.75304e-11  145977.511
1.80559e-11  143837.439
1.85975e-11  141727.649
1.9155e-11  139650.003
1.97295e-11  137601.709
2.03209e-11  135584.473
2.09305e-11  133595.573
2.15579e-11  131637.299
2.22045e-11  129706.388
2.28701e-11  127805.037
2.35561e-11  125930.281
2.42622e-11  124084.342
2.49899e-11  122264.284
2.5739e-11  120471.963
2.6511e-11  118704.945
2.73057e-11  116964.749
2.81247e-11  115249.2
2.89678e-11  113559.639
2.98367e-11  111893.916
3.07311e-11  110253.659
3.16528e-11  108636.509
3.26017e-11  107043.923
3.35795e-11  105473.839
3.45861e-11  103927.63
3.56235e-11  102403.211
3.66913e-11  100902.06
3.77919e-11  99422.0018
3.89247e-11  97964.5707
4.00923e-11  96527.5717
4.12941e-11  95112.5987
4.25327e-11  93717.4343
4.38076e-11  92343.6539
4.51216e-11  90989.1528
4.64742e-11  89655.3194
4.78681e-11  88340.2802
4.9303e-11  87045.2486
5.07818e-11  85768.5014
5.23041e-11  84511.1628
5.38729e-11  83271.5578
5.54878e-11  82050.85
5.71521e-11  80847.3465
5.88653e-11  79662.1627
6.0631e-11  78493.6457
6.24484e-11  77343.0153
6.43215e-11  76208.5651
6.62496e-11  75091.3837
6.82368e-11  73989.9171
7.02822e-11  72905.3023
7.23903e-11  71835.9233
7.45603e-11  70782.8625
7.67967e-11  69744.5999
7.90987e-11  68722.2119
8.14712e-11  67714.209
8.39134e-11  66721.5516
8.64304e-11  65742.8618
8.90212e-11  64779.135
9.16913e-11  63828.9649
9.44399e-11  62893.2666
9.72725e-11  61970.7608
1.00188e-10  61062.3002
1.03193e-10  60166.7769
1.06287e-10  59284.6373
1.09475e-10  58415.0011
1.12756e-10  57558.7263
1.16139e-10  56714.3325
1.1962e-10  55883.0604
1.23208e-10  55063.3224
1.26901e-10  54256.177
1.30707e-10  53460.4294
1.34626e-10  52676.656
1.38664e-10  51903.9015
1.4282e-10  51143.1183
1.47104e-10  50392.9317
1.51513e-10  49654.2255
1.56058e-10  48925.9027
1.60736e-10  48208.6777
1.65557e-10  47501.5839
1.7052e-10  46805.2131
1.75635e-10  46118.6231
1.80899e-10  45442.6065
1.86325e-10  44776.1038
1.91911e-10  44119.6686
1.97667e-10  43472.5164
2.03592e-10  42835.2443
2.09699e-10  42206.9224
2.15985e-10  41588.2127
2.22463e-10  40978.2087
2.29132e-10  40377.4849
2.36004e-10  39785.2584
2.43079e-10  39202.0043
2.5037e-10  38626.977
2.57875e-10  38060.7445
2.6561e-10  37502.4511
2.73572e-10  36952.7094
2.81777e-10  36410.7055
2.90224e-10  35876.9316
2.98929e-10  35350.6855
3.0789e-10  34832.4723
3.17125e-10  34321.5288
3.26631e-10  33818.4195
3.36428e-10  33322.3634
3.46513e-10  32833.8882
3.56906e-10  32352.2835
3.67605e-10  31878.0188
3.78631e-10  31410.4225
3.89981e-10  30949.9769
4.01678e-10  30495.9973
4.13719e-10  30048.9524
4.26128e-10  29608.1878
4.38901e-10  29174.1589
4.52066e-10  28746.2329
4.65617e-10  28324.8326
4.79583e-10  27909.3661
4.93959e-10  27500.232
5.08775e-10  27096.8608
5.24026e-10  26699.6376
5.39744e-10  26308.007
5.55923e-10  25922.3501
5.72598e-10  25542.1204
5.89762e-10  25167.6914
6.07452e-10  24798.5265
6.25661e-10  24435.0025
6.44427e-10  24076.5911
6.63744e-10  23723.6438
6.83653e-10  23375.6663
7.04146e-10  23032.9943
7.25267e-10  22695.1418
7.47007e-10  22362.4512
7.69413e-10  22034.444
7.92477e-10  21711.4293
8.16247e-10  21392.9688
8.40715e-10  21079.36
8.65932e-10  20770.1657
8.91889e-10  20465.6917
9.18641e-10  20165.4976
9.46178e-10  19869.8887
9.74558e-10  19578.4366
1.003771e-09  19291.4308
1.033879e-09  19008.4628
1.064871e-09  18729.8132
1.096811e-09  18455.0809
1.129689e-09  18184.5456
1.163573e-09  17917.8144
1.198452e-09  17655.1519
1.234399e-09  17396.187
1.271402e-09  17141.1701
1.309537e-09  16889.7398
1.348791e-09  16642.1515
1.389247e-09  16398.0464
1.430892e-09  16157.6604
1.47381e-09  15920.6609
1.517989e-09  15687.2739
1.563521e-09  15457.1699
1.610389e-09  15230.5816
1.658691e-09  15007.18
1.708412e-09  14787.1845
1.759655e-09  14570.2858
1.812403e-09  14356.6957
1.866765e-09  14146.1091
1.922723e-09  13938.7394
1.980394e-09  13734.2841
2.039758e-09  13532.9507
2.100939e-09  13334.4497
2.163917e-09  13138.9755
2.228823e-09  12946.251
2.295634e-09  12756.4697
2.36449e-09  12569.3572
2.435368e-09  12385.0996
2.508415e-09  12203.4354
2.583608e-09  12024.541
2.661102e-09  11848.1633
2.740871e-09  11674.4789
2.823082e-09  11503.2362
2.907706e-09  11334.6079
2.994921e-09  11168.3518
3.084697e-09  11004.6313
3.177221e-09  10843.2144
3.272461e-09  10684.261
3.370617e-09  10527.5434
3.471655e-09  10373.2174
3.575785e-09  10221.0621
3.682973e-09  10071.229
3.793441e-09  9923.50379
3.907154e-09  9778.03201
4.024346e-09  9634.60751
4.14498e-09  9493.37066
4.269306e-09  9354.12166
4.397283e-09  9216.99633
4.529177e-09  9081.80092
4.664944e-09  8948.66782
4.804866e-09  8817.40815
4.948897e-09  8688.15084
5.097336e-09  8560.71243
5.250134e-09  8435.218
5.407609e-09  8311.48921
5.569708e-09  8189.64848
5.736768e-09  8069.52145
5.908733e-09  7951.22788
6.085962e-09  7834.59828
6.268395e-09  7719.74807
6.456412e-09  7606.51358
6.649949e-09  7495.00697
6.849411e-09  7385.06881
7.054729e-09  7276.80829
7.266331e-09  7170.07084
7.484147e-09  7064.96163
7.70863e-09  6961.33107
7.939704e-09  6859.28196
8.17785e-09  6758.66848
8.42299e-09  6659.5897
8.675632e-09  6561.90514
8.935694e-09  6465.71049
9.203714e-09  6370.86946
9.479605e-09  6277.47506
9.76394e-09  6185.39474
1.0056625e-08  6094.71898
1.0358267e-08  6005.31891
1.0668767e-08  5917.28268
1.098877e-08  5830.4849
1.131817e-08  5745.01119
1.1657652e-08  5660.73973
1.2007102e-08  5577.75399
1.2367248e-08  5495.93543
1.2737969e-08  5415.36507
1.3120036e-08  5335.92803
1.3513323e-08  5257.70254
1.3918647e-08  5180.57745
1.4335873e-08  5104.62868
1.4765869e-08  5029.74814
1.5208491e-08  4956.00973
1.5664661e-08  4883.30834
1.6134225e-08  4811.71587
1.6618162e-08  4741.13015
1.7116308e-08  4671.62102
1.7629702e-08  4603.08935
1.8158171e-08  4535.60283
1.8702814e-08  4469.06529
1.926345e-08  4403.54245
1.9841246e-08  4338.94094
2.0436008e-08  4275.32455
2.1048973e-08  4212.60269
2.1679938e-08  4150.83716
2.2330215e-08  4089.94013
2.2999587e-08  4029.97162
2.3689445e-08  3970.84626
2.4399561e-08  3912.62239
2.5268741e-08  3844.72398
2.53e-08  3842.34747
2.6058858e-08  3785.9723
2.684e-08  3730.45673
2.7645049e-08  3675.72168
2.8473738e-08  3621.8212
2.9327791e-08  3568.67853
3.0206922e-08  3516.3462
3.111296e-08  3464.74973
3.2045604e-08  3413.94001
3.3006792e-08  3363.84476
3.3996206e-08  3314.51343
3.5015901e-08  3265.87587
3.6065539e-08  3217.98007
3.7147303e-08  3170.75788
3.8260833e-08  3124.25597
3.9408443e-08  3078.40813
4.0589752e-08  3033.25969
4.1807217e-08  2988.74637
4.3060432e-08  2944.91213
4.4352004e-08  2901.69463
4.5681502e-08  2859.13653
4.705169e-08  2817.17727
4.8462114e-08  2775.85827
4.9915706e-08  2735.12075
5.1411981e-08  2695.00496
5.2954052e-08  2655.45378
5.4541406e-08  2616.50626
5.6177342e-08  2578.10698
5.7861316e-08  2540.29384
5.9596832e-08  2503.01305
6.1383309e-08  2466.30138
6.3224464e-08  2430.10661
6.5119683e-08  2394.46448
6.7072909e-08  2359.3242
6.9083489e-08  2324.72053
7.1155607e-08  2290.60421
7.328857e-08  2257.00892
7.5486817e-08  2223.8868
7.7749613e-08  2191.27058
8.0081665e-08  2159.1138
8.2482197e-08  2127.44821
8.49562e-08  2096.22873
8.7502851e-08  2065.48607
9.0127446e-08  2035.17652
9.2829111e-08  2005.32987
9.5613464e-08  1975.90361
9.8479577e-08  1946.92671
1.01433412e-07  1918.35783
1.04473985e-07  1890.22506
1.07607619e-07  1862.4883
1.1083327e-07  1835.17482
1.14157646e-07  1808.24564
1.17579641e-07  1781.72727
1.21106371e-07  1755.58192
1.24736661e-07  1729.8353
1.28478062e-07  1704.45077
1.32329326e-07  1679.45337
1.36298464e-07  1654.80749
1.40384153e-07  1630.53749
1.4459489e-07  1606.60885
1.48929273e-07  1583.04519
1.53396316e-07  1559.81304
1.57994531e-07  1536.93539
1.62733481e-07  1514.3796
1.67611588e-07  1492.17016
1.72638996e-07  1470.27116
1.7781403e-07  1448.70641
1.83147454e-07  1427.4452
1.8863749e-07  1406.50848
1.94295557e-07  1385.86646
2.0011977e-07  1365.5395
2.06122241e-07  1345.49862
2.12300971e-07  1325.76361
2.18668809e-07  1306.30636
2.25223636e-07  1287.14609
