E(MeV)  pendfb7/Be9:102
1e-11  0.431692287
1.02999e-11  0.425361191
1.06087e-11  0.419124894
1.09269e-11  0.412977175
1.12544e-11  0.406923372
1.1592e-11  0.400954897
1.19395e-11  0.395077068
1.22976e-11  0.389282349
1.26662e-11  0.383575642
1.30462e-11  0.37794889
1.34372e-11  0.372409054
1.38403e-11  0.366946329
1.42552e-11  0.361567556
1.46827e-11  0.356264507
1.51229e-11  0.351041684
1.55765e-11  0.345892238
1.60434e-11  0.340822249
1.65246e-11  0.33582307
1.70199e-11  0.330900332
1.75304e-11  0.326047111
1.80559e-11  0.32126727
1.85975e-11  0.316555064
1.9155e-11  0.311914654
1.97295e-11  0.307339802
2.03209e-11  0.30283432
2.09305e-11  0.298392127
2.15579e-11  0.294018342
2.22045e-11  0.289705671
2.28701e-11  0.285459023
2.35561e-11  0.281271776
2.42622e-11  0.277148893
2.49899e-11  0.273083818
2.5739e-11  0.269080696
2.6511e-11  0.265134089
2.73057e-11  0.26124739
2.81247e-11  0.257415739
2.89678e-11  0.253642136
2.98367e-11  0.249921777
3.07311e-11  0.246258297
3.16528e-11  0.242646428
3.26017e-11  0.239089425
3.35795e-11  0.235582681
3.45861e-11  0.232129264
3.56235e-11  0.228724514
3.66913e-11  0.225371736
3.77919e-11  0.222066071
3.89247e-11  0.218810944
4.00923e-11  0.215601455
4.12941e-11  0.212441161
4.25327e-11  0.209325112
4.38076e-11  0.206256825
4.51216e-11  0.2032316
4.64742e-11  0.200252538
4.78681e-11  0.197315454
4.9303e-11  0.194423059
5.07818e-11  0.191571504
5.23041e-11  0.188763299
5.38729e-11  0.185994704
5.54878e-11  0.183268318
5.71521e-11  0.180580358
5.88653e-11  0.177933318
6.0631e-11  0.175323504
6.24484e-11  0.172753642
6.43215e-11  0.17021992
6.62496e-11  0.167724769
6.82368e-11  0.165264719
7.02822e-11  0.162842309
7.23903e-11  0.16045393
7.45603e-11  0.158101999
7.67967e-11  0.155783122
7.90987e-11  0.153499703
8.14712e-11  0.151248414
8.39134e-11  0.149031401
8.64304e-11  0.146845587
8.90212e-11  0.144693194
9.16913e-11  0.142571082
9.44399e-11  0.140481294
