E(MeV)  pendfb7/Be9:2
1e-11  117.321795
1.02999e-11  115.605162
1.06087e-11  113.914292
1.09269e-11  112.247498
1.12544e-11  110.606228
1.1592e-11  108.988154
1.19395e-11  107.394717
1.22976e-11  105.823874
1.26662e-11  104.276954
1.30462e-11  102.751773
1.34372e-11  101.250218
1.38403e-11  99.7696312
1.42552e-11  98.3118666
1.46827e-11  96.8746946
1.51229e-11  95.4593348
1.55765e-11  94.0639316
1.60434e-11  92.6901325
1.65246e-11  91.335594
1.70199e-11  90.0018423
1.75304e-11  88.6870013
1.80559e-11  87.3921174
1.85975e-11  86.1156347
1.9155e-11  84.8586797
1.97295e-11  83.6195631
2.03209e-11  82.3993174
2.09305e-11  81.1962955
2.15579e-11  80.0118837
2.22045e-11  78.844107
2.28701e-11  77.6942944
2.35561e-11  76.5606529
2.42622e-11  75.4445263
2.49899e-11  74.3441399
2.5739e-11  73.2606154
2.6511e-11  72.192481
2.73057e-11  71.1406551
2.81247e-11  70.1038224
2.89678e-11  69.0827947
2.98367e-11  68.076272
3.07311e-11  67.0852377
3.16528e-11  66.1082671
3.26017e-11  65.1462402
3.35795e-11  64.1979112
3.45861e-11  63.2641095
3.56235e-11  62.3435754
3.66913e-11  61.4372023
3.77919e-11  60.5436763
3.89247e-11  59.6639237
4.00923e-11  58.7966194
4.12941e-11  57.9427255
4.25327e-11  57.1009039
4.38076e-11  56.272105
4.51216e-11  55.455059
4.64742e-11  54.6506036
4.78681e-11  53.8576084
4.9303e-11  53.0768055
5.07818e-11  52.3071556
5.23041e-11  51.5493366
5.38729e-11  50.8023388
5.54878e-11  50.0668633
5.71521e-11  49.34189
5.88653e-11  48.6280909
6.0631e-11  47.9244706
6.24484e-11  47.2317633
6.43215e-11  46.5489417
6.62496e-11  45.876661
6.82368e-11  45.2139859
7.02822e-11  44.5616006
7.23903e-11  43.918533
7.45603e-11  43.2854338
7.67967e-11  42.661389
7.90987e-11  42.0470458
8.14712e-11  41.4415089
8.39134e-11  40.8453552
8.64304e-11  40.2577571
8.90212e-11  39.6793121
9.16913e-11  39.1091761
9.44399e-11  38.5478981
9.72725e-11  37.9947105
1.00188e-10  37.4501246
1.03193e-10  36.9134762
1.06287e-10  36.3850326
1.09475e-10  35.8642664
1.12756e-10  35.3516912
1.16139e-10  34.8464209
1.1962e-10  34.3491975
1.23208e-10  33.8590714
1.26901e-10  33.3766753
1.30707e-10  32.9012948
1.34626e-10  32.4332743
1.38664e-10  31.9720432
1.4282e-10  31.5181697
1.47104e-10  31.0708334
1.51513e-10  30.6305612
1.56058e-10  30.1966992
1.60736e-10  29.7696725
1.65557e-10  29.3489056
1.7052e-10  28.9347502
1.75635e-10  28.526646
1.80899e-10  28.1250637
1.86325e-10  27.7293736
1.91911e-10  27.3399041
1.97667e-10  26.9561896
2.03592e-10  26.5785839
2.09699e-10  26.2065353
2.15985e-10  25.8404359
2.22463e-10  25.4797488
2.29132e-10  25.1248132
2.36004e-10  24.7751664
2.43079e-10  24.4310883
2.5037e-10  24.0921388
2.57875e-10  23.7586523
2.6561e-10  23.4301244
2.73572e-10  23.1069149
2.81777e-10  22.7885451
2.90224e-10  22.4753034
2.98929e-10  22.1667774
3.0789e-10  21.8632625
3.17125e-10  21.5643113
3.26631e-10  21.2702535
3.36428e-10  20.9806318
3.46513e-10  20.6957538
3.56906e-10  20.4152045
3.67605e-10  20.1392568
3.78631e-10  19.8675192
3.89981e-10  19.6002711
4.01678e-10  19.3371143
4.13719e-10  19.0783199
4.26128e-10  18.823508
4.38901e-10  18.572941
4.53974e-10  18.2914205
4.69564e-10  18.0150831
