E(MeV)  pendfb7/C:102
1e-11  0.170427034
1.02999e-11  0.167927515
1.06087e-11  0.165465422
1.09269e-11  0.163038297
1.12544e-11  0.16064825
1.1592e-11  0.15829189
1.19395e-11  0.155971315
1.22976e-11  0.153683551
1.26662e-11  0.151430533
1.30462e-11  0.14920908
1.34372e-11  0.14702194
1.38403e-11  0.144865243
1.42552e-11  0.142741688
1.46827e-11  0.140648029
1.51229e-11  0.138586042
1.55765e-11  0.136553022
1.60434e-11  0.134551372
1.65246e-11  0.132577675
1.70199e-11  0.130634157
1.75304e-11  0.128718083
1.80559e-11  0.126830978
1.85975e-11  0.124970574
1.9155e-11  0.123138514
1.97295e-11  0.121332335
2.03209e-11  0.119553543
2.09305e-11  0.117799735
2.15579e-11  0.116072934
2.22045e-11  0.11437026
2.28701e-11  0.11269365
2.35561e-11  0.111040491
2.42622e-11  0.109412741
2.49899e-11  0.107807813
2.5739e-11  0.106227342
2.6511e-11  0.104669182
2.73057e-11  0.103134673
2.81247e-11  0.101621896
2.89678e-11  0.100132035
2.98367e-11  0.098663193
3.07311e-11  0.097216805
3.16528e-11  0.095790793
3.26017e-11  0.09438644
3.35795e-11  0.093001928
3.45861e-11  0.091638468
3.56235e-11  0.090294221
3.66913e-11  0.088970492
3.77919e-11  0.08766536
3.89247e-11  0.086380181
4.00923e-11  0.085113017
4.12941e-11  0.083865274
4.25327e-11  0.082634998
4.38076e-11  0.081423577
4.51216e-11  0.080229155
4.64742e-11  0.079052957
4.78681e-11  0.077893331
4.9303e-11  0.076751346
5.07818e-11  0.075625484
5.23041e-11  0.074516735
5.38729e-11  0.073423622
5.54878e-11  0.072347172
5.71521e-11  0.071285891
5.88653e-11  0.070240763
6.0631e-11  0.069210331
6.24484e-11  0.068195671
6.43215e-11  0.067195277
6.62496e-11  0.066210109
6.82368e-11  0.065238797
7.02822e-11  0.064282345
7.23903e-11  0.063339326
7.45603e-11  0.062410695
7.67967e-11  0.061495112
7.90987e-11  0.060593526
8.14712e-11  0.059704624
8.39134e-11  0.058829252
8.64304e-11  0.057966195
8.90212e-11  0.057116332
9.16913e-11  0.056278422
9.44399e-11  0.055453272
9.72725e-11  0.054639753
1.00188e-10  0.053838618
1.03193e-10  0.053048891
1.06287e-10  0.052270963
1.09475e-10  0.05150406
1.12756e-10  0.050748938
1.16139e-10  0.050004291
1.1962e-10  0.049271213
1.23208e-10  0.048548305
1.26901e-10  0.0478365
1.30707e-10  0.047134744
1.34626e-10  0.046443545
1.38664e-10  0.045762061
1.4282e-10  0.045091133
1.47104e-10  0.044429547
1.51513e-10  0.043778083
1.56058e-10  0.043135773
1.60736e-10  0.042503249
1.65557e-10  0.041879656
1.7052e-10  0.041265518
1.75635e-10  0.040660003
1.80899e-10  0.04006381
1.86325e-10  0.039476004
1.91911e-10  0.038897075
1.97667e-10  0.03832633
2.03592e-10  0.037764296
2.09699e-10  0.037210153
2.15985e-10  0.036664484
2.22463e-10  0.03612649
2.29132e-10  0.035596678
2.36004e-10  0.035074357
2.43079e-10  0.034559946
2.5037e-10  0.034052789
2.57875e-10  0.033553385
2.6561e-10  0.03306098
2.73572e-10  0.032576114
2.81777e-10  0.032098069
2.90224e-10  0.031627281
2.98929e-10  0.031163128
3.0789e-10  0.030706058
3.17125e-10  0.030255395
3.26631e-10  0.02981164
3.36428e-10  0.029374102
3.46513e-10  0.028943248
3.56906e-10  0.02851845
3.67605e-10  0.028100122
3.78631e-10  0.027687673
3.89981e-10  0.027281528
4.01678e-10  0.026881083
4.13719e-10  0.026486751
4.26128e-10  0.026097955
4.38901e-10  0.025715096
4.52066e-10  0.025337618
4.65617e-10  0.024965892
4.79583e-10  0.024599396
4.93959e-10  0.024238483
5.08775e-10  0.02388265
5.24026e-10  0.023532236
5.39744e-10  0.023186751
5.55923e-10  0.022846533
5.72598e-10  0.022511098
5.89762e-10  0.022180776
6.07452e-10  0.021855095
6.25661e-10  0.021534385
6.44427e-10  0.021218183
6.63744e-10  0.020906796
6.83653e-10  0.02059979
7.04146e-10  0.020297461
7.25267e-10  0.019999379
7.47007e-10  0.019705847
7.69413e-10  0.019416444
7.92477e-10  0.019131441
8.16247e-10  0.018850451
8.40715e-10  0.018573739
8.65932e-10  0.018300917
8.91889e-10  0.018032256
9.18641e-10  0.017767367
9.46178e-10  0.017506519
9.74558e-10  0.017249335
1.003771e-09  0.016996071
1.033879e-09  0.016746364
1.064871e-09  0.016500465
1.096811e-09  0.016258018
1.129689e-09  0.01601927
1.163573e-09  0.015783875
1.198452e-09  0.015552066
1.234399e-09  0.015323516
1.271402e-09  0.015098446
1.309537e-09  0.014876537
1.348791e-09  0.014658015
1.389247e-09  0.014442563
1.430892e-09  0.014230389
1.47381e-09  0.0140212
1.517989e-09  0.013815195
1.563521e-09  0.013612084
1.610389e-09  0.013412071
1.658691e-09  0.013214868
1.708412e-09  0.013020668
1.759655e-09  0.012829197
1.812403e-09  0.012640643
1.866765e-09  0.012454736
1.922723e-09  0.012271666
1.980394e-09  0.012091164
2.039758e-09  0.011913416
2.100939e-09  0.011738164
2.163917e-09  0.011565581
2.228823e-09  0.011395422
2.295634e-09  0.011227859
2.36449e-09  0.011062648
2.435368e-09  0.010899955
2.508415e-09  0.010739549
2.583608e-09  0.010581586
2.661102e-09  0.010425842
2.740871e-09  0.010272474
2.823082e-09  0.01012126
2.907706e-09  0.009972351
2.994921e-09  0.009825535
3.084697e-09  0.009680956
3.177221e-09  0.00953841
3.272461e-09  0.009398037
3.370617e-09  0.009259637
3.471655e-09  0.009123348
3.575785e-09  0.008988974
3.682973e-09  0.00885665
3.793441e-09  0.008726186
3.907154e-09  0.008597712
4.024346e-09  0.008471046
4.14498e-09  0.008346311
4.269306e-09  0.008223332
4.397283e-09  0.008102228
4.529177e-09  0.00798283
4.664944e-09  0.007865253
4.804866e-09  0.007749331
4.948897e-09  0.007635179
5.097336e-09  0.007522634
5.250134e-09  0.007411808
5.407609e-09  0.007302543
5.569708e-09  0.007194947
5.736768e-09  0.007088867
5.908733e-09  0.006984409
6.085962e-09  0.006881423
6.268395e-09  0.006780011
6.456412e-09  0.00668003
6.649949e-09  0.006581578
6.849411e-09  0.006484515
7.054729e-09  0.006388938
7.266331e-09  0.00629471
7.484147e-09  0.006201925
7.70863e-09  0.006110451
7.939704e-09  0.006020379
8.17785e-09  0.00593158
8.42299e-09  0.005844142
8.675632e-09  0.005757942
8.935694e-09  0.005673065
9.203714e-09  0.00558939
9.479605e-09  0.005507
9.76394e-09  0.005425778
1.0056625e-08  0.005345805
1.0358267e-08  0.005266967
1.0668767e-08  0.005189343
1.098877e-08  0.005112822
1.131817e-08  0.00503748
1.1657652e-08  0.004963211
1.2007102e-08  0.004890088
1.2367248e-08  0.004818008
1.2737969e-08  0.004747042
1.3120036e-08  0.00467709
1.3513323e-08  0.004608221
1.3918647e-08  0.004540339
1.4335873e-08  0.004473509
1.4765869e-08  0.004407639
1.5208491e-08  0.004342793
1.5664661e-08  0.00427888
1.6134225e-08  0.004215963
1.6618162e-08  0.004153954
1.7116308e-08  0.004092913
1.7629702e-08  0.004032756
1.8158171e-08  0.003973541
1.8702814e-08  0.003915186
1.926345e-08  0.003857747
1.9841246e-08  0.003801143
2.0436008e-08  0.003745431
2.1048973e-08  0.003690531
2.1679938e-08  0.003636499
2.2330215e-08  0.003583255
2.2999587e-08  0.003530855
2.3689445e-08  0.003479221
2.4399561e-08  0.003428405
2.5268741e-08  0.003369185
2.53e-08  0.003367113
2.6058858e-08  0.003317978
2.684e-08  0.003269621
2.7645049e-08  0.003221974
2.8473738e-08  0.003175081
2.9327791e-08  0.003128875
3.0206922e-08  0.003083399
3.111296e-08  0.003038588
3.2045604e-08  0.002994483
3.3006792e-08  0.002951021
3.3996206e-08  0.002908241
3.5015901e-08  0.002866081
3.6065539e-08  0.002824581
3.7147303e-08  0.002783678
3.8260833e-08  0.002743413
3.9408443e-08  0.002703724
4.0589752e-08  0.002664649
4.1807217e-08  0.002626131
4.3060432e-08  0.002588206
4.4352004e-08  0.002550817
4.5681502e-08  0.002514001
4.705169e-08  0.002477703
4.8462114e-08  0.002441958
4.9915706e-08  0.002406714
5.1411981e-08  0.002372004
5.2954052e-08  0.002337778
5.4541406e-08  0.00230407
5.6177342e-08  0.002270829
5.7861316e-08  0.002238089
5.9596832e-08  0.002205802
6.1383309e-08  0.002174
6.3224464e-08  0.002142636
6.5119683e-08  0.002111741
6.7072909e-08  0.002081269
6.9083489e-08  0.002051252
7.1155607e-08  0.002021643
7.328857e-08  0.001992473
7.5486817e-08  0.001963698
7.7749613e-08  0.001935345
8.0081665e-08  0.001907372
8.2482197e-08  0.001879807
8.49562e-08  0.001852607
8.7502851e-08  0.001825799
9.0127446e-08  0.001799344
9.2829111e-08  0.001773266
9.5613464e-08  0.001747528
9.8479577e-08  0.001722156
1.01433412e-07  0.001697112
1.04473985e-07  0.001672424
1.07607619e-07  0.001648056
1.1083327e-07  0.001624035
1.14157646e-07  0.001600328
1.17579641e-07  0.001576961
1.21106371e-07  0.001553905
1.24736661e-07  0.001531184
1.28478062e-07  0.001508768
1.32329326e-07  0.001486684
1.36298464e-07  0.0014649
1.40384153e-07  0.001443445
1.4459489e-07  0.001422284
1.48929273e-07  0.001401441
1.53396316e-07  0.00138089
1.57994531e-07  0.00136065
1.62733481e-07  0.001340694
1.67611588e-07  0.001321041
1.72638996e-07  0.001301665
1.7781403e-07  0.001282584
1.83147454e-07  0.001263771
1.8863749e-07  0.001245246
1.94295557e-07  0.001226981
2.0011977e-07  0.001208994
2.06122241e-07  0.00119126
2.12300971e-07  0.001173797
