E(MeV)  pendfb7/C:2
1e-11  78.9477447
1.02999e-11  77.793472
1.06087e-11  76.6565355
1.09269e-11  75.5358012
1.12544e-11  74.4322423
1.1592e-11  73.3442933
1.19395e-11  72.2729234
1.22976e-11  71.2167591
1.26662e-11  70.1766938
1.30462e-11  69.1512591
1.34372e-11  68.1417235
1.38403e-11  67.1463004
1.42552e-11  66.1662361
1.46827e-11  65.2000317
1.51229e-11  64.2485071
1.55765e-11  63.3104148
1.60434e-11  62.3868624
1.65246e-11  61.4762743
1.70199e-11  60.5796767
1.75304e-11  59.6958083
1.80559e-11  58.8253725
1.85975e-11  57.9673234
1.9155e-11  57.1224183
1.97295e-11  56.2895216
2.03209e-11  55.4693274
2.09305e-11  54.6607284
2.15579e-11  53.8646566
2.22045e-11  53.0797844
2.28701e-11  52.3070051
2.35561e-11  51.5451136
2.42622e-11  50.7950131
2.49899e-11  50.0555108
2.5739e-11  49.3273605
2.6511e-11  48.6095732
2.73057e-11  47.9027661
2.81247e-11  47.2060552
2.89678e-11  46.519986
2.98367e-11  45.8436851
3.07311e-11  45.1778131
3.16528e-11  44.5214129
3.26017e-11  43.8750756
3.35795e-11  43.2379642
3.45861e-11  42.610636
3.56235e-11  41.9922447
3.66913e-11  41.3833904
3.77919e-11  40.7831906
3.89247e-11  40.1922672
4.00923e-11  39.6097305
4.12941e-11  39.0362264
4.25327e-11  38.4708564
4.38076e-11  37.9142586
4.51216e-11  37.3655804
4.64742e-11  36.8253841
4.78681e-11  36.2929108
4.9303e-11  35.7686519
5.07818e-11  35.2519098
5.23041e-11  34.7431394
5.38729e-11  34.2416629
5.54878e-11  33.7479509
5.71521e-11  33.2613187
5.88653e-11  32.7822172
6.0631e-11  32.3099784
6.24484e-11  31.8450949
6.43215e-11  31.3868774
6.62496e-11  30.9357654
6.82368e-11  30.4911314
7.02822e-11  30.0534344
7.23903e-11  29.6220221
7.45603e-11  29.197331
7.67967e-11  28.7787481
7.90987e-11  28.3667072
8.14712e-11  27.9606081
8.39134e-11  27.5608374
8.64304e-11  27.1668402
8.90212e-11  26.7790171
9.16913e-11  26.396802
9.44399e-11  26.0205631
9.72725e-11  25.6497856
1.00188e-10  25.2848124
1.03193e-10  24.925198
1.06287e-10  24.5711216
1.09475e-10  24.2222299
1.12756e-10  23.8788667
1.16139e-10  23.5404385
1.1962e-10  23.2074422
1.23208e-10  22.8792417
1.26901e-10  22.5562607
1.30707e-10  22.2380207
1.34626e-10  21.9247522
1.38664e-10  21.6160733
1.4282e-10  21.312364
1.47104e-10  21.0130753
1.51513e-10  20.7185597
1.56058e-10  20.4283795
1.60736e-10  20.1428192
1.65557e-10  19.8614936
1.7052e-10  19.5846378
1.75635e-10  19.3118772
1.80899e-10  19.0435261
1.86325e-10  18.7791638
1.91911e-10  18.5190094
1.97667e-10  18.2627518
2.03592e-10  18.0106271
2.09699e-10  17.762267
2.15985e-10  17.5179327
2.22463e-10  17.277266
2.29132e-10  17.0404929
2.36004e-10  16.8073047
2.43079e-10  16.5778877
2.5037e-10  16.3519484
2.57875e-10  16.1297095
2.6561e-10  15.9108345
2.73572e-10  15.6955631
2.81777e-10  15.483576
2.90224e-10  15.2750652
2.98929e-10  15.0697557
3.0789e-10  14.867844
3.17125e-10  14.6690321
3.26631e-10  14.473539
3.37848e-10  14.2538859
3.4945e-10  14.0382722
3.61451e-10  13.8266354
3.73864e-10  13.6189137
3.86703e-10  13.4150469
3.99983e-10  13.2149754
4.13719e-10  13.0186408
4.27926e-10  12.8259858
4.42622e-10  12.6369538
4.57822e-10  12.4514894
4.73545e-10  12.269538
4.89807e-10  12.0910461
5.06628e-10  11.9159609
5.24026e-10  11.7442305
5.42022e-10  11.5758042
5.60636e-10  11.4106316
5.79889e-10  11.2486636
5.99803e-10  11.0898517
6.20402e-10  10.9341482
6.41707e-10  10.7815062
6.63744e-10  10.6318796
6.86539e-10  10.485223
7.10115e-10  10.3414918
7.34502e-10  10.200642
7.59726e-10  10.0626303
7.85816e-10  9.92741408
8.12802e-10  9.79495149
8.40715e-10  9.6652012
8.69587e-10  9.53812253
8.9945e-10  9.41367541
9.30338e-10  9.29182035
9.62287e-10  9.17251845
9.95334e-10  9.05573133
1.029515e-09  8.94142119
1.064871e-09  8.82955072
1.10144e-09  8.72008313
1.139265e-09  8.61298211
1.178389e-09  8.50821184
1.218857e-09  8.40573693
1.260715e-09  8.30552244
1.30401e-09  8.20753387
1.348791e-09  8.11173712
1.395111e-09  8.01809847
1.443021e-09  7.92658459
1.492577e-09  7.83716252
1.543834e-09  7.74979964
1.60362e-09  7.65391606
1.665692e-09  7.56059537
1.730197e-09  7.46970697
1.797168e-09  7.38129089
1.866765e-09  7.29521951
1.939022e-09  7.21153162
2.014112e-09  7.13010319
2.092072e-09  7.05096969
2.173089e-09  6.97401282
2.257203e-09  6.8992632
2.344615e-09  6.82660834
2.435368e-09  6.75607562
2.529679e-09  6.68755695
2.627596e-09  6.62107526
2.729351e-09  6.55652814
2.834997e-09  6.49393481
2.957213e-09  6.42657833
3.084697e-09  6.36149297
3.217678e-09  6.29862416
3.356391e-09  6.23791767
3.501084e-09  6.17931962
3.652015e-09  6.12277646
3.809452e-09  6.06823501
3.973676e-09  6.01564245
4.14498e-09  5.96494633
4.341995e-09  5.91129879
4.548293e-09  5.8598344
4.764478e-09  5.81044554
4.990849e-09  5.76310294
5.228069e-09  5.71770333
5.476466e-09  5.67421602
5.76098e-09  5.62885093
6.060276e-09  5.58558071
6.37512e-09  5.54432359
6.706321e-09  5.50499933
7.08463e-09  5.46448164
7.484147e-09  5.42605502
7.906334e-09  5.38959929
8.352189e-09  5.35504531
8.860582e-09  5.31983795
9.399922e-09  5.28660973
1.0014358e-08  5.2530807
1.0668767e-08  5.22158866
1.1366142e-08  5.19199739
1.216021e-08  5.16241522
1.3009753e-08  5.13474659
1.3977392e-08  5.10731063
1.5017271e-08  5.08174937
1.620261e-08  5.05659289
1.7555294e-08  5.03200926
1.9101527e-08  5.00814023
2.0783948e-08  4.98616531
2.2710406e-08  4.96495518
2.5268741e-08  4.94171748
2.53e-08  4.94146212
2.7879396e-08  4.92232761
3.0981645e-08  4.90345302
3.457502e-08  4.88573351
3.8748713e-08  4.86918394
4.3793573e-08  4.8532936
4.9915706e-08  4.83822792
5.7374949e-08  4.82413143
6.6509111e-08  4.8111219
7.7749613e-08  4.79932263
9.2048813e-08  4.78860016
1.1083327e-07  4.77892022
1.36298464e-07  4.7702061
1.72638996e-07  4.76226273
2.26178246e-07  4.75521293
3.0909555e-07  4.74911471
4.46231054e-07  4.74400239
7.00962111e-07  4.73981447
1.24691796e-06  4.73660115
0.133668145  4.30599544
0.145  4.28383746
0.14875  4.30714841
0.15  4.34027728
0.151  4.39399675
0.152  4.4761528
0.1529  4.51947714
0.15395  4.45749762
0.155  4.37340201
0.156  4.32128028
0.158  4.27115828
0.16125  4.23935707
0.172398403  4.19552436
0.268036206  3.93788883
0.364952992  3.70006504
0.469225276  3.46878717
0.565519075  3.27451974
0.684523069  3.05644403
0.8112866  2.84864065
0.938050131  2.66235464
1.06785599  2.49077427
1.19157719  2.34338244
1.31834073  2.20674786
1.44510426  2.08326386
1.59722049  1.94951233
1.725  1.85013908
1.736  1.86238677
1.745  1.84084602
1.755  1.82801783
2.0125  1.6647445
2.025  1.65914954
2.0495  1.68437801
2.053  1.70210332
2.056  1.72796752
2.058  1.75440536
2.06  1.79201682
2.0615  1.83159416
2.063  1.88393041
2.064  1.92983256
2.065  1.98737257
2.066  2.06026181
2.067  2.15355704
2.068  2.27503567
2.069  2.43479612
2.07  2.64764613
2.071  2.93339342
2.072  3.31684888
2.073  3.82244758
2.074  4.45382077
