E(MeV)  pendfb7/Cr52:102
1e-11  37.4890318
1.02999e-11  36.9392199
1.06087e-11  36.3976405
1.09269e-11  35.8637534
1.12544e-11  35.3380222
1.1592e-11  34.819701
1.19395e-11  34.3092517
1.22976e-11  33.8060199
1.26662e-11  33.3104311
1.30462e-11  32.8217858
1.34372e-11  32.3406885
1.38403e-11  31.8662876
1.42552e-11  31.3991773
1.46827e-11  30.938643
1.51229e-11  30.4850756
1.55765e-11  30.0378804
1.60434e-11  29.5975855
1.65246e-11  29.1634397
1.70199e-11  28.7359322
1.75304e-11  28.3144617
1.80559e-11  27.8993637
1.85975e-11  27.4901392
1.9155e-11  27.0871496
1.97295e-11  26.6898531
2.03209e-11  26.2985808
2.09305e-11  25.9128047
2.15579e-11  25.5329691
2.22045e-11  25.1584409
2.28701e-11  24.7896462
2.35561e-11  24.4260098
2.42622e-11  24.067963
2.49899e-11  23.7149363
2.5739e-11  23.3672897
2.6511e-11  23.0245509
2.73057e-11  22.6870146
2.81247e-11  22.3542587
2.89678e-11  22.0265438
2.98367e-11  21.7034526
3.07311e-11  21.3853009
3.16528e-11  21.0716311
3.26017e-11  20.762726
3.35795e-11  20.4581853
3.45861e-11  20.1582756
3.56235e-11  19.8625923
3.66913e-11  19.5714222
3.77919e-11  19.2843435
3.89247e-11  19.0016535
4.00923e-11  18.7229266
4.12941e-11  18.448472
4.25327e-11  18.1778596
4.38076e-11  17.9113949
4.51216e-11  17.6486697
4.64742e-11  17.3899533
4.78681e-11  17.1348823
4.9303e-11  16.8836921
5.07818e-11  16.6360484
5.23041e-11  16.3921693
5.38729e-11  16.1517298
5.54878e-11  15.9149558
5.71521e-11  15.6815188
5.88653e-11  15.4516351
6.0631e-11  15.2249843
6.24484e-11  15.0018028
6.43215e-11  14.7817596
6.62496e-11  14.5650661
6.82368e-11  14.3514206
7.02822e-11  14.1410437
7.23903e-11  13.9336221
7.45603e-11  13.7293657
7.67967e-11  13.5279795
7.90987e-11  13.3296725
8.14712e-11  13.1341557
8.39134e-11  12.9416153
8.64304e-11  12.7517842
8.90212e-11  12.5648554
9.16913e-11  12.380556
