E(MeV)  pendfb7/Cr52:2
1e-11  23.8239697
1.02999e-11  23.4791924
1.06087e-11  23.1396458
1.09269e-11  22.8049911
1.12544e-11  22.475519
1.1592e-11  22.150762
1.19395e-11  21.8310094
1.22976e-11  21.5158512
1.26662e-11  21.205554
1.30462e-11  20.8996798
1.34372e-11  20.5986068
1.38403e-11  20.3018021
1.42552e-11  20.0096374
1.46827e-11  19.7216658
1.51229e-11  19.4381316
1.55765e-11  19.158663
1.60434e-11  18.88359
1.65246e-11  18.6124433
1.70199e-11  18.3455283
1.75304e-11  18.0824695
1.80559e-11  17.8234763
1.85975e-11  17.5682374
1.9155e-11  17.3169779
1.97295e-11  17.0693601
2.03209e-11  16.8255904
2.09305e-11  16.5853396
2.15579e-11  16.3488844
2.22045e-11  16.1158305
2.28701e-11  15.8864432
2.35561e-11  15.6603645
2.42622e-11  15.4378624
2.49899e-11  15.2185831
2.5739e-11  15.0027499
2.6511e-11  14.7900696
2.73057e-11  14.580725
2.81247e-11  14.3744542
2.89678e-11  14.1714185
2.98367e-11  13.9713595
3.07311e-11  13.7744723
3.16528e-11  13.5804739
3.26017e-11  13.3895389
3.35795e-11  13.2014199
3.45861e-11  13.0162812
3.56235e-11  12.8338731
3.66913e-11  12.6543723
3.77919e-11  12.4775186
3.89247e-11  12.303495
4.00923e-11  12.1320394
4.12941e-11  11.9633417
4.25327e-11  11.7971373
4.38076e-11  11.6336138
4.51216e-11  11.4725205
4.64742e-11  11.3140222
4.78681e-11  11.157896
4.9303e-11  11.0042859
5.07818e-11  10.8529871
5.23041e-11  10.7041327
5.38729e-11  10.5575241
5.54878e-11  10.4132986
5.71521e-11  10.2712559
5.88653e-11  10.1315274
6.0631e-11  9.99391789
6.24484e-11  9.85857069
6.43215e-11  9.72528473
6.62496e-11  9.59418757
6.82368e-11  9.46509649
7.02822e-11  9.33814436
7.23903e-11  9.21314163
7.45603e-11  9.09021441
7.67967e-11  8.96918481
7.9434e-11  8.83329243
8.21619e-11  8.6999013
8.48054e-11  8.57703922
8.77177e-11  8.44838889
9.07301e-11  8.32212937
9.38459e-11  8.19822383
9.70687e-11  8.07663606
1.00402e-10  7.95733048
1.0385e-10  7.8402721
1.07417e-10  7.72542655
1.11105e-10  7.61276001
1.14921e-10  7.50223927
1.18868e-10  7.39383164
1.2295e-10  7.28750501
1.27172e-10  7.18322778
1.31539e-10  7.08096891
1.36056e-10  6.98069783
1.40729e-10  6.88238451
1.45562e-10  6.7859994
1.50561e-10  6.69151342
1.55731e-10  6.59889797
1.61079e-10  6.50812491
1.66611e-10  6.41916655
1.72332e-10  6.33199563
1.78251e-10  6.24658532
1.84372e-10  6.16290919
1.90704e-10  6.08094124
1.97253e-10  6.00065586
2.04027e-10  5.92202781
2.11033e-10  5.84503222
2.18281e-10  5.76964461
2.25777e-10  5.69584082
2.3353e-10  5.62359706
2.4155e-10  5.55288984
2.49845e-10  5.48369601
2.58425e-10  5.41599275
2.673e-10  5.3497575
2.7648e-10  5.28496801
2.85974e-10  5.22160232
2.95795e-10  5.15963873
3.05953e-10  5.0990558
3.1646e-10  5.03983234
3.27328e-10  4.98194741
3.38569e-10  4.9253803
3.50196e-10  4.87011051
3.63757e-10  4.80944489
3.77837e-10  4.75039215
3.92469e-10  4.6928743
4.07661e-10  4.63691194
4.23448e-10  4.58242764
4.39838e-10  4.52944735
4.56871e-10  4.47789098
4.74555e-10  4.42778015
4.92933e-10  4.37904155
5.12013e-10  4.33169593
5.31841e-10  4.28567034
5.52427e-10  4.24098373
5.7382e-10  4.19756695
5.96031e-10  4.1554357
6.19113e-10  4.11452389
6.43077e-10  4.07484678
6.6798e-10  4.03634004
6.96777e-10  3.99492792
7.26815e-10  3.9549193
7.58147e-10  3.91628069
7.90831e-10  3.87897568
8.24923e-10  3.84297331
8.60485e-10  3.80823882
8.97581e-10  3.77473863
9.36275e-10  3.7424417
9.8076e-10  3.70827057
1.027376e-09  3.67545899
1.076189e-09  3.64398893
1.127341e-09  3.61379455
1.180904e-09  3.58485632
1.237033e-09  3.55711164
1.3013e-09  3.52817532
1.368905e-09  3.50057129
1.440023e-09  3.47424749
1.514835e-09  3.44915395
1.593534e-09  3.42524076
1.683397e-09  3.40061456
1.778359e-09  3.37724884
1.878644e-09  3.35510034
1.992996e-09  3.3325316
2.114309e-09  3.31123097
2.243006e-09  3.29113204
2.389622e-09  3.27085579
2.545777e-09  3.25181593
2.723632e-09  3.2327798
2.913912e-09  3.21497976
3.130698e-09  3.19733194
3.363553e-09  3.18090678
