E(MeV)  pendfb7/Fe56:2
1e-11  93.5173259
1.02999e-11  92.1653348
1.06087e-11  90.8338753
1.09269e-11  89.5216193
1.12544e-11  88.2297063
1.1592e-11  86.9563032
1.19295e-11  85.7378349
1.22873e-11  84.5016046
1.26556e-11  83.2844284
1.30352e-11  82.0848846
1.3426e-11  80.90371
1.38287e-11  79.739583
1.42432e-11  78.5936003
1.46704e-11  77.4641491
1.51102e-11  76.3520813
1.55634e-11  75.2561489
1.60299e-11  74.1771947
1.65108e-11  73.1137349
1.70057e-11  72.0670403
1.75158e-11  71.0352738
1.80408e-11  70.0197743
1.85819e-11  69.0189319
1.9139e-11  68.0336076
1.9713e-11  67.062621
2.03039e-11  66.1068041
2.09129e-11  65.1649049
2.15398e-11  64.2376795
2.21859e-11  63.3239539
2.28509e-11  62.4245996
2.35363e-11  61.5383652
2.42419e-11  60.665979
2.4969e-11  59.8063361
2.57175e-11  58.9602793
2.64888e-11  58.1265974
2.72829e-11  57.3060082
2.81012e-11  56.497464
2.89436e-11  55.701718
2.98117e-11  54.9176489
3.07053e-11  54.1460043
3.16263e-11  53.3857369
3.25744e-11  52.6375047
3.35514e-11  51.9003366
3.45572e-11  51.1748977
3.55937e-11  50.4601713
3.66606e-11  49.7569014
3.77602e-11  49.0640633
3.88921e-11  48.3822722
4.00587e-11  47.7106386
4.12595e-11  47.0498042
4.24971e-11  46.3987935
4.37709e-11  45.7583276
4.50838e-11  45.127429
4.64353e-11  44.5067077
4.78281e-11  43.8952984
4.92618e-11  43.293844
5.07393e-11  42.7014462
5.22603e-11  42.1186693
5.38278e-11  41.5447233
5.54414e-11  40.9801484
5.71043e-11  40.4241476
5.8816e-11  39.8772773
6.05802e-11  39.3387436
6.23962e-11  38.8090821
6.42677e-11  38.2875328
6.61942e-11  37.7746185
6.81796e-11  37.2696062
7.02234e-11  36.7729705
7.2635e-11  36.2149906
7.51294e-11  35.6672736
7.77094e-11  35.1296602
8.03781e-11  34.6019943
8.31384e-11  34.0841222
8.59935e-11  33.5758929
8.89467e-11  33.0771579
9.20012e-11  32.5877715
9.51607e-11  32.1075901
9.84287e-11  31.6364729
1.01809e-10  31.1742813
1.05305e-10  30.7208792
1.08922e-10  30.2761325
1.12662e-10  29.8399097
