E(MeV)  pendfb7/H1:102
1e-11  16.6999834
1.02999e-11  16.4550624
1.06087e-11  16.2138088
1.09269e-11  15.9759817
1.12544e-11  15.7417878
1.1592e-11  15.5108948
1.19395e-11  15.2835084
1.22976e-11  15.0593372
1.26662e-11  14.8385706
1.30462e-11  14.6208972
1.34372e-11  14.406586
1.38403e-11  14.1952579
1.42552e-11  13.9871774
1.46827e-11  13.7820264
1.51229e-11  13.5799788
1.55765e-11  13.3807698
1.60434e-11  13.1846346
1.65246e-11  12.9912386
1.70199e-11  12.8007998
1.75304e-11  12.6130502
1.80559e-11  12.4281393
1.85975e-11  12.2458449
1.9155e-11  12.0663279
1.97295e-11  11.8893469
2.03209e-11  11.7150495
2.09305e-11  11.5432004
2.15579e-11  11.3739977
2.22045e-11  11.2071592
2.28701e-11  11.0428747
2.35561e-11  10.8808881
2.42622e-11  10.7213914
2.49899e-11  10.564131
2.5739e-11  10.4092673
2.6511e-11  10.2565897
2.73057e-11  10.1062297
2.81247e-11  9.95799925
2.89678e-11  9.81201433
2.98367e-11  9.66808911
3.07311e-11  9.52636421
3.16528e-11  9.38663589
3.26017e-11  9.24903002
3.35795e-11  9.11336839
3.45861e-11  8.97976965
3.56235e-11  8.84805361
3.66913e-11  8.71834807
3.77919e-11  8.59046505
3.89247e-11  8.46453707
4.00923e-11  8.34037452
4.12941e-11  8.21811509
4.25327e-11  8.09756722
4.38076e-11  7.97886701
4.51216e-11  7.86183261
4.64742e-11  7.74658399
4.78681e-11  7.63295925
4.9303e-11  7.52106326
5.07818e-11  7.41074711
5.23041e-11  7.30210795
5.38729e-11  7.19500104
5.54878e-11  7.08952693
5.71521e-11  6.98553933
5.88653e-11  6.88313463
6.0631e-11  6.78217002
6.24484e-11  6.68275088
6.43215e-11  6.58472977
6.62496e-11  6.48820075
6.82368e-11  6.39302956
7.02822e-11  6.29931443
7.23903e-11  6.20691575
7.45603e-11  6.11592702
7.67967e-11  6.0262169
7.90987e-11  5.93787843
8.14712e-11  5.85078288
8.39134e-11  5.76501324
8.64304e-11  5.68045046
8.90212e-11  5.59718055
9.16913e-11  5.51508199
9.44399e-11  5.43423386
9.72725e-11  5.3545256
1.00188e-10  5.27603092
1.03193e-10  5.19865407
1.06287e-10  5.12243362
1.09475e-10  5.04729352
1.12756e-10  4.97330789
1.16139e-10  4.90034884
1.1962e-10  4.82852355
1.23208e-10  4.75769486
1.26901e-10  4.68795422
1.30707e-10  4.61919839
1.34626e-10  4.55147718
1.38664e-10  4.48470805
1.4282e-10  4.41897329
1.47104e-10  4.35415412
1.51513e-10  4.2903269
1.56058e-10  4.22739685
1.60736e-10  4.16542569
1.65557e-10  4.10432993
1.7052e-10  4.04416065
1.75635e-10  3.98483649
1.80899e-10  3.92642591
1.86325e-10  3.86883736
1.91911e-10  3.81211869
1.97667e-10  3.75620211
2.03592e-10  3.70113922
2.09699e-10  3.64684965
2.15985e-10  3.59339061
2.22463e-10  3.5406838
2.29132e-10  3.48877882
2.36004e-10  3.43760804
2.43079e-10  3.38721251
2.5037e-10  3.33752781
2.57875e-10  3.28860302
2.6561e-10  3.24036421
2.73572e-10  3.19286429
2.81777e-10  3.14603295
2.90224e-10  3.09991272
2.98929e-10  3.05444292
3.0789e-10  3.00966719
3.17125e-10  2.96551959
3.26631e-10  2.92204891
3.36428e-10  2.87918765
3.46513e-10  2.8369814
3.56906e-10  2.7953688
3.67605e-10  2.7543904
3.78631e-10  2.71398819
3.89981e-10  2.67420381
4.01678e-10  2.63497813
4.13719e-10  2.59635164
4.26128e-10  2.55826778
4.38901e-10  2.52076592
4.52066e-10  2.48379138
4.65617e-10  2.44738067
4.79583e-10  2.41148268
4.93959e-10  2.37613184
5.08775e-10  2.34127893
5.24026e-10  2.30695722
5.39744e-10  2.27311876
5.55923e-10  2.23979643
5.72598e-10  2.20694304
5.89762e-10  2.17459085
6.07452e-10  2.14269351
6.25661e-10  2.11128355
6.44427e-10  2.08031535
6.63744e-10  2.04981927
6.83653e-10  2.0197526
7.04146e-10  1.99014435
7.25267e-10  1.96095252
7.47007e-10  1.93220671
7.69413e-10  1.90386556
7.92477e-10  1.87595576
8.16247e-10  1.84843949
8.40715e-10  1.82134241
8.65932e-10  1.79462677
8.91889e-10  1.76831898
9.18641e-10  1.74238099
9.46178e-10  1.71683918
9.74558e-10  1.69165653
1.003771e-09  1.66685807
1.033879e-09  1.64240848
1.064871e-09  1.61833203
1.096811e-09  1.59459404
1.129689e-09  1.57121869
1.163573e-09  1.54817203
1.198452e-09  1.52547693
1.234399e-09  1.50310132
1.271402e-09  1.48106682
1.309537e-09  1.45934222
1.348791e-09  1.43794958
1.389247e-09  1.41685792
1.430892e-09  1.39608759
1.47381e-09  1.37560988
1.517989e-09  1.35544429
1.563521e-09  1.33556237
1.610389e-09  1.31598422
1.658691e-09  1.29668143
1.708412e-09  1.27767292
