E(MeV)  pendfb7/H1:2
1e-11  1170.27517
1.02999e-11  1153.11641
1.06087e-11  1136.21464
1.09269e-11  1119.553
1.12544e-11  1103.14596
1.1592e-11  1086.97025
1.19395e-11  1071.04026
1.22976e-11  1055.33559
1.26662e-11  1039.86951
1.30462e-11  1024.6202
1.34372e-11  1009.6065
1.38403e-11  994.801866
1.42552e-11  980.224819
1.46827e-11  965.853069
1.51229e-11  951.698811
1.55765e-11  937.743487
1.60434e-11  924.003576
1.65246e-11  910.455638
1.70199e-11  897.114939
1.75304e-11  883.962713
1.80559e-11  871.009428
1.85975e-11  858.239518
1.9155e-11  845.664254
1.97295e-11  833.266736
2.03209e-11  821.057293
2.09305e-11  809.019445
2.15579e-11  797.167064
2.22045e-11  785.480386
2.28701e-11  773.972712
2.35561e-11  762.626097
2.42622e-11  751.453991
2.49899e-11  740.43863
2.5739e-11  729.591242
2.6511e-11  718.897094
2.73057e-11  708.365381
2.81247e-11  697.982932
2.89678e-11  687.757878
2.98367e-11  677.6772
3.07311e-11  667.750746
3.16528e-11  657.964247
3.26017e-11  648.326519
3.35795e-11  638.82508
3.45861e-11  629.46824
3.56235e-11  620.243379
3.66913e-11  611.159448
3.77919e-11  602.203281
3.89247e-11  593.38416
4.00923e-11  584.688805
4.12941e-11  576.126859
4.25327e-11  567.684908
4.38076e-11  559.372482
4.51216e-11  551.176845
4.64742e-11  543.106401
4.78681e-11  535.14981
4.9303e-11  527.314418
5.08513e-11  519.235103
5.23765e-11  511.629152
5.39466e-11  504.138946
5.55647e-11  496.754424
5.72303e-11  489.48287
5.89469e-11  482.313628
6.07139e-11  475.254082
6.2535e-11  468.293761
6.44095e-11  461.440161
6.63414e-11  454.68306
6.83301e-11  448.029048
7.03796e-11  441.468906
7.24893e-11  435.009036
7.46636e-11  428.640146
7.69017e-11  422.368759
7.92083e-11  416.185741
8.15827e-11  410.097184
8.40297e-11  404.094469
8.65486e-11  398.183596
8.91445e-11  392.35612
9.18167e-11  386.617597
9.45707e-11  380.960131
9.74056e-11  375.389091
1.00327e-10  369.897049
1.03335e-10  364.488274
1.06434e-10  359.156292
1.09625e-10  353.905632
1.12913e-10  348.728667
1.16297e-10  343.631926
1.19786e-10  338.606059
1.23376e-10  333.658188
1.27077e-10  328.779497
1.30886e-10  323.975711
1.34812e-10  319.239653
1.38853e-10  314.576043
1.43018e-10  309.978279
1.47305e-10  305.450978
1.51723e-10  300.987992
1.56271e-10  296.592551
1.60959e-10  292.259374
1.65784e-10  287.993028
1.70756e-10  283.786934
1.75875e-10  279.644903
1.8115e-10  275.561672
1.8658e-10  271.540887
1.92177e-10  267.576746
1.97937e-10  263.673906
2.03874e-10  259.826199
2.09986e-10  256.037093
2.16284e-10  252.301822
2.22767e-10  248.62378
2.29449e-10  244.997911
2.36327e-10  241.427497
2.43416e-10  237.90754
2.50712e-10  234.441959
2.58232e-10  231.02539
2.65973e-10  227.66107
2.73951e-10  224.344405
2.82163e-10  221.07891
2.90626e-10  217.859577
2.99338e-10  214.689731
3.08316e-10  211.56491
3.17558e-10  208.487957
3.27083e-10  205.45484
3.36888e-10  202.468173
3.46993e-10  199.523921
3.57394e-10  196.625122
3.68114e-10  193.767424
3.79149e-10  190.953705
3.90521e-10  188.179967
4.02227e-10  185.448969
4.14292e-10  182.756749
4.26711e-10  180.106108
4.3951e-10  177.493047
4.52684e-10  174.920457
4.66262e-10  172.384462
4.80239e-10  169.887489
4.94643e-10  167.426226
5.09471e-10  165.002808
5.24752e-10  162.614055
5.40482e-10  160.26215
5.56694e-10  157.943787
5.73381e-10  155.661374
5.90579e-10  153.411552
6.08283e-10  151.196464
6.26528e-10  149.013039
6.45308e-10  146.86352
6.64664e-10  144.744723
6.84588e-10  142.658757
7.05122e-10  140.602666
7.26259e-10  138.578504
7.48042e-10  136.583384
7.70466e-10  134.619196
7.93575e-10  132.683261
8.17364e-10  130.777375
8.4188e-10  128.898902
8.67116e-10  127.049685
8.93125e-10  125.227057
9.19897e-10  123.432868
9.47489e-10  121.664511
9.75891e-10  119.923766
1.005162e-09  118.208138
1.035293e-09  116.51931
1.066346e-09  114.854888
1.098311e-09  113.216527
1.131254e-09  111.601867
1.165164e-09  110.012528
1.200113e-09  108.446216
1.236087e-09  106.904512
1.273163e-09  105.385196
1.311328e-09  103.889763
1.35066e-09  102.416094
1.391147e-09  100.965643
1.432874e-09  99.5363403
1.475826e-09  98.1295934
1.520092e-09  96.7434164
1.565659e-09  95.3791337
1.61262e-09  94.0348371
1.66096e-09  92.7118559
1.710779e-09  91.4082941
1.762062e-09  90.1254245
1.814914e-09  88.8614286
1.869318e-09  87.6175741
1.925387e-09  86.3920521
1.983102e-09  85.1861069
2.042584e-09  83.9979932
2.103813e-09  82.8288912
2.166915e-09  81.677138
2.231871e-09  80.5438594
2.298814e-09  79.427455
2.367724e-09  78.3290058
2.438742e-09  77.2469642
2.511846e-09  76.1823851
2.587187e-09  75.1337606
2.664741e-09  74.1021106
2.744668e-09  73.085978
2.826943e-09  72.0863522
2.911735e-09  71.1018148
2.999017e-09  70.133335
3.088971e-09  69.1795286
3.181566e-09  68.2413375
3.276995e-09  67.3174233
3.375227e-09  66.40869
3.476464e-09  65.5138509
3.580675e-09  64.6337731
3.688075e-09  63.767214
3.798629e-09  62.9150159
3.912567e-09  62.0759669
4.046931e-09  61.1338314
4.185909e-09  60.2090208
4.329659e-09  59.301269
4.478347e-09  58.410299
4.63214e-09  57.5358668
4.791216e-09  56.6777022
4.955754e-09  55.8355678
5.125942e-09  55.0092144
5.301975e-09  54.1983954
5.484053e-09  53.4028758
5.672385e-09  52.622416
5.867183e-09  51.856797
6.068672e-09  51.105781
6.27708e-09  50.3691525
6.492645e-09  49.6466911
6.715612e-09  48.9381843
6.946237e-09  48.2434149
7.184782e-09  47.5621779
7.431519e-09  46.8942686
7.686729e-09  46.2394867
7.950704e-09  45.5976314
8.223744e-09  44.9685103
8.50616e-09  44.3519324
8.798275e-09  43.7477065
9.100422e-09  43.1556471
9.412945e-09  42.5755723
9.736201e-09  42.0073009
1.0070558e-08  41.4506563
1.0416397e-08  40.9054644
1.0774112e-08  40.3715532
1.1144113e-08  39.8487501
1.1526819e-08  39.3368919
1.1922669e-08  38.8358102
1.2332112e-08  38.3453455
1.2755617e-08  37.8653349
1.3193665e-08  37.3956224
1.3646757e-08  36.9360503
1.4115408e-08  36.4864661
1.4600154e-08  36.0467161
1.5101546e-08  35.6166517
1.5620158e-08  35.1961224
1.6156579e-08  34.7849836
1.6711422e-08  34.383089
1.7285318e-08  33.9902965
1.7878924e-08  33.6064625
1.8492915e-08  33.2314478
1.9208723e-08  32.8200204
1.9952593e-08  32.4191926
2.0724901e-08  32.0291466
2.1527487e-08  31.6493247
2.2360754e-08  31.2798938
2.3226689e-08  30.9203187
2.4125728e-08  30.5707503
2.5232891e-08  30.1701596
2.53e-08  30.1468625
2.6279759e-08  29.8186137
2.7296974e-08  29.4997618
2.8354067e-08  29.1898276
2.9451572e-08  28.8889227
3.0592104e-08  28.5965871
3.1776237e-08  28.3129187
3.3006792e-08  28.0374758
3.4284391e-08  27.7703423
3.5762382e-08  27.4828424
3.7304088e-08  27.204994
3.8912256e-08  26.9365624
4.0589752e-08  26.6773143
4.2339565e-08  26.427018
4.4164811e-08  26.1854435
4.6068744e-08  25.9523621
4.8054754e-08  25.7275468
5.0338841e-08  25.4894838
5.2730554e-08  25.2609424
5.5236886e-08  25.0414524
5.7861316e-08  24.8308907
6.0611519e-08  24.628807
6.349131e-08  24.4350712
6.6509111e-08  24.249253
6.9964403e-08  24.0553686
7.3599204e-08  23.8703082
7.7422841e-08  23.6937231
8.1445125e-08  23.5252714
8.6037981e-08  23.3516
9.0891457e-08  23.1866109
9.6017011e-08  23.0300071
1.01433412e-07  22.881294
1.07607619e-07  22.7296116
1.14157646e-07  22.5862376
1.21617514e-07  22.4413606
1.2956717e-07  22.3049543
1.38034005e-07  22.1765986
1.47677412e-07  22.0479661
1.57994531e-07  21.9273688
1.69748875e-07  21.80745
1.8237446e-07  21.6954717
1.96769598e-07  21.5849122
2.13200808e-07  21.4764979
2.30999989e-07  21.3759857
2.51345976e-07  21.2780162
2.74643157e-07  21.1830968
3.0136635e-07  21.0916683
3.32085464e-07  21.0040669
3.67486881e-07  20.9205342
4.08385846e-07  20.8412537
4.55752074e-07  20.7663515
5.12923531e-07  20.6934002
5.79703235e-07  20.6254044
6.60742982e-07  20.560377
7.5629029e-07  20.5009342
8.72992451e-07  20.4460076
1.01195589e-06  20.3982667
1.19582876e-06  20.3544994
1.47348355e-06  20.3119238
1.97329145e-06  20.2669555
2.99543407e-06  20.221819
6.26242979e-06  20.1761613
0.00880503346  19.3285506
0.0179755831  18.3086005
0.04056433  16.2552349
0.060846495  14.8181182
0.08112866  13.6514514
0.0999462577  12.7449881
0.15  10.9237767
0.2  9.6435294
0.3  7.95225415
0.4  6.8765977
0.499731288  6.12746853
0.6  5.56696563
0.7  5.13207385
0.8  4.78161877
0.9  4.49150934
1  4.246147
1.2  3.8504971
1.4  3.5417792
1.6  3.29133763
1.8  3.08220556
2.0282165  2.88176277
2.23103815  2.72734002
2.4338598  2.59131072
2.63668145  2.47012102
2.8395031  2.36113947
3.04232475  2.2623631
3.2902928  2.15348715
3.54525764  2.05227168
3.85361135  1.94264625
4.2  1.83279066
4.4620763  1.75889546
4.8677196  1.65402956
5.5  1.51355868
6  1.41816186
6.5  1.3337132
7  1.25837067
7.60581188  1.1777598
8.112866  1.11703316
8.61992013  1.0619072
9.12697425  1.01163679
10.1410825  0.923300156
11.1551908  0.848199809
11.8244898  0.804530301
12.6763531  0.754554201
13.5  0.711185848
15  0.643160293
16  0.604027677
17  0.568970497
18  0.537385145
19  0.508779316
20  0.482756764
