E(MeV)  pendfb7/Na23:102
1e-11  26.5594155
1.02999e-11  26.1698966
1.06087e-11  25.7862101
1.09269e-11  25.4079732
1.12544e-11  25.0355144
1.1592e-11  24.6683053
1.19395e-11  24.3066731
1.22976e-11  23.9501542
1.26662e-11  23.5990501
1.30462e-11  23.2528651
1.34372e-11  22.9120276
1.38403e-11  22.5759342
1.42552e-11  22.2450058
1.46827e-11  21.9187363
1.51229e-11  21.5974026
1.55765e-11  21.2805833
1.60434e-11  20.9686526
1.65246e-11  20.6610782
1.70199e-11  20.3582069
1.75304e-11  20.0596125
1.80559e-11  19.7655326
1.85975e-11  19.475614
1.9155e-11  19.1901125
1.97295e-11  18.9086444
2.03209e-11  18.6314441
2.09305e-11  18.3581376
2.15579e-11  18.0890399
2.22045e-11  17.8237021
2.28701e-11  17.5624262
2.35561e-11  17.3048049
2.42622e-11  17.0511435
2.49899e-11  16.8010386
2.5739e-11  16.5547453
2.6511e-11  16.311929
2.73057e-11  16.0727984
2.81247e-11  15.8370546
2.89678e-11  15.6048821
2.98367e-11  15.3759853
3.07311e-11  15.1505879
3.16528e-11  14.9283658
3.26017e-11  14.7095192
3.35795e-11  14.4937647
3.45861e-11  14.281291
3.56235e-11  14.0718115
3.66913e-11  13.8655295
3.77919e-11  13.662146
3.89247e-11  13.4618717
4.00923e-11  13.2644052
4.12941e-11  13.0699653
4.25327e-11  12.8782475
4.38076e-11  12.6894682
4.51216e-11  12.5033382
4.64742e-11  12.3200482
4.78681e-11  12.1393409
4.9303e-11  11.9613829
5.07818e-11  11.7859374
5.23041e-11  11.6131591
5.38729e-11  11.4428176
5.54878e-11  11.2750728
5.71521e-11  11.1096922
5.88653e-11  10.9468291
6.0631e-11  10.7862562
6.24484e-11  10.6281412
6.43215e-11  10.4722496
6.62496e-11  10.318731
6.82368e-11  10.1673719
7.02822e-11  10.0183284
7.23903e-11  9.87137866
7.45603e-11  9.72667125
7.67967e-11  9.58399734
7.90987e-11  9.44350485
8.14712e-11  9.3049891
8.39134e-11  9.16858205
8.64304e-11  9.03409437
8.90212e-11  8.90166285
9.16913e-11  8.77109422
9.44399e-11  8.64251426
9.72725e-11  8.51574713
1.00188e-10  8.39091005
1.03193e-10  8.26785075
1.06287e-10  8.14663058
1.09475e-10  8.02712857
1.12756e-10  7.90946262
1.16139e-10  7.79342932
1.1962e-10  7.67919913
1.23208e-10  7.5665539
1.26901e-10  7.45563911
1.30707e-10  7.34629053
1.34626e-10  7.23858739
1.38664e-10  7.13239844
1.4282e-10  7.02785453
1.47104e-10  6.92476674
1.51513e-10  6.82325654
1.56058e-10  6.72317319
1.60736e-10  6.62461483
1.65557e-10  6.52744868
1.7052e-10  6.43175601
1.75635e-10  6.33740739
1.80899e-10  6.24451171
1.86325e-10  6.15292339
1.91911e-10  6.06271849
1.97667e-10  5.97378923
2.03592e-10  5.88621765
2.09699e-10  5.79987594
2.15985e-10  5.71485512
2.22463e-10  5.63103059
2.29132e-10  5.5484813
2.36004e-10  5.46709967
2.43079e-10  5.38695097
2.5037e-10  5.30793277
2.57875e-10  5.23012311
2.6561e-10  5.15340442
2.73572e-10  5.07786083
2.81777e-10  5.00338056
2.90224e-10  4.93003121
2.98929e-10  4.85771629
3.0789e-10  4.78650521
3.17125e-10  4.7162931
3.26631e-10  4.64715754
3.36428e-10  4.57899119
3.46513e-10  4.51186655
3.56906e-10  4.44568604
3.67605e-10  4.38051415
3.78631e-10  4.31625861
3.89981e-10  4.25298568
4.01678e-10  4.19060126
4.13719e-10  4.12916979
4.26128e-10  4.06860132
4.38901e-10  4.00895844
4.52066e-10  3.95015418
4.65617e-10  3.89224665
4.79583e-10  3.83515452
4.93959e-10  3.77893257
5.08775e-10  3.72350251
5.24026e-10  3.66891727
5.39744e-10  3.61510056
5.55923e-10  3.56210472
5.72598e-10  3.50985464
5.89762e-10  3.45840167
6.07452e-10  3.40767208
6.25661e-10  3.35771762
6.44427e-10  3.3084657
6.63744e-10  3.25996464
6.83653e-10  3.21214651
7.04146e-10  3.16505743
7.25267e-10  3.11863062
7.47007e-10  3.07291314
7.69413e-10  3.02783922
7.92477e-10  2.98345133
8.16247e-10  2.93968928
8.40715e-10  2.8965939
8.65932e-10  2.85410516
8.91889e-10  2.81226505
9.18641e-10  2.77101306
9.46178e-10  2.73039115
9.74558e-10  2.69034044
1.003771e-09  2.65090073
1.033879e-09  2.61201585
1.064871e-09  2.57372441
1.096811e-09  2.53597125
1.129689e-09  2.49879483
1.163573e-09  2.46214114
1.198452e-09  2.42604657
1.234399e-09  2.39046009
1.271402e-09  2.35541613
1.309537e-09  2.32086503
1.348791e-09  2.28684187
1.389247e-09  2.25329735
1.430892e-09  2.2202639
1.47381e-09  2.18769582
1.517989e-09  2.15562415
1.563521e-09  2.1240036
1.610389e-09  2.09286616
1.658691e-09  2.06216665
1.708412e-09  2.03193517
1.759655e-09  2.00212925
1.812403e-09  1.97277799
1.866765e-09  1.94383947
1.922723e-09  1.91534299
1.980394e-09  1.88724699
2.039758e-09  1.85958002
2.100939e-09  1.83230226
2.163917e-09  1.80544043
2.228823e-09  1.77895647
2.295634e-09  1.75287695
2.36449e-09  1.72716416
2.435368e-09  1.70184371
2.508415e-09  1.67687963
2.583608e-09  1.65229616
2.661102e-09  1.62805857
2.740871e-09  1.60419107
2.823082e-09  1.58065911
2.907706e-09  1.55748643
2.994921e-09  1.53463975
3.084697e-09  1.5121415
3.177221e-09  1.48995984
3.272461e-09  1.4681167
3.370617e-09  1.44658081
