E(MeV)  pendfb7/Ni58:102
1e-11  232.376457
1.02999e-11  228.968438
1.06087e-11  225.611448
1.09269e-11  222.302139
1.12544e-11  219.043385
1.1592e-11  215.830561
1.19395e-11  212.666532
1.22976e-11  209.54724
1.26662e-11  206.475324
1.30462e-11  203.446447
1.34372e-11  200.464356
1.38403e-11  197.523774
1.42552e-11  194.628382
1.46827e-11  191.773751
1.51229e-11  188.962305
1.55765e-11  186.190358
1.60434e-11  183.461182
1.65246e-11  180.770121
1.70199e-11  178.120208
1.75304e-11  175.507715
1.80559e-11  172.934722
1.85975e-11  170.398137
1.9155e-11  167.900198
1.97295e-11  165.437549
2.03209e-11  163.01224
2.09305e-11  160.621
2.15579e-11  158.266582
2.22045e-11  155.945062
2.28701e-11  153.659081
2.35561e-11  151.405074
2.42622e-11  149.185714
2.49899e-11  146.997472
2.5739e-11  144.842578
2.6511e-11  142.718105
2.73057e-11  140.62588
2.81247e-11  138.563287
2.89678e-11  136.53194
2.98367e-11  134.529253
3.07311e-11  132.557184
3.16528e-11  130.612896
3.26017e-11  128.698141
3.35795e-11  126.810441
3.45861e-11  124.951445
3.56235e-11  123.118646
3.66913e-11  121.313823
3.77919e-11  119.53436
3.89247e-11  117.782101
4.00923e-11  116.054408
4.12941e-11  114.353195
4.25327e-11  112.675799
4.38076e-11  111.024113
4.51216e-11  109.395606
4.64742e-11  107.791948
4.78681e-11  106.210885
4.9303e-11  104.653878
5.07818e-11  103.118854
5.23041e-11  101.607165
5.38729e-11  100.116797
5.54878e-11  98.6491487
5.71521e-11  97.2021849
5.88653e-11  95.7772469
6.0631e-11  94.3723474
6.24484e-11  92.9889527
6.43215e-11  91.6250113
6.62496e-11  90.2818321
6.82368e-11  88.9575467
7.02822e-11  87.653522
7.23903e-11  86.3678154
7.45603e-11  85.101728
7.67967e-11  83.8534322
7.90987e-11  82.6242225
8.14712e-11  81.4123077
8.39134e-11  80.2188428
8.64304e-11  79.0421711
8.90212e-11  77.8834892
9.16913e-11  76.7411065
9.44399e-11  75.6161231
9.72725e-11  74.507001
1.00188e-10  73.4147652
1.03193e-10  72.338084
1.06287e-10  71.2774939
1.09475e-10  70.2319365
1.12756e-10  69.2024434
1.16139e-10  68.1872348
1.1962e-10  67.1878023
1.23208e-10  66.2022373
1.26901e-10  65.2318121
1.30707e-10  64.2750904
1.34626e-10  63.3327652
1.38664e-10  62.403688
1.4282e-10  61.4890039
1.47104e-10  60.5870599
1.51513e-10  59.6989186
1.56058e-10  58.8232613
1.60736e-10  57.9609468
1.65557e-10  57.1108131
1.7052e-10  56.2735714
1.75635e-10  55.4480891
1.80899e-10  54.6353192
1.86325e-10  53.8339877
1.91911e-10  53.0447604
1.97667e-10  52.2666939
2.03592e-10  51.5005063
2.09699e-10  50.7450793
2.15985e-10  50.001209
2.22463e-10  49.2678056
2.29132e-10  48.5455596
2.36004e-10  47.83353
2.43079e-10  47.1322876
2.5037e-10  46.4409364
2.57875e-10  45.7601591
2.6561e-10  45.0889271
2.73572e-10  44.4279764
2.81777e-10  43.7763291
2.90224e-10  43.1345766
2.98929e-10  42.5018746
3.0789e-10  41.8788305
3.17125e-10  41.2645267
3.26631e-10  40.6596421
3.36428e-10  40.0632374
3.46513e-10  39.4759471
3.56906e-10  38.8969171
3.67605e-10  38.3267121
3.78631e-10  37.7645245
3.89981e-10  37.210934
4.01678e-10  36.6651174
4.13719e-10  36.1276386
4.26128e-10  35.5977104
4.38901e-10  35.0758805
4.52066e-10  34.5613882
4.65617e-10  34.0547415
4.79583e-10  33.5552292
4.93959e-10  33.0633301
5.08775e-10  32.5783598
5.24026e-10  32.1007811
5.39744e-10  31.6299266
5.55923e-10  31.1662539
5.72598e-10  30.7091064
5.89762e-10  30.2589331
6.07452e-10  29.8150889
6.25661e-10  29.3780264
6.44427e-10  28.9471109
6.63744e-10  28.5227649
6.83653e-10  28.1043939
7.04146e-10  27.6924019
7.25267e-10  27.2862042
7.47007e-10  26.8862127
7.69413e-10  26.491852
7.92477e-10  26.1034936
8.16247e-10  25.7206108
8.40715e-10  25.3435612
8.65932e-10  24.9718191
8.91889e-10  24.6057521
9.18641e-10  24.2448308
9.46178e-10  23.8894223
9.74558e-10  23.5390116
1.003771e-09  23.1939465
1.033879e-09  22.853736
1.064871e-09  22.5187177
1.096811e-09  22.188409
