E(MeV)  pendfb7/Ni58:2
1e-11  189.158595
1.02999e-11  186.425302
1.06087e-11  183.733539
1.09269e-11  181.080619
1.12544e-11  178.468847
1.1592e-11  175.894517
1.19395e-11  173.359922
1.22976e-11  170.861813
1.26662e-11  168.402302
1.30462e-11  165.977917
1.34372e-11  163.591656
1.38403e-11  161.239297
1.42552e-11  158.923783
1.46827e-11  156.641573
1.51229e-11  154.394604
1.55765e-11  152.179929
1.60434e-11  150.000162
1.65246e-11  147.851585
1.70199e-11  145.736618
1.75304e-11  143.652286
1.80559e-11  141.600246
1.85975e-11  139.578034
1.9155e-11  137.587431
1.97295e-11  135.625764
2.03209e-11  133.694665
2.09305e-11  131.791528
2.1577e-11  129.862727
2.22242e-11  128.017636
2.28904e-11  126.201628
2.3577e-11  124.411936
2.42837e-11  122.650622
2.50121e-11  120.914875
2.57618e-11  119.206603
2.65346e-11  117.523177
2.733e-11  115.866556
2.81497e-11  114.234129
2.89935e-11  112.627559
2.98632e-11  111.044531
3.07583e-11  109.486776
3.16809e-11  107.95193
3.26306e-11  106.441454
3.36093e-11  104.95335
3.46168e-11  103.488927
3.56551e-11  102.046233
3.67239e-11  100.626604
3.78254e-11  99.2280913
3.89593e-11  97.8519752
4.01278e-11  96.4964212
4.13307e-11  95.1626056
4.25704e-11  93.8487617
4.38465e-11  92.5561328
4.51616e-11  91.2829248
4.65154e-11  90.0302658
4.79106e-11  88.7965047
4.93468e-11  87.5827827
5.08269e-11  86.3874098
5.23505e-11  85.2115283
5.39207e-11  84.0535006
5.55371e-11  82.9144124
5.72029e-11  81.7926536
5.89176e-11  80.689408
6.06848e-11  79.6029843
6.25039e-11  78.5345487
6.43786e-11  77.4825208
6.63084e-11  76.4479275
6.82973e-11  75.4293295
7.06428e-11  74.2855648
7.30687e-11  73.1629188
7.5578e-11  72.0609548
7.81735e-11  70.9793833
8.08581e-11  69.9179138
8.36349e-11  68.8762203
8.65071e-11  67.8539872
8.94779e-11  66.8509421
9.25507e-11  65.8667852
9.5729e-11  64.9012275
9.90165e-11  63.9539624
1.02417e-10  63.0246993
1.05934e-10  62.1132628
1.09572e-10  61.2192549
1.13335e-10  60.3424518
1.17227e-10  59.4826575
1.21253e-10  58.6394927
1.25417e-10  57.8128301
1.29724e-10  57.002367
1.34179e-10  56.2078439
1.38787e-10  55.4290359
1.43553e-10  54.6657462
1.48483e-10  53.9176526
1.53582e-10  53.1846207
1.58856e-10  52.4663934
1.64311e-10  51.7627484
1.69954e-10  51.0733721
1.7579e-10  50.3982236
1.81827e-10  49.736933
1.88072e-10  49.08929
1.9453e-10  48.455302
2.01211e-10  47.8345054
2.08121e-10  47.2268564
2.15268e-10  46.6321419
2.22661e-10  46.0500983
2.30307e-10  45.4806443
2.38216e-10  44.9234923
2.46397e-10  44.3784615
2.54859e-10  43.8453915
2.63611e-10  43.3241382
2.72664e-10  42.8144599
2.82027e-10  42.3162511
2.91713e-10  41.8292148
3.01731e-10  41.3532834
3.12092e-10  40.8882982
3.24173e-10  40.3780608
3.36726e-10  39.8809648
3.4976e-10  39.3971686
3.63305e-10  38.9260306
3.77367e-10  38.467757
3.91981e-10  38.0216789
4.07154e-10  37.5879772
4.22921e-10  37.1660313
4.39291e-10  36.7560143
4.56303e-10  36.3573095
4.73965e-10  35.9700846
4.9232e-10  35.5937376
5.11376e-10  35.2284316
5.31179e-10  34.8735895
5.5174e-10  34.5293238
5.73106e-10  34.1951151
5.95289e-10  33.8710522
6.20952e-10  33.5223689
6.47721e-10  33.1854811
6.75644e-10  32.8601039
7.04771e-10  32.545954
7.35154e-10  32.2427501
7.66846e-10  31.9502126
7.99905e-10  31.6680637
8.34388e-10  31.3960276
8.74047e-10  31.1080903
9.15575e-10  30.8317993
9.59094e-10  30.5665902
1.004662e-09  30.3123168
1.052415e-09  30.0684238
1.102417e-09  29.8347572
1.154816e-09  29.610793
1.214812e-09  29.3772796
1.277924e-09  29.1545858
1.344314e-09  28.9422855
1.414155e-09  28.7399539
1.493902e-09  28.5315812
1.578174e-09  28.3338609
1.66717e-09  28.1464302
1.76865e-09  27.9554343
1.876307e-09  27.7751621
1.990517e-09  27.6050536
2.120629e-09  27.4334386
