E(MeV)  pendfb7/O16:102
1e-11  0.009556856
1.02999e-11  0.009416696
1.06087e-11  0.009278634
1.09269e-11  0.009142534
1.12544e-11  0.009008512
1.1592e-11  0.00887638
1.19395e-11  0.008746254
1.22976e-11  0.008617968
1.26662e-11  0.00849163
1.30462e-11  0.008367063
1.34372e-11  0.00824442
1.38403e-11  0.008123483
1.42552e-11  0.008004406
1.46827e-11  0.007887005
1.51229e-11  0.007771379
1.55765e-11  0.007657378
1.60434e-11  0.007545137
1.65246e-11  0.007434463
1.70199e-11  0.007325481
1.75304e-11  0.007218038
1.80559e-11  0.007112219
1.85975e-11  0.007007898
1.9155e-11  0.006905166
1.97295e-11  0.006803886
2.03209e-11  0.006704141
2.09305e-11  0.006605797
2.15579e-11  0.006508968
2.22045e-11  0.006413492
2.28701e-11  0.006319477
2.35561e-11  0.006226778
2.42622e-11  0.006135503
2.49899e-11  0.006045508
2.5739e-11  0.005956884
2.6511e-11  0.005869512
2.73057e-11  0.005783466
2.81247e-11  0.005698638
2.89678e-11  0.005615096
2.98367e-11  0.005532732
3.07311e-11  0.005451628
3.16528e-11  0.005371666
3.26017e-11  0.005292918
3.35795e-11  0.005215284
3.45861e-11  0.00513883
3.56235e-11  0.005063453
3.66913e-11  0.004989226
3.77919e-11  0.004916043
3.89247e-11  0.004843979
4.00923e-11  0.004772925
4.12941e-11  0.004702959
4.25327e-11  0.004633974
4.38076e-11  0.004566046
4.51216e-11  0.004499071
4.64742e-11  0.004433118
4.78681e-11  0.004368094
4.9303e-11  0.004304059
5.07818e-11  0.004240929
5.23041e-11  0.004178758
5.38729e-11  0.004117465
5.54878e-11  0.004057105
5.71521e-11  0.003997597
5.88653e-11  0.003938994
6.0631e-11  0.003881215
6.24484e-11  0.003824321
6.43215e-11  0.003768226
6.62496e-11  0.003712986
6.82368e-11  0.003658522
7.02822e-11  0.003604892
7.23903e-11  0.003552016
7.45603e-11  0.003499946
7.67967e-11  0.003448608
7.90987e-11  0.003398054
8.14712e-11  0.003348212
8.39134e-11  0.003299129
8.64304e-11  0.003250737
8.90212e-11  0.003203084
9.16913e-11  0.003156102
9.44399e-11  0.003109835
9.72725e-11  0.003064221
1.00188e-10  0.003019301
