E(MeV)  pendfb7/Pu240:2
1e-11  3.98964801
1.02999e-11  3.93456053
1.06087e-11  3.88034695
1.09269e-11  3.82695311
1.12544e-11  3.7744253
1.1592e-11  3.7226889
1.19395e-11  3.67178991
1.22976e-11  3.62166298
1.26662e-11  3.5723504
1.30462e-11  3.52378247
1.34372e-11  3.47601914
1.38403e-11  3.42897575
1.42552e-11  3.38271111
1.46827e-11  3.3371543
1.51229e-11  3.29234388
1.55765e-11  3.24822095
1.60434e-11  3.20483747
1.65246e-11  3.16211927
1.70921e-11  3.11415241
1.7679e-11  3.06707508
1.82862e-11  3.02085544
1.89141e-11  2.97550227
1.95637e-11  2.93098174
2.02355e-11  2.88729754
2.09305e-11  2.84442177
2.16492e-11  2.80235977
2.23927e-11  2.76108256
2.31617e-11  2.72058661
2.39571e-11  2.6808586
2.47798e-11  2.64188709
2.56308e-11  2.60365773
2.6511e-11  2.56616246
2.74215e-11  2.52938618
2.83632e-11  2.49332354
2.93372e-11  2.45796246
3.03447e-11  2.42328913
3.13868e-11  2.38929495
3.24646e-11  2.35597235
3.35795e-11  2.32330595
3.47327e-11  2.29128816
3.59255e-11  2.25990965
3.71592e-11  2.22916226
3.84353e-11  2.19903416
3.97553e-11  2.16951519
4.11205e-11  2.14060066
4.25327e-11  2.11227638
4.39933e-11  2.08453771
4.55041e-11  2.05737325
4.70668e-11  2.03077485
4.86831e-11  2.00473535
5.0355e-11  1.97924386
5.20843e-11  1.95429383
5.38729e-11  1.92987803
5.5723e-11  1.90598622
5.76366e-11  1.8826119
5.96159e-11  1.85974698
6.16632e-11  1.83738323
6.37809e-11  1.8155124
6.59712e-11  1.79412914
6.82368e-11  1.77322397
7.05801e-11  1.75279119
7.3004e-11  1.73282154
7.5511e-11  1.71330996
7.84338e-11  1.69190092
8.14712e-11  1.6710417
8.46248e-11  1.6507409
8.79019e-11  1.63097053
9.13043e-11  1.61173893
9.48402e-11  1.59301841
9.85112e-11  1.57481746
1.02326e-10  1.55710927
1.06287e-10  1.53990035
1.10403e-10  1.5231655
1.14676e-10  1.50691273
1.19117e-10  1.4911162
1.23728e-10  1.47578085
1.28519e-10  1.46088539
1.33494e-10  1.44643199
1.38664e-10  1.4323992
1.44031e-10  1.41879434
1.5024e-10  1.40415335
