E(MeV)  pendfb7/Pu241:18
1e-11  52858.2843
1.02999e-11  52083.0238
1.06087e-11  51319.3709
1.09269e-11  50566.5637
1.12544e-11  49825.2561
1.1592e-11  49094.3963
1.19395e-11  48374.6356
1.22976e-11  47665.0512
1.26662e-11  46966.2433
1.30462e-11  46277.2253
1.34372e-11  45598.8495
1.38403e-11  44929.9155
1.42552e-11  44271.2607
1.46827e-11  43621.8779
1.51229e-11  42982.318
1.55765e-11  42351.7426
1.60434e-11  41730.8963
1.65246e-11  41118.7198
1.70199e-11  40515.903
1.75304e-11  39921.5979
1.80559e-11  39336.2776
1.85975e-11  38759.2386
1.9155e-11  38190.9903
1.97295e-11  37630.769
2.03209e-11  37079.0414
2.09305e-11  36535.0629
2.15579e-11  35999.4603
2.22045e-11  35471.3404
2.28701e-11  34951.3044
2.35561e-11  34438.5413
2.42622e-11  33933.6589
2.49899e-11  33435.8544
2.5739e-11  32945.6353
2.6511e-11  32462.3358
2.73057e-11  31986.3713
2.81247e-11  31517.1467
2.89678e-11  31055.0294
2.98367e-11  30599.431
3.07311e-11  30150.7966
3.16528e-11  29708.4814
3.26017e-11  29272.8837
3.35795e-11  28843.4394
3.45861e-11  28420.5242
3.56235e-11  28003.5675
3.66913e-11  27592.974
3.77919e-11  27188.1486
3.89247e-11  26789.5108
4.00923e-11  26396.4604
4.12941e-11  26009.4332
4.25327e-11  25627.8229
4.38076e-11  25252.0603
4.51216e-11  24881.5697
4.64742e-11  24516.7308
4.78681e-11  24157.0313
4.9303e-11  23802.803
5.07818e-11  23453.5746
5.23041e-11  23109.6536
5.38729e-11  22770.5818
5.54878e-11  22436.6775
5.71521e-11  22107.4776
5.88653e-11  21783.2873
6.0631e-11  21463.6543
6.24484e-11  21148.9125
6.43215e-11  20838.5949
6.62496e-11  20532.9995
6.82368e-11  20231.701
7.02822e-11  19935.0106
7.23903e-11  19642.4861
7.45603e-11  19354.4237
7.67967e-11  19070.4075
7.90987e-11  18790.7321
8.14712e-11  18514.9899
8.39134e-11  18243.4437
8.64304e-11  17975.7165
8.90212e-11  17712.0807
9.16913e-11  17452.1515
9.44399e-11  17196.1793
9.72725e-11  16943.8142
1.00188e-10  16695.2893
1.03193e-10  16450.3016
1.06287e-10  16208.9732
1.09475e-10  15971.0634
1.12756e-10  15736.8067
1.16139e-10  15505.7983
1.1962e-10  15278.3775
1.23208e-10  15054.1101
1.26901e-10  14833.2855
1.30707e-10  14615.5769
1.34626e-10  14401.1421
1.38664e-10  14189.7197
1.4282e-10  13981.5702
1.47104e-10  13776.3175
1.51513e-10  13574.2034
1.56058e-10  13374.9278
1.60736e-10  13178.6862
1.65557e-10  12985.2141
1.7052e-10  12794.6733
1.75635e-10  12606.8062
1.80899e-10  12421.8296
1.86325e-10  12239.4535
1.91911e-10  12059.8295
1.97667e-10  11882.7429
2.03592e-10  11708.3571
2.09699e-10  11536.4176
2.15985e-10  11367.1056
2.22463e-10  11200.173
2.29132e-10  11035.7771
2.36004e-10  10873.7036
2.43079e-10  10714.0824
2.5037e-10  10556.7097
2.57875e-10  10401.7407
2.6561e-10  10248.9415
2.73572e-10  10098.4795
2.81777e-10  9950.13208
2.90224e-10  9804.03392
2.98929e-10  9659.9928
3.0789e-10  9518.14698
3.17125e-10  9378.28762
3.26631e-10  9240.56924
3.36428e-10  9104.77804
3.46513e-10  8971.05842
3.56906e-10  8839.21594
3.67605e-10  8709.37922
3.78631e-10  8581.36433
3.89981e-10  8455.30332
4.01678e-10  8331.0087
4.13719e-10  8208.60891
4.26128e-10  8087.92468
4.38901e-10  7969.08077
4.52066e-10  7851.9039
4.65617e-10  7736.50985
4.79583e-10  7622.73655
4.93959e-10  7510.69313
5.08775e-10  7400.22369
5.24026e-10  7291.43363
5.39744e-10  7184.17098
5.55923e-10  7078.53997
5.72598e-10  6974.39101
5.89762e-10  6871.82645
6.07452e-10  6770.69926
6.25661e-10  6671.11264
6.44427e-10  6572.92192
6.63744e-10  6476.22345
6.83653e-10  6380.88172
7.04146e-10  6286.98882
7.25267e-10  6194.41155
7.47007e-10  6103.24376
7.69413e-10  6013.35435
7.92477e-10  5924.82794
8.16247e-10  5837.5446
8.40715e-10  5751.58578
8.65932e-10  5666.8317
8.91889e-10  5583.36616
9.18641e-10  5501.0685
9.46178e-10  5420.02243
9.74558e-10  5340.11052
1.003771e-09  5261.41215
1.033879e-09  5183.81532
1.064871e-09  5107.3971
1.096811e-09  5032.04739
1.129689e-09  4957.84297
1.163573e-09  4884.67612
1.198452e-09  4812.61947
