E(MeV)  pendfb7/Pu240:102
1e-11  13785.6966
1.02999e-11  13583.524
1.06087e-11  13384.3787
1.09269e-11  13188.0621
1.12544e-11  12994.7446
1.1592e-11  12804.1519
1.19395e-11  12616.454
1.22976e-11  12431.4101
1.26662e-11  12249.1769
1.30462e-11  12069.4969
1.34372e-11  11892.5925
1.38403e-11  11718.1506
1.42552e-11  11546.3896
1.46827e-11  11377.0468
1.51229e-11  11210.266
1.55765e-11  11045.8284
1.60434e-11  10883.9282
1.65246e-11  10724.2893
1.70199e-11  10567.0915
1.75304e-11  10412.1136
1.80559e-11  10259.4792
1.85975e-11  10109.0046
1.9155e-11  9960.82271
1.97295e-11  9814.73443
2.03209e-11  9670.86145
2.09305e-11  9529.00957
2.15579e-11  9389.34227
2.22045e-11  9251.62662
2.28701e-11  9116.01939
2.35561e-11  8982.30909
2.42622e-11  8850.65424
2.49899e-11  8720.84548
2.5739e-11  8593.01515
2.6511e-11  8466.98962
2.73057e-11  8342.87724
2.81247e-11  8220.52282
2.89678e-11  8100.02215
2.98367e-11  7981.22181
3.07311e-11  7864.23787
3.16528e-11  7748.90217
3.26017e-11  7635.3186
3.35795e-11  7523.34004
3.45861e-11  7413.06448
3.56235e-11  7304.34312
3.66913e-11  7197.2815
3.77919e-11  7091.72444
3.89247e-11  6987.78131
4.00923e-11  6885.29563
4.12941e-11  6784.38102
4.25327e-11  6684.87939
4.38076e-11  6586.90307
4.51216e-11  6490.30197
4.64742e-11  6395.17508
4.78681e-11  6301.38881
4.9303e-11  6209.02969
5.07818e-11  6117.97482
5.23041e-11  6028.3044
5.38729e-11  5939.89894
5.54878e-11  5852.84144
5.71521e-11  5767.01116
5.88653e-11  5682.48766
6.0631e-11  5599.15305
6.24484e-11  5517.09433
6.43215e-11  5436.18979
6.62496e-11  5356.51708
6.82368e-11  5277.96538
7.02822e-11  5200.61575
7.23903e-11  5124.35298
7.45603e-11  5049.25424
7.67967e-11  4975.21111
7.90987e-11  4902.3004
8.14712e-11  4830.41585
8.39134e-11  4759.62598
8.64304e-11  4689.8325
8.90212e-11  4621.1064
9.16913e-11  4553.34741
9.44399e-11  4486.62078
9.72725e-11  4420.83528
1.00188e-10  4356.0517
1.03193e-10  4292.19106
1.06287e-10  4229.28518
1.09475e-10  4167.27129
1.12756e-10  4106.21058
1.16139e-10  4045.99747
1.1962e-10  3986.72043
1.23208e-10  3928.26627
1.26901e-10  3870.71045
1.30707e-10  3813.96778
1.34626e-10  3758.07937
1.38664e-10  3702.97709
1.4282e-10  3648.72885
1.47104e-10  3595.23664
1.51513e-10  3542.56346
1.56058e-10  3490.63109
1.60736e-10  3439.49049
1.65557e-10  3389.07274
1.7052e-10  3339.42001
1.75635e-10  3290.46512
1.80899e-10  3242.26461
1.86325e-10  3194.74292
1.91911e-10  3147.93953
1.97667e-10  3101.79849
2.03592e-10  3056.3624
2.09699e-10  3011.56493
2.15985e-10  2967.4533
2.22463e-10  2923.96287
2.29132e-10  2881.13459
2.36004e-10  2838.91267
2.43079e-10  2797.33095
2.5037e-10  2756.3363
2.57875e-10  2715.9692
2.6561e-10  2676.16867
2.73572e-10  2636.97834
2.81777e-10  2598.34023
2.90224e-10  2560.2894
2.98929e-10  2522.7758
3.0789e-10  2485.83542
3.17125e-10  2449.41389
3.26631e-10  2413.55144
3.36428e-10  2378.1924
3.46513e-10  2343.37436
3.56906e-10  2309.04669
3.67605e-10  2275.24289
3.78631e-10  2241.91506
3.89981e-10  2209.09758
4.01678e-10  2176.74164
4.13719e-10  2144.88067
4.26128e-10  2113.46801
4.38901e-10  2082.53613
4.52066e-10  2052.03992
4.65617e-10  2022.00952
4.79583e-10  1992.40275
4.93959e-10  1963.248
5.08775e-10  1934.50471
5.24026e-10  1906.20029
5.39744e-10  1878.29522
5.55923e-10  1850.81659
5.72598e-10  1823.72549
5.89762e-10  1797.04855
6.07452e-10  1770.74752
6.25661e-10  1744.84923
6.44427e-10  1719.31607
6.63744e-10  1694.17307
6.83653e-10  1669.38501
7.04146e-10  1644.97582
7.25267e-10  1620.91088
7.47007e-10  1597.21456
7.69413e-10  1573.8528
7.92477e-10  1550.84759
8.16247e-10  1528.16774
8.40715e-10  1505.83443
8.65932e-10  1483.81652
8.91889e-10  1462.13579
9.18641e-10  1440.76088
9.46178e-10  1419.71353
9.74558e-10  1398.96324
1.003771e-09  1378.53061
1.033879e-09  1358.38657
1.064871e-09  1338.55111
1.096811e-09  1318.99564
1.129689e-09  1299.74009
1.163573e-09  1280.7565
1.198452e-09  1262.0637
1.234399e-09  1243.63528
1.271402e-09  1225.48906
1.309537e-09  1207.59931
1.348791e-09  1189.98422
1.389247e-09  1172.61826
1.430892e-09  1155.51822
1.47381e-09  1138.66041
1.517989e-09  1122.06095
1.563521e-09  1105.69636
1.610389e-09  1089.58321
1.658691e-09  1073.69813
1.708412e-09  1058.05667
1.759655e-09  1042.63689
1.812403e-09  1027.45381
1.866765e-09  1012.48579
1.922723e-09  997.747931
1.980394e-09  983.218785
2.039758e-09  968.913097
2.100939e-09  954.810291
2.163917e-09  940.924159
2.228823e-09  927.235064
2.295634e-09  913.756709
2.36449e-09  900.469629
2.435368e-09  887.387054
2.508415e-09  874.490401
2.583608e-09  861.792204
2.661102e-09  849.274514
2.740871e-09  836.949849
2.823082e-09  824.800388
2.907706e-09  812.838349
2.994921e-09  801.046597
3.084697e-09  789.43669
3.177221e-09  777.992217
3.272461e-09  766.724493
3.370617e-09  755.617387
3.471655e-09  744.681943
3.575785e-09  733.902511
3.682973e-09  723.289825
3.793441e-09  712.828726
3.907154e-09  702.529487
4.024346e-09  692.377538
4.14498e-09  682.3828
4.269306e-09  672.531138
4.397283e-09  662.832168
4.529177e-09  653.272167
4.664944e-09  643.860498
4.804866e-09  634.583812
4.948897e-09  625.451219
5.097336e-09  616.449725
5.250134e-09  607.588173
5.407609e-09  598.85394
5.569708e-09  590.255665
5.736768e-09  581.781029
5.908733e-09  573.438426
6.085962e-09  565.215919
6.268395e-09  557.121599
6.456412e-09  549.143939
6.649949e-09  541.290826
6.849411e-09  533.551032
7.054729e-09  525.932858
7.266331e-09  518.424201
7.484147e-09  511.033136
7.70863e-09  503.749179
7.939704e-09  496.579599
8.17785e-09  489.514199
8.42299e-09  482.55998
8.675632e-09  475.707133
8.935694e-09  468.962419
9.203714e-09  462.316325
9.479605e-09  455.775417
9.76394e-09  449.330447
1.0056625e-08  442.987778
1.0358267e-08  436.738411
1.0668767e-08  430.588512
1.098877e-08  424.529299
1.131817e-08  418.566712
1.1657652e-08  412.692197
1.2007102e-08  406.911507
1.2367248e-08  401.216311
1.2737969e-08  395.6122
1.3120036e-08  390.091145
1.3513323e-08  384.658576
1.3918647e-08  379.306799
1.4335873e-08  374.041132
1.4765869e-08  368.854144
1.5208491e-08  363.751025
1.5664661e-08  358.724572
1.6134225e-08  353.779816
1.6618162e-08  348.909755
1.7116308e-08  344.119251
1.7629702e-08  339.401509
1.8158171e-08  334.761233
1.8702814e-08  330.19185
1.926345e-08  325.697931
1.9841246e-08  321.273132
2.0436008e-08  316.921904
2.1048973e-08  312.638115
2.1679938e-08  308.42604
2.2330215e-08  304.279696
2.2999587e-08  300.203131
2.3689445e-08  296.190448
2.4399561e-08  292.245495
2.5268741e-08  287.653533
2.53e-08  287.492981
2.6058858e-08  283.687896
2.684e-08  279.947694
2.7761728e-08  275.747707
2.871511e-08  271.627718
2.9701233e-08  267.58676
3.0721221e-08  263.623761
3.1776237e-08  259.737546
3.2867484e-08  255.926912
3.3996206e-08  252.190733
3.516369e-08  248.528022
3.6371267e-08  244.937918
3.7620314e-08  241.419621
3.8912256e-08  237.972341
4.0248565e-08  234.595274
4.1630765e-08  231.287612
4.3060432e-08  228.048559
4.4539196e-08  224.877341
4.6068744e-08  221.773213
4.7650818e-08  218.735459
4.9287223e-08  215.763397
5.0979825e-08  212.856391
5.2730554e-08  210.013882
5.4541406e-08  207.235433
5.6414445e-08  204.520705
5.8351807e-08  201.869289
6.0355701e-08  199.280449
6.2428412e-08  196.753148
6.4572304e-08  194.286482
6.678982e-08  191.880039
6.9083489e-08  189.533775
7.1455927e-08  187.247678
7.3909838e-08  185.021627
7.644802e-08  182.855441
7.9073367e-08  180.748953
8.1788873e-08  178.702036
8.4597633e-08  176.714613
8.7502851e-08  174.786661
9.0507839e-08  172.918213
9.3616023e-08  171.109364
9.6830947e-08  169.360269
1.00156277e-07  167.671165
1.03595803e-07  166.042435
1.07153449e-07  164.474761
1.1083327e-07  162.969066
1.14639461e-07  161.525722
1.18576364e-07  160.144208
1.22648466e-07  158.824531
1.2686041e-07  157.567954
1.31216999e-07  156.376
1.35723201e-07  155.249957
1.40384153e-07  154.191082
1.45205169e-07  153.200753
1.50191747e-07  152.280513
1.55349571e-07  151.432084
1.60684524e-07  150.657385
1.66202688e-07  149.958553
1.71910354e-07  149.337963
1.7781403e-07  148.798253
1.83920448e-07  148.342352
1.9023657e-07  147.97351
1.96769598e-07  147.695327
2.03526981e-07  147.511741
2.12686485e-07  147.421803
2.19462965e-07  147.466743
2.26999675e-07  147.622388
2.34795206e-07  147.89533
2.42858449e-07  148.292086
2.50138385e-07  148.747136
2.57641134e-07  149.309871
2.65364196e-07  149.985908
2.73323635e-07  150.783087
2.81516796e-07  151.708366
2.89960722e-07  152.77166
2.98652598e-07  153.981526
3.07610501e-07  155.350572
3.15499845e-07  156.659111
3.23591529e-07  158.101651
3.31890742e-07  159.687698
3.40402806e-07  161.42783
3.49133181e-07  163.333798
3.57521434e-07  165.282903
3.6621425e-07  167.427344
3.7396175e-07  169.448048
3.8170925e-07  171.574627
3.8945675e-07  173.809987
3.9720425e-07  176.157334
4.05679208e-07  178.8575
4.12586245e-07  181.163829
4.19610881e-07  183.610087
4.26637672e-07  186.162011
4.3389932e-07  188.91333
4.41286829e-07  191.835711
4.48800117e-07  194.94044
4.56441324e-07  198.240804
4.6421263e-07  201.751419
4.7012363e-07  204.529971
4.76118379e-07  207.447197
4.82180979e-07  210.50285
4.88329476e-07  213.714133
4.94547565e-07  217.081294
5.00853754e-07  220.623867
5.0723132e-07  224.342761
5.13699244e-07  228.260269
5.20240377e-07  232.378202
5.26874185e-07  236.722161
5.33583079e-07  241.295174
5.40387026e-07  246.126736
5.47267985e-07  251.221321
5.51907175e-07  254.779727
5.56585692e-07  258.47323
5.61303869e-07  262.308602
5.66062042e-07  266.293073
5.7086055e-07  270.434348
5.75699735e-07  274.740651
5.80579942e-07  279.220762
5.85501518e-07  283.88407
5.90464814e-07  288.740625
5.95470184e-07  293.801195
6.00517985e-07  299.077334
6.05608576e-07  304.581449
6.1074232e-07  310.326876
6.15919583e-07  316.327975
6.21140733e-07  322.600214
6.26406143e-07  329.160284
6.31716188e-07  336.026217
6.35732481e-07  341.393809
6.39771472e-07  346.949659
6.43833257e-07  352.702715
6.47917932e-07  358.662475
6.52037232e-07  364.856803
6.56179812e-07  371.280081
6.6034577e-07  377.943836
6.64535204e-07  384.860346
6.68760153e-07  392.063387
6.73008978e-07  399.547986
6.77281781e-07  407.329203
6.81578664e-07  415.423142
6.8591197e-07  423.871317
6.90269766e-07  432.670074
6.94652155e-07  441.839396
6.99059239e-07  451.400741
7.03503683e-07  461.405976
7.07973244e-07  471.853853
7.12468028e-07  482.771365
7.15481438e-07  490.332077
7.1850762e-07  498.127865
7.21546574e-07  506.16867
7.24598409e-07  514.465274
7.27663125e-07  523.028762
7.3074083e-07  531.871149
7.33831525e-07  541.004825
7.3693532e-07  550.443223
7.40052215e-07  560.200226
7.43182321e-07  570.290889
7.46325637e-07  580.730808
7.49482277e-07  591.536913
7.5265224e-07  602.726778
7.55835639e-07  614.319483
7.59032473e-07  626.334893
7.62242857e-07  638.794588
7.65466791e-07  651.721097
7.6870439e-07  665.138903
7.71955653e-07  679.073632
7.75220697e-07  693.553159
7.78499521e-07  708.606738
7.81792243e-07  724.266213
7.84272207e-07  736.434987
7.86752171e-07  748.938791
7.89253158e-07  761.900556
7.91754145e-07  775.229136
7.94262199e-07  788.977866
7.96784386e-07  803.205343
7.99306574e-07  817.851061
8.01843015e-07  833.018178
8.04386583e-07  848.687532
8.06930152e-07  864.836064
8.09495282e-07  881.62701
8.12060412e-07  898.947092
8.1463279e-07  916.870315
8.17219665e-07  935.478605
8.1980654e-07  954.698454
8.22408034e-07  974.671311
8.25016837e-07  995.378703
8.27625641e-07  1016.79678
8.30256559e-07  1039.14984
8.32887478e-07  1062.29544
8.3552583e-07  1086.34072
8.38179051e-07  1111.40533
8.40832272e-07  1137.40034
8.43500487e-07  1164.52803
8.45284295e-07  1183.24038
8.47068103e-07  1202.4332
8.48851911e-07  1222.12322
8.50650841e-07  1242.50144
8.5244977e-07  1263.42178
8.54248699e-07  1284.90383
8.56047629e-07  1306.96805
8.57861808e-07  1329.83066
8.59675987e-07  1353.33011
8.61490166e-07  1377.4905
8.63304344e-07  1402.33708
8.65133902e-07  1428.11612
8.6696346e-07  1454.64849
8.68793018e-07  1481.96412
8.70622575e-07  1510.09444
8.72467642e-07  1539.32193
8.74312709e-07  1569.44733
8.76157776e-07  1600.50822
8.78002843e-07  1632.54419
8.7986355e-07  1665.8816
8.81724258e-07  1700.29827
8.83584966e-07  1735.84184
8.85445673e-07  1772.56259
8.87322154e-07  1810.84088
8.89198635e-07  1850.42819
8.91075116e-07  1891.3856
8.92951596e-07  1933.77775
8.94370887e-07  1966.8361
8.95790178e-07  2000.78563
8.97209468e-07  2035.65899
8.98628759e-07  2071.49044
9.0004805e-07  2108.31577
9.01475361e-07  2146.38939
9.02906684e-07  2185.6577
9.04338006e-07  2226.05744
9.05769328e-07  2267.63301
9.0720065e-07  2310.43102
9.08636016e-07  2354.62678
9.10079472e-07  2400.41351
9.11522928e-07  2447.60129
9.12966383e-07  2496.24853
9.14409838e-07  2546.41682
9.15853293e-07  2598.17103
9.17308985e-07  2652.03957
9.18764676e-07  2707.6646
9.20220368e-07  2765.12435
9.21676059e-07  2824.50139
9.23131751e-07  2885.88318
9.24595669e-07  2949.72701
9.26063701e-07  3015.98031
9.27531732e-07  3084.57313
9.28999764e-07  3155.61856
9.30467795e-07  3229.23648
9.31939975e-07  3305.77407
9.33420451e-07  3385.61941
9.34407435e-07  3440.52474
9.35394419e-07  3496.82381
9.36381403e-07  3554.56488
9.37368387e-07  3613.79835
9.38355371e-07  3674.57686
9.39342355e-07  3736.95538
9.40337705e-07  3801.54157
9.41333056e-07  3867.87527
9.42328407e-07  3936.02105
9.43323757e-07  4006.04646
9.44319108e-07  4078.0225
9.45314458e-07  4152.0233
9.46309809e-07  4228.12689
9.4730516e-07  4306.4149
9.48289415e-07  4386.06226
9.4927367e-07  4468.01655
9.50257925e-07  4552.36921
9.5124218e-07  4639.21634
9.52226435e-07  4728.65893
9.5321069e-07  4820.80322
9.54194945e-07  4915.761
9.551792e-07  5013.64999
9.56191332e-07  5117.49902
9.57203464e-07  5224.72112
9.58215596e-07  5335.46658
9.59227727e-07  5449.89417
9.60239859e-07  5568.17217
9.61251991e-07  5690.47832
9.62264123e-07  5817.00103
9.63276254e-07  5947.93983
9.64041788e-07  6050.03859
9.64807322e-07  6154.88118
9.65572855e-07  6262.56844
9.66338389e-07  6373.20639
9.67103923e-07  6486.90564
9.67869456e-07  6603.78206
9.6863499e-07  6723.95757
9.69400523e-07  6847.55937
9.70166057e-07  6974.72158
9.70931591e-07  7105.58441
9.71699288e-07  7240.6815
9.72471311e-07  7380.6002
9.73243334e-07  7524.75726
9.74015358e-07  7673.32837
9.74787381e-07  7826.49777
9.75559404e-07  7984.45998
9.76331427e-07  8147.41955
9.7710345e-07  8315.59193
9.77875473e-07  8489.20411
9.78647496e-07  8668.4953
9.79419519e-07  8853.71769
9.80030982e-07  9004.80313
9.80739224e-07  9184.84297
9.81447467e-07  9370.50975
9.82155709e-07  9562.03977
9.82863952e-07  9759.68238
9.83572194e-07  9963.69852
9.84280437e-07  10174.3635
9.84988679e-07  10391.9656
9.8560105e-07  10585.9376
9.863758e-07  10839.4218
9.8715055e-07  11102.3368
9.8766705e-07  11283.0796
9.8818355e-07  11468.3613
9.8870005e-07  11658.3302
9.8921655e-07  11853.1397
9.8973305e-07  12052.9492
9.9024955e-07  12257.9235
9.9076605e-07  12468.2335
9.9128255e-07  12684.0562
9.9179905e-07  12905.5748
9.9231555e-07  13132.9791
9.9283205e-07  13366.4655
9.9334855e-07  13606.2372
9.9386505e-07  13852.5042
9.9438155e-07  14105.4839
9.9489805e-07  14365.4009
9.9541455e-07  14632.4872
9.9593105e-07  14906.9823
9.9644755e-07  15189.1334
9.9696405e-07  15479.1958
9.9748055e-07  15777.4322
9.9799705e-07  16084.1137
9.9851355e-07  16399.5192
9.9903005e-07  16723.936
9.9954655e-07  17057.6591
1.00006305e-06  17400.9918
1.00057955e-06  17754.2457
1.00109605e-06  18117.7402
1.00161255e-06  18491.8025
1.00212905e-06  18876.7679
1.00264555e-06  19272.9792
1.00316205e-06  19680.7867
1.00367855e-06  20100.5477
1.00419505e-06  20532.6268
1.00471155e-06  20977.3947
1.00522805e-06  21435.2286
1.00574455e-06  21906.5113
1.00626105e-06  22391.6308
1.00677755e-06  22890.9798
1.00729405e-06  23404.955
1.00781055e-06  23933.9564
1.00832705e-06  24478.3865
1.00884355e-06  25038.6497
1.00936005e-06  25615.1511
1.00987655e-06  26208.2957
1.01039305e-06  26818.4871
1.01090955e-06  27446.1267
1.01142605e-06  28091.6124
1.01194255e-06  28755.3369
1.01245905e-06  29437.687
1.01297555e-06  30139.0414
1.01349205e-06  30859.7699
1.01400855e-06  31600.2311
1.01452505e-06  32360.7711
1.01504155e-06  33141.7217
1.01555805e-06  33943.3984
1.01607455e-06  34766.0984
1.01659105e-06  35610.099
1.01710755e-06  36475.6551
1.01762405e-06  37362.9974
1.01814055e-06  38272.3298
1.01865705e-06  39203.8279
1.01917355e-06  40157.636
1.01969005e-06  41133.8652
1.02020655e-06  42132.5911
1.02072305e-06  43153.8512
1.02123955e-06  44197.643
1.02175605e-06  45263.9213
1.02227255e-06  46352.5959
1.02278905e-06  47463.5296
1.02330555e-06  48596.5358
1.02382205e-06  49751.376
1.02433855e-06  50927.7584
1.0251133e-06  52731.947
1.02588805e-06  54582.3902
1.0266628e-06  56477.363
1.02743755e-06  58414.8227
1.0282123e-06  60392.3977
1.02898705e-06  62407.3796
1.0297618e-06  64456.7167
1.0307948e-06  67236.6828
1.0318278e-06  70062.6231
1.0328608e-06  72924.4281
1.0369928e-06  84491.9604
1.0380258e-06  87346.1991
1.0390588e-06  90155.5553
1.03990586e-06  92414.5662
1.04075292e-06  94623.7097
