E(MeV)  pendfb7/Pu241:2
1e-11  44.021588
1.02999e-11  43.4139448
1.06087e-11  42.8159441
1.09269e-11  42.2269885
1.12544e-11  41.6475884
1.1592e-11  41.0769208
1.19395e-11  40.5154932
1.22976e-11  39.9625846
1.26662e-11  39.4186617
1.30462e-11  38.8829554
1.34372e-11  38.3561271
1.38403e-11  37.837243
1.42552e-11  37.3269517
1.46827e-11  36.824471
1.51229e-11  36.3302261
1.55765e-11  35.8435676
1.60434e-11  35.3650683
1.65246e-11  34.8939103
1.70921e-11  34.3648668
1.7679e-11  33.8456391
1.82862e-11  33.3358758
1.89141e-11  32.8356738
1.95637e-11  32.34466
2.02355e-11  31.8628751
2.09305e-11  31.3900113
2.16492e-11  30.9261275
2.23927e-11  30.4709041
2.31617e-11  30.0243021
2.39571e-11  29.5861746
2.47798e-11  29.1563953
2.56308e-11  28.7348063
2.6511e-11  28.3213182
2.74215e-11  27.9157648
2.83632e-11  27.518087
2.93372e-11  27.1281514
3.03447e-11  26.7458059
3.13868e-11  26.3709555
3.24646e-11  26.0035167
3.35795e-11  25.64332
3.47327e-11  25.2902815
3.59255e-11  24.9442984
3.71592e-11  24.6052807
3.84353e-11  24.2730978
3.97553e-11  23.9476377
4.11205e-11  23.6288487
4.25327e-11  23.3165743
4.39933e-11  23.0107632
4.55041e-11  22.7112897
4.70668e-11  22.418064
4.86831e-11  22.131007
5.0355e-11  21.8499987
5.20843e-11  21.5749668
5.38729e-11  21.3058315
5.5723e-11  21.0424798
5.76366e-11  20.7848401
5.96159e-11  20.5328232
6.16632e-11  20.2863383
6.37809e-11  20.0452943
6.59712e-11  19.8096323
6.82368e-11  19.5792476
7.05801e-11  19.3540774
7.3004e-11  19.1340196
7.5511e-11  18.9190184
7.84338e-11  18.6831193
8.14712e-11  18.4532899
8.46248e-11  18.2296248
8.79019e-11  18.0118157
9.13043e-11  17.7999541
9.48402e-11  17.5937349
9.85112e-11  17.3932515
1.02326e-10  17.1982085
1.06287e-10  17.0086773
1.10403e-10  16.8243804
1.14676e-10  16.6454057
1.19117e-10  16.4714687
1.23728e-10  16.3026235
1.28519e-10  16.1386356
1.33494e-10  15.9795286
1.38664e-10  15.8250664
1.44031e-10  15.6753293
1.5024e-10  15.5142061
1.56717e-10  15.3585402
1.63473e-10  15.2081995
1.7052e-10  15.0630526
1.77871e-10  14.9229689
1.85539e-10  14.7878188
1.93538e-10  14.6574732
2.01881e-10  14.5318042
2.11476e-10  14.3987994
2.21524e-10  14.2711686
2.32053e-10  14.1486718
2.43079e-10  14.031216
2.54633e-10  13.9185601
2.66731e-10  13.8106344
2.80588e-10  13.6980217
2.95165e-10  13.5905857
3.105e-10  13.4881256
3.26631e-10  13.3904439
3.436e-10  13.2973471
3.62983e-10  13.2014294
3.83452e-10  13.1104673
4.05083e-10  13.0241677
4.2974e-10  12.9362392
4.55898e-10  12.853225
4.83649e-10  12.7748634
5.15254e-10  12.6957998
5.48934e-10  12.621474
5.87284e-10  12.5471365
6.28313e-10  12.4775718
6.75045e-10  12.4085535
7.25267e-10  12.3442113
7.82513e-10  12.2808474
8.47842e-10  12.2188809
9.18641e-10  12.1615572
9.99553e-10  12.1058501
1.092181e-09  12.0520443
1.198452e-09  12.0003613
1.320638e-09  11.9509818
1.461422e-09  11.9040413
1.62404e-09  11.8596121
1.820084e-09  11.816176
2.048404e-09  11.7755449
2.324906e-09  11.7363606
2.661102e-09  11.6988347
3.071733e-09  11.6630505
3.590877e-09  11.62806
4.251287e-09  11.593916
5.097336e-09  11.5604196
6.24205e-09  11.5256792
7.806787e-09  11.4889946
1.0014358e-08  11.4482049
1.3175411e-08  11.4007265
1.7854188e-08  11.3414929
2.5268741e-08  11.2599208
2.53e-08  11.2595964
3.5015901e-08  11.1637563
4.8054754e-08  11.0454427
6.6228402e-08  10.8910404
9.6423979e-08  10.6460398
1.1907895e-07  10.4684209
1.32890204e-07  10.3670112
1.45820621e-07  10.280145
1.62031998e-07  10.180107
1.71894813e-07  10.1250857
1.78548372e-07  10.0947411
1.83903822e-07  10.0776022
1.89817952e-07  10.0700219
1.93654877e-07  10.0736459
1.96952018e-07  10.0834973
1.99459884e-07  10.0958651
2.02003283e-07  10.1133002
2.04575469e-07  10.1365402
2.07184099e-07  10.1665351
2.09822255e-07  10.2041847
2.12497789e-07  10.2506837
2.14299132e-07  10.2871289
2.16115746e-07  10.3283799
2.17947759e-07  10.3748261
2.19795302e-07  10.4268693
2.21658507e-07  10.4849202
2.23537506e-07  10.5493934
2.25432434e-07  10.6207
2.27343425e-07  10.6992387
2.29270615e-07  10.7853848
2.31214142e-07  10.8794769
