E(MeV)  pendfb7/U235:102
1e-11  5957.92414
1.02999e-11  5870.53861
1.06087e-11  5784.46143
1.09269e-11  5699.60673
1.12544e-11  5616.0482
1.1592e-11  5533.66729
1.19395e-11  5452.53742
1.22976e-11  5372.55456
1.26662e-11  5293.78638
1.30462e-11  5216.12166
1.34372e-11  5139.65648
1.38403e-11  5064.25551
1.42552e-11  4990.01318
1.46827e-11  4916.81591
1.51229e-11  4844.72585
1.55765e-11  4773.64845
1.60434e-11  4703.66766
1.65246e-11  4634.66408
1.70199e-11  4566.71548
1.75304e-11  4499.72626
1.80559e-11  4433.74975
1.85975e-11  4368.70667
1.9155e-11  4304.65442
1.97295e-11  4241.50691
2.03209e-11  4179.31677
2.09305e-11  4118.00005
2.15579e-11  4057.62741
2.22045e-11  3998.09817
2.28701e-11  3939.4801
2.35561e-11  3881.68176
2.42622e-11  3824.7717
2.49899e-11  3768.65941
2.5739e-11  3713.40209
2.6511e-11  3658.92469
2.73057e-11  3605.27404
2.81247e-11  3552.38307
2.89678e-11  3500.29317
2.98367e-11  3448.93803
3.07311e-11  3398.36783
3.16528e-11  3348.50986
3.26017e-11  3299.40904
3.35795e-11  3251.00178
3.45861e-11  3203.33042
3.56235e-11  3156.33066
3.66913e-11  3110.04811
3.77919e-11  3064.41568
3.89247e-11  3019.48066
4.00923e-11  2975.1754
4.12941e-11  2931.54902
4.25327e-11  2888.53318
4.38076e-11  2846.17644
4.51216e-11  2804.41389
4.64742e-11  2763.28837
4.78681e-11  2722.74208
4.9303e-11  2682.81246
5.07818e-11  2643.44637
5.23041e-11  2604.67847
5.38729e-11  2566.45712
5.54878e-11  2528.81818
5.71521e-11  2491.70947
5.88653e-11  2455.16537
6.0631e-11  2419.13493
6.24484e-11  2383.65576
6.43215e-11  2348.67522
6.62496e-11  2314.22689
6.82368e-11  2280.26286
7.02822e-11  2246.81818
7.23903e-11  2213.84303
7.45603e-11  2181.37077
7.67967e-11  2149.35455
7.90987e-11  2117.82754
8.14712e-11  2086.74382
8.39134e-11  2056.13301
8.64304e-11  2025.9526
8.90212e-11  1996.2333
9.16913e-11  1966.93175
9.44399e-11  1938.07615
9.72725e-11  1909.62706
1.00188e-10  1881.61078
1.03193e-10  1853.99313
1.06287e-10  1826.78789
1.09475e-10  1799.96789
1.12756e-10  1773.55961
1.16139e-10  1747.51739
1.1962e-10  1721.87949
1.23208e-10  1696.59694
1.26901e-10  1671.7024
1.30707e-10  1647.159
1.34626e-10  1622.98453
1.38664e-10  1599.14952
1.4282e-10  1575.68335
1.47104e-10  1552.5436
1.51513e-10  1529.75755
1.56058e-10  1507.29136
1.60736e-10  1485.16706
1.65557e-10  1463.35483
1.7052e-10  1441.87293
1.75635e-10  1420.69229
1.80899e-10  1399.83735
1.86325e-10  1379.27544
1.91911e-10  1359.02363
1.97667e-10  1339.05772
2.03592e-10  1319.39612
2.09699e-10  1300.01015
2.15985e-10  1280.92023
2.22463e-10  1262.09839
2.29132e-10  1243.56235
2.36004e-10  1225.28795
2.43079e-10  1207.28986
2.5037e-10  1189.54506
2.57875e-10  1172.07107
2.6561e-10  1154.8415
2.73572e-10  1137.87523
2.81777e-10  1121.14717
2.90224e-10  1104.67248
2.98929e-10  1088.42949
3.0789e-10  1072.43379
3.17125e-10  1056.66183
3.26631e-10  1041.13102
3.36428e-10  1025.81725
3.46513e-10  1010.73681
3.56906e-10  995.867767
3.67605e-10  981.224608
3.78631e-10  966.786597
3.89981e-10  952.568613
4.01678e-10  938.549521
4.13719e-10  924.743792
4.26128e-10  911.1312
4.38901e-10  897.725816
4.52066e-10  884.508086
4.65617e-10  871.491062
4.79583e-10  858.656464
4.93959e-10  846.016599
5.08775e-10  833.553853
5.24026e-10  821.280133
5.39744e-10  809.178271
5.55923e-10  797.26003
5.72598e-10  785.50852
5.89762e-10  773.935273
6.07452e-10  762.523704
6.25661e-10  751.285441
6.44427e-10  740.204159
6.63744e-10  729.290706
6.83653e-10  718.529793
7.04146e-10  707.931793
7.25267e-10  697.481663
7.47007e-10  687.189993
7.69413e-10  677.041963
7.92477e-10  667.04712
8.16247e-10  657.191904
8.40715e-10  647.485505
8.65932e-10  637.914381
8.91889e-10  628.48798
9.18641e-10  619.192659
9.46178e-10  610.037855
9.74558e-10  601.010294
1.003771e-09  592.118928
1.033879e-09  583.351071
1.064871e-09  574.715427
1.096811e-09  566.199526
1.129689e-09  557.812031
1.163573e-09  549.540745
1.198452e-09  541.393858
1.234399e-09  533.359827
1.271402e-09  525.446411
1.309537e-09  517.642375
1.348791e-09  509.955616
1.389247e-09  502.374984
1.430892e-09  494.907775
1.47381e-09  487.543637
1.517989e-09  480.289556
1.563521e-09  473.135279
1.610389e-09  466.088
1.658691e-09  459.137479
1.708412e-09  452.290492
1.759655e-09  445.537394
1.812403e-09  438.884745
1.866765e-09  432.323015
1.922723e-09  425.858807
1.980394e-09  419.482671
2.039758e-09  413.201047
2.100939e-09  407.004849
2.163917e-09  400.90012
2.228823e-09  394.878168
2.295634e-09  388.944992
2.36449e-09  383.091983
2.435368e-09  377.324914
2.508415e-09  371.635562
2.583608e-09  366.029404
2.661102e-09  360.498477
2.740871e-09  355.048259
2.823082e-09  349.67082
2.907706e-09  344.371532
2.994921e-09  339.142737
3.084697e-09  333.989521
3.177221e-09  328.904545
