E(MeV)  pendfb7/U235:18
1e-11  31387.6476
1.02999e-11  30927.2755
1.06087e-11  30473.7961
1.09269e-11  30026.7569
1.12544e-11  29586.5463
1.1592e-11  29152.5396
1.19395e-11  28725.1237
1.22976e-11  28303.7505
1.26662e-11  27888.7764
1.30462e-11  27479.6156
1.34372e-11  27076.7743
1.38403e-11  26679.5394
1.42552e-11  26288.4085
1.46827e-11  25902.7832
1.51229e-11  25522.9909
1.55765e-11  25148.5335
1.60434e-11  24779.8533
1.65246e-11  24416.3212
1.70199e-11  24058.3469
1.75304e-11  23705.4269
1.80559e-11  23357.8421
1.85975e-11  23015.1746
1.9155e-11  22677.7271
1.97295e-11  22345.046
2.03209e-11  22017.4085
2.09305e-11  21694.3723
2.15579e-11  21376.3097
2.22045e-11  21062.6903
2.28701e-11  20753.8711
2.35561e-11  20449.3704
2.42622e-11  20149.5493
2.49899e-11  19853.931
2.5739e-11  19562.8168
2.6511e-11  19275.8114
2.73057e-11  18993.1615
2.81247e-11  18714.5137
2.89678e-11  18440.0861
2.98367e-11  18169.5293
3.07311e-11  17903.1077
3.16528e-11  17640.4383
3.26017e-11  17381.7577
3.35795e-11  17126.7308
3.45861e-11  16875.5808
3.56235e-11  16627.9689
3.66913e-11  16384.1354
3.77919e-11  16143.7267
3.89247e-11  15906.9922
4.00923e-11  15673.5754
4.12941e-11  15443.7349
4.25327e-11  15217.1109
4.38076e-11  14993.9591
4.51216e-11  14773.9377
4.64742e-11  14557.2721
4.78681e-11  14343.6581
4.9303e-11  14133.2927
5.07818e-11  13925.8961
5.23041e-11  13721.6508
5.38729e-11  13520.2849
5.54878e-11  13321.9871
5.71521e-11  13126.4827
5.88653e-11  12933.9528
6.0631e-11  12744.1288
6.24484e-11  12557.209
6.43215e-11  12372.9161
6.62496e-11  12191.4269
6.82368e-11  12012.489
7.02822e-11  11836.2872
7.23903e-11  11662.5589
7.45603e-11  11491.4799
7.67967e-11  11322.8033
7.90987e-11  11156.704
8.14712e-11  10992.94
8.39134e-11  10831.6673
8.64304e-11  10672.6621
8.90212e-11  10516.086
9.16913e-11  10361.7107
9.44399e-11  10209.6847
9.72725e-11  10059.8002
1.00188e-10  9912.19588
1.03193e-10  9766.6916
1.06287e-10  9623.35989
1.09475e-10  9482.05775
1.12756e-10  9342.9246
1.16139e-10  9205.71989
1.1962e-10  9070.6452
1.23208e-10  8937.44258
1.26901e-10  8806.28403
1.30707e-10  8676.97537
1.34626e-10  8549.61032
1.38664e-10  8424.03362
1.4282e-10  8300.40003
1.47104e-10  8178.48613
1.51513e-10  8058.43561
1.56058e-10  7940.07016
1.60736e-10  7823.50589
1.65557e-10  7708.58571
1.7052e-10  7595.40578
1.75635e-10  7483.81301
1.80899e-10  7373.93618
1.86325e-10  7265.60311
1.91911e-10  7158.90379
1.97667e-10  7053.71068
2.03592e-10  6950.12089
2.09699e-10  6847.98321
2.15985e-10  6747.4053
2.22463e-10  6648.2398
2.29132e-10  6550.58005
2.36004e-10  6454.29884
2.43079e-10  6359.47339
2.5037e-10  6265.98246
2.57875e-10  6173.91845
2.6561e-10  6083.14222
2.73572e-10  5993.75335
2.81777e-10  5905.61956
2.90224e-10  5818.82086
2.98929e-10  5733.24301
3.0789e-10  5648.96824
3.17125e-10  5565.87239
3.26631e-10  5484.04734
3.36428e-10  5403.36599
3.46513e-10  5323.91419
3.56906e-10  5245.57643
3.67605e-10  5168.42908
3.78631e-10  5092.3629
3.89981e-10  5017.45631
4.01678e-10  4943.59798
4.13719e-10  4870.86419
4.26128e-10  4799.1484
4.38901e-10  4728.52479
4.52066e-10  4658.89036
4.65617e-10  4590.31393
4.79583e-10  4522.6992
4.93959e-10  4456.11107
5.08775e-10  4390.45678
5.24026e-10  4325.7991
5.39744e-10  4262.04763
5.55923e-10  4199.26438
5.72598e-10  4137.36043
5.89762e-10  4076.39658
6.07452e-10  4016.2855
6.25661e-10  3957.08852
6.44427e-10  3898.71968
6.63744e-10  3841.2362
6.83653e-10  3784.55761
7.04146e-10  3728.7386
7.25267e-10  3673.7
7.47007e-10  3619.49768
7.69413e-10  3566.05364
7.92477e-10  3513.41824
8.16247e-10  3461.52017
8.40715e-10  3410.40788
8.65932e-10  3360.01015
8.91889e-10  3310.37684
9.18641e-10  3261.43619
9.46178e-10  3213.238
9.74558e-10  3165.71247
1.003771e-09  3118.90685
1.033879e-09  3072.75447
1.064871e-09  3027.30126
1.096811e-09  2982.48171
1.129689e-09  2938.34153
1.163573e-09  2894.81667
1.198452e-09  2851.95037
1.234399e-09  2809.68203
1.271402e-09  2768.05262
1.309537e-09  2727.0032
1.348791e-09  2686.57547
1.389247e-09  2646.71095
1.430892e-09  2607.44818
1.47381e-09  2568.73292
1.517989e-09  2530.60209
1.563521e-09  2493.00198
1.610389e-09  2455.97062
1.658691e-09  2419.4544
1.708412e-09  2383.48915
1.759655e-09  2348.02443
1.812403e-09  2313.09494
1.866765e-09  2278.65088
1.922723e-09  2244.72717
1.980394e-09  2211.27449
2.039758e-09  2178.32689
2.100939e-09  2145.83701
2.163917e-09  2113.83683
2.228823e-09  2082.2811
2.295634e-09  2051.20156
2.36449e-09  2020.55344
2.435368e-09  1990.3673
2.508415e-09  1960.60047
2.583608e-09  1931.28194
2.661102e-09  1902.37044
2.740871e-09  1873.89499
2.823082e-09  1845.81454
2.907706e-09  1818.15755
2.994921e-09  1790.88444
3.084697e-09  1764.02217
3.177221e-09  1737.53291
3.272461e-09  1711.44301
3.370617e-09  1685.71529
3.471655e-09  1660.37554
3.575785e-09  1635.38765
3.682973e-09  1610.77669
3.793441e-09  1586.50768
3.907154e-09  1562.6047
4.024346e-09  1539.03406
4.14498e-09  1515.81909
4.269306e-09  1492.92711
4.397283e-09  1470.38069
4.529177e-09  1448.1482
4.664944e-09  1426.25162
4.804866e-09  1404.66018
4.948897e-09  1383.39528
5.097336e-09  1362.42702
5.250134e-09  1341.77621
5.407609e-09  1321.41382
5.569708e-09  1301.3602
5.736768e-09  1281.58694
5.908733e-09  1262.11393
6.085962e-09  1242.91356
6.268395e-09  1224.00502
6.456412e-09  1205.36159
6.649949e-09  1187.00189
6.849411e-09  1168.89992
7.054729e-09  1151.07383
7.266331e-09  1133.49983
7.484147e-09  1116.19244
7.70863e-09  1099.12879
7.939704e-09  1082.32605
8.17785e-09  1065.76044
8.42299e-09  1049.44847
8.675632e-09  1033.36723
8.935694e-09  1017.53265
9.203714e-09  1001.92245
9.479605e-09  986.552069
9.76394e-09  971.399759
1.0056625e-08  956.480453
1.0358267e-08  941.772949
1.0668767e-08  927.291715
1.098877e-08  913.016047
1.131817e-08  898.959915
1.1657652e-08  885.103123
1.2007102e-08  871.459188
1.2367248e-08  858.008325
1.2737969e-08  844.763518
1.3120036e-08  831.705424
1.3513323e-08  818.846369
1.3918647e-08  806.167459
1.4335873e-08  793.680488
1.4765869e-08  781.366947
1.5208491e-08  769.238242
1.5664661e-08  757.276353
1.6134225e-08  745.492406
1.6618162e-08  733.868929
1.7116308e-08  722.416787
1.7629702e-08  711.119009
1.8158171e-08  699.986128
1.8702814e-08  689.001588
1.926345e-08  678.175526
1.9841246e-08  667.491732
2.0436008e-08  656.959965
2.1048973e-08  646.564386
2.1679938e-08  636.314428
2.2330215e-08  626.194746
2.2999587e-08  616.214627
2.3689445e-08  606.359249
2.4399561e-08  596.637806
2.5268741e-08  585.278947
2.53e-08  584.880922
2.6058858e-08  575.429639
2.684e-08  566.104
2.7645049e-08  556.89043
2.8473738e-08  547.797789
2.9327791e-08  538.812976
3.0206922e-08  529.944802
3.111296e-08  521.180675
3.2045604e-08  512.529387
3.3006792e-08  503.978896
3.3996206e-08  495.537996
3.5015901e-08  487.195087
3.6065539e-08  478.958787
3.7147303e-08  470.817654
3.8260833e-08  462.779924
3.9408443e-08  454.834381
4.0589752e-08  446.989272
4.1807217e-08  439.234103
4.3060432e-08  431.577453
4.4352004e-08  424.009488
4.5681502e-08  416.538786
4.705169e-08  409.155792
4.8462114e-08  401.868863
4.9915706e-08  394.668709
5.1411981e-08  387.563555
5.2954052e-08  380.544431
5.4541406e-08  373.619459
5.6177342e-08  366.780019
5.7861316e-08  360.034145
5.9596832e-08  353.373545
6.1383309e-08  346.806169
6.2957618e-08  341.246279
6.4572304e-08  335.751958
6.6228402e-08  330.323284
6.7926974e-08  324.960413
6.966911e-08  319.663604
7.1455927e-08  314.433217
7.328857e-08  309.269627
7.5168216e-08  304.173069
7.709607e-08  299.143521
7.9073367e-08  294.180815
8.1101376e-08  289.284936
8.3181399e-08  284.456252
8.5314768e-08  279.69548
8.7502851e-08  275.003484
8.9747053e-08  270.381121
9.2048813e-08  265.829227
9.4409606e-08  261.348663
9.6830947e-08  256.940364
9.9314389e-08  252.605371
1.01861523e-07  248.344845
1.04473985e-07  244.160082
1.07153449e-07  240.052533
1.09901633e-07  236.023819
1.12720301e-07  232.075754
1.1561126e-07  228.210373
1.18078002e-07  225.0527
1.20595228e-07  221.958128
1.23168311e-07  218.923047
1.25794054e-07  215.954359
1.28478062e-07  213.04902
1.31216999e-07  210.214106
1.34016714e-07  207.447235
1.36873727e-07  204.75574
1.39794136e-07  202.138029
1.42774314e-07  199.601795
1.45820621e-07  197.146393
1.48929273e-07  194.780007
1.52106906e-07  192.503136
1.55349571e-07  190.324619
1.58664191e-07  188.246338
1.62046647e-07  186.27798
1.6480563e-07  184.785119
1.67611588e-07  183.369765
1.70465319e-07  182.036118
1.73367638e-07  180.788732
1.76319371e-07  179.632535
1.7932136e-07  178.572842
1.8237446e-07  177.615366
1.85479542e-07  176.766228
1.8863749e-07  176.031981
1.91849206e-07  175.419613
1.94295557e-07  175.044509
1.96769598e-07  174.745805
1.99278692e-07  174.525948
2.01816185e-07  174.388864
2.04801694e-07  174.33745
2.07413208e-07  174.389776
2.10054281e-07  174.534698
2.12732774e-07  174.775479
2.15441583e-07  175.113853
2.18188771e-07  175.552588
2.20967054e-07  176.091535
2.237847e-07  176.73249
2.26634237e-07  177.473022
2.29524148e-07  178.313494
2.32446768e-07  179.248412
2.36404374e-07  180.635769
2.40429362e-07  182.165921
2.55064189e-07  188.164648
2.59406876e-07  189.854209
2.62714685e-07  191.037729
2.66059933e-07  192.108956
2.68315323e-07  192.744085
