E(MeV)  pendfb7/U235:2
1e-11  58.9241453
1.02999e-11  58.1096164
1.06087e-11  57.3079956
1.09269e-11  56.5184824
1.12544e-11  55.7417609
1.1592e-11  54.9767278
1.19395e-11  54.2240637
1.22976e-11  53.4828019
1.26662e-11  52.7535682
1.30462e-11  52.0353317
1.34372e-11  51.3289791
1.38403e-11  50.6332586
1.42552e-11  49.9490397
1.46827e-11  49.275274
1.51229e-11  48.6125314
1.55765e-11  47.9599414
1.60434e-11  47.3182723
1.65246e-11  46.6864271
1.70199e-11  46.0651158
1.76044e-11  45.3670514
1.8209e-11  44.681842
1.88343e-11  44.0092887
1.94811e-11  43.3491956
2.01501e-11  42.7013707
2.08421e-11  42.0656248
2.15579e-11  41.4417723
2.22982e-11  40.8296306
2.3064e-11  40.2290203
2.3856e-11  39.6397649
2.46753e-11  39.0616911
2.55226e-11  38.4946284
2.63991e-11  37.9384093
2.73057e-11  37.3928688
2.82434e-11  36.8578451
2.92134e-11  36.3331787
3.02166e-11  35.818713
3.12543e-11  35.3142939
3.23276e-11  34.8197698
3.34378e-11  34.3349916
3.45861e-11  33.8598126
3.57738e-11  33.3940884
3.70024e-11  32.937677
3.82731e-11  32.4904387
3.95875e-11  32.0522357
4.0947e-11  31.6229326
4.23531e-11  31.202396
4.38076e-11  30.7904946
4.5312e-11  30.3870989
4.68681e-11  29.9920814
4.84777e-11  29.6053164
5.01425e-11  29.2266803
5.18644e-11  28.8560508
5.36455e-11  28.4933076
5.54878e-11  28.1383321
5.73933e-11  27.791007
5.93643e-11  27.4512168
6.1403e-11  27.1188473
6.35117e-11  26.793786
6.56928e-11  26.4759215
6.79488e-11  26.165144
7.02822e-11  25.8613447
7.26958e-11  25.5644163
7.51923e-11  25.2742526
7.77745e-11  24.9907484
8.07864e-11  24.6795666
8.39134e-11  24.3766762
8.7163e-11  24.0816553
9.05369e-11  23.7946279
9.4043e-11  23.5151876
9.76831e-11  23.2434622
1.01466e-10  22.9790445
1.05393e-10  22.7220597
1.09475e-10  22.4721071
1.13712e-10  22.2293204
1.18116e-10  21.9932991
1.22688e-10  21.7641619
1.27439e-10  21.5415383
1.32372e-10  21.3255174
1.37498e-10  21.1157577
1.4282e-10  20.9123342
1.48351e-10  20.7149161
1.54746e-10  20.5026344
1.61417e-10  20.2975446
1.68376e-10  20.0994712
1.75635e-10  19.9082533
1.83206e-10  19.7237402
1.91104e-10  19.5457228
1.99343e-10  19.3740354
2.07936e-10  19.2085422
2.17816e-10  19.0334435
2.28169e-10  18.8653201
2.3901e-10  18.7040917
2.5037e-10  18.5494011
2.62266e-10  18.4011617
2.74731e-10  18.2590436
2.89004e-10  18.1108291
3.04018e-10  17.9694503
3.19813e-10  17.8346289
3.36428e-10  17.7061181
3.53906e-10  17.583659
3.73864e-10  17.4575512
3.94953e-10  17.3379033
4.17226e-10  17.2244832
4.42622e-10  17.1089124
4.69564e-10  16.9998313
4.98146e-10  16.8968978
5.30708e-10  16.793047
5.65389e-10  16.695515
6.04888e-10  16.5979855
6.47147e-10  16.5067681
6.95293e-10  16.4163043
7.47007e-10  16.3320778
8.0597e-10  16.2491851
8.73272e-10  16.168196
9.46178e-10  16.0934079
1.029515e-09  16.0208295
1.124941e-09  15.9508542
1.234399e-09  15.883821
1.360225e-09  15.8199848
1.50523e-09  15.7595253
1.672752e-09  15.7025712
1.874643e-09  15.6472597
2.109807e-09  15.5959353
2.394598e-09  15.5469656
2.740871e-09  15.500732
3.163811e-09  15.4574725
3.698583e-09  15.4162369
4.378802e-09  15.3773813
5.272387e-09  15.3402166
6.456412e-09  15.3048792
8.109109e-09  15.2698787
1.0446074e-08  15.2348195
1.3918647e-08  15.1973936
1.9345098e-08  15.1541291
2.5268741e-08  15.1161987
2.53e-08  15.1160134
3.8423001e-08  15.0456114
6.2693015e-08  14.9321153
1.03595803e-07  14.7560955
1.57330501e-07  14.5376969
1.92662359e-07  14.402588
2.14100646e-07  14.3296717
2.30029125e-07  14.2855265
2.43000935e-07  14.2598433
2.54550997e-07  14.2472063
2.62294699e-07  14.2446933
2.74121831e-07  14.2495618
3.11124056e-07  14.292467
3.26358333e-07  14.2987916
3.40427547e-07  14.2929031
3.56608386e-07  14.2739693
3.76718258e-07  14.2379846
4.85284707e-07  13.9894096
5.43865417e-07  13.8642261
6.0694511e-07  13.740494
6.83082857e-07  13.6028907
7.78560713e-07  13.4424667
9.81999562e-07  13.1175041
1.02981552e-06  13.0517669
1.05069882e-06  13.0334718
1.06531713e-06  13.0290517
1.07742944e-06  13.0334092
1.08995942e-06  13.048214
1.09831274e-06  13.065101
1.10666605e-06  13.088175
1.11501937e-06  13.1174775
1.12604575e-06  13.164653
1.15595063e-06  13.3105373
1.16430395e-06  13.3448029
1.17265726e-06  13.3720564
1.18184591e-06  13.3925799
1.19437589e-06  13.4042397
1.21108253e-06  13.3944922
1.22403017e-06  13.372659
1.24491347e-06  13.3229126
1.28693982e-06  13.2092589
1.30709789e-06  13.1653108
1.40956807e-06  12.9987878
1.47812845e-06  12.9033698
1.56161163e-06  12.8028268
1.81833843e-06  12.52635
1.88089546e-06  12.4468593
1.91518152e-06  12.3919576
1.94345249e-06  12.3333359
1.98555819e-06  12.2217957
1.9968365e-06  12.2093994
2.00360348e-06  12.2160285
2.00967873e-06  12.2342467
2.01515247e-06  12.2617238
2.02237059e-06  12.3135485
2.04450616e-06  12.5276346
2.05148368e-06  12.5854481
2.05797998e-06  12.6255986
2.06435599e-06  12.6505406
2.07337864e-06  12.6629309
2.08240128e-06  12.6546996
2.12751453e-06  12.5335953
2.15490236e-06  12.4764475
2.18984001e-06  12.4218642
2.25203038e-06  12.3485168
2.33966226e-06  12.2661129
2.60255791e-06  12.048782
2.78234462e-06  11.8616776
2.91916343e-06  11.7649769
3.05167661e-06  11.6233907
3.07833928e-06  11.6075404
3.09237226e-06  11.6117574
3.11061514e-06  11.6383783
3.12464812e-06  11.6782207
3.16815037e-06  11.8667903
3.18498995e-06  11.9252079
3.19867211e-06  11.9525322
3.21165262e-06  11.9610471
3.22884302e-06  11.950952
3.25515487e-06  11.9074924
3.42525075e-06  11.555853
3.52773621e-06  11.2945649
3.54507874e-06  11.2750893
3.55664042e-06  11.2877759
3.56473359e-06  11.3152728
3.57444541e-06  11.3737061
3.58415722e-06  11.4631423
3.59386904e-06  11.5831817
3.62670422e-06  12.10352
3.63595356e-06  12.2320897
3.64335304e-06  12.3151757
3.65260239e-06  12.3899464
3.66162051e-06  12.4311863
3.66878875e-06  12.4435781
3.68035043e-06  12.4328134
3.69191212e-06  12.3956349
3.74254719e-06  12.1600677
3.76483733e-06  12.0749133
3.7911397e-06  11.9942577
3.83393677e-06  11.8948724
3.89991559e-06  11.7819776
3.99264259e-06  11.6609384
4.4134805e-06  11.275051
4.50264107e-06  11.1804216
4.58288558e-06  11.0725319
4.62746587e-06  10.9937714
4.6681928e-06  10.8989544
4.69574877e-06  10.8130783
4.71574036e-06  10.7327458
4.73735288e-06  10.6213064
4.77625542e-06  10.3774972
4.78544075e-06  10.341103
4.79219466e-06  10.3326549
4.79894857e-06  10.3461454
4.80705327e-06  10.398974
4.8124564e-06  10.4598425
4.81785953e-06  10.5426467
4.82326266e-06  10.6473131
4.82926014e-06  10.7873227
4.83871561e-06  11.0488478
4.85881526e-06  11.6556756
4.86702802e-06  11.868982
4.87329565e-06  12.0019682
4.88053585e-06  12.1175457
4.88864054e-06  12.1966725
4.89869262e-06  12.2269434
4.90752872e-06  12.203838
4.91879474e-06  12.1302096
4.94905836e-06  11.8635198
4.96673055e-06  11.7314743
4.98440274e-06  11.6276662
5.01091101e-06  11.5112119
5.04625539e-06  11.3998408
5.08866864e-06  11.3014238
5.15228851e-06  11.1897298
5.2597354e-06  11.0465595
5.38527862e-06  10.9222615
5.59621385e-06  10.7749418
5.70578141e-06  10.6675
5.7937889e-06  10.5505967
5.87331374e-06  10.4169751
5.94647557e-06  10.2630412
6.11888475e-06  9.78652077
6.18059224e-06  9.64003424
6.20687506e-06  9.5465724
6.22401603e-06  9.45562568
6.24344247e-06  9.31410786
6.28129544e-06  8.95651825
6.29029445e-06  8.88979812
6.30100757e-06  8.85520504
6.30743543e-06  8.87155981
6.31386329e-06  8.92648328
6.31921984e-06  9.00839326
6.32457639e-06  9.12869562
6.32972607e-06  9.28486425
6.33487573e-06  9.48408507
6.34017685e-06  9.7363638
6.34578086e-06  10.0558043
6.35144466e-06  10.4320502
6.35710846e-06  10.8574279
6.36304107e-06  11.3474515
6.38552978e-06  13.3794405
6.39215222e-06  13.9403468
6.39767093e-06  14.3637636
6.40346557e-06  14.752516
6.40870834e-06  15.047048
6.4131233e-06  15.2493019
6.41871099e-06  15.443073
6.42378131e-06  15.5589008
6.4323008e-06  15.6317852
6.44264837e-06  15.542647
6.44954675e-06  15.3988574
6.45644513e-06  15.2072958
6.48990227e-06  14.0599913
6.50335411e-06  13.6472766
6.51715087e-06  13.2895978
6.53101895e-06  12.9931093
6.54495833e-06  12.7479539
6.56168075e-06  12.507695
6.58118619e-06  12.2815754
6.60069164e-06  12.0967524
6.6299498e-06  11.8721132
6.6689607e-06  11.635582
6.70797159e-06  11.4424319
6.84841079e-06  10.8686278
6.90302604e-06  10.6159686
6.93579519e-06  10.4276492
6.98034563e-06  10.1343242
6.99587196e-06  10.0587576
7.00757523e-06  10.0366567
7.0192785e-06  10.0623993
7.02708067e-06  10.1139585
7.03488285e-06  10.1972718
7.04424547e-06  10.3415429
7.05492248e-06  10.5630248
7.06500434e-06  10.8186004
7.09452979e-06  11.6527596
7.10533178e-06  11.9122954
7.11604377e-06  12.1116775
7.12441531e-06  12.22095
7.13341697e-06  12.2923451
7.14241863e-06  12.3196737
7.15592112e-06  12.2931762
7.16942362e-06  12.2108122
7.22163325e-06  11.7683227
7.24863823e-06  11.5847687
7.28323583e-06  11.4055253
7.33074599e-06  11.22399
7.38881397e-06  11.0575968
7.47327648e-06  10.8702205
7.77734152e-06  10.3492751
7.9716053e-06  9.97742789
8.06451406e-06  9.76948111
8.14681483e-06  9.55464219
8.21006135e-06  9.36182947
8.28941636e-06  9.07175431
8.35539078e-06  8.77359348
8.41011878e-06  8.4716628
8.44660412e-06  8.2350323
8.48308945e-06  7.96491806
8.51957479e-06  7.65976946
8.57795133e-06  7.13753577
8.59436973e-06  7.01328696
8.60896387e-06  6.93432723
8.62264587e-06  6.90667925
8.6317672e-06  6.92526428
8.64088853e-06  6.98390493
8.64772954e-06  7.06047709
8.65457053e-06  7.17039698
8.66127472e-06  7.31544129
8.6679789e-06  7.50239957
8.67468308e-06  7.73608666
8.68138726e-06  8.02094857
8.68809144e-06  8.36077455
8.6939747e-06  8.7065253
8.6994475e-06  9.06909166
8.70492029e-06  9.47129244
8.71221736e-06  10.0679817
8.71951442e-06  10.7298982
8.7275412e-06  11.524906
8.73556797e-06  12.3767677
8.76431842e-06  15.5950714
8.77351272e-06  16.5597111
8.78299891e-06  17.459895
8.79029598e-06  18.0672555
8.79860567e-06  18.6538432
8.8055974e-06  19.0535961
