28-Ni-58(n,elastic) ENDF/B-VII.1
1.0E-5,189.297
1.31241E-5,165.615
1.77557E-5,142.865
2.31179E-5,125.691
3.03402E-5,110.286
3.9503E-5,97.2845
5.18442E-5,85.6588
6.75013E-5,75.8868
8.85894E-5,67.1944
1.15344E-4,59.9367
1.51378E-4,53.5356
1.97095E-4,48.2481
2.81706E-4,42.3638
4.0264E-4,37.7416
5.7549E-4,34.1841
8.22543E-4,31.51
0.00129059,29.1337
0.00220531,27.3525
0.00450518,26.0601
0.014326,25.2102
0.0248899,25.0446
0.0253,25.041
1193.2,21.4918
3193.7,17.1065
6517.03,11.423
6898.25,10.8183
6905.83,10.8653
9770.03,5.98511
11129.1,3.26705
12146.8,1.09605
12397.2,0.623559
12544.5,0.384283
12628.7,0.268395
12631.3,0.266519
12636.5,0.274547
12639.3,0.280886
12642.2,0.271883
12646.3,0.246776
12651.5,0.235274
12730.8,0.147736
12779.4,0.102573
12821.9,0.0702531
12849.2,0.0534082
12870.5,0.0424836
12894.8,0.0324857
12913.0,0.0270629
12929.2,0.0237499
12945.4,0.0218705
12955.5,0.0214595
12970.0,0.0221953
12984.4,0.0241403
12998.1,0.0272864
13014.3,0.0328402
13029.4,0.0399231
13047.7,0.0509499
13068.9,0.0680212
13090.2,0.0901609
13111.5,0.118392
13133.7,0.156202
13156.0,0.205368
13176.3,0.264358
13195.5,0.339696
13211.4,0.425943
13224.4,0.52189
13236.5,0.648089
13246.1,0.789199
13255.0,0.973433
13262.1,1.18331
13268.6,1.45304
13274.3,1.79101
13279.1,2.20382
13283.4,2.71604
13287.2,3.36488
13290.4,4.13245
13293.1,5.02634
13295.5,6.16689
13297.8,7.60936
13299.7,9.34398
13301.6,11.7162
13303.2,14.5179
13304.6,17.8096
13305.9,22.2004
13307.2,27.6747
13308.5,35.4483
13309.9,46.1383
13311.6,63.6317
13315.3,107.674
13316.6,117.843
13318.0,121.832
13319.1,119.127
13320.6,108.506
13323.2,78.1942
13325.2,54.9939
13326.7,41.9859
13328.0,32.336
13329.4,25.4012
13330.8,19.9496
13332.2,16.017
13333.8,12.8378
13335.6,10.2685
13337.7,8.24075
13339.8,6.74747
13342.3,5.48029
13345.1,4.47843
13348.4,3.67183
13352.0,3.03447
13356.3,2.51654
13360.9,2.12374
13367.0,1.77866
13373.1,1.54988
13379.6,1.3845
13389.3,1.22747
13399.0,1.13734
13413.2,1.07408
13427.4,1.0578
13455.7,1.10063
13496.2,1.25191
13544.8,1.51823
13585.3,1.81624
13606.1,2.05671
13615.2,2.27746
13619.0,2.46291
13621.7,2.70217
13623.3,2.9525
13624.4,3.26865
13625.4,3.69698
13626.2,4.22246
13627.0,4.99831
13627.7,6.10997
13628.5,7.68468
13629.3,9.86404
13630.0,12.7752
13630.8,16.763
13631.8,22.8848
13634.8,44.3175
13636.0,49.9114
13636.9,51.4307
13637.9,49.9368
13639.1,44.2852
13641.2,29.0381
13642.5,19.7218
13643.4,14.5963
13644.2,11.2659
13645.0,8.69605
13645.8,6.92875
13646.5,5.6652
13647.2,4.78319
13648.0,4.17647
13649.0,3.654
13650.2,3.2747
13651.7,3.02396
13654.4,2.79874
13659.6,2.63784
13666.6,2.5888
13687.4,2.69133
13744.6,3.28045
13820.8,4.29559
13914.0,5.87561
13998.7,7.73675
14066.4,9.55625
14142.7,12.0501
14218.9,15.1067
14312.1,19.7413
14405.2,25.8288
14481.5,31.9739
14566.2,40.3029
14678.0,54.1839
14799.9,73.8228
14962.5,106.551
15179.4,151.583
15314.2,169.471
15423.3,174.295
15572.4,168.354
16141.5,108.402
16412.6,87.4083
16717.5,70.9638
17056.3,58.5003
17368.5,50.4283
17848.3,41.911
18306.7,36.4036
18947.1,30.914
19007.8,30.5173
19014.3,30.5347
19905.4,25.7483
19991.3,25.4518
20007.9,25.8758
20010.7,26.6901
20012.9,28.4175
20015.0,31.6238
20019.7,42.0143
20021.7,44.0638
20021.9,44.0749
20023.9,42.4558
20029.1,31.0001
20031.7,27.599
20034.7,26.0577
20043.2,25.3496
20968.0,22.0922
21084.8,21.8407
21120.0,22.2083
21126.6,22.8687
21130.1,24.1719
21132.0,25.9642
21133.9,29.4501
21135.5,34.5887
21137.1,42.0985
21141.1,65.6555
21142.9,72.0758
21143.9,73.2734
21145.4,70.8815
21147.2,62.6613
21151.0,40.7456
21152.5,34.1341
21154.0,29.3049
21155.6,26.3029
21157.5,24.3193
21160.8,22.9095
21170.3,21.9877
21254.5,21.3449
22738.6,18.2671
24942.3,15.3512
26050.6,14.2824
26070.4,14.4592
26127.4,14.2114
26581.9,13.8494
26622.0,14.0446
26628.5,14.5892
26631.4,15.6773
26633.4,17.3076
26635.4,20.1911
26637.7,25.2546
26641.1,33.708
26643.1,36.7489
26644.1,37.1974
26645.8,36.1001
26648.1,31.4415
26651.9,22.2284
26653.9,18.6334
26655.4,16.8405
26657.6,15.3249
26661.2,14.3667
26671.2,13.9289
27112.6,13.4072
27621.0,13.0323
27630.8,13.0447
31514.1,10.7221
32110.6,10.4852
32251.5,10.6629
32264.9,11.2137
32280.6,10.7777
32320.8,11.3204
32342.8,12.2918
32353.0,13.3224
32361.0,14.798
32366.8,16.6194
32371.3,18.9767
32375.3,22.1602
32378.9,26.6015
32382.0,32.1079
32385.7,41.4317
32393.2,63.58
32396.2,68.4731
32397.6,69.1442
32400.2,67.2195
32403.5,59.9264
32410.9,37.936
32414.1,30.7246
32417.5,25.1944
32420.9,21.4256
32424.4,18.8511
32428.9,16.5739
32434.7,14.7969
32441.5,13.5007
32453.9,12.2404
32475.3,11.294
32513.7,10.7033
32649.1,10.2677
34186.6,9.42685
34214.7,9.4934
34221.0,9.79972
34223.7,10.369
34226.5,11.6345
34229.1,13.6653
34234.1,18.5071
34236.5,19.5486
34236.9,19.5688
34239.1,18.8733
34241.9,16.4632
34245.8,12.6987
34248.1,11.1399
34249.8,10.448
34253.1,9.76567
34260.5,9.46844
35050.7,8.90598
35060.1,8.9095
35649.1,8.22376
35841.9,7.62681
35933.8,7.00883
35990.2,6.28968
36026.5,5.49015
36049.5,4.69272
36067.6,3.76797
36079.6,2.93496
36090.1,1.9998
36101.6,0.850555
36104.2,0.632693
36106.0,0.527824
36107.1,0.483358
36108.2,0.466703
36109.2,0.47891
36110.2,0.526735
36111.0,0.594388
36111.9,0.711291
36112.8,0.878905
36113.8,1.10744
36114.8,1.45227
36115.8,1.9088
36116.9,2.49929
36117.9,3.24842
36119.1,4.35887
36120.4,5.91687
36121.8,7.98266
36123.4,11.0298
36125.2,15.4065
36127.5,22.1512
36134.1,44.1436
36136.7,50.735
36139.5,54.2056
36140.4,54.5558
36143.0,53.6015
36147.6,47.3064
36154.9,35.8663
36160.6,29.4777
36166.3,25.2506
36174.4,21.4726
36184.8,18.5044
36198.7,16.1731
36219.4,14.2144
36246.0,12.8222
36287.3,11.6652
36356.2,10.7156
36475.6,9.97778
36760.2,9.3031
37568.4,8.63847
39511.7,7.81805
39540.9,7.89838
39546.3,8.26842
39550.1,9.10635
39557.7,11.9426
39560.0,12.2324
39563.0,11.7421
39570.1,9.04312
39573.7,8.25823
39577.3,7.94699
39600.3,7.78896
44007.0,6.28805
44023.9,6.30636
47753.8,5.04985
47832.3,5.11124
47863.3,5.35878
47871.1,5.57739
47877.8,5.98941
47881.8,6.55575
47884.5,7.28108
47887.0,8.42941
47888.9,9.78733
47890.7,11.7381
47892.9,14.8744
47895.2,19.5622
47901.3,33.9505
47903.7,37.5247
47905.4,38.2727
47907.5,37.0116
47910.2,32.3545
47916.2,18.2266
47918.6,13.8815
47920.4,11.3966
47922.2,9.564
47924.5,8.09372
47926.9,7.12223
47930.3,6.36651
47935.7,5.8077
47943.5,5.46196
47951.4,5.29496
47978.4,5.08041
48148.9,4.90103
51896.4,3.43177
51912.3,3.52462
51921.6,3.63785
51941.2,3.4212
52185.1,3.31012
52203.3,3.32772
52211.1,3.43622
52214.5,3.63897
52217.9,4.08867
52221.1,4.8085
52227.3,6.51755
52230.3,6.88131
52230.7,6.88771
52233.4,6.6373
52236.9,5.78035
52241.7,4.44465
52244.6,3.89156
52246.6,3.64591
52250.8,3.40332
52259.9,3.29638
54772.9,2.04338
54785.7,2.07672
54793.4,2.23362
54800.1,2.35509
54800.3,2.35519
54805.5,2.27907
54813.2,2.08911
54819.6,2.02854
57431.6,0.560408
57924.2,0.313844
58205.9,0.192695
58389.8,0.125547
58508.4,0.0893666
58580.1,0.0721125
58607.5,0.0676714
58628.4,0.0663499
58641.2,0.0674792
58654.0,0.0718615
58663.1,0.0793672
58669.9,0.0904091
58674.5,0.103181
58677.4,0.116743
58680.0,0.135896
58681.9,0.157912
58683.3,0.184559
58684.7,0.21974
58685.9,0.26442
58687.1,0.326863
58688.3,0.413702
58689.5,0.533167
58690.6,0.686204
58691.8,0.887091
58693.0,1.18239
58694.3,1.56348
58695.8,2.12553
58697.6,2.9539
58700.1,4.40817
58704.1,6.89245
58706.4,7.88227
58708.6,8.22587
58708.7,8.22606
58710.7,7.93702
58712.7,7.15124
58716.0,5.24266
58719.3,3.19755
58721.0,2.31235
58722.6,1.66546
58724.0,1.22791
58725.3,0.91657
58726.4,0.6981
58727.4,0.545671
58728.4,0.427775
58729.5,0.337799
58730.5,0.269874
58731.7,0.213629
58732.8,0.173197
58734.1,0.14143
58735.4,0.119189
58736.9,0.100711
58738.7,0.0861482
58740.9,0.0740547
58743.7,0.0638192
58747.7,0.0540456
58752.5,0.0462144
58759.4,0.0388475
58768.5,0.0325622
58779.4,0.0275959
58794.6,0.0228705
58816.8,0.017975
58845.3,0.013295
58875.4,0.00944036
58903.8,0.00647485
58925.9,0.00458869
58947.1,0.00311696
58962.2,0.00225937
58975.7,0.00163303
58987.3,0.00120495
58997.4,9.1204E-4
59006.5,7.11558E-4
59014.8,5.80377E-4
59021.6,5.11594E-4
59028.4,4.78175E-4
59030.6,4.74855E-4
59036.3,4.8354E-4
59042.0,5.16662E-4
59047.6,5.74757E-4
59055.2,6.91422E-4
59063.9,8.80069E-4
59073.9,0.00117209
59085.0,0.00158622
59098.1,0.00220368
59113.2,0.00309903
59131.3,0.00441693
59153.5,0.00640116
59178.6,0.00918183
59211.9,0.0137525
59248.1,0.0198966
59290.4,0.0287085
59337.7,0.0407734
59395.1,0.0588038
59455.5,0.0819892
59528.0,0.11623
59608.6,0.163355
59689.1,0.22193
59777.8,0.303187
59858.3,0.399432
59919.7,0.498139
59969.1,0.61123
60004.3,0.73354
60027.5,0.85495
60046.8,1.0062
60062.9,1.19941
60075.6,1.43283
60084.7,1.67746
60093.9,2.04412
60101.0,2.45611
60107.0,2.96392
60112.3,3.5936
60116.5,4.30849
60120.3,5.20624
60123.8,6.36194
60126.9,7.73749
60129.8,9.57372
60132.6,12.0295
60135.2,15.1358
60138.0,19.6255
60141.0,25.7221
60145.0,36.3475
60150.9,52.5418
60153.9,57.9207
60156.4,59.3737
60159.3,57.4707
60162.8,50.5369
60171.2,27.6387
60174.2,21.0319
60177.1,16.144
60179.9,12.6608
60182.7,10.1658
60185.9,8.12157
60189.1,6.65312
60192.6,5.50705
60196.6,4.57624
60201.2,3.83548
60206.6,3.2137
60212.7,2.72796
60220.8,2.29951
60230.5,1.96754
60240.9,1.73683
60253.0,1.56676
60269.1,1.43149
60290.3,1.33932
60329.6,1.28898
60333.6,1.2888
60390.0,1.336
60494.7,1.54517
60639.7,1.95805
60816.9,2.61358
61001.3,3.4824
61211.5,4.74788
