94-Pu-241(n,total fission) ENDF/B-VII.1
1.0E-5,52913.2
1.31241E-5,46187.7
1.70876E-5,40477.5
2.2426E-5,35332.6
2.91987E-5,30964.2
3.83206E-5,27027.9
4.98935E-5,23686.1
6.54808E-5,20674.7
8.52562E-5,18118.3
1.11891E-4,15814.3
1.45682E-4,13858.0
1.91195E-4,12095.5
2.48937E-4,10598.7
3.26707E-4,9249.3
4.25373E-4,8103.77
5.58264E-4,7071.06
7.26861E-4,6194.46
9.53941E-4,5403.81
0.00124203,4731.92
0.00163006,4126.25
0.00212234,3611.62
0.00278538,3147.3
0.00362657,2752.99
0.00475955,2401.46
0.00619694,2098.12
0.00813293,1823.99
0.0105891,1593.92
0.0138972,1382.87
0.0180942,1204.45
0.0234661,1052.8
0.0253,1013.11
0.033204,884.704
0.0432317,781.042
0.0567377,697.057
0.0738726,640.321
0.0934784,615.967
0.0986399,614.967
0.12415,637.919
0.15073,707.704
0.171055,803.271
0.188234,933.227
0.206319,1131.41
0.241049,1595.48
0.254182,1662.68
0.265783,1596.6
0.27826,1402.88
0.305484,850.43
0.318754,637.981
0.331067,489.883
0.343379,380.543
0.355007,304.305
0.366978,245.843
0.381,195.71
0.395365,158.619
0.411781,128.176
0.430934,103.311
0.450087,85.9239
0.472659,71.5906
0.4966,61.0667
0.528697,51.6159
0.565529,44.6816
0.616608,38.9407
0.671047,35.2001
0.768663,31.6267
0.924848,29.2097
1.15912,28.0873
1.25674,28.0152
1.41293,28.0829
1.54568,27.6268
1.62377,26.2183
1.7126,22.6528
1.78777,19.465
1.84243,18.5038
1.85805,18.4642
1.94005,19.2953
2.25242,24.3238
2.82835,32.1934
3.15048,38.5078
3.38476,45.1137
3.58975,53.4356
3.76546,64.1233
3.8826,75.0159
3.97253,87.8915
4.03318,101.622
4.07418,115.942
4.11006,135.642
4.13411,156.514
4.15304,181.453
4.16881,212.58
4.18261,252.785
4.19444,302.031
4.20627,370.333
4.21889,469.47
4.23407,626.33
4.26344,969.513
4.27732,1073.77
4.28725,1098.38
4.30066,1059.06
4.31706,921.983
4.34673,611.567
4.36104,498.273
4.37557,418.924
4.39017,369.223
4.40842,336.735
4.43246,325.161
4.46076,339.356
4.48906,374.64
4.54466,470.034
4.56863,488.018
4.58816,473.227
4.60681,430.873
4.63344,335.789
4.66496,215.757
4.68327,160.153
4.69826,125.304
4.71157,101.862
4.72458,84.79
4.74084,69.87
4.7571,60.2727
4.77361,54.3764
4.79363,50.7688
4.81781,49.7469
4.84617,51.3162
4.90288,58.8591
5.0163,80.7973
5.16926,116.822
5.32938,163.795
5.49663,225.953
5.85958,386.282
5.96989,418.379
6.08376,429.634
6.20118,417.094
6.56058,316.955
6.63174,305.513
6.66733,304.402
6.71171,310.445
6.75609,330.904
6.78937,363.986
6.81711,411.208
6.84485,483.395
6.91399,730.008
6.93559,770.578
6.94402,774.102
6.96872,741.661
6.99752,641.561
7.04334,453.192
7.0717,364.731
7.10006,302.874
7.13111,257.492
7.16712,223.01
7.21213,195.158
7.26974,172.312
7.35796,150.558
7.47499,132.91
7.66583,116.25
7.80986,109.21
8.01815,105.341
8.15972,107.887
8.27769,116.481
8.34848,128.635
8.39803,145.117
8.43224,165.158
8.45583,187.129
8.47943,220.854
8.50007,265.527
8.52072,330.037
8.54431,431.534
8.58914,657.939
8.60991,723.445
8.62246,735.198
8.63916,714.252
8.65993,638.314
8.70948,384.248
8.73071,300.269
8.75018,245.23
8.77082,205.734
8.79442,177.133
8.81801,159.516
8.84633,146.736
8.89588,135.672
8.97538,131.038
9.08567,135.39
9.23884,151.95
9.39202,179.084
9.56847,224.141
9.59053,225.339
9.61994,216.528
9.64935,191.707
9.69714,136.614
9.71117,125.918
9.72894,119.856
9.73249,119.678
9.74907,122.92
9.77749,139.265
9.82486,171.693
9.87223,192.715
9.9376,205.145
9.96697,206.616
10.0522,200.953
10.1659,177.981
10.4288,108.953
10.5514,83.6738
10.6698,65.1034
10.7882,51.3432
10.9067,41.2538
11.0221,34.0286
11.1672,27.5769
11.3123,23.2047
11.4544,20.3677
11.5965,18.6233
11.7504,17.769
11.8097,17.7165
11.9587,18.3452
12.058,19.5105
12.1822,22.2266
12.2702,25.5123
12.3494,30.15
12.4132,35.8359
12.4675,42.9248
12.5186,52.6646
12.5633,65.0371
12.6016,79.9229
12.6399,100.229
12.6856,132.757
12.7677,200.734
12.806,218.883
12.8221,220.734
12.8494,215.241
12.8852,194.078
12.9762,118.881
13.0127,96.0895
13.0463,81.0112
13.085,69.5888
13.1173,64.1604
13.155,62.0956
13.1868,64.2647
13.2131,69.7854
13.2329,77.3301
13.2526,89.5267
13.269,105.072
13.285,127.347
13.3009,159.534
13.3153,199.687
13.3309,257.77
13.348,340.983
13.375,506.49
13.4051,697.25
13.4242,781.739
13.4435,812.981
13.4613,785.662
13.4813,698.797
13.5357,355.077
13.5545,259.113
13.569,201.886
13.5829,159.652
13.5968,127.914
13.6122,102.255
13.6291,82.7842
13.646,69.3637
13.6662,58.3943
13.6864,50.9311
13.7134,44.2399
13.7471,38.9392
13.7906,34.939
13.8507,32.3427
13.8951,31.7638
13.9563,32.2742
14.0481,35.4515
14.1246,40.4841
14.1992,48.2493
14.2586,57.4175
14.3126,69.324
14.363,85.2591
14.4062,104.786
14.4449,129.601
14.4764,157.785
14.5057,193.875
14.534,242.857
14.5597,305.343
14.5817,379.491
14.6033,477.906
14.6249,610.097
14.6483,800.18
14.6753,1084.19
14.7374,1846.03
14.759,2032.05
14.7835,2116.41
14.8058,2058.82
14.8281,1887.51
14.9057,987.583
14.9318,750.02
14.9534,599.514
14.975,485.219
15.0002,387.508
15.0272,313.122
15.0544,260.102
15.0869,215.03
15.1272,176.935
15.1714,148.975
15.2156,130.02
15.2715,114.272
15.3274,104.682
15.4114,98.1319
15.4393,97.6049
15.5276,100.758
15.616,111.489
15.7005,130.262
15.785,158.96
15.9222,217.349
15.9693,230.536
16.0069,233.951
16.0588,226.356
16.1365,193.86
16.2348,145.97
16.2755,131.44
16.3255,120.059
16.3756,116.733
16.4256,122.769
16.4673,136.704
16.5089,160.854
16.5564,202.185
16.6314,281.103
16.6682,305.701
16.6889,309.694
16.7196,300.222
16.7533,270.924
16.8511,148.292
16.8856,114.172
16.92,88.1862
16.9545,69.0507
16.9897,54.8092
17.0265,44.013
17.0663,35.5352
17.1091,28.9381
17.1543,23.9082
17.2025,20.0276
17.2554,17.0167
17.3128,14.8203
17.3817,13.3635
17.4276,13.0754
17.4812,13.5677
17.5168,14.5748
17.5524,16.4223
17.5821,18.9943
17.6058,22.1831
17.6273,26.5261
17.6459,32.0811
17.6626,39.3223
17.6775,48.3993
17.6906,59.321
17.7032,73.1782
17.7159,91.1904
17.7312,119.913
17.7468,157.879
17.7654,216.032
17.7934,324.822
17.8284,465.433
17.85,526.61
17.8708,549.697
17.8882,537.733
17.9107,484.146
17.9465,348.386
17.9768,232.526
17.9966,171.791
18.0141,130.437
18.031,100.658
18.0461,80.9829
18.0612,66.5968
18.0767,56.0956
18.0957,47.3719
18.1147,42.0003
18.1392,38.5995
18.1573,38.0051
18.1826,39.2019
18.2464,45.1738
18.2558,45.3857
18.2824,43.9019
18.3054,40.066
18.347,29.4023
18.3814,20.5769
18.4041,16.0425
18.4245,12.9915
18.4439,10.8815
18.4688,9.0548
18.496,7.79872
18.5341,6.73915
18.592,5.80454
18.6645,5.08453
18.7587,4.47029
18.9036,3.87374
19.0685,3.46777
19.2949,3.17079
19.5885,3.0533
19.8232,3.13068
20.0411,3.39604
20.1458,3.662
20.2289,4.01637
20.3011,4.53209
20.3613,5.26352
20.4064,6.18096
20.4395,7.24776
20.466,8.53506
20.4913,10.3714
20.5124,12.6141
20.5334,15.8167
20.5515,19.6008
20.5695,24.5948
20.5903,32.0703
20.6165,44.1742
20.6781,77.17
20.7036,86.3729
20.7248,89.2662
20.7503,86.2854
20.7766,76.9024
20.8458,41.9337
20.8702,32.091
20.8927,25.1451
20.9138,20.3593
20.9361,16.7179
20.9613,13.8627
20.9908,11.6591
21.0263,9.96358
21.0715,8.63119
21.1256,7.66451
21.1918,6.96469
21.2881,6.42064
21.4755,6.04719
21.6373,5.97761
21.7048,6.06417
21.7408,6.39309
21.7679,7.03181
21.7895,7.96281
21.8135,9.56747
21.8416,12.2694
21.8989,18.769
21.9264,20.7797
21.9489,21.2986
21.975,20.6293
22.028,16.9777
22.0634,14.6336
22.0987,13.1368
22.1341,12.4047
22.1732,12.1612
22.2554,12.5769
22.3376,13.6962
22.4335,15.9043
22.5019,18.3612
22.5704,22.0458
22.6218,26.1294
22.6663,31.1355
22.7074,37.5863
22.7485,46.5912
22.7896,59.0912
22.8306,75.8403
22.9019,113.262
22.9484,136.988
22.9921,150.964
23.0169,153.396
23.0607,147.519
23.1213,124.731
23.2004,91.9972
23.25,77.4292
23.2996,68.0433
23.3591,62.1772
23.4071,60.6989
23.483,63.0238
23.5628,70.456
23.6824,84.4143
23.7558,87.9219
23.807,88.5165
23.8518,91.6109
23.8912,100.502
23.92,113.027
23.9488,131.923
23.9938,173.033
24.0475,223.355
24.0756,237.654
24.0893,239.436
24.1181,230.785
24.1523,201.103
24.2266,110.773
24.2535,84.1847
24.2789,65.0449
24.3009,52.8988
24.3253,43.3926
24.3497,37.1233
24.3752,33.0478
24.4096,30.1971
24.451,29.0712
24.4739,29.004
24.552,29.3823
24.6323,28.4352
24.8573,21.0104
24.9382,19.4605
25.0455,18.7058
25.1746,19.3119
25.3037,21.2679
25.4185,24.1618
25.5269,28.1361
25.6332,33.6667
25.7321,40.9952
25.8239,50.7792
25.902,62.7245
25.9683,77.0689
26.0308,96.1387
26.0854,119.711
26.1323,147.59
26.1791,185.522
26.2279,238.973
26.2842,319.653
26.3697,455.108
26.4137,500.341
26.4431,509.831
26.4758,497.509
26.5204,445.831
26.6398,235.42
26.6828,175.164
26.7218,133.28
26.7597,102.76
26.7965,80.6385
26.8325,64.3775
26.8734,50.5327
26.9147,40.1512
26.9588,31.923
27.0028,25.7909
27.0484,21.0568
27.0956,17.469
27.135,15.2939
27.184,13.4633
27.2331,12.5297
27.2658,12.3894
27.3187,12.9644
27.3741,14.5573
27.4722,18.9982
27.5679,23.1373
27.6283,24.8388
27.8523,28.5603
27.9467,31.6278
28.0411,36.6446
28.136,44.3144
28.219,53.9514
28.3029,67.5264
28.3853,85.9598
28.4615,108.933
28.5439,141.513
28.6691,205.056
28.7878,263.782
28.859,284.402
28.9031,288.523
28.9625,283.473
29.0613,255.466
29.2121,203.43
29.29,186.374
29.3678,180.723
29.4618,182.645
29.5228,173.972
29.575,152.29
29.6848,86.2916
29.7227,68.5983
29.7551,57.4235
29.7945,48.0524
29.8406,41.3325
29.8932,36.8958
29.9458,34.2358
30.051,31.2783
30.1942,29.7489
30.2228,29.717
30.3403,30.6929
30.4152,32.5405
30.5043,36.7427
30.5755,42.7065
30.629,49.7393
30.6789,59.4781
30.7217,71.4929
30.7644,88.3363
30.8099,113.194
30.8578,148.242
30.9583,236.153
31.001,262.694
31.0381,271.53
31.0752,265.106
31.1151,243.289
31.2419,140.338
31.2901,109.991
31.3346,89.0232
31.3845,72.1101
31.4379,59.4681
31.4914,50.5893
31.5627,42.4393
31.6518,35.8095
31.7373,31.6293
31.8656,27.6478
31.9618,25.7634
32.1614,23.6109
32.3609,22.9577
32.5707,23.4702
32.7677,25.1432
32.9538,28.4419
33.0581,31.8267
33.1489,36.7008
33.285,47.4769
33.3377,49.5365
33.3885,47.9199
33.4466,42.219
33.5092,35.806
33.5482,34.086
33.5573,34.0618
33.5936,35.5395
33.6279,39.2681
33.6765,47.8226
33.7555,63.5959
33.7943,67.7136
33.8106,68.1442
33.8532,65.5661
33.9238,54.0395
33.9772,45.6005
34.012,41.908
34.0585,39.2678
34.1208,38.5926
34.2141,40.5151
34.4413,49.4622
34.7982,64.9049
34.8725,70.2484
34.9989,84.1664
35.0196,84.8606
35.0685,82.0235
35.1257,72.0969
35.2082,56.4483
35.2694,48.969
35.3615,41.8593
35.5648,29.8076
35.7044,23.1454
35.8277,18.5018
35.9454,15.1956
36.0346,13.6284
36.0868,13.3324
36.1542,13.7948
36.2301,14.4107
36.2733,13.8358
36.3143,12.3906
36.4129,7.58101
36.4515,6.21221
36.4827,5.45339
36.523,4.83315
36.5834,4.34998
36.664,4.05008
36.7849,3.91186
36.8713,4.01357
36.9792,4.41681
37.0656,5.008
37.1545,5.92534
37.2513,7.34969
37.356,9.44464
37.6379,16.3656
37.8581,20.1576
37.9133,22.0867
37.9594,25.1058
38.0043,29.9099
38.1115,46.059
38.1501,49.4933
38.1682,49.9189
38.2056,48.112
38.2454,42.8309
38.333,27.8446
38.3728,22.9159
38.41,19.9158
38.4565,17.8045
38.53,16.2904
