92-U-234(n,total fission) ENDF/B-VII.1
1.0E-5,3.45118
1.31241E-5,3.01253
1.70876E-5,2.64011
2.2426E-5,2.30456
2.91987E-5,2.01967
3.83206E-5,1.76294
4.98935E-5,1.545
6.54808E-5,1.34862
8.52562E-5,1.18191
1.11891E-4,1.03167
1.45682E-4,0.904106
1.91195E-4,0.789188
2.48937E-4,0.691603
3.26707E-4,0.603642
4.25373E-4,0.528981
5.58264E-4,0.461687
7.26861E-4,0.40458
9.53941E-4,0.353089
0.00124203,0.309352
0.00163006,0.269944
0.00212234,0.23648
0.00278538,0.206307
0.00362657,0.180706
0.00475955,0.157884
0.00619694,0.138206
0.00813293,0.120423
0.0105891,0.105465
0.0138972,0.0916988
0.0180942,0.0800513
0.0234661,0.0701102
0.0253,0.0673664
0.033204,0.0583287
0.0432317,0.0508721
0.0567377,0.0437982
0.0738726,0.0378026
0.101268,0.0316851
0.132401,0.0269429
0.173043,0.0228156
0.226242,0.0192596
0.283085,0.0164811
0.368577,0.0135772
0.462184,0.0114024
0.588364,0.00937189
0.763523,0.00749055
0.951677,0.00614545
1.18923,0.00502799
1.43358,0.00426997
1.6983,0.00374221
1.96981,0.00341462
2.30919,0.00323696
2.37707,0.00322623
2.64857,0.00328269
2.97947,0.00357374
3.25946,0.00408669
3.48006,0.00475161
3.6752,0.00564842
3.83217,0.00670115
3.98065,0.00812466
4.11428,0.00996146
4.23306,0.0123213
4.32851,0.0149991
4.4176,0.0184901
4.4982,0.0229436
4.56608,0.0281803
4.62865,0.0348834
4.68699,0.0437155
4.73259,0.0533306
4.77236,0.0647022
4.81372,0.0810615
4.85031,0.101554
4.88001,0.124744
4.90758,0.154528
4.93304,0.193103
4.95319,0.235487
4.97249,0.291597
4.98988,0.362866
5.00473,0.449077
5.01746,0.553651
5.02764,0.670165
5.03782,0.832819
5.04609,1.01613
5.05352,1.23688
5.06094,1.53029
5.06837,1.9195
5.07653,2.48961
5.0847,3.24244
5.09371,4.31869
5.10379,5.83766
5.12309,9.41376
5.13921,12.2415
5.15084,13.5263
5.15969,13.8423
5.1695,13.4546
5.18002,12.2645
5.19733,9.22781
5.216,5.80027
5.22703,4.17066
5.23636,3.09998
5.24485,2.35826
5.25248,1.85189
5.26012,1.46895
5.26807,1.1718
5.27666,0.937149
5.28621,0.750313
5.29575,0.616106
5.30636,0.507571
5.31909,0.413591
5.33478,0.331517
5.3526,0.265961
5.37042,0.218657
5.39333,0.174721
5.41623,0.143016
5.44423,0.114841
5.47393,0.0932116
5.50999,0.0742902
5.54711,0.0602684
5.59059,0.0483713
5.6415,0.0384358
5.69347,0.0311598
5.75286,0.025122
5.81543,0.0204654
5.88967,0.0164419
5.97452,0.0131437
6.06361,0.010646
6.16542,0.00857606
6.27996,0.00689883
6.41571,0.00548603
6.55147,0.00446593
6.72116,0.00355071
6.89085,0.00289696
7.10296,0.00230832
7.31508,0.00188799
7.55264,0.00154253
7.80718,0.00127249
8.09241,0.0010506
8.43469,8.5563E-4
8.83401,6.93499E-4
9.17629,5.90711E-4
9.74675,4.69024E-4
10.2031,3.98277E-4
10.7736,3.32973E-4
11.4581,2.75373E-4
12.2568,2.28549E-4
13.2836,1.86675E-4
14.4245,1.55605E-4
15.4591,1.35423E-4
16.8593,1.16918E-4
18.2594,1.04184E-4
20.0096,9.56145E-5
20.7096,9.47171E-5
21.4515,9.73375E-5
21.868,1.04062E-4
22.1023,1.14322E-4
22.2324,1.26643E-4
22.3154,1.41099E-4
22.378,1.6001E-4
22.4228,1.83133E-4
22.4537,2.10109E-4
22.4732,2.37089E-4
22.4927,2.78784E-4
22.509,3.3264E-4
22.522,3.95353E-4
22.535,4.83332E-4
22.5482,6.07794E-4
22.5601,7.61425E-4
22.5721,9.64107E-4
22.5858,0.00126913
22.5994,0.00166602
22.6154,0.00225821
22.6336,0.00310655
22.6678,0.00504799
22.6997,0.00678307
22.7231,0.00758403
22.7399,0.00776475
22.7608,0.00748276
22.7856,0.0065221
22.8454,0.00316404
22.8649,0.00226308
22.8812,0.00167181
22.8959,0.00126199
22.9089,9.8458E-4
22.9224,7.68666E-4
22.9351,6.21498E-4
22.9478,5.15246E-4
22.9604,4.39957E-4
22.9749,3.81468E-4
22.9894,3.43588E-4
23.0111,3.11681E-4
23.0391,2.96764E-4
23.0453,2.96118E-4
23.0825,3.07929E-4
23.1136,3.3991E-4
23.1379,3.87324E-4
23.158,4.5301E-4
23.1723,5.2488E-4
23.1866,6.29323E-4
23.2009,7.81853E-4
23.2138,9.77739E-4
23.2266,0.00124772
23.2391,0.00160681
23.2516,0.00208469
23.2641,0.00270658
23.2774,0.00355322
23.2934,0.00484889
23.3131,0.00685016
23.3494,0.0113767
23.3801,0.0149772
23.4023,0.0166233
23.4198,0.0170432
23.4416,0.0163854
23.4619,0.0147312
23.4969,0.0105135
23.5286,0.00662534
23.5482,0.00467205
23.5639,0.00343777
23.5783,0.00255722
23.5914,0.00194256
23.6033,0.00151284
23.6159,0.00117049
23.6285,9.18184E-4
23.6411,7.34453E-4
23.6537,6.01486E-4
23.6669,5.01004E-4
23.6812,4.23996E-4
23.6984,3.60043E-4
23.7184,3.09605E-4
23.747,2.6259E-4
23.7789,2.28393E-4
23.8214,1.98069E-4
23.8746,1.73321E-4
23.9498,1.51432E-4
24.0479,1.34626E-4
24.1787,1.22125E-4
24.375,1.12802E-4
24.5712,1.08491E-4
24.9636,1.06111E-4
25.5909,1.09836E-4
26.3087,1.20939E-4
26.9594,1.38922E-4
27.4095,1.58082E-4
27.8132,1.81787E-4
28.2168,2.17408E-4
28.5792,2.64819E-4
28.8552,3.17496E-4
29.0918,3.80813E-4
29.3056,4.60707E-4
29.4945,5.58968E-4
29.6647,6.82439E-4
29.81,8.2852E-4
29.9345,9.98922E-4
30.0652,0.00124689
30.1794,0.00155519
30.279,0.00193599
30.3662,0.00240483
30.4388,0.00294707
30.5011,0.00358053
30.5613,0.00442028
30.6122,0.00539849
30.6599,0.0066698
30.6998,0.00815081
30.7341,0.00991165
30.7647,0.0121319
30.7886,0.014589
30.8078,0.0173413
