5-B-10(n,&alpha;) ENDF/B-VII.1
1.0E-5,193343.0
1.30374E-5,169330.0
1.71104E-5,147808.0
2.22778E-5,129537.0
2.92376E-5,113073.0
3.80674E-5,99095.3
4.996E-5,86500.4
6.50481E-5,75807.5
8.53698E-5,66172.5
1.11152E-4,57992.4
1.45877E-4,50621.6
1.89932E-4,44364.0
2.49268E-4,38725.4
3.24548E-4,33938.3
4.2594E-4,29624.8
5.54575E-4,25962.7
7.2783E-4,22662.8
9.47636E-4,19861.3
0.00124369,17337.0
0.00161928,15193.9
0.00212517,13262.7
0.00276697,11623.2
0.0036314,10145.9
0.00472809,8891.74
0.0062052,7761.58
0.00807918,6802.1
0.0106032,5937.55
0.0138054,5203.48
0.0181183,4542.0
0.0244451,3910.2
0.0253,3843.56
0.033204,3354.97
0.0432317,2940.09
0.0567377,2566.19
0.0738726,2248.88
0.0969512,1962.8
0.126231,1719.95
0.165666,1501.56
0.215698,1315.86
0.283085,1148.6
0.368577,1006.45
0.483724,878.51
0.629809,769.891
0.826569,671.916
1.07619,588.846
1.41241,513.92
1.83896,450.411
2.41347,393.178
3.14234,344.48
4.12404,300.648
5.36951,263.473
7.04701,229.977
9.17522,201.524
12.0417,175.834
15.6783,154.02
20.43,134.842
26.3504,118.672
36.0558,101.426
48.6581,87.2252
66.1887,74.7762
91.3798,63.5725
122.906,54.7828
169.078,46.6675
230.399,39.9525
318.397,33.921
429.764,29.1764
573.957,25.2022
798.436,21.3123
1058.66,18.4892
1438.09,15.8135
1963.35,13.5115
2607.39,11.6854
3474.97,10.1016
4731.51,8.62775
6485.44,7.35308
8612.12,6.36786
11539.4,5.48883
15779.6,4.69296
20932.7,4.07273
28770.7,3.48399
39581.9,2.99063
55000.0,2.563
76103.9,2.22246
100000.0,1.97981
131732.0,1.77913
280000.0,1.12355
332500.0,0.958462
377500.0,0.88671
400000.0,0.876249
450000.0,0.879217
480000.0,0.857431
520000.0,0.770217
600000.0,0.553239
650000.0,0.455466
700000.0,0.385712
750000.0,0.336141
850000.0,0.2745
950000.0,0.236357
1050000.0,0.213744
1100000.0,0.210325
1225000.0,0.216584
1325000.0,0.232778
1450000.0,0.271947
1512500.0,0.300803
1562500.0,0.336641
1665000.0,0.443554
1725000.0,0.498177
1750000.0,0.516479
1800000.0,0.526243
1875000.0,0.513799
2000000.0,0.459595
2175000.0,0.351622
2275000.0,0.312351
2400000.0,0.284965
2450000.0,0.281091
2500000.0,0.287866
2700000.0,0.351847
2775000.0,0.390795
2800000.0,0.399968
3050000.0,0.315485
3200000.0,0.28201
3300000.0,0.282189
3800000.0,0.364986
4000000.0,0.349983
4200000.0,0.274562
4425000.0,0.239375
4600000.0,0.200005
4850000.0,0.16542
5050000.0,0.143841
5400000.0,0.116131
5550000.0,0.112266
5600000.0,0.112101
6300000.0,0.118254
6400000.0,0.118339
6900000.0,0.112647
8000000.0,0.0794277
8600000.0,0.0668935
9400000.0,0.0557724
1.025E7,0.048449
1.1E7,0.0440357
1.175E7,0.0417236
1.2E7,0.0412652
1.3E7,0.0419899
1.45E7,0.0449096
1.525E7,0.0438831
2.0E7,0.0299816
