4-Be-9(n,&gamma;) ENDF/B-VII.1
1.0E-5,0.504131
1.30374E-5,0.441517
1.71104E-5,0.385401
2.22778E-5,0.337758
2.92376E-5,0.294829
3.80674E-5,0.258383
4.996E-5,0.225542
6.50481E-5,0.197661
8.53698E-5,0.172538
1.11152E-4,0.151208
1.45877E-4,0.131989
1.89932E-4,0.115672
2.49268E-4,0.100969
3.24548E-4,0.0884861
4.2594E-4,0.0772381
5.54575E-4,0.0676884
7.2783E-4,0.0590834
9.47636E-4,0.0517777
0.00124369,0.0451946
0.00161928,0.0396057
0.00212517,0.0345697
0.00276697,0.0302944
0.0036314,0.0264424
0.00472809,0.0231729
0.0062052,0.0202277
0.00807918,0.0177287
0.0106032,0.0154785
0.0138054,0.0135693
0.0181183,0.0118499
0.0244451,0.0102074
0.0253,0.0100341
0.033204,0.00876238
0.0432317,0.00768116
0.0567377,0.00670585
0.0738726,0.00587757
0.0969512,0.00513053
0.126231,0.00449636
0.165666,0.00392528
0.215698,0.00343997
0.283085,0.0030027
0.368577,0.00263114
0.483724,0.00229668
0.629809,0.00201271
0.826569,0.0017567
1.07619,0.00153925
1.41241,0.00134332
1.83896,0.00117697
2.41347,0.00102717
3.14234,9.00015E-4
4.12404,7.85365E-4
5.36951,6.88083E-4
7.04701,6.00519E-4
9.17522,5.26154E-4
12.0417,4.59544E-4
15.6783,4.02939E-4
20.5763,3.51728E-4
27.3172,3.05485E-4
35.536,2.67873E-4
45.8547,2.35943E-4
62.2427,2.02737E-4
84.5897,1.73862E-4
115.329,1.49099E-4
155.607,1.28391E-4
208.855,1.10758E-4
280.685,9.56508E-5
383.221,8.1817E-5
517.858,7.04201E-5
703.489,6.04239E-5
959.863,5.17764E-5
1332.21,4.40192E-5
1837.41,3.75955E-5
2514.16,3.21946E-5
3396.22,2.77744E-5
4530.55,2.40886E-5
6224.27,2.06204E-5
8458.97,1.77113E-5
11532.9,1.52411E-5
15560.7,1.3189E-5
20885.5,1.14396E-5
28068.5,9.97292E-6
38322.1,8.61537E-6
52824.1,7.43284E-6
71818.8,6.47051E-6
100000.0,5.59342E-6
141917.0,4.82042E-6
200000.0,4.17767E-6
273861.0,3.69267E-6
400000.0,3.20105E-6
573266.0,2.83131E-6
800000.0,2.54749E-6
1106680.0,2.32688E-6
1616030.0,2.11736E-6
2500000.0,1.93591E-6
3842180.0,1.8109E-6
6787710.0,1.70666E-6
1.42287E7,1.66127E-6
1.6E7,1.66021E-6
2.0E7,1.66596E-6
