C-Elemental(n,elastic) ENDF/B-VII.1
1.0E-5,78.9477
1.31241E-5,68.9465
1.70876E-5,60.4602
2.2426E-5,52.8188
2.91987E-5,46.3374
3.83206E-5,40.5041
4.98935E-5,35.5595
6.54808E-5,31.1132
8.52562E-5,27.3485
1.11891E-4,23.9679
1.45682E-4,21.1109
1.91195E-4,18.5517
2.48937E-4,16.3956
3.26707E-4,14.472
4.25373E-4,12.8599
5.58264E-4,11.4312
7.26861E-4,10.244
9.53941E-4,9.20306
0.00136346,8.08151
0.00194878,7.20064
0.00278538,6.5228
0.00433567,5.91295
0.00680278,5.49425
0.0126596,5.14569
0.0234661,4.95756
0.0253,4.94145
0.0883169,4.79172
8.42491,4.73395
145000.0,4.28384
150500.0,4.36685
152900.0,4.51948
157000.0,4.296
203240.0,4.11098
550000.0,3.3032
925000.0,2.6798
1362500.0,2.16305
1725000.0,1.85014
1736000.0,1.86239
1755000.0,1.82802
2025000.0,1.65915
2054500.0,1.71489
2061000.0,1.8167
2065000.0,1.98737
2067500.0,2.21304
2069500.0,2.53885
2071000.0,2.93339
2072250.0,3.43856
2073500.0,4.13435
2076000.0,5.75379
2077000.0,6.02649
2078000.0,5.85948
2079750.0,4.91725
2081500.0,3.96354
2083000.0,3.35901
2084500.0,2.95284
2086500.0,2.59219
2089000.0,2.3172
2093000.0,2.07964
2099000.0,1.91059
2110000.0,1.78584
2130000.0,1.71049
2200000.0,1.63319
2400000.0,1.5829
2580000.0,1.62799
2710000.0,1.75489
2792500.0,1.93654
2809000.0,2.02294
2811500.0,2.10589
2812000.0,2.14527
2813000.0,2.35642
2813880.0,3.06413
2814120.0,3.407
2814880.0,4.80204
2815000.0,4.88534
2815190.0,4.63201
2815940.0,2.95529
2816120.0,2.72828
2817000.0,2.3052
2818000.0,2.16245
2820000.0,2.08692
2824000.0,2.06743
2860000.0,2.24379
2895000.0,2.55487
2942000.0,3.21834
2944000.0,3.22933
2952000.0,3.1701
2960000.0,2.91001
2971000.0,2.26091
2980000.0,1.72392
2986000.0,1.46784
2992000.0,1.29115
2998000.0,1.19399
3005000.0,1.14994
3010000.0,1.12977
3025000.0,1.17394
3110000.0,1.62848
3220000.0,2.05943
3360000.0,2.46437
3480000.0,2.63237
3520000.0,2.64416
3640000.0,2.56536
4055000.0,1.85318
4110000.0,1.8098
4160000.0,1.85721
4200000.0,2.0043
4250000.0,2.23181
4270000.0,2.26081
4320000.0,2.15845
4430000.0,1.81443
4560000.0,1.57263
4780000.0,1.32618
4900000.0,1.22307
4921560.0,1.25339
4930190.0,1.31215
4934500.0,1.3632
4935500.0,1.70932
4936700.0,1.95414
4936960.0,1.96274
4938450.0,1.93444
4939500.0,1.744
4943200.0,1.42062
4948100.0,1.27888
4958400.0,1.20741
5000000.0,1.12118
5001000.0,1.13169
5100000.0,1.09183
5120000.0,1.04903
5150000.0,1.06297
5330000.0,0.933283
5335000.0,0.962197
5340000.0,0.923802
5359940.0,1.46011
5362000.0,1.69194
5370000.0,1.86161
5380000.0,1.55489
5390000.0,1.33816
5400000.0,1.20317
5415000.0,1.11622
5435000.0,1.06517
5460000.0,1.01656
5550000.0,0.972973
5553000.0,0.981548
5700000.0,0.920083
6050000.0,0.872722
6142500.0,0.902401
6181200.0,0.947701
6200000.0,0.980959
6215000.0,1.03135
6225000.0,1.06209
6245000.0,1.19947
6250000.0,1.23862
6292500.0,2.31318
6295000.0,2.3798
6302500.0,2.27073
6313750.0,1.8558
6320000.0,1.59751
6332500.0,1.32456
6340000.0,1.19356
6350000.0,1.14713
6360000.0,1.22274
6370000.0,1.06647
6390000.0,0.889776
6420000.0,0.825749
6430000.0,0.841199
6440000.0,0.827827
6450000.0,0.833635
6470000.0,0.828119
6490000.0,0.830295
6510000.0,0.804255
6543250.0,0.687277
6570000.0,0.530653
6580000.0,0.501543
6600000.0,0.514161
6620000.0,0.576775
6640000.0,0.5924
6658000.0,0.735848
6667000.0,0.677534
6690000.0,0.658444
6810000.0,0.645747
7000000.0,0.573643
7100000.0,0.569164
7180000.0,0.602643
7231250.0,0.693932
7260000.0,0.784692
7275000.0,0.853392
7345000.0,1.38098
7350000.0,1.42917
7360000.0,1.42252
7370000.0,1.46355
7420000.0,1.39798
7470000.0,1.37142
7529000.0,1.37807
7620000.0,1.32634
7655250.0,1.35365
7680000.0,1.41515
7700000.0,1.53056
7745000.0,1.9861
7799500.0,1.63194
7810000.0,1.58094
7819000.0,1.58208
7968000.0,1.38034
8000000.0,1.35098
8005000.0,1.35377
8010000.0,1.30654
8014000.0,1.33339
8044000.0,1.29762
8053000.0,1.33035
8080000.0,1.31532
8101000.0,1.33052
8160000.0,1.15596
8183000.0,1.04451
8205000.0,0.961032
8296200.0,0.857343
8400000.0,0.797566
8426000.0,0.800117
8449000.0,0.77863
8450000.0,0.772117
8480000.0,0.776157
8500000.0,0.750359
8520000.0,0.757092
8553000.0,0.739481
8611000.0,0.756314
8708000.0,0.737237
8841500.0,0.683101
8902500.0,0.653272
8930000.0,0.637957
9000000.0,0.630903
9005000.0,0.644162
9020000.0,0.642591
9049000.0,0.661458
9053000.0,0.66908
9067000.0,0.668499
9080000.0,0.685597
9163000.0,0.736708
9250000.0,0.724836
9254000.0,0.733171
9450000.0,0.671513
9500000.0,0.669317
9522000.0,0.669717
9553000.0,0.664561
9640000.0,0.687431
9692000.0,0.68303
9700000.0,0.685383
9726000.0,0.670389
9740000.0,0.676177
9750000.0,0.669666
9800000.0,0.6845
9821000.0,0.683794
9830000.0,0.686268
9900000.0,0.671828
9917000.0,0.67406
1.0053E7,0.637067
1.017E7,0.642052
1.03E7,0.628653
1.04E7,0.643332
1.0536E7,0.70169
1.055E7,0.698594
1.0553E7,0.708213
1.07E7,0.752648
1.094E7,0.887382
1.1004E7,0.856378
1.1053E7,0.866895
1.1096E7,0.863708
1.117E7,0.886837
1.1708E7,0.838497
1.175E7,0.853005
1.1751E7,0.849054
1.19E7,0.904734
1.1909E7,0.901012
1.1917E7,0.91248
1.2E7,0.899482
1.2053E7,0.913266
1.2088E7,0.910352
1.21E7,0.910946
1.23E7,0.848492
1.24E7,0.839249
1.2945E7,0.931557
1.299E7,0.94361
1.328E7,0.914554
1.33E7,0.915595
1.35E7,0.905304
1.354E7,0.91008
1.3553E7,0.909441
1.357E7,0.909445
1.37945E7,0.870454
1.39825E7,0.83028
1.4E7,0.819287
1.425E7,0.837249
1.4419E7,0.824403
1.475E7,0.898913
1.4767E7,0.897367
1.4909E7,0.921886
1.4962E7,0.918822
1.4996E7,0.922874
1.5E7,0.917712
1.5263E7,0.958995
1.597E7,1.03114
1.599E7,1.02853
1.6E7,1.03371
1.6395E7,0.953862
1.6974E7,0.896589
1.7074E7,0.899212
1.73E7,0.872395
1.7301E7,0.883659
1.7467E7,0.873342
1.8053E7,0.929466
1.8087E7,0.923441
1.8158E7,0.935772
1.846E7,0.922827
1.8943E7,0.965052
1.9553E7,0.981843
1.96E7,0.979542
1.9892E7,0.991511
1.99987E7,0.980843
2.0E7,0.998603
2.0001E7,1.01594
2.1E7,0.937009
2.2E7,0.917003
2.4E7,0.936997
4.9E7,0.6144
6.1E7,0.495432
7.4E7,0.402355
1.08E8,0.222136
1.17E8,0.192943
1.32E8,0.149968
1.48E8,0.116528
1.5E8,0.113001
