24-Cr-52(n,elastic) ENDF/B-VII.1
1.0E-5,24.5274
1.31241E-5,21.4539
1.70876E-5,18.8506
2.2426E-5,16.5119
2.91987E-5,14.5342
3.80897E-5,12.798
4.95929E-5,11.2981
6.50862E-5,9.95816
8.47424E-5,8.83322
1.11217E-4,7.83412
1.44804E-4,7.00156
1.90043E-4,6.26908
2.71627E-4,5.4758
3.88234E-4,4.84818
5.549E-4,4.36088
7.93114E-4,3.99093
0.00123455,3.66335
0.00210955,3.40981
0.00430954,3.22491
0.0125833,3.1082
0.0234009,3.08009
0.0253,3.07764
1600.56,2.94261
1620.03,2.96168
1621.73,3.01306
1622.54,3.14915
1623.21,3.45967
1623.73,3.91679
1624.47,4.91174
1625.28,6.00002
1625.83,6.30102
1625.87,6.30241
1626.35,6.08895
1627.04,5.25037
1627.92,4.01874
1628.51,3.47572
1629.03,3.20429
1629.84,3.0297
1632.68,2.95508
11933.0,2.36044
19349.8,1.98338
19356.5,1.98353
22490.7,1.82863
22747.7,1.87296
22806.1,1.94423
22843.1,2.06694
22869.4,2.28077
22882.5,2.49655
22893.4,2.80661
22901.5,3.1839
22908.3,3.69929
22913.9,4.38072
22918.0,5.13374
22921.4,6.04905
22924.3,7.15767
22926.9,8.62017
22929.1,10.377
22931.2,12.7425
22932.9,15.6573
22934.5,19.4283
22936.0,24.1623
22937.4,30.5722
22938.9,38.9262
22940.6,51.6689
22942.7,72.9241
22946.4,112.084
22948.4,126.911
22950.1,131.567
22951.6,128.345
22953.5,115.553
22957.0,79.6732
22959.4,55.1031
22961.1,41.5077
22962.5,32.6342
22964.1,25.4817
22965.4,20.7581
22966.9,16.9938
22968.6,13.8232
22970.4,11.4448
22972.3,9.6071
22974.7,8.04092
22977.4,6.76069
22980.9,5.63374
22984.4,4.85817
22989.3,4.12375
22994.1,3.62837
23002.0,3.11218
23011.9,2.72178
23023.9,2.44629
23040.7,2.22883
23066.9,2.05606
23105.9,1.94048
23207.1,1.84061
23671.9,1.76385
24844.6,1.689
24854.6,1.69013
27568.5,1.5116
27583.0,1.53949
27585.6,1.59511
27588.2,1.7304
27590.7,1.97171
27596.0,2.70078
27598.4,2.84901
27598.7,2.85124
27600.9,2.74422
27604.4,2.30195
27607.7,1.87715
27610.0,1.6925
27612.6,1.58856
27615.2,1.54658
27638.0,1.51338
29795.8,1.30468
30532.8,1.16746
30901.3,1.03445
31111.8,0.896736
31243.5,0.75391
31322.4,0.625733
31381.7,0.494033
31427.7,0.361082
31467.2,0.221941
31504.7,0.0783295
31514.1,0.0466188
31519.8,0.0299484
31523.8,0.020351
31526.8,0.014411
31529.1,0.0106854
31530.9,0.00838849
31532.6,0.00677608
31533.8,0.00600484
31534.9,0.00560392
31535.9,0.00549583
31537.1,0.00570562
31538.2,0.00620996
31539.2,0.00703384
31540.6,0.00857861
31541.9,0.0106817
31543.4,0.0137956
31545.0,0.018268
31546.8,0.0245442
31548.8,0.0331955
31551.1,0.0459767
31553.6,0.0633468
31556.0,0.0851119
31559.0,0.118029
31562.0,0.159747
31565.2,0.218608
31568.5,0.293627
31571.8,0.388787
31575.4,0.522932
31579.1,0.696805
31582.4,0.905259
31586.1,1.20182
31589.8,1.59311
31593.1,2.04816
31596.4,2.6398
31599.7,3.41681
31602.8,4.36087
31605.7,5.56386
31608.7,7.15061
31611.6,9.2644
31614.6,12.1008
31617.2,15.432
31620.2,20.3576
31623.1,26.7533
31626.7,36.6593
31635.3,64.3592
31638.7,71.6241
31641.4,73.6341
31644.2,72.0803
31648.3,64.5886
31657.1,42.2434
31661.5,33.5613
31666.1,26.7311
31670.9,21.5949
31676.1,17.7115
31682.4,14.4405
31689.0,12.0423
31697.7,9.85769
31706.7,8.30912
31718.6,6.9227
31730.4,5.96973
31746.2,5.08854
31764.6,4.39087
31791.0,3.73633
31822.5,3.23653
31862.0,2.83638
31914.7,2.50052
31980.5,2.23981
32085.8,1.99327
32243.7,1.78985
32506.9,1.61438
32993.9,1.45648
33880.7,1.31143
