1-H-1(n,elastic) ENDF/B-VII.1
1.0E-5,1170.27
1.31241E-5,1021.57
1.70876E-5,895.334
2.2426E-5,781.591
2.91987E-5,685.033
3.83206E-5,598.036
5.0E-5,523.629
6.56205E-5,457.168
8.54381E-5,400.756
1.1213E-4,349.939
1.45993E-4,306.814
1.91603E-4,267.974
2.49468E-4,235.021
3.27404E-4,205.354
4.26281E-4,180.195
5.59456E-4,157.558
7.28412E-4,138.377
9.55976E-4,121.136
0.00124468,106.546
0.00163354,93.4548
0.00212687,82.4018
0.00279132,72.5133
0.00363431,64.1959
0.0047697,56.791
0.00621016,50.6013
0.00815029,45.1343
0.0106117,40.6103
0.0151672,35.562
0.0216784,31.5806
0.0234892,30.8158
0.0253,30.1468
0.0361611,27.4089
0.0567377,24.9188
0.0883169,23.2719
0.165666,21.8472
0.40461,20.848
1.68858,20.2988
34175.2,16.8198
71731.8,14.186
109776.0,12.3866
150000.0,10.9238
200000.0,9.64353
300000.0,7.95225
400000.0,6.8766
500000.0,6.12557
650000.0,5.34944
850000.0,4.63652
1097760.0,4.0527
1400000.0,3.54178
1900000.0,2.99292
2500000.0,2.55106
3300000.0,2.14946
4400000.0,1.77518
5750000.0,1.46586
7250000.0,1.22453
9250000.0,1.00022
1.15E7,0.824917
1.4E7,0.687115
1.7E7,0.568971
2.0E7,0.482757
