11-Na-23(n,&gamma;) ENDF/B-VII.1
1.0E-5,26.5684
1.30374E-5,23.2686
1.71104E-5,20.3112
2.22778E-5,17.8004
2.92376E-5,15.538
3.80674E-5,13.6172
4.996E-5,11.8865
6.50481E-5,10.4171
8.53698E-5,9.09312
1.11152E-4,7.96906
1.45877E-4,6.95618
1.89932E-4,6.09628
2.49268E-4,5.32145
3.24548E-4,4.66362
4.2594E-4,4.07088
5.54575E-4,3.56764
7.2783E-4,3.11418
9.47636E-4,2.72921
0.00124369,2.38231
0.00161928,2.08781
0.00212517,1.82243
0.00276697,1.59713
0.0036314,1.39412
0.00472809,1.22176
0.0062052,1.06647
0.00807918,0.934642
0.0106032,0.815881
0.0138054,0.715058
0.0181183,0.624177
0.0244451,0.537318
0.0253,0.528156
0.033204,0.461004
0.0432317,0.404
0.0567377,0.352697
0.0738726,0.309165
0.0969512,0.269881
0.126231,0.23654
0.165666,0.206453
0.215698,0.18093
0.283085,0.157957
0.368577,0.138426
0.483724,0.120836
0.629809,0.105912
0.826569,0.0924389
1.07619,0.081027
1.41241,0.0707999
1.83896,0.0620865
2.41347,0.0542539
3.14234,0.0475879
4.12404,0.0415595
5.32883,0.0365863
6.99361,0.0319615
9.1057,0.0280344
12.1607,0.0243474
16.3749,0.0210882
22.6528,0.0180299
31.1213,0.0154782
42.2948,0.0133373
54.5254,0.0118357
73.732,0.0103456
100.0,0.00903155
141.917,0.00783261
200.0,0.00688092
300.0,0.0060708
400.0,0.00570072
548.883,0.00554023
597.765,0.00553219
853.032,0.00596687
1078.84,0.00676175
1304.64,0.00810282
1455.18,0.00944156
1605.71,0.0113252
1737.43,0.0136608
1850.33,0.0164323
1963.23,0.0202869
2057.32,0.0248077
2142.0,0.0304431
2217.26,0.0373328
2292.53,0.0469404
2358.39,0.0587306
2414.84,0.0726885
2471.29,0.0919119
2518.34,0.113791
2565.38,0.142768
2617.13,0.18569
2678.28,0.251883
2749.79,0.331787
2787.42,0.353942
2798.71,0.355621
2832.58,0.3456
2879.62,0.301726
2969.94,0.194029
3016.99,0.150073
3064.03,0.116849
3111.07,0.0920366
3158.11,0.0737307
3205.16,0.0599053
3261.61,0.0476282
3318.06,0.0385808
3383.92,0.0308128
3459.19,0.0243806
3534.45,0.0197006
3619.13,0.0158274
3713.22,0.0126881
3826.12,0.00998074
3939.02,0.00802952
4070.74,0.00638109
4202.46,0.00518419
4352.99,0.00416654
4522.35,0.00333116
4691.7,0.00271506
4917.5,0.00212252
5143.31,0.00169897
5406.75,0.0013436
5679.59,0.00107947
5914.81,9.06821E-4
6197.06,7.44867E-4
6573.4,5.88808E-4
6949.74,4.76015E-4
7326.08,3.93743E-4
7478.97,3.73925E-4
7532.07,3.83189E-4
7557.31,4.08607E-4
7568.44,4.38216E-4
7577.72,4.84035E-4
7583.29,5.34381E-4
7587.93,6.02619E-4
7591.64,6.90876E-4
7594.43,7.93478E-4
7596.75,9.23628E-4
7598.6,0.00108759
7599.76,0.0012482
7600.69,0.00144163
7601.5,0.00169508
7602.2,0.00201481
7602.78,0.00239093
7603.36,0.00291025
7603.94,0.00362818
7604.52,0.00461719
7605.1,0.00596936
7605.66,0.00771417
7606.21,0.0100171
7606.77,0.0130138
7607.33,0.0168524
7607.98,0.0225991
7608.65,0.0301865
7609.43,0.0415796
7610.34,0.0580533
7611.47,0.0837233
7614.46,0.16005
7615.7,0.182229
7616.91,0.190778
7617.0,0.190818
7618.21,0.18331
7619.42,0.162596
7621.44,0.111897
7623.06,0.0710734
7624.1,0.0496122
7624.9,0.0363498
7625.63,0.0268198
7626.3,0.020029
7626.88,0.0153177
7627.45,0.0117507
7628.02,0.0089965
7628.59,0.00690313
7629.15,0.0053341
7629.72,0.00417187
7630.32,0.00328273
7630.91,0.0026441
7631.58,0.00214393
7632.24,0.00179632
7633.03,0.00151144
7633.96,0.00129183
7635.1,0.00111629
7636.69,9.58161E-4
7638.96,8.14486E-4
7641.23,7.18582E-4
7644.19,6.32834E-4
