94-Pu-240(n,&gamma;) ENDF/B-VII.1
1.0E-5,13800.1
1.31241E-5,12046.2
1.70876E-5,10557.1
2.2426E-5,9215.46
2.91987E-5,8076.37
3.83206E-5,7049.95
4.98935E-5,6178.61
6.54808E-5,5393.48
8.52562E-5,4727.03
1.11891E-4,4126.43
1.45682E-4,3616.55
1.91195E-4,3157.26
2.48937E-4,2767.29
3.26707E-4,2415.85
4.25373E-4,2117.61
5.58264E-4,1848.9
7.26861E-4,1620.95
9.53941E-4,1415.53
0.00124203,1241.17
0.00163006,1084.2
0.00212234,951.079
0.00278538,831.235
0.00362657,729.735
0.00475955,639.542
0.00619694,562.03
0.00813293,492.275
0.0105891,434.017
0.0138972,380.799
0.0180942,336.268
0.0234661,298.807
0.0253,288.5
0.033204,255.574
0.0432317,228.177
0.0617907,198.252
0.0883169,174.625
0.126231,158.191
0.18042,148.908
0.213072,147.465
0.279638,151.521
0.369055,168.157
0.444464,193.145
0.51884,231.569
0.58082,279.58
0.63247,337.233
0.679988,412.731
0.723374,511.655
0.758496,625.142
0.791552,775.487
0.820476,961.143
0.845268,1183.77
0.867581,1464.6
0.887414,1814.07
0.905595,2264.61
0.920057,2761.51
0.933693,3403.98
0.945262,4151.24
0.956832,5187.75
0.966749,6436.41
0.975426,7959.55
0.982864,9762.82
0.990095,12200.3
0.996499,15224.1
1.00228,19003.4
1.00786,24000.0
1.01292,30083.8
1.01861,39129.3
1.0248,52027.4
1.0341,76413.3
1.04344,101214.0
1.05038,113484.0
1.05564,116484.0
1.06129,112857.0
1.0679,100816.0
1.08616,52709.0
1.09236,39660.7
1.09794,30574.0
1.103,24286.4
1.10879,18934.7
1.11478,14930.8
1.12129,11818.0
1.12779,9574.27
1.13492,7778.42
1.1436,6202.53
1.15186,5109.97
1.16178,4142.28
1.17335,3324.37
1.18657,2653.76
1.20145,2114.47
1.21797,1686.14
1.2345,1374.69
1.25475,1096.88
1.27789,870.498
1.30185,701.991
1.32995,558.661
1.36177,442.571
1.39482,355.786
1.43408,281.598
1.4754,225.518
1.52292,179.054
1.5725,144.051
1.62622,116.374
1.68406,94.2824
1.74811,76.2398
1.82042,61.2908
1.90306,48.8739
1.99603,38.8086
2.09726,30.9165
2.19643,25.2691
2.32039,20.0599
2.44435,16.2612
2.5931,12.935
2.74186,10.5194
2.90714,8.51624
3.10547,6.77324
3.30381,5.51045
3.5352,4.41986
3.79449,3.54849
4.06137,2.88018
4.38162,2.3087
4.70186,1.88537
5.02211,1.58161
5.39574,1.30156
5.87611,1.04712
6.30311,0.88022
6.73011,0.752996
7.26386,0.633453
7.90435,0.526844
8.6516,0.440244
9.39885,0.378439
10.4663,0.318453
11.3733,0.285745
12.2802,0.265204
13.6406,0.253634
14.5475,0.259795
15.4545,0.28148
16.1347,0.314836
16.7015,0.360184
17.155,0.41562
17.5518,0.489499
17.8622,0.572319
18.1782,0.695286
18.4371,0.841682
18.6521,1.01469
18.8188,1.19774
18.9944,1.46305
19.1611,1.82175
19.3015,2.25082
19.42,2.7584
19.5253,3.38446
19.6175,4.14007
19.7052,5.13969
19.782,6.3633
19.8457,7.7586
19.9071,9.61397
19.9598,11.8215
20.0058,14.4815
20.0497,18.0039
20.0881,22.3416
20.121,27.5687
20.1484,33.6706
20.1704,40.4415
20.1923,50.0619
20.2099,61.2079
20.2263,76.2771
20.2395,93.3073
20.2531,117.781
20.2662,150.551
20.2773,188.442
20.2892,241.384
20.302,317.444
20.3139,408.602
20.3277,544.563
20.3428,733.558
20.3608,1011.97
20.4183,2054.23
20.4389,2308.44
20.4596,2401.53
20.4769,2338.13
20.4986,2093.08
20.5311,1520.83
20.5618,962.591
20.5794,700.136
20.5952,511.752
20.6083,388.934
20.6215,293.913
20.6333,228.581
20.6452,178.844
20.657,141.461
20.6692,112.911
20.6823,90.5301
20.6953,74.2568
20.7084,62.2628
20.7233,52.1441
20.7408,43.4811
20.7628,35.7363
20.7891,29.1568
20.8209,23.5352
20.8538,19.3517
20.8944,15.6156
20.9405,12.5836
20.9866,10.3765
