94-Pu-241(n,elastic) ENDF/B-VII.1
1.0E-5,44.0215
1.31241E-5,38.776
1.70876E-5,34.3689
2.2426E-5,30.451
2.91987E-5,27.1823
3.83206E-5,24.3022
5.47714E-5,21.1761
7.82843E-5,18.6948
1.11891E-4,16.7607
1.59925E-4,15.2857
2.48937E-4,13.9728
4.25373E-4,12.951
7.97923E-4,12.2652
0.00212234,11.764
0.0138972,11.391
0.0234661,11.2789
0.0253,11.2596
0.185456,10.0745
0.191217,10.0709
0.215877,10.3234
0.236671,11.1832
0.277166,14.2052
0.29796,14.8232
0.301243,14.838
0.43367,12.9516
0.590294,12.1166
1.02246,11.3881
2.97477,9.69459
3.56047,8.72579
3.79474,8.0004
3.97253,7.01316
4.07418,6.00165
4.16093,4.75206
4.1767,4.67168
4.18931,4.81956
4.19878,5.16117
4.20883,5.86546
4.2177,6.89286
4.22657,8.40499
4.23584,10.58
4.24767,14.2498
4.28047,26.6493
4.29435,30.3005
4.30634,31.673
4.30949,31.746
4.32321,30.8502
4.35015,25.8228
4.37837,20.5711
4.40305,17.5228
4.43301,15.2877
4.46298,13.9985
4.50293,13.2642
4.51625,13.2596
4.54999,13.8192
4.61569,15.8893
4.62989,16.0484
4.6512,15.9477
4.75984,13.2328
4.85256,11.804
4.95931,10.8913
5.10165,10.1427
5.35785,9.38105
5.54288,9.20674
5.74358,9.52007
5.99835,10.737
6.26167,11.9419
6.38266,12.1022
6.58282,11.6913
6.81761,10.2576
6.85323,10.6147
6.87645,11.3676
6.90642,13.133
6.96584,17.6165
6.99176,18.681
7.00833,18.9009
7.0609,18.0761
7.16892,15.6606
7.28055,14.3605
7.49299,13.0711
8.18803,10.3875
8.33904,9.38794
8.48651,7.9106
8.4924,7.90337
8.51836,8.19149
8.53782,8.96694
8.55641,10.3735
8.57735,12.8353
8.63067,20.7729
8.6486,22.4786
8.66748,23.2027
8.68966,22.7949
8.77082,17.8563
8.80622,16.3864
8.88084,14.6086
8.96313,13.5764
9.15919,12.3889
9.38589,11.8889
9.42878,11.8807
9.54274,12.1373
9.67508,13.2914
9.80118,12.1869
9.82486,12.1834
10.1754,13.4561
10.2607,13.5213
10.6017,12.9357
12.0924,9.05567
12.3845,7.92542
12.6527,6.60206
12.6655,6.58584
12.7166,6.72588
12.7728,7.372
12.8545,8.71099
