92-U-234(n,elastic) ENDF/B-VII.1
1.0E-5,67.6253
1.31241E-5,59.5527
1.70876E-5,52.7683
2.2426E-5,46.7349
2.91987E-5,41.6988
3.83206E-5,37.2587
4.98935E-5,33.5928
7.13124E-5,29.5161
1.01926E-4,26.3171
1.45682E-4,23.8585
2.2858E-4,21.6173
3.55803E-4,20.1362
6.67422E-4,18.8661
0.00148489,18.0601
0.00619694,17.531
0.0234661,17.2996
0.0253,17.2844
0.483724,14.7825
1.15529,12.4331
2.37707,9.55301
3.25946,7.46943
3.73459,5.9337
4.02731,4.64103
4.23943,3.42606
4.41336,2.19918
4.60532,0.688233
4.64509,0.413384
4.66896,0.273852
4.68593,0.191989
4.69865,0.142887
4.7082,0.114414
4.71668,0.0960686
4.72305,0.0871422
4.72941,0.0827997
4.73153,0.0824454
4.73789,0.0849042
4.74267,0.0904426
4.74929,0.103855
4.75539,0.122586
4.76229,0.151865
4.76971,0.194016
4.77819,0.257256
4.78721,0.344348
4.79729,0.469494
4.80789,0.638029
4.81956,0.87483
4.83122,1.17588
4.84395,1.59307
4.85721,2.14867
4.86993,2.82649
4.88425,3.803
4.89857,5.07086
4.91289,6.72159
4.92752,8.93838
4.9411,11.6425
4.95467,15.2044
4.96655,19.2901
4.97843,24.6367
4.99031,31.7721
5.00049,39.9425
5.01025,50.3774
5.01916,63.1647
5.02807,80.5644
5.0357,100.852
5.04334,128.318
5.04991,159.978
5.05628,200.157
5.06349,260.699
5.07017,335.177
5.07685,431.875
5.08449,575.335
5.09265,773.783
5.1023,1072.79
5.11503,1562.7
5.13752,2496.21
5.14931,2847.65
5.16068,2991.02
5.16238,2993.32
5.1729,2896.91
5.1863,2538.92
5.21854,1310.06
5.22915,983.255
5.23891,748.589
5.24782,586.053
5.25545,479.999
5.265,381.473
5.27454,311.08
5.28472,257.5
5.29745,210.868
5.31272,172.999
5.33012,143.653
5.35175,118.682
5.37699,98.7638
5.40605,82.924
5.44423,68.7293
5.49196,56.9441
5.54923,47.6336
5.61604,40.4346
5.70301,34.2834
5.80483,29.5774
5.94058,25.5086
6.11027,22.2768
6.3139,19.794
6.65328,17.2774
7.06054,15.5042
7.60355,14.0755
8.49173,12.7238
10.089,11.4469
12.8272,10.363
18.9595,9.14736
22.4406,8.43807
22.6593,8.2671
22.8233,8.49714
23.1453,7.98239
23.2787,7.44502
23.3049,7.43067
23.3441,7.71089
23.3951,8.71968
23.4566,10.0534
23.4933,10.3357
23.556,9.98247
23.6319,9.36736
23.8124,8.85915
24.5973,8.41213
27.2481,7.5245
28.3245,6.89586
29.0877,6.13656
29.6066,5.27073
29.8888,4.55836
30.1379,3.68064
30.3247,2.78535
30.4741,1.87795
30.6277,0.842682
30.6651,0.638429
30.69,0.543984
30.7045,0.514645
30.7107,0.510023
30.7232,0.519041
30.7356,0.559053
30.746,0.623712
30.7564,0.725842
30.7668,0.877007
30.7772,1.09292
30.7862,1.35158
30.7958,1.71783
30.8052,2.19347
30.8145,2.8229
30.8233,3.60043
30.8332,4.74313
30.8425,6.17074
30.8519,8.03228
30.8612,10.4483
30.8706,13.5665
30.8809,18.0733
30.8913,23.9625
30.9013,31.2382
30.9125,41.7695
30.9237,55.3281
30.9361,74.6856
30.9486,99.3933
30.9623,133.723
30.9772,180.721
30.9947,248.918
31.0171,356.785
31.0835,724.759
31.1116,829.412
31.1356,861.48
31.1599,833.373
31.1873,738.451
31.2612,361.02
31.2844,263.995
31.3043,198.79
31.323,152.174
31.3396,120.991
31.3562,97.6957
31.3734,80.1231
31.3915,66.7934
31.4133,55.7928
31.4351,48.3361
31.4642,41.6627
31.4994,36.3199
31.5513,31.1838
31.624,26.6071
31.7236,22.7063
31.8419,19.8165
32.0059,17.3294
32.2342,15.2646
32.5746,13.5171
32.9897,12.3114
33.7203,11.1604
35.0862,10.139
37.818,9.22479
43.1346,7.99851
44.5236,7.39474
45.0271,6.93866
45.239,6.51872
45.3927,5.98857
45.4139,5.97354
45.4563,6.12951
45.4961,6.59975
45.5484,7.72388
45.6299,9.68837
45.6796,10.1969
45.6895,10.208
45.7571,9.68023
45.8717,8.28086
45.9677,7.68352
46.1664,7.13855
46.9802,5.68634
47.3271,4.79685
47.5876,3.83798
47.7612,2.97132
47.9175,1.98857
48.0401,1.15942
48.076,0.980385
48.0987,0.924237
48.1036,0.921946
48.1172,0.941131
48.1302,1.00611
48.1432,1.13518
48.153,1.28894
48.1644,1.55063
48.1758,1.92866
48.1856,2.37343
48.1964,3.03645
48.2073,3.9267
48.2181,5.10762
48.229,6.65717
48.2398,8.66992
48.2518,11.5543
48.2637,15.3146
48.2757,20.1593
48.2887,26.9626
48.3017,35.6877
48.3147,46.7114
48.3299,63.001
48.3451,83.5639
48.362,112.169
48.3829,156.345
48.4063,218.051
48.4393,323.118
48.5018,533.225
48.5357,611.666
48.5659,638.942
48.5676,639.116
48.5965,619.989
48.6243,566.488
48.6733,421.209
48.7215,271.909
48.751,197.468
48.7749,150.199
48.7966,117.001
48.8183,91.9624
48.8411,72.8326
48.8639,59.3161
48.8867,49.862
48.9095,43.2295
48.9409,37.0566
48.9789,32.288
49.0332,28.0038
49.0983,24.6983
49.1808,21.8997
49.3045,19.1771
49.476,16.8558
49.7148,14.9365
50.01,13.5291
50.4094,12.3921
51.028,11.3881
52.3363,10.3551
54.827,9.5239
61.2314,8.63419
70.0891,7.60587
73.2488,6.85082
74.5817,6.19398
75.3118,5.5579
75.8515,4.77469
76.1917,3.99349
76.4298,3.20009
76.6135,2.37297
76.7904,1.43728
76.8176,1.33402
76.8448,1.2886
76.8629,1.31508
76.8788,1.39705
76.8958,1.57321
76.9094,1.80531
76.923,2.14671
76.9378,2.679
76.9514,3.36569
76.965,4.29393
76.9786,5.52793
