40-Zr-90(n,&gamma;) ENDF/B-VII.1
1.0E-5,0.502168
1.31241E-5,0.438343
1.70876E-5,0.384156
2.2426E-5,0.335331
2.91987E-5,0.293878
3.83206E-5,0.256526
4.98935E-5,0.224815
6.54808E-5,0.196241
8.52562E-5,0.171983
1.11891E-4,0.150124
1.45682E-4,0.131565
1.91195E-4,0.114846
2.48937E-4,0.100649
3.26707E-4,0.0878548
4.25373E-4,0.0769949
5.58264E-4,0.0672083
7.26861E-4,0.0589023
9.53941E-4,0.0514159
0.00124203,0.045059
0.00163006,0.0393323
0.00212234,0.0344688
0.00278538,0.030088
0.00362657,0.026368
0.00475955,0.0230191
0.00619694,0.0201713
0.00813293,0.0176103
0.0105891,0.0154371
0.0138972,0.0134763
0.0180942,0.0118245
0.0234661,0.0104013
0.0253,0.0100151
0.033204,0.00873225
0.0432317,0.00767011
0.0567377,0.00668472
0.0738726,0.00585153
0.105586,0.00490216
0.138572,0.00427141
0.18042,0.00374114
0.257874,0.00313198
0.338436,0.00273233
0.483724,0.00228639
0.629809,0.00200423
0.900182,0.0016756
1.18141,0.00146284
1.5382,0.00128884
1.96957,0.00113578
2.56439,9.93497E-4
3.56303,8.42011E-4
4.67616,7.36281E-4
6.08837,6.48872E-4
7.10076,5.96916E-4
9.31911,5.22264E-4
12.1335,4.60455E-4
14.1762,4.23253E-4
19.4458,3.62879E-4
25.3184,3.19956E-4
31.0965,2.88325E-4
38.8637,2.58149E-4
50.6006,2.28E-4
62.1653,2.05789E-4
77.6997,1.84673E-4
101.165,1.6367E-4
124.303,1.48243E-4
155.372,1.3367E-4
214.367,1.1608E-4
292.405,1.01381E-4
358.37,9.35298E-5
493.825,8.33259E-5
683.663,7.58262E-5
907.24,7.14947E-5
1154.99,7.02807E-5
1535.67,7.34068E-5
1887.15,8.18916E-5
2100.65,9.07586E-5
2291.0,1.02324E-4
2501.48,1.21668E-4
2663.62,1.43642E-4
2804.62,1.71846E-4
2925.47,2.06617E-4
3006.04,2.39012E-4
3086.6,2.803E-4
3167.17,3.376E-4
3242.7,4.12273E-4
3310.68,5.0742E-4
3368.59,6.20618E-4
3418.95,7.58984E-4
3459.23,9.08757E-4
3499.51,0.00111189
3534.76,0.00135291
3570.01,0.00169011
3600.23,0.0020976
3625.4,0.00256897
3650.58,0.00322085
3670.72,0.00394914
3690.86,0.00496236
3707.86,0.00616422
3722.97,0.00765225
3736.18,0.00945389
3747.51,0.0115714
3758.84,0.0145022
3767.97,0.0177662
3777.41,0.0224396
3785.59,0.028195
3791.95,0.0343734
3798.31,0.0428542
3804.04,0.0535296
3808.95,0.0662136
3813.48,0.0824011
3817.51,0.102347
3821.03,0.126385
3824.3,0.157135
3827.33,0.196531
3829.97,0.244428
3832.24,0.300721
3834.38,0.373399
3836.39,0.468007
3838.28,0.592004
3839.82,0.731502
3841.39,0.926858
3842.81,1.1695
3844.23,1.50283
3845.49,1.90098
3846.93,2.49703
3849.78,3.93449
3850.79,4.31476
3851.99,4.49355
3853.11,4.33934
3854.68,3.70653
3857.29,2.39266
3858.67,1.83976
3859.93,1.45572
3861.35,1.13476
3862.76,0.901
3864.21,0.725412
3865.91,0.575225
3867.61,0.465962
3869.62,0.371658
3871.83,0.297429
3874.38,0.235981
3877.08,0.189352
3880.2,0.15088
3883.72,0.119913
3887.25,0.097666
3891.4,0.07855
3895.81,0.0638471
3900.59,0.0521773
3905.88,0.0427293
3911.92,0.0348753
3917.97,0.0291366
3924.39,0.0246525
3931.94,0.0207679
3941.38,0.0174913
3948.93,0.015835
3956.49,0.0149513
3960.26,0.0148033
3966.56,0.0152012
3972.85,0.0165836
3977.57,0.0187452
3981.51,0.0218714
3984.65,0.0258326
3987.41,0.0310364
3989.77,0.0376373
3991.74,0.0457198
3993.39,0.0553922
3994.8,0.0669505
3996.14,0.0821871
3997.24,0.0996868
3998.2,0.120507
3999.04,0.145445
3999.88,0.180105
4000.55,0.219207
4001.09,0.262882
4001.55,0.315753
4001.92,0.375722
4002.28,0.459411
4002.56,0.554147
4002.84,0.688326
4003.08,0.849268
4003.32,1.0702
4003.57,1.37316
4003.81,1.78584
4004.05,2.34176
4004.29,3.07939
4004.55,4.11967
4004.82,5.55516
4005.11,7.49778
4005.45,10.3833
4005.87,14.8356
4007.08,29.5958
4007.55,33.5226
4008.0,34.8584
4008.41,33.7551
4008.86,30.2431
4009.53,22.3539
4010.21,13.8443
4010.6,9.87764
4010.93,7.15822
4011.22,5.2822
4011.49,3.92242
4011.74,2.9886
4011.98,2.27328
4012.22,1.735
4012.43,1.37441
4012.67,1.0784
4012.9,0.860528
4013.14,0.700368
4013.42,0.565169
4013.7,0.467087
4014.02,0.387803
4014.42,0.319205
4014.91,0.26281
4015.51,0.214165
4016.24,0.173485
4017.0,0.142792
4017.94,0.115639
4019.07,0.0926161
4020.36,0.0741893
4021.81,0.0596525
4023.51,0.0477885
4025.2,0.0393418
4027.3,0.0318534
4029.74,0.0257399
4032.62,0.0207524
4035.82,0.0169063
4038.94,0.0142187
4043.13,0.0116528
4047.32,0.00984809
4053.38,0.00799881
4059.92,0.00662553
4068.34,0.00541802
4077.68,0.00452595
4086.41,0.00389892
4096.38,0.00336155
4111.33,0.00277336
4126.29,0.00236727
4146.23,0.00195605
4166.17,0.0016556
4191.1,0.00137883
4221.01,0.00113226
4250.92,9.58763E-4
4280.83,8.16197E-4
4330.69,6.51047E-4
4369.2,5.55703E-4
4415.4,4.69472E-4
4474.9,3.86114E-4
4533.55,3.28752E-4
4592.2,2.81724E-4
4689.95,2.28722E-4
4768.15,1.98037E-4
4865.9,1.70231E-4
4983.2,1.46342E-4
5100.5,1.31012E-4
5217.8,1.19173E-4
5374.2,1.09774E-4
5530.6,1.04972E-4
5687.0,1.03907E-4
5911.12,1.08731E-4
6079.25,1.18403E-4
6207.97,1.30627E-4
6310.1,1.45054E-4
6413.32,1.65069E-4
6507.16,1.91915E-4
6594.12,2.27352E-4
6664.34,2.69595E-4
6717.91,3.12635E-4
6772.73,3.72846E-4
6831.54,4.64507E-4
6873.76,5.5813E-4
6913.65,6.81111E-4
6950.71,8.42584E-4
6981.99,0.00103363
7013.27,0.00130581
7038.3,0.0016154
7061.76,0.0020219
7080.52,0.00247737
7099.29,0.00310832
7115.71,0.00389383
7129.79,0.00483715
7141.91,0.00596
7151.69,0.00717152
7161.46,0.00881256
7171.24,0.0110958
7179.06,0.0136343
7185.9,0.0166507
7192.74,0.0207986
7198.8,0.0259205
7204.28,0.0323396
7209.16,0.0403797
7213.27,0.0497145
7216.98,0.0612751
7220.4,0.0759231
7223.63,0.09517
7226.37,0.117903
7228.71,0.144533
7231.02,0.18069
7232.94,0.222385
7234.66,0.27376
7236.3,0.341799
7237.63,0.417843
7238.8,0.508884
7239.97,0.634673
7240.91,0.774227
7241.73,0.940584
7242.55,1.17107
7243.31,1.47003
7243.95,1.82813
7244.54,2.27205
7245.15,2.90598
7245.75,3.73521
7246.37,4.86691
7247.07,6.54608
7248.01,9.3724
7249.44,14.0002
7250.16,15.6518
7250.83,16.3777
7251.0,16.4091
7251.7,15.8761
7252.5,14.1475
7254.68,7.2498
7255.39,5.40094
7256.0,4.14779
7256.63,3.17808
7257.18,2.54
7257.74,2.04172
7258.33,1.65754
7258.94,1.36223
7259.64,1.10966
7260.46,0.897075
7261.4,0.723603
7262.46,0.584216
7263.71,0.466721
7265.08,0.375333
7266.64,0.300721
7268.28,0.244271
7270.16,0.197446
7272.15,0.161215
7274.62,0.128852
7277.2,0.104388
7280.33,0.0830584
7283.75,0.0664638
7287.66,0.0529575
7291.86,0.0425807
7296.55,0.0342436
7301.24,0.0281629
7307.4,0.0223669
7313.56,0.018189
7320.4,0.014793
7328.22,0.011966
7337.02,0.00966308
7347.19,0.00774984
7358.92,0.00618551
7370.65,0.00505299
7384.72,0.00406774
7401.14,0.00324967
7419.13,0.00261712
7438.29,0.00213162
7460.58,0.00172721
7486.4,0.0013941
7513.9,0.00114201
7547.01,9.28826E-4
7580.11,7.79792E-4
7617.94,6.53807E-4
7655.78,5.62986E-4
7703.07,4.8257E-4
7759.82,4.15547E-4
7815.9,3.7489E-4
7870.63,3.45832E-4
7943.6,3.2603E-4
8016.57,3.21111E-4
8089.54,3.29623E-4
8180.76,3.62398E-4
8235.48,3.93134E-4
8317.58,4.70161E-4
8372.3,5.49215E-4
8417.62,6.40413E-4
8465.89,7.78265E-4
8505.1,9.35773E-4
8541.3,0.0011399
8574.48,0.00139985
8604.65,0.0017375
8631.8,0.00216679
8655.93,0.00270604
8676.29,0.00334774
8694.39,0.00414026
8710.22,0.0050984
8723.8,0.00621842
8737.37,0.00776125
8748.68,0.00954048
8760.0,0.0120007
8769.05,0.0147504
8777.34,0.0182021
8784.88,0.0225185
8791.67,0.0278732
8797.7,0.034424
8803.28,0.0427901
8808.41,0.0534687
8813.09,0.0670669
8816.78,0.0819432
8820.33,0.101442
8823.49,0.125445
8826.21,0.15354
8828.77,0.189746
8831.19,0.236925
8833.33,0.295601
8835.18,0.36559
8836.96,0.459235
8838.41,0.565901
8839.71,0.696818
8840.9,0.8606
8842.01,1.07184
8843.06,1.34994
8843.97,1.67539
8844.87,2.11197
8845.85,2.74809
8846.89,3.63982
8848.3,5.194
8850.16,7.31279
8851.09,8.02368
8852.0,8.26921
8853.03,7.95335
8853.99,7.16112
8856.88,3.86271
8857.96,2.89157
8858.86,2.26437
8859.81,1.77275
8860.73,1.41653
8861.65,1.15186
8862.71,0.928609
8863.92,0.743897
8865.2,0.602083
8866.71,0.481827
8868.44,0.383468
8870.25,0.309941
8872.4,0.247262
8874.77,0.197884
8877.26,0.160494
8880.28,0.127842
8883.52,0.102753
8887.14,0.0825969
8890.76,0.0678646
8894.83,0.0556116
8899.58,0.0450812
8904.79,0.0366279
8910.82,0.0295058
8917.99,0.0234603
8925.53,0.0189118
8934.2,0.0151519
8943.25,0.0123159
8953.43,0.0100016
8963.99,0.00822347
8975.68,0.00676136
8989.25,0.00551005
9005.09,0.00445022
9023.19,0.00358058
9043.55,0.00288144
9066.17,0.00232905
9090.3,0.00190127
9117.45,0.00155207
9147.62,0.00127253
9185.32,0.00102426
9226.05,8.3516E-4
9274.31,6.79541E-4
9322.57,5.71148E-4
9378.87,4.84634E-4
9435.16,4.32489E-4
9463.31,4.22195E-4
9494.98,4.35486E-4
9510.81,4.64303E-4
9521.37,4.97363E-4
9531.92,5.57723E-4
9539.84,6.33585E-4
9547.75,7.56704E-4
9553.0,8.86179E-4
9557.38,0.00104773
9560.88,0.00123129
9564.42,0.00149813
9567.09,0.00178798
9569.79,0.00220541
9571.92,0.00267788
9573.75,0.00324292
9575.39,0.00394784
9576.8,0.00478515
9578.16,0.0059223
9579.3,0.00730095
9580.12,0.00869609
9580.83,0.0103931
9581.39,0.0123603
9581.88,0.0148744
9582.3,0.018014
9582.67,0.0218584
9583.02,0.0270698
9583.31,0.0329851
9583.61,0.0408373
9583.9,0.051232
9584.22,0.0665023
9584.54,0.0865432
9584.87,0.114071
9585.19,0.150179
9585.52,0.196764
9585.88,0.26173
9586.27,0.351446
9586.69,0.475196
9587.16,0.646376
9587.81,0.942613
9589.54,1.83787
9590.28,2.10578
9590.96,2.19996
9591.0,2.20021
9591.67,2.11715
9592.33,1.89492
9593.41,1.35186
9594.42,0.829676
9594.98,0.59115
9595.45,0.430758
9595.86,0.319142
9596.25,0.236485
9596.6,0.178003
9596.92,0.13692
9597.23,0.104959
9597.55,0.0804635
9597.87,0.0619352
9598.18,0.0480741
9598.5,0.0377932
9598.79,0.0306936
9599.14,0.0244447
9599.5,0.0199802
9599.91,0.0163132
9600.38,0.0134454
9600.94,0.0111289
9601.64,0.0091946
9602.48,0.00761469
9603.47,0.00631397
9604.73,0.00512533
9606.23,0.00413627
9607.88,0.00337257
9609.75,0.00275212
9612.0,0.00222844
9614.62,0.00180452
9617.41,0.00149015
9620.73,0.00122759
9624.6,0.00101694
9629.49,8.36163E-4
9634.38,7.1153E-4
9640.9,5.98804E-4
9648.51,5.13804E-4
9657.21,4.47658E-4
9668.07,3.9322E-4
9685.46,3.41127E-4
9707.2,3.00864E-4
9733.29,2.73383E-4
9759.38,2.53517E-4
9828.94,2.22615E-4
9928.5,1.97791E-4
10083.1,1.76325E-4
10200.2,1.66872E-4
10493.1,1.57323E-4
10551.6,1.56813E-4
10903.0,1.6382E-4
11195.8,1.81451E-4
11430.1,2.04259E-4
11664.3,2.37908E-4
11858.8,2.80801E-4
11990.0,3.25826E-4
12065.6,3.68746E-4
12099.0,4.01393E-4
12126.4,4.47564E-4
12144.5,5.04089E-4
12155.2,5.60482E-4
12165.2,6.47141E-4
12172.5,7.49364E-4
12177.7,8.61593E-4
12182.4,0.00101393
12186.3,0.00120365
12189.6,0.00143548
12192.5,0.0017362
12194.8,0.00206998
12196.8,0.00250206
12198.5,0.00299862
12199.9,0.00356798
12201.3,0.00436583
12202.4,0.00528655
12203.4,0.00642288
12204.0,0.00761039
12204.6,0.0091097
12205.1,0.0110464
12205.5,0.0134495
12205.9,0.0162307
12206.2,0.0203087
12206.6,0.0255653
12206.9,0.0326982
12207.3,0.0423204
12207.6,0.0551766
12208.0,0.0708718
12208.3,0.0942693
12208.7,0.124801
12209.1,0.163908
12209.5,0.219922
12209.9,0.290344
12210.4,0.392344
12211.1,0.561816
12212.1,0.880798
12213.4,1.29679
12214.2,1.47646
12215.0,1.54169
12215.0,1.54175
12215.8,1.48351
12216.5,1.31703
12217.8,0.912172
12218.9,0.578503
12219.5,0.408631
12220.0,0.303566
12220.4,0.230622
12220.9,0.169269
12221.2,0.12875
12221.6,0.0971188
12222.0,0.0728778
12222.3,0.0557262
12222.7,0.0439167
12223.0,0.0348034
12223.3,0.0278172
12223.7,0.0217456
12224.0,0.0178916
12224.4,0.0143548
12224.8,0.0118387
12225.2,0.00972652
12225.7,0.00826066
12226.3,0.00691515
12227.2,0.00572431
12228.2,0.00472911
12229.5,0.00390402
12231.0,0.00322498
12232.9,0.00261642
12234.8,0.00219057
12237.3,0.00179623
12239.8,0.00152402
12243.2,0.00127201
12247.4,0.00106332
12251.6,9.25341E-4
12257.5,8.017E-4
12265.0,7.0215E-4
12275.1,6.26473E-4
12287.9,5.76439E-4
12309.2,5.41809E-4
12343.2,5.32688E-4
12411.4,5.68048E-4
12513.5,6.7319E-4
12615.7,8.33644E-4
12700.9,0.00103041
12769.0,0.0012511
12828.6,0.00151561
12888.2,0.00188111
12942.7,0.00236011
12983.5,0.00286022
13024.4,0.00354785
13058.5,0.00434126
13089.1,0.00531164
13114.7,0.00639556
13140.2,0.00786063
13164.1,0.00974553
13184.5,0.0119628
13204.9,0.0150322
13222.8,0.0187944
13238.1,0.0232508
13250.9,0.0282674
13263.7,0.0350424
13276.4,0.0444528
13287.9,0.0563517
13297.9,0.070701
13307.5,0.0895847
13316.0,0.112389
13324.6,0.142918
13333.5,0.185272
13352.7,0.301947
13359.6,0.33147
13364.9,0.339488
13370.4,0.331077
13377.3,0.301188
13396.5,0.184371
13405.4,0.142133
13414.0,0.111716
13422.5,0.089008
13432.1,0.0702107
13442.1,0.0559313
13453.6,0.0440942
13466.3,0.0347357
13479.1,0.0280007
13491.9,0.0230158
13507.2,0.0185896
13525.1,0.0148552
13545.5,0.0118168
13568.5,0.00938706
13591.5,0.00763909
13620.4,0.00606557
13651.1,0.00487539
13685.1,0.00393225
13719.2,0.00324281
13760.1,0.00263976
13807.8,0.00213614
13852.0,0.00179938
13909.9,0.00147006
13978.1,0.00120013
14046.2,0.00100901
14131.3,8.41463E-4
14233.5,7.04812E-4
14352.7,6.01011E-4
14488.9,5.28899E-4
14659.2,4.78609E-4
14872.1,4.58257E-4
14880.6,4.58187E-4
15102.0,4.73654E-4
15340.4,5.25469E-4
15544.7,6.04571E-4
15715.0,7.05923E-4
15851.3,8.16293E-4
15987.5,9.65827E-4
16106.7,0.00113975
16242.9,0.00141537
16345.1,0.00170737
16447.3,0.00211231
16515.4,0.00247547
16583.5,0.00293957
16651.6,0.00357824
16711.2,0.00435046
16755.9,0.00517473
16789.7,0.00608306
16813.0,0.00702834
16828.1,0.007973
16841.5,0.00930735
16850.2,0.0107071
16856.2,0.012198
16861.4,0.0140953
16865.7,0.0164465
16869.8,0.0197878
16872.7,0.0233955
16875.1,0.0277255
16877.4,0.0335883
16879.3,0.0409954
16881.0,0.0501104
16882.2,0.0597814
16883.2,0.0724594
16884.1,0.087172
16884.9,0.107151
16885.6,0.133286
16886.3,0.166334
16886.9,0.206028
16887.5,0.262231
16888.0,0.330135
16888.5,0.418048
16889.2,0.550302
16889.9,0.74018
16890.6,1.00559
16891.6,1.43683
16893.8,2.556
16894.8,2.91131
16895.8,3.08556
16896.0,3.09099
16896.9,2.9977
16897.7,2.73579
16899.0,2.1243
16900.7,1.27529
16901.7,0.90407
16902.3,0.688545
16903.0,0.520561
16903.5,0.410817
16904.1,0.312866
16904.7,0.244837
16905.3,0.194259
16905.9,0.156353
16906.5,0.127708
16907.2,0.103892
16907.9,0.0870547
16908.8,0.0733316
16909.8,0.061407
16911.1,0.0505785
16912.8,0.0418201
16914.6,0.0350478
16916.8,0.0295845
16919.4,0.0251466
16922.8,0.0213069
16926.7,0.0185979
16930.6,0.016866
16936.4,0.0153284
16944.2,0.0144923
16946.2,0.014471
16950.2,0.0148015
16952.2,0.0154645
16953.5,0.0165977
16954.2,0.0180188
16954.9,0.0202286
16955.5,0.0231869
16956.0,0.0276858
16956.5,0.0328344
16957.0,0.0408287
16957.5,0.0518222
16958.0,0.066191
16958.5,0.0872861
16959.1,0.114575
16959.7,0.154108
16960.5,0.217981
16962.0,0.361665
16963.2,0.474746
16964.1,0.533694
16965.0,0.552786
16965.8,0.534383
16966.8,0.475213
16968.2,0.337668
16969.5,0.220074
16970.3,0.154699
16970.9,0.113802
16971.5,0.0846815
16972.1,0.0644901
16972.6,0.050704
16973.1,0.040355
16973.5,0.0334903
16974.0,0.0273098
16974.6,0.0231172
16975.1,0.0203263
16975.8,0.0182103
16976.4,0.0169397
16977.5,0.015838
16979.4,0.0150613
16984.4,0.0145062
16987.0,0.0144477
17004.0,0.0150739
17032.5,0.0173406
17066.6,0.0213872
17096.9,0.026463
17123.4,0.0325049
17150.0,0.0406562
17176.5,0.0517593
17203.8,0.0673047
17231.1,0.0878239
17279.6,0.13061
17294.8,0.140069
17312.6,0.144361
17331.2,0.13963
17358.0,0.120177
17402.0,0.0810745
17430.3,0.0613655
17457.1,0.0474818
17483.6,0.0373905
17510.1,0.0299553
17540.5,0.0237275
17570.8,0.0191737
17601.1,0.0157708
17639.0,0.0126231
17676.9,0.010314
17722.4,0.00828142
17775.5,0.0065807
17828.6,0.0053573
17889.2,0.00433206
17960.0,0.00347054
18040.9,0.00277408
18121.8,0.00227371
18222.9,0.00182938
18323.9,0.00151238
18445.3,0.00124868
18566.6,0.00107271
18687.9,9.6761E-4
18778.9,9.40396E-4
18829.4,9.55077E-4
18892.6,0.00103533
18930.5,0.00115383
