8-O-16(n,&gamma;) ENDF/B-VII.1
1.0E-5,0.0095601
1.30374E-5,0.00837273
1.71104E-5,0.00730857
2.22778E-5,0.00640511
2.92376E-5,0.00559103
3.80674E-5,0.00489989
4.996E-5,0.00427712
6.50481E-5,0.00374839
8.53698E-5,0.00327198
1.11152E-4,0.0028675
1.45877E-4,0.00250305
1.89932E-4,0.00219363
2.49268E-4,0.00191482
3.24548E-4,0.00167812
4.2594E-4,0.00146483
5.54575E-4,0.00128375
7.2783E-4,0.00112059
9.47636E-4,9.82068E-4
0.00124369,8.57247E-4
0.00161928,7.51278E-4
0.00212517,6.55791E-4
0.00276697,5.74724E-4
0.0036314,5.01676E-4
0.00472809,4.39662E-4
0.0062052,3.83781E-4
0.00807918,3.36342E-4
0.0106032,2.936E-4
0.0138054,2.57307E-4
0.0181183,2.24595E-4
0.0244451,1.93335E-4
0.0253,1.90036E-4
0.033204,1.65859E-4
0.0432317,1.45339E-4
0.0567377,1.2686E-4
0.0738726,1.11188E-4
0.0969512,9.70364E-5
0.126231,8.50832E-5
0.165666,7.43015E-5
0.215698,6.51457E-5
0.283085,5.68971E-5
0.368577,4.98809E-5
0.483724,4.3565E-5
0.629809,3.81992E-5
0.826569,3.33585E-5
1.07619,2.92673E-5
1.41241,2.56172E-5
1.83896,2.25045E-5
2.41347,1.97009E-5
3.14234,1.73114E-5
4.12404,1.51498E-5
5.36951,1.33272E-5
7.04701,1.17263E-5
9.17522,1.03514E-5
11.9712,9.1747E-6
16.3749,7.98033E-6
21.792,7.04617E-6
31.6228,6.04245E-6
45.3078,5.32151E-6
63.375,4.76578E-6
86.1613,4.39616E-6
133.355,4.01596E-6
224.396,3.8529E-6
316.228,3.81726E-6
623.092,4.19306E-6
2313.96,6.19543E-6
5000.0,8.66249E-6
10000.0,1.19515E-5
21926.9,1.74466E-5
37182.4,2.26179E-5
63064.5,2.93939E-5
107784.0,3.84735E-5
244322.0,6.15872E-5
285762.0,7.16339E-5
313632.0,8.22795E-5
333284.0,9.41932E-5
348289.0,1.08332E-4
361864.0,1.28144E-4
372590.0,1.52508E-4
381874.0,1.84123E-4
389382.0,2.21838E-4
396164.0,2.70122E-4
402242.0,3.31002E-4
407604.0,4.02635E-4
414030.0,5.1707E-4
426185.0,7.74925E-4
431180.0,8.31864E-4
432610.0,8.35235E-4
436900.0,8.08864E-4
442620.0,7.087E-4
453334.0,4.84876E-4
459770.0,3.82664E-4
465480.0,3.15534E-4
471914.0,2.60484E-4
479422.0,2.15514E-4
488350.0,1.791E-4
498360.0,1.52224E-4
500000.0,1.4924E-4
1000000.0,1.00002E-4
2242600.0,1.0E-4
3832060.0,1.0E-4
7828430.0,1.0E-4
1.01926E7,1.0E-4
1.11891E7,1.0E-4
1.74168E7,1.0E-4
1.91195E7,1.0E-4
2.48937E7,1.0E-4
2.73274E7,1.0E-4
2.99104E7,1.0E-4
2.99403E7,1.0E-4
2.99701E7,1.0E-4
2.99944E7,1.0E-4
2.99963E7,1.0E-4
2.99993E7,9.87884E-5
2.99995E7,9.34158E-5
2.99997E7,8.28428E-5
2.99999E7,6.68267E-5
3.00002E7,3.15076E-5
3.00002E7,2.1606E-5
3.00003E7,1.54337E-5
3.00004E7,1.12252E-5
3.00004E7,8.17069E-6
3.00005E7,6.00325E-6
3.00005E7,4.47788E-6
3.00006E7,3.28363E-6
3.00006E7,2.46503E-6
3.00007E7,1.82644E-6
3.00007E7,1.39596E-6
3.00007E7,1.03208E-6
3.00008E7,7.71974E-7
3.00008E7,5.86147E-7
3.00008E7,4.41133E-7
3.00009E7,3.29061E-7
3.00009E7,2.50146E-7
3.00009E7,1.88948E-7
3.00009E7,1.41526E-7
3.0001E7,1.08422E-7
3.0001E7,8.25604E-8
3.0001E7,6.25574E-8
3.0001E7,4.70622E-8
3.00011E7,3.51901E-8
3.00011E7,2.70699E-8
3.00011E7,2.0699E-8
3.00011E7,1.5751E-8
3.00012E7,1.19279E-8
3.00012E7,9.00037E-9
3.00012E7,6.74997E-9
3.00012E7,5.2267E-9
3.00012E7,4.0321E-9
3.00013E7,3.09892E-9
3.00013E7,2.37608E-9
3.00013E7,1.81257E-9
3.00013E7,1.37753E-9
3.00013E7,1.04297E-9
3.00014E7,7.8785E-10
3.00014E7,5.9205E-10
3.00014E7,4.4323E-10
3.00014E7,3.448E-10
3.00014E7,2.6748E-10
3.00014E7,2.0725E-10
3.00015E7,1.5989E-10
3.00015E7,1.2301E-10
3.00015E7,9.8654E-11
3.00015E7,7.5512E-11
3.00015E7,5.2643E-11
3.00016E7,1.1854E-11
3.00018E7,4.7351E-13
3.00022E7,2.1308E-16
3.00029E7,0.0
1.5E8,0.0
