8-O-16(n,elastic) ENDF/B-VII.1
1.0E-5,55.6018
1.31241E-5,48.5658
1.7734E-5,41.8185
2.37128E-5,36.2083
3.2204E-5,31.1238
4.19297E-5,27.33
5.5029E-5,23.9194
7.16479E-5,21.0324
9.40315E-5,18.4412
1.2582E-4,16.0427
1.65011E-4,14.1162
2.14745E-4,12.493
2.82674E-4,11.0297
3.8125E-4,9.67139
5.34525E-4,8.39318
7.5036E-4,7.34616
0.00104758,6.51437
0.0014746,5.837
0.00210342,5.2924
0.0030834,4.85596
0.00483794,4.49863
0.00826688,4.23138
0.0183922,4.02248
0.0236442,3.98459
0.0253,3.9759
0.126231,3.87671
26.7904,3.85206
39.663,3.85207
230000.0,3.44605
260000.0,3.43141
315000.0,3.5262
345000.0,3.77235
360000.0,4.03524
372500.0,4.44485
380000.0,4.7895
390000.0,5.53423
400000.0,6.79481
406250.0,8.04815
411250.0,9.37573
417500.0,11.525
426250.0,14.884
430000.0,16.0598
435000.0,16.5541
440000.0,15.7614
456250.0,10.1123
462500.0,8.47445
468750.0,7.25067
475000.0,6.34726
485000.0,5.38377
497500.0,4.6471
510000.0,4.17926
530000.0,3.73147
560000.0,3.36713
610000.0,3.06525
700000.0,2.80721
780000.0,2.71991
840000.0,2.78774
870000.0,2.9427
890000.0,3.13945
910000.0,3.45073
925000.0,3.8614
940000.0,4.45829
955000.0,5.37415
980000.0,7.36354
990000.0,7.96894
1000000.0,8.15293
1010000.0,7.86957
1050000.0,5.27144
1070000.0,4.38298
1090000.0,3.80141
1120000.0,3.26766
1155000.0,2.91736
1200000.0,2.68863
1220000.0,2.65795
1245000.0,2.7334
1260000.0,2.89907
1270000.0,3.13731
1280000.0,3.57323
1287500.0,4.13915
1295000.0,4.94812
1305000.0,6.28562
1310000.0,6.69736
1315000.0,6.67992
1321250.0,6.11267
1331250.0,4.91735
1340000.0,4.07375
1350000.0,3.4682
1360000.0,3.09075
1375000.0,2.75915
1395000.0,2.5041
1450000.0,2.19417
1525000.0,2.0091
1620000.0,1.88038
1630000.0,1.90282
1640000.0,2.06956
1642500.0,2.2355
1644000.0,2.42395
1645250.0,2.71333
1646000.0,2.96808
1647000.0,3.52999
1648000.0,4.5156
1648620.0,5.49157
1650000.0,8.35904
1650500.0,8.88014
1651000.0,8.60837
1651750.0,7.14709
1652620.0,5.42551
1653000.0,4.75561
1654000.0,3.66311
1655000.0,3.04411
1656000.0,2.67765
1657000.0,2.44755
1658500.0,2.2411
1660000.0,2.11365
1665000.0,1.92978
1675000.0,1.82648
1685000.0,1.78942
1687000.0,1.85513
1689500.0,1.97435
1690000.0,1.98296
1692000.0,1.9019
1694500.0,1.77673
1810000.0,1.57445
