94-Pu-239(n,elastic) ENDF/B-VII.1
1.0E-5,31.1538
1.31241E-5,27.4397
1.70876E-5,24.319
2.2426E-5,21.5444
2.91987E-5,19.2292
3.83206E-5,17.189
4.98935E-5,15.5054
7.13124E-5,13.6344
1.01926E-4,12.168
1.45682E-4,11.0424
2.2858E-4,10.018
3.55803E-4,9.34205
6.67422E-4,8.7627
0.00148489,8.3942
0.00619694,8.14492
0.0234661,8.00223
0.0253,7.99061
0.126231,7.15966
0.215698,6.00447
0.225473,5.97322
0.240229,6.15331
0.251296,6.61548
0.261516,7.45684
0.272402,8.93799
0.286916,11.8102
0.303365,15.2446
0.313041,16.65
0.327555,17.5378
0.330458,17.5661
0.35368,16.8505
0.40206,14.5646
0.45044,13.1592
0.527848,11.9773
0.64396,11.1372
0.895536,10.3871
1.57769,9.72537
5.98338,8.17662
6.77465,7.59139
7.19944,6.89792
7.416,6.13977
7.52428,5.4575
7.62215,4.49441
7.66587,4.08712
7.67629,4.06465
7.69399,4.20605
7.70856,4.61058
7.72106,5.28198
7.73147,6.14913
7.74318,7.53053
7.75619,9.62214
7.77207,12.931
7.80997,22.1203
7.82829,25.4032
7.84745,26.9704
7.85411,27.0419
7.8741,26.0402
7.94178,18.3871
7.97822,15.6561
8.01362,14.0081
8.05735,12.7209
8.11982,11.5931
8.22393,10.5294
8.34887,9.81099
8.60499,9.00676
9.91085,6.83832
10.2275,5.97356
10.4386,5.05462
10.6737,3.5641
10.7073,3.46753
10.7361,3.55296
10.7577,3.80428
10.7793,4.31179
10.7982,5.05317
10.817,6.1554
10.8367,7.75622
10.8584,10.0849
10.8963,15.2071
10.9363,20.4965
10.9625,22.809
10.9885,23.7951
11.0009,23.825
11.0316,22.9603
11.1463,16.757
11.2063,14.5046
11.2782,12.6481
11.4054,10.4803
11.6381,7.2727
11.725,5.79002
11.7459,5.64631
11.7616,5.80492
11.7742,6.22628
11.7854,6.91294
11.7985,8.2045
11.8115,10.1393
11.8246,12.7915
11.8413,17.2229
11.8885,31.9598
11.9075,36.0632
11.9254,37.7071
11.9287,37.7626
11.9451,36.9987
11.974,32.6391
12.0188,24.4298
12.0479,20.6183
12.0814,17.8165
12.1232,15.7605
12.1798,14.142
12.2767,12.6007
12.4199,11.3642
12.6436,10.2702
13.2516,8.53009
13.7015,7.17813
13.9203,6.1575
14.0624,5.14434
14.1513,4.36046
14.1846,4.22709
14.2068,4.33807
14.229,4.7204
14.2501,5.40426
14.2751,6.61038
14.3246,9.33597
14.3503,10.114
14.3628,10.2007
14.3821,9.94926
14.4134,8.76013
14.4678,6.0391
14.4878,5.34631
14.5025,5.11256
14.5071,5.10633
14.521,5.3479
14.5326,5.92999
14.5439,6.92706
14.5546,8.36601
14.5656,10.4176
14.5776,13.4514
14.5917,18.0883
14.6083,24.9919
14.6623,51.8523
14.6852,59.6368
14.7052,62.3065
14.7281,60.5084
14.758,52.6996
14.809,36.7562
14.8399,29.8284
14.8683,25.5011
14.9007,22.2246
14.9413,19.5876
15.0005,17.2079
15.0864,15.1843
15.1893,13.8164
15.3291,12.9156
15.8205,12.0095
16.9053,8.82399
17.1175,7.87608
17.2599,6.88423
17.3706,5.7078
17.4338,4.94319
17.4575,4.8174
17.4733,4.89795
17.4907,5.26159
17.5051,5.88701
17.5194,6.92486
17.5323,8.30869
17.5468,10.4651
17.563,13.7406
17.581,18.4343
17.615,29.3671
17.6478,39.5519
17.6731,44.5167
17.6922,45.8469
17.7174,44.4741
17.7545,38.2469
17.807,28.3389
17.8405,23.8901
17.8749,20.8499
17.9093,18.8526
17.9637,16.8591
18.0545,14.9846
18.1864,13.5299
18.4214,12.2203
18.861,11.0793
19.8494,9.86082
20.8462,8.79253
21.3284,7.93222
21.6204,6.98986
21.7945,6.02823
21.9231,4.93632
22.0048,4.15847
22.0316,4.05035
22.0517,4.13293
22.0718,4.4651
22.0865,4.94704
22.1026,5.79048
22.1173,6.93403
22.1341,8.75637
22.1508,11.213
22.1696,14.7571
22.1957,20.942
22.251,35.4512
22.2799,40.8508
