Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Region
Logarithmically spaced bins
# batches: 20	, # bins: 2000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100520775, 0.0027363523, 0.0000028028, 0.0016741470, 0.6118170635
0.0101567749, 0.0014813550, 0.0000008369, 0.0009148141, 0.6175522444
0.0102625628, 0.0012819218, 0.0000008901, 0.0009434562, 0.7359701577
0.0103694525, 0.0015246500, 0.0000008160, 0.0009033310, 0.5924841542
0.0104774556, 0.0015684357, 0.0000004612, 0.0006791522, 0.4330124211
0.0105865835, 0.0012348587, 0.0000006571, 0.0008105898, 0.6564231451
0.0106968481, 0.0014191072, 0.0000006620, 0.0008136324, 0.5733410117
0.0108082611, 0.0013126460, 0.0000006327, 0.0007954423, 0.6059839024
0.0109208346, 0.0014364153, 0.0000004508, 0.0006714322, 0.4674359990
0.0110345805, 0.0012181069, 0.0000004006, 0.0006328994, 0.5195762466
0.0111495112, 0.0010900450, 0.0000004376, 0.0006615368, 0.6068894681
0.0112656389, 0.0012638025, 0.0000004593, 0.0006776932, 0.5362334780
0.0113829762, 0.0010386874, 0.0000008001, 0.0008944645, 0.8611489585
0.0115015356, 0.0014868078, 0.0000010746, 0.0010366381, 0.6972240139
0.0116213299, 0.0009830305, 0.0000004925, 0.0007017659, 0.7138800892
0.0117423718, 0.0015303100, 0.0000007012, 0.0008373499, 0.5471766366
0.0118646745, 0.0015614305, 0.0000005569, 0.0007462772, 0.4779445848
0.0119882510, 0.0016622389, 0.0000007130, 0.0008443858, 0.5079809775
0.0121131147, 0.0014400928, 0.0000008441, 0.0009187572, 0.6379847460
0.0122392788, 0.0014012645, 0.0000008929, 0.0009449501, 0.6743552921
0.0123667570, 0.0018501578, 0.0000010181, 0.0010089897, 0.5453533019
0.0124955630, 0.0016283679, 0.0000008254, 0.0009085175, 0.5579313523
0.0126257105, 0.0018722384, 0.0000012654, 0.0011248862, 0.6008242329
0.0127572136, 0.0015246150, 0.0000013462, 0.0011602725, 0.7610265320
0.0128900864, 0.0019524319, 0.0000011380, 0.0010667808, 0.5463856725
0.0130243431, 0.0019172217, 0.0000008265, 0.0009091248, 0.4741886581
0.0131599982, 0.0016465605, 0.0000002063, 0.0004542262, 0.2758636746
0.0132970661, 0.0014971518, 0.0000007416, 0.0008611514, 0.5751930834
0.0134355617, 0.0014850439, 0.0000006293, 0.0007932887, 0.5341853800
0.0135754998, 0.0021498970, 0.0000019896, 0.0014105184, 0.6560864932
0.0137168954, 0.0021148241, 0.0000008646, 0.0009298450, 0.4396795804
0.0138597638, 0.0015060206, 0.0000010029, 0.0010014416, 0.6649588181
0.0140041202, 0.0020765983, 0.0000009448, 0.0009720265, 0.4680859706
0.0141499801, 0.0019518589, 0.0000009237, 0.0009610854, 0.4923949034
0.0142973592, 0.0013911202, 0.0000014124, 0.0011884396, 0.8543040235
0.0144462734, 0.0019748252, 0.0000008285, 0.0009101945, 0.4608987583
0.0145967385, 0.0023007992, 0.0000017080, 0.0013069062, 0.5680226989
0.0147487709, 0.0019131050, 0.0000009719, 0.0009858455, 0.5153117258
0.0149023867, 0.0019444672, 0.0000009104, 0.0009541309, 0.4906901594
0.0150576025, 0.0024326742, 0.0000015770, 0.0012557906, 0.5162181760
0.0152144350, 0.0020155548, 0.0000016035, 0.0012663005, 0.6282639623
0.0153729009, 0.0023443983, 0.0000013876, 0.0011779581, 0.5024564773
0.0155330174, 0.0023100136, 0.0000010540, 0.0010266640, 0.4444406920
0.0156948015, 0.0018015230, 0.0000009851, 0.0009925351, 0.5509422578
0.0158582708, 0.0024918484, 0.0000009549, 0.0009771775, 0.3921496483
0.0160234426, 0.0021889708, 0.0000009046, 0.0009511166, 0.4345039947
0.0161903348, 0.0024294293, 0.0000009891, 0.0009945351, 0.4093698468
0.0163589652, 0.0020626131, 0.0000019714, 0.0014040640, 0.6807210104
0.0165293520, 0.0026191837, 0.0000013381, 0.0011567432, 0.4416426217
0.0167015135, 0.0025881294, 0.0000011704, 0.0010818419, 0.4180014706
0.0168754681, 0.0022740800, 0.0000007282, 0.0008533291, 0.3752414518
0.0170512345, 0.0023826177, 0.0000018772, 0.0013701244, 0.5750500416
0.0172288317, 0.0027291919, 0.0000011707, 0.0010819749, 0.3964451413
0.0174082786, 0.0026871606, 0.0000031521, 0.0017754069, 0.6606999442
0.0175895945, 0.0025214073, 0.0000022850, 0.0015116298, 0.5995182983
0.0177727990, 0.0028835275, 0.0000017302, 0.0013153525, 0.4561609123
0.0179579116, 0.0026049804, 0.0000013772, 0.0011735438, 0.4505000380
0.0181449522, 0.0030849109, 0.0000017827, 0.0013351645, 0.4328048930
0.0183339410, 0.0028703459, 0.0000011067, 0.0010520081, 0.3665091676
0.0185248981, 0.0030826801, 0.0000021842, 0.0014779012, 0.4794208669
0.0187178442, 0.0026250357, 0.0000011100, 0.0010535460, 0.4013454086
0.0189127999, 0.0023614602, 0.0000010995, 0.0010485800, 0.4440388265
0.0191097862, 0.0032845322, 0.0000018714, 0.0013679794, 0.4164914014
0.0193088242, 0.0028971193, 0.0000021093, 0.0014523375, 0.5013039925
0.0195099353, 0.0025706617, 0.0000025366, 0.0015926702, 0.6195565149
0.0197131410, 0.0030331346, 0.0000014048, 0.0011852394, 0.3907638720
0.0199184632, 0.0036543746, 0.0000026983, 0.0016426629, 0.4495058993
0.0201259240, 0.0033763398, 0.0000017874, 0.0013369491, 0.3959758793
0.0203355456, 0.0032213218, 0.0000015182, 0.0012321645, 0.3825027556
0.0205473505, 0.0031547453, 0.0000016949, 0.0013018824, 0.4126743167
0.0207613614, 0.0033154613, 0.0000012713, 0.0011275397, 0.3400853141
0.0209776014, 0.0032190979, 0.0000031130, 0.0017643715, 0.5480950040
0.0211960936, 0.0033050860, 0.0000018092, 0.0013450665, 0.4069686817
0.0214168615, 0.0033240696, 0.0000017142, 0.0013092635, 0.3938736820
0.0216399288, 0.0037687694, 0.0000014540, 0.0012058295, 0.3199531237
0.0218653195, 0.0032801458, 0.0000019455, 0.0013948050, 0.4252265064
0.0220930578, 0.0037901214, 0.0000025596, 0.0015998797, 0.4221183239
0.0223231680, 0.0037091793, 0.0000018175, 0.0013481642, 0.3634669799
0.0225556750, 0.0041363758, 0.0000022391, 0.0014963544, 0.3617549317
0.0227906036, 0.0033340653, 0.0000027986, 0.0016728909, 0.5017570908
0.0230279792, 0.0040071847, 0.0000015841, 0.0012585958, 0.3140847976
0.0232678271, 0.0042038145, 0.0000034735, 0.0018637398, 0.4433449237
0.0235101732, 0.0036561960, 0.0000017149, 0.0013095607, 0.3581757261
0.0237550434, 0.0038095446, 0.0000024573, 0.0015675927, 0.4114908339
0.0240024641, 0.0040168501, 0.0000032130, 0.0017924955, 0.4462440635
0.0242524618, 0.0040995667, 0.0000015644, 0.0012507401, 0.3050908005
0.0245050633, 0.0041783351, 0.0000026194, 0.0016184712, 0.3873483583
0.0247602958, 0.0041634198, 0.0000047432, 0.0021778967, 0.5231028297
0.0250181867, 0.0038517825, 0.0000021505, 0.0014664510, 0.3807201004
0.0252787636, 0.0043399296, 0.0000023220, 0.0015238155, 0.3511152568
0.0255420546, 0.0049499603, 0.0000036255, 0.0019040765, 0.3846649999
0.0258080879, 0.0043606058, 0.0000022659, 0.0015052774, 0.3451991558
0.0260768920, 0.0048207420, 0.0000032440, 0.0018010994, 0.3736145674
0.0263484959, 0.0049982600, 0.0000040828, 0.0020205870, 0.4042580846
0.0266229287, 0.0060812224, 0.0000028896, 0.0016998678, 0.2795273268
0.0269002198, 0.0042272917, 0.0000023319, 0.0015270631, 0.3612391106
0.0271803990, 0.0048408475, 0.0000016258, 0.0012750701, 0.2633981138
0.0274634965, 0.0052282352, 0.0000033735, 0.0018367101, 0.3513059486
0.0277495426, 0.0047169336, 0.0000021317, 0.0014600473, 0.3095331526
0.0280385679, 0.0053437161, 0.0000036803, 0.0019184025, 0.3590015725
0.0283306037, 0.0048613295, 0.0000057819, 0.0024045574, 0.4946295911
0.0286256811, 0.0045736258, 0.0000037081, 0.0019256472, 0.4210329594
0.0289238319, 0.0050654051, 0.0000034023, 0.0018445197, 0.3641406201
0.0292250881, 0.0053547170, 0.0000033879, 0.0018406269, 0.3437393397
0.0295294820, 0.0054399624, 0.0000034166, 0.0018483953, 0.3397808984
0.0298370463, 0.0054492312, 0.0000024083, 0.0015518834, 0.2847894205
0.0301478141, 0.0055491914, 0.0000031106, 0.0017636940, 0.3178290109
0.0304618187, 0.0056166756, 0.0000027157, 0.0016479412, 0.2934015280
0.0307790937, 0.0062927097, 0.0000057608, 0.0024001658, 0.3814200729
0.0310996734, 0.0061832055, 0.0000041064, 0.0020264174, 0.3277292692
0.0314235921, 0.0063602726, 0.0000040961, 0.0020238790, 0.3182063289
0.0317508845, 0.0057578884, 0.0000025927, 0.0016101803, 0.2796477162
0.0320815859, 0.0066737525, 0.0000042093, 0.0020516583, 0.3074220020
0.0324157316, 0.0059625162, 0.0000040579, 0.0020144129, 0.3378461048
0.0327533577, 0.0063839883, 0.0000064942, 0.0025483714, 0.3991817094
0.0330945003, 0.0060636492, 0.0000031009, 0.0017609452, 0.2904101431
0.0334391961, 0.0063739319, 0.0000033755, 0.0018372548, 0.2882451229
0.0337874821, 0.0068936301, 0.0000060413, 0.0024579084, 0.3565477591
0.0341393956, 0.0059730736, 0.0000031185, 0.0017659214, 0.2956470221
0.0344949745, 0.0060844200, 0.0000032681, 0.0018077751, 0.2971154319
0.0348542569, 0.0060098455, 0.0000027176, 0.0016485199, 0.2743032071
0.0352172815, 0.0061503431, 0.0000055961, 0.0023656008, 0.3846290836
0.0355840871, 0.0071375648, 0.0000039981, 0.0019995348, 0.2801424327
0.0359547132, 0.0077079506, 0.0000047016, 0.0021683208, 0.2813096384
0.0363291995, 0.0066613597, 0.0000025810, 0.0016065454, 0.2411737951
0.0367075863, 0.0075570752, 0.0000050186, 0.0022402224, 0.2964404018
0.0370899142, 0.0067612168, 0.0000045664, 0.0021369057, 0.3160534254
0.0374762242, 0.0066629517, 0.0000043063, 0.0020751597, 0.3114475156
0.0378665578, 0.0068169716, 0.0000040042, 0.0020010442, 0.2935385874
0.0382609570, 0.0073923275, 0.0000046486, 0.0021560689, 0.2916630591
0.0386594640, 0.0077105987, 0.0000041755, 0.0020433973, 0.2650114995
0.0390621217, 0.0078425836, 0.0000092842, 0.0030469972, 0.3885195709
0.0394689732, 0.0073633029, 0.0000052254, 0.0022859048, 0.3104455723
0.0398800623, 0.0080720649, 0.0000081330, 0.0028518445, 0.3532980066
0.0402954331, 0.0065322985, 0.0000028049, 0.0016747820, 0.2563847883
0.0407151302, 0.0081777251, 0.0000078148, 0.0027954995, 0.3418431686
0.0411391987, 0.0082384366, 0.0000045213, 0.0021263278, 0.2580984620
0.0415676840, 0.0086015540, 0.0000073291, 0.0027072228, 0.3147364796
0.0420006323, 0.0084617690, 0.0000047903, 0.0021886777, 0.2586548608
0.0424380899, 0.0087976539, 0.0000084125, 0.0029004335, 0.3296826063
0.0428801038, 0.0090748438, 0.0000099354, 0.0031520435, 0.3473385982
0.0433267216, 0.0093577203, 0.0000045081, 0.0021232400, 0.2268971481
0.0437779911, 0.0084160467, 0.0000047060, 0.0021693326, 0.2577614798
0.0442339608, 0.0085856467, 0.0000063533, 0.0025205720, 0.2935797498
0.0446946796, 0.0099743999, 0.0000065425, 0.0025578240, 0.2564388868
0.0451601971, 0.0099867811, 0.0000049991, 0.0022358590, 0.2238818480
0.0456305631, 0.0093234463, 0.0000037740, 0.0019426881, 0.2083658784
0.0461058283, 0.0094708070, 0.0000066198, 0.0025729005, 0.2716664481
0.0465860436, 0.0100428242, 0.0000034328, 0.0018527858, 0.1844885208
0.0470712605, 0.0101524640, 0.0000074903, 0.0027368460, 0.2695745548
0.0475615313, 0.0101702288, 0.0000065372, 0.0025567972, 0.2514001670
0.0480569084, 0.0095335381, 0.0000053019, 0.0023025785, 0.2415240200
0.0485574452, 0.0094606266, 0.0000071517, 0.0026742603, 0.2826726428
0.0490631953, 0.0091519502, 0.0000042226, 0.0020548929, 0.2245306055
0.0495742130, 0.0113962391, 0.0000071957, 0.0026824812, 0.2353830179
0.0500905532, 0.0100910299, 0.0000068486, 0.0026169874, 0.2593379894
0.0506122714, 0.0100398923, 0.0000080963, 0.0028453956, 0.2834089728
0.0511394236, 0.0115699599, 0.0000043548, 0.0020868223, 0.1803655588
0.0516720663, 0.0107142436, 0.0000066147, 0.0025718966, 0.2400446264
0.0522102567, 0.0119183470, 0.0000080467, 0.0028366747, 0.2380090702
0.0527540526, 0.0108308574, 0.0000090941, 0.0030156464, 0.2784309948
0.0533035125, 0.0119244356, 0.0000082375, 0.0028701127, 0.2406917022
0.0538586953, 0.0112130088, 0.0000089527, 0.0029921064, 0.2668424162
0.0544196605, 0.0102551243, 0.0000126887, 0.0035621133, 0.3473495989
0.0549864685, 0.0118176516, 0.0000115294, 0.0033954936, 0.2873238902
0.0555591801, 0.0120312885, 0.0000061739, 0.0024847289, 0.2065222585
0.0561378568, 0.0121642289, 0.0000069360, 0.0026336246, 0.2165056787
0.0567225607, 0.0126534410, 0.0000105543, 0.0032487416, 0.2567476754
0.0573133545, 0.0122158756, 0.0000034589, 0.0018598018, 0.1522446544
0.0579103018, 0.0135467714, 0.0000121087, 0.0034797623, 0.2568702350
0.0585134666, 0.0120855420, 0.0000119937, 0.0034631854, 0.2865560647
0.0591229136, 0.0138362599, 0.0000149301, 0.0038639480, 0.2792624582
0.0597387084, 0.0113985230, 0.0000166026, 0.0040746340, 0.3574703471
0.0603609169, 0.0131775413, 0.0000068458, 0.0026164388, 0.1985528837
0.0609896061, 0.0116219953, 0.0000087657, 0.0029607001, 0.2547497211
0.0616248434, 0.0125414059, 0.0000092031, 0.0030336546, 0.2418911102
0.0622666969, 0.0138531885, 0.0000100529, 0.0031706279, 0.2288735106
0.0629152358, 0.0129003107, 0.0000079732, 0.0028236869, 0.2188851868
0.0635705294, 0.0133592481, 0.0000108632, 0.0032959369, 0.2467157491
0.0642326483, 0.0136145552, 0.0000131344, 0.0036241412, 0.2661960806
0.0649016635, 0.0129752963, 0.0000060082, 0.0024511529, 0.1889092023
0.0655776468, 0.0128209812, 0.0000162277, 0.0040283650, 0.3142009884
0.0662606708, 0.0138045013, 0.0000142897, 0.0037801708, 0.2738360980
0.0669508089, 0.0146501512, 0.0000100519, 0.0031704749, 0.2164124347
0.0676481351, 0.0144577525, 0.0000127919, 0.0035765793, 0.2473814154
0.0683527243, 0.0139396706, 0.0000074992, 0.0027384748, 0.1964519039
0.0690646521, 0.0138210373, 0.0000100799, 0.0031748886, 0.2297142020
0.0697839950, 0.0129830484, 0.0000128534, 0.0035851703, 0.2761424130
0.0705108302, 0.0149710374, 0.0000093851, 0.0030635069, 0.2046288974
0.0712452358, 0.0150617148, 0.0000056880, 0.0023849605, 0.1583458841
0.0719872906, 0.0142041459, 0.0000125592, 0.0035438916, 0.2494969896
0.0727370743, 0.0146622524, 0.0000083450, 0.0028887763, 0.1970213169
0.0734946673, 0.0155699390, 0.0000147816, 0.0038446821, 0.2469298103
0.0742601511, 0.0144141079, 0.0000065225, 0.0025539272, 0.1771824707
0.0750336077, 0.0149166716, 0.0000125968, 0.0035491997, 0.2379350955
0.0758151203, 0.0161075669, 0.0000147000, 0.0038340602, 0.2380285120
0.0766047727, 0.0161273065, 0.0000157032, 0.0039627227, 0.2457150947
0.0774026498, 0.0160377175, 0.0000129908, 0.0036042737, 0.2247373237
0.0782088371, 0.0140980347, 0.0000106162, 0.0032582529, 0.2311139778
0.0790234213, 0.0161570209, 0.0000144815, 0.0038054605, 0.2355298361
0.0798464898, 0.0181937341, 0.0000145398, 0.0038131120, 0.2095838016
0.0806781309, 0.0165475078, 0.0000051096, 0.0022604530, 0.1366038333
0.0815184341, 0.0149489175, 0.0000084873, 0.0029133003, 0.1948836938
0.0823674893, 0.0156794874, 0.0000142054, 0.0037690094, 0.2403783568
0.0832253880, 0.0162728436, 0.0000164454, 0.0040552960, 0.2492063548
0.0840922220, 0.0165974775, 0.0000104245, 0.0032286955, 0.1945292878
0.0849680846, 0.0175201781, 0.0000135153, 0.0036763196, 0.2098334602
0.0858530698, 0.0160494117, 0.0000199600, 0.0044676634, 0.2783692938
0.0867472725, 0.0179434641, 0.0000168964, 0.0041105220, 0.2290818506
0.0876507887, 0.0168124830, 0.0000144145, 0.0037966369, 0.2258224965
0.0885637156, 0.0173443768, 0.0000144319, 0.0037989350, 0.2190297758
0.0894861510, 0.0180496042, 0.0000127399, 0.0035693049, 0.1977497620
0.0904181940, 0.0183900654, 0.0000182877, 0.0042764137, 0.2325393441
