Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Region
Logarithmically spaced bins
# batches: 20	, # bins: 2000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100520775, 0.0003432092, 0.0000000634, 0.0002518669, 0.7338580977
0.0101567749, 0.0001189480, 0.0000000173, 0.0001315019, 1.1055416191
0.0102625628, 0.0000793583, 0.0000000147, 0.0001212219, 1.5275252965
0.0103694525, 0.0001588503, 0.0000000308, 0.0001756016, 1.1054530619
0.0104774556, 0.0001324636, 0.0000000175, 0.0001324636, 1.0000000392
0.0105865835, 0.0001193134, 0.0000000315, 0.0001773615, 1.4865176934
0.0106968481, 0.0001194231, 0.0000000245, 0.0001564545, 1.3100856390
0.0108082611, 0.0001726419, 0.0000000372, 0.0001929137, 1.1174212328
0.0109208346, 0.0001925378, 0.0000000660, 0.0002568084, 1.3338075682
0.0110345805, 0.0002394357, 0.0000001055, 0.0003247493, 1.3563111159
0.0111495112, 0.0001198142, 0.0000000388, 0.0001970134, 1.6443236097
0.0112656389, 0.0002463087, 0.0000000465, 0.0002156405, 0.8754888528
0.0113829762, 0.0002133312, 0.0000000683, 0.0002612849, 1.2247850580
0.0115015356, 0.0002467004, 0.0000001035, 0.0003216683, 1.3038824105
0.0116213299, 0.0001736247, 0.0000000448, 0.0002115978, 1.2187074349
0.0117423718, 0.0001470249, 0.0000000177, 0.0001329891, 0.9045340600
0.0118646745, 0.0002808925, 0.0000000821, 0.0002865579, 1.0201690854
0.0119882510, 0.0002073487, 0.0000000475, 0.0002178912, 1.0508442185
0.0121131147, 0.0001875924, 0.0000000582, 0.0002411986, 1.2857587676
0.0122392788, 0.0001609069, 0.0000000460, 0.0002145424, 1.3333327461
0.0123667570, 0.0002550011, 0.0000000899, 0.0002997998, 1.1756803664
0.0124955630, 0.0001343344, 0.0000000469, 0.0002166155, 1.6125097204
0.0126257105, 0.0001275408, 0.0000000460, 0.0002145542, 1.6822399640
0.0127572136, 0.0001883438, 0.0000000586, 0.0002421666, 1.2857688917
0.0128900864, 0.0001615857, 0.0000000682, 0.0002611033, 1.6158817369
0.0130243431, 0.0002021393, 0.0000000354, 0.0001881927, 0.9310050796
0.0131599982, 0.0001888158, 0.0000000444, 0.0002106585, 1.1156828030
0.0132970661, 0.0002294576, 0.0000000822, 0.0002866579, 1.2492847875
0.0134355617, 0.0002702077, 0.0000001022, 0.0003197395, 1.1833100077
0.0135754998, 0.0001622435, 0.0000000322, 0.0001793642, 1.1055246877
0.0137168954, 0.0002841965, 0.0000001134, 0.0003367012, 1.1847476544
0.0138597638, 0.0002302129, 0.0000000607, 0.0002463970, 1.0703001769
0.0140041202, 0.0002846368, 0.0000000770, 0.0002774632, 0.9747972688
0.0141499801, 0.0002848947, 0.0000000624, 0.0002497825, 0.8767535736
0.0142973592, 0.0003801604, 0.0000000914, 0.0003023846, 0.7954130746
0.0144462734, 0.0002310207, 0.0000000611, 0.0002472480, 1.0702418823
0.0145967385, 0.0003672035, 0.0000001056, 0.0003249884, 0.8850361212
0.0147487709, 0.0002177778, 0.0000000563, 0.0002373320, 1.0897895045
0.0149023867, 0.0004358855, 0.0000001663, 0.0004077726, 0.9355040374
0.0150576025, 0.0001499781, 0.0000000333, 0.0001824163, 1.2162864468
0.0152144350, 0.0002999164, 0.0000000644, 0.0002537100, 0.8459356893
0.0153729009, 0.0003140848, 0.0000000617, 0.0002484448, 0.7910117071
0.0155330174, 0.0002663867, 0.0000000680, 0.0002608057, 0.9790493369
0.0156948015, 0.0003009585, 0.0000000741, 0.0002722570, 0.9046331090
0.0158582708, 0.0002668001, 0.0000001095, 0.0003309678, 1.2405083281
0.0160234426, 0.0002329325, 0.0000000471, 0.0002170663, 0.9318848708
0.0161903348, 0.0002879824, 0.0000000788, 0.0002807150, 0.9747646134
0.0163589652, 0.0005145798, 0.0000001279, 0.0003576721, 0.6950760198
0.0165293520, 0.0002747171, 0.0000000604, 0.0002457223, 0.8944557402
0.0167015135, 0.0002474645, 0.0000000597, 0.0002443775, 0.9875255312
0.0168754681, 0.0003440208, 0.0000000521, 0.0002281909, 0.6633054656
0.0170512345, 0.0004544804, 0.0000001007, 0.0003173726, 0.6983196168
0.0172288317, 0.0002481174, 0.0000000600, 0.0002450377, 0.9875880471
0.0174082786, 0.0003173051, 0.0000001087, 0.0003296513, 1.0389094384
0.0175895945, 0.0003175423, 0.0000000936, 0.0003059470, 0.9634842035
0.0177727990, 0.0002763859, 0.0000000917, 0.0003027747, 1.0954779630
0.0179579116, 0.0003595637, 0.0000001002, 0.0003165779, 0.8804500772
0.0181449522, 0.0003666697, 0.0000000887, 0.0002978827, 0.8124004609
0.0183339410, 0.0003601440, 0.0000000391, 0.0001978445, 0.5493483202
0.0185248981, 0.0004227404, 0.0000001758, 0.0004192465, 0.9917350889
0.0187178442, 0.0004995161, 0.0000002203, 0.0004693116, 0.9395325269
0.0189127999, 0.0003610761, 0.0000001011, 0.0003179060, 0.8804404860
