Batch-based tally statistics for PINSPEC
Tally type: Flux
Logarithmically spaced bins
# batches: 20	, # bins: 2000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100520775, 0.0022817726, 0.0000012213, 0.0011051143, 0.4843227283
0.0101567749, 0.0011284223, 0.0000003491, 0.0005908552, 0.5236117596
0.0102625628, 0.0009554715, 0.0000004258, 0.0006525154, 0.6829249985
0.0103694525, 0.0012183273, 0.0000003986, 0.0006313552, 0.5182147531
0.0104774556, 0.0012080956, 0.0000002537, 0.0005037028, 0.4169395516
0.0105865835, 0.0009716326, 0.0000003561, 0.0005967689, 0.6141919565
0.0106968481, 0.0011053664, 0.0000003231, 0.0005684423, 0.5142569175
0.0108082611, 0.0010974613, 0.0000003687, 0.0006071814, 0.5532599769
0.0109208346, 0.0012169355, 0.0000002369, 0.0004867231, 0.3999580147
0.0110345805, 0.0011230247, 0.0000004613, 0.0006791785, 0.6047761394
0.0111495112, 0.0008775427, 0.0000002430, 0.0004929304, 0.5617167723
0.0112656389, 0.0011523722, 0.0000002587, 0.0005086454, 0.4413898280
0.0113829762, 0.0009607897, 0.0000004134, 0.0006429939, 0.6692348086
0.0115015356, 0.0013252828, 0.0000007341, 0.0008567999, 0.6465034951
0.0116213299, 0.0008871749, 0.0000002900, 0.0005384767, 0.6069566450
0.0117423718, 0.0012229034, 0.0000004191, 0.0006473902, 0.5293878147
0.0118646745, 0.0014158820, 0.0000002702, 0.0005198308, 0.3671427639
0.0119882510, 0.0013803174, 0.0000005469, 0.0007395111, 0.5357543560
0.0121131147, 0.0011917796, 0.0000004889, 0.0006991787, 0.5866677646
0.0122392788, 0.0011473176, 0.0000004622, 0.0006798462, 0.5925527456
0.0123667570, 0.0015683491, 0.0000006039, 0.0007771305, 0.4955085863
0.0124955630, 0.0012610853, 0.0000002963, 0.0005442974, 0.4316102578
0.0126257105, 0.0014199373, 0.0000005740, 0.0007576151, 0.5335553484
0.0127572136, 0.0012438535, 0.0000006535, 0.0008083708, 0.6498922530
0.0128900864, 0.0014868335, 0.0000006972, 0.0008349778, 0.5615812508
0.0130243431, 0.0015215201, 0.0000004139, 0.0006433851, 0.4228568041
0.0131599982, 0.0013354586, 0.0000001178, 0.0003432646, 0.2570387245
0.0132970661, 0.0012737556, 0.0000005294, 0.0007275966, 0.5712215038
0.0134355617, 0.0013519012, 0.0000004012, 0.0006333864, 0.4685152996
0.0135754998, 0.0016280493, 0.0000008516, 0.0009228375, 0.5668363306
0.0137168954, 0.0017656616, 0.0000003212, 0.0005667832, 0.3210033313
0.0138597638, 0.0013079422, 0.0000005540, 0.0007443336, 0.5690875221
0.0140041202, 0.0017592856, 0.0000004422, 0.0006649830, 0.3779846690
0.0141499801, 0.0016726203, 0.0000005542, 0.0007444401, 0.4450742113
0.0142973592, 0.0014218317, 0.0000007367, 0.0008582904, 0.6036511941
0.0144462734, 0.0016181531, 0.0000005792, 0.0007610710, 0.4703331418
0.0145967385, 0.0019951707, 0.0000012294, 0.0011087946, 0.5557392123
0.0147487709, 0.0015464425, 0.0000005038, 0.0007097802, 0.4589761507
0.0149023867, 0.0018457451, 0.0000005893, 0.0007676690, 0.4159127645
0.0150576025, 0.0018205155, 0.0000007099, 0.0008425447, 0.4628055933
0.0152144350, 0.0017298939, 0.0000007859, 0.0008865133, 0.5124668316
0.0153729009, 0.0019671812, 0.0000009596, 0.0009796070, 0.4979749738
0.0155330174, 0.0018987425, 0.0000004662, 0.0006827826, 0.3595972723
0.0156948015, 0.0015766250, 0.0000004484, 0.0006696185, 0.4247163803
0.0158582708, 0.0020208182, 0.0000007607, 0.0008722086, 0.4316116320
0.0160234426, 0.0017307255, 0.0000005233, 0.0007233754, 0.4179607649
0.0161903348, 0.0019919113, 0.0000005589, 0.0007475811, 0.3753084367
0.0163589652, 0.0020249036, 0.0000012891, 0.0011353801, 0.5607082479
0.0165293520, 0.0020670326, 0.0000007876, 0.0008874599, 0.4293400489
0.0167015135, 0.0020329257, 0.0000004445, 0.0006667313, 0.3279663985
0.0168754681, 0.0019510144, 0.0000004484, 0.0006696602, 0.3432369466
0.0170512345, 0.0021392397, 0.0000010582, 0.0010287038, 0.4808735422
0.0172288317, 0.0021067788, 0.0000005540, 0.0007443007, 0.3532884612
0.0174082786, 0.0021892084, 0.0000018280, 0.0013520378, 0.6175921058
0.0175895945, 0.0020817055, 0.0000009596, 0.0009795992, 0.4705752942
0.0177727990, 0.0022626749, 0.0000008627, 0.0009288064, 0.4104904207
0.0179579116, 0.0021977431, 0.0000009097, 0.0009537868, 0.4339846814
0.0181449522, 0.0024967610, 0.0000008444, 0.0009189214, 0.3680453885
0.0183339410, 0.0023270938, 0.0000005956, 0.0007717748, 0.3316474942
0.0185248981, 0.0025762822, 0.0000014479, 0.0012032829, 0.4670617814
0.0187178442, 0.0023782207, 0.0000010341, 0.0010168846, 0.4275820932
0.0189127999, 0.0020256604, 0.0000006504, 0.0008064993, 0.3981414173
0.0191097862, 0.0027009112, 0.0000010446, 0.0010220548, 0.3784111220
0.0193088242, 0.0024994889, 0.0000014685, 0.0012118115, 0.4848237098
0.0195099353, 0.0023315241, 0.0000012263, 0.0011073671, 0.4749541890
0.0197131410, 0.0026362176, 0.0000011473, 0.0010711281, 0.4063124601
0.0199184632, 0.0031011861, 0.0000011996, 0.0010952621, 0.3531752386
0.0201259240, 0.0026398228, 0.0000013187, 0.0011483480, 0.4350094963
0.0203355456, 0.0026515832, 0.0000008100, 0.0008999793, 0.3394120560
0.0205473505, 0.0024787751, 0.0000010582, 0.0010286848, 0.4149972363
0.0207613614, 0.0028951647, 0.0000007045, 0.0008393325, 0.2899083824
0.0209776014, 0.0029451826, 0.0000012700, 0.0011269300, 0.3826350049
0.0211960936, 0.0029479605, 0.0000010608, 0.0010299719, 0.3493845592
0.0214168615, 0.0029237046, 0.0000007596, 0.0008715233, 0.2980886996
0.0216399288, 0.0031324765, 0.0000011985, 0.0010947776, 0.3494926811
0.0218653195, 0.0028734120, 0.0000009139, 0.0009559613, 0.3326920193
0.0220930578, 0.0032170225, 0.0000009369, 0.0009679413, 0.3008811068
0.0223231680, 0.0031053076, 0.0000009817, 0.0009907912, 0.3190637889
0.0225556750, 0.0034131984, 0.0000011667, 0.0010801196, 0.3164537924
0.0227906036, 0.0030400755, 0.0000011936, 0.0010925097, 0.3593692708
0.0230279792, 0.0033518803, 0.0000010958, 0.0010468002, 0.3123023814
0.0232678271, 0.0036301658, 0.0000018566, 0.0013625809, 0.3753494948
0.0235101732, 0.0031609450, 0.0000010457, 0.0010225803, 0.3235046288
0.0237550434, 0.0032821368, 0.0000011605, 0.0010772820, 0.3282258173
0.0240024641, 0.0035342068, 0.0000016509, 0.0012848742, 0.3635537744
0.0242524618, 0.0034065633, 0.0000010978, 0.0010477497, 0.3075679358
0.0245050633, 0.0034860876, 0.0000010966, 0.0010471731, 0.3003863508
0.0247602958, 0.0037129814, 0.0000025620, 0.0016006136, 0.4310857965
0.0250181867, 0.0034691022, 0.0000016284, 0.0012760713, 0.3678390701
0.0252787636, 0.0036705632, 0.0000013255, 0.0011513173, 0.3136622990
0.0255420546, 0.0043656617, 0.0000021343, 0.0014609173, 0.3346382185
0.0258080879, 0.0036554977, 0.0000012678, 0.0011259854, 0.3080252003
0.0260768920, 0.0040219503, 0.0000015010, 0.0012251708, 0.3046210770
0.0263484959, 0.0040989081, 0.0000019723, 0.0014043903, 0.3426254674
0.0266229287, 0.0050597866, 0.0000010565, 0.0010278704, 0.2031450055
0.0269002198, 0.0037714404, 0.0000013973, 0.0011820697, 0.3134265885
