Batch-based tally statistics for PINSPEC
Tally name: Fuel Flux
Tally type: Flux
Tally Domain: Material
User-defined bins
# batches: 50	, # bins: 13
Bin center, Mu, Variance, Std Dev, Rel Err
0.0500000000, 2.2433412403, 0.0000022672, 0.0015057155, 0.0006711932
0.3000000000, 1.3807601098, 0.0000017258, 0.0013137061, 0.0009514369
0.7500000000, 0.3958098474, 0.0000006483, 0.0008051524, 0.0020341898
3.5000000000, 1.0299248380, 0.0000016798, 0.0012960577, 0.0012584003
8.0000000000, 0.2404669148, 0.0000002565, 0.0005064873, 0.0021062661
17.5000000000, 0.5263468466, 0.0000006383, 0.0007989456, 0.0015179070
37.5000000000, 0.4199490285, 0.0000005599, 0.0007482776, 0.0017818296
75.0000000000, 0.4501843647, 0.0000005616, 0.0007494101, 0.0016646738
550.0000000000, 1.6004794715, 0.0000019218, 0.0013863065, 0.0008661820
5500.0000000000, 1.7671062816, 0.0000029018, 0.0017034693, 0.0009639880
55000.0000000000, 2.2232091030, 0.0000032046, 0.0017901473, 0.0008052087
300000.0000000000, 2.9123267627, 0.0000060627, 0.0024622517, 0.0008454586
5250000.0000000000, 6.8674098734, 0.0000160333, 0.0040041663, 0.0005830679
