Batch-based tally statistics for PINSPEC
Tally name: fuel
Tally type: Flux
Tally Domain: Material
Logarithmically spaced bins with width = 0.001800
# batches: 50	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100207663, 0.0059136798, 0.0000000112, 0.0001056228, 0.0178607540
0.0100623851, 0.0006553517, 0.0000000002, 0.0000136137, 0.0207730728
0.0101041767, 0.0006257703, 0.0000000002, 0.0000142475, 0.0227679931
0.0101461419, 0.0006591813, 0.0000000002, 0.0000140576, 0.0213258463
0.0101882814, 0.0006861165, 0.0000000002, 0.0000129037, 0.0188068892
0.0102305959, 0.0006602154, 0.0000000002, 0.0000122947, 0.0186222827
0.0102730862, 0.0006399884, 0.0000000002, 0.0000136613, 0.0213461660
0.0103157529, 0.0006566421, 0.0000000003, 0.0000161910, 0.0246571912
0.0103585969, 0.0007085950, 0.0000000002, 0.0000146819, 0.0207197008
0.0104016188, 0.0006779347, 0.0000000002, 0.0000123183, 0.0181702860
0.0104448193, 0.0006588139, 0.0000000002, 0.0000131395, 0.0199441494
0.0104881993, 0.0007218114, 0.0000000002, 0.0000150433, 0.0208410199
0.0105317595, 0.0007233268, 0.0000000002, 0.0000153683, 0.0212466546
0.0105755006, 0.0006846429, 0.0000000003, 0.0000163151, 0.0238300624
0.0106194233, 0.0006888228, 0.0000000002, 0.0000131727, 0.0191235125
0.0106635285, 0.0007641965, 0.0000000003, 0.0000167839, 0.0219627434
0.0107078168, 0.0007326854, 0.0000000002, 0.0000145221, 0.0198204347
0.0107522891, 0.0007022708, 0.0000000003, 0.0000170371, 0.0242600062
0.0107969461, 0.0007307414, 0.0000000002, 0.0000146960, 0.0201110692
0.0108417885, 0.0007507602, 0.0000000002, 0.0000136855, 0.0182288724
0.0108868172, 0.0007140855, 0.0000000002, 0.0000143239, 0.0200591330
0.0109320330, 0.0007309231, 0.0000000002, 0.0000146338, 0.0200210277
0.0109774365, 0.0007822964, 0.0000000002, 0.0000144057, 0.0184146782
0.0110230286, 0.0007998469, 0.0000000002, 0.0000145902, 0.0182412050
0.0110688100, 0.0007494564, 0.0000000002, 0.0000130386, 0.0173974692
0.0111147816, 0.0007688079, 0.0000000002, 0.0000158104, 0.0205648628
0.0111609441, 0.0008184554, 0.0000000002, 0.0000148826, 0.0181837510
0.0112072983, 0.0007491832, 0.0000000003, 0.0000159855, 0.0213372752
0.0112538451, 0.0007766619, 0.0000000002, 0.0000134599, 0.0173304489
0.0113005852, 0.0008241298, 0.0000000002, 0.0000152952, 0.0185592285
0.0113475194, 0.0008061823, 0.0000000002, 0.0000143643, 0.0178176350
0.0113946485, 0.0008028098, 0.0000000003, 0.0000163534, 0.0203701766
0.0114419734, 0.0008089985, 0.0000000002, 0.0000138790, 0.0171558390
0.0114894948, 0.0008472230, 0.0000000002, 0.0000155381, 0.0183400289
0.0115372136, 0.0007734761, 0.0000000002, 0.0000153754, 0.0198782591
0.0115851306, 0.0007997627, 0.0000000003, 0.0000169195, 0.0211556043
0.0116332466, 0.0008655097, 0.0000000002, 0.0000155200, 0.0179316502
0.0116815624, 0.0008182569, 0.0000000002, 0.0000154895, 0.0189298443
0.0117300789, 0.0008034728, 0.0000000002, 0.0000150968, 0.0187894756
0.0117787969, 0.0008649823, 0.0000000002, 0.0000128372, 0.0148410317
0.0118277172, 0.0008982536, 0.0000000003, 0.0000171598, 0.0191035459
0.0118768407, 0.0008465903, 0.0000000002, 0.0000155443, 0.0183610611
0.0119261683, 0.0008717723, 0.0000000004, 0.0000202752, 0.0232574211
0.0119757007, 0.0008778962, 0.0000000003, 0.0000165259, 0.0188244564
0.0120254388, 0.0009077517, 0.0000000003, 0.0000159561, 0.0175775540
0.0120753835, 0.0008634403, 0.0000000002, 0.0000146148, 0.0169262825
0.0121255356, 0.0009287523, 0.0000000002, 0.0000152697, 0.0164411047
0.0121758961, 0.0009792463, 0.0000000003, 0.0000159860, 0.0163248158
0.0122264657, 0.0008763670, 0.0000000002, 0.0000140699, 0.0160548197
0.0122772453, 0.0008840529, 0.0000000003, 0.0000176267, 0.0199385206
0.0123282358, 0.0009500315, 0.0000000002, 0.0000132718, 0.0139698058
0.0123794381, 0.0009520027, 0.0000000003, 0.0000171941, 0.0180609651
0.0124308531, 0.0008965033, 0.0000000003, 0.0000161085, 0.0179680902
0.0124824815, 0.0009612493, 0.0000000003, 0.0000175892, 0.0182982316
0.0125343245, 0.0009796160, 0.0000000002, 0.0000154727, 0.0157946818
0.0125863827, 0.0009464482, 0.0000000004, 0.0000201341, 0.0212733061
0.0126386571, 0.0009441701, 0.0000000004, 0.0000190953, 0.0202244060
0.0126911487, 0.0010481408, 0.0000000004, 0.0000200113, 0.0190921919
0.0127438583, 0.0009966266, 0.0000000003, 0.0000159746, 0.0160286528
0.0127967867, 0.0009546442, 0.0000000003, 0.0000162589, 0.0170313768
0.0128499351, 0.0010208135, 0.0000000003, 0.0000179270, 0.0175614371
0.0129033041, 0.0010706803, 0.0000000003, 0.0000167531, 0.0156471849
0.0129568948, 0.0009758285, 0.0000000003, 0.0000160556, 0.0164532668
0.0130107081, 0.0010283530, 0.0000000002, 0.0000142741, 0.0138804985
0.0130647449, 0.0010346430, 0.0000000004, 0.0000198095, 0.0191462651
0.0131190061, 0.0010130195, 0.0000000003, 0.0000174552, 0.0172309105
0.0131734926, 0.0010231136, 0.0000000003, 0.0000187020, 0.0182795023
0.0132282055, 0.0010609096, 0.0000000003, 0.0000168756, 0.0159067463
0.0132831456, 0.0010764348, 0.0000000003, 0.0000176518, 0.0163983489
0.0133383139, 0.0010147175, 0.0000000002, 0.0000139727, 0.0137700340
0.0133937113, 0.0010552624, 0.0000000005, 0.0000219834, 0.0208321390
0.0134493388, 0.0011488007, 0.0000000005, 0.0000216398, 0.0188368464
0.0135051973, 0.0011290964, 0.0000000003, 0.0000176588, 0.0156397283
0.0135612878, 0.0010232397, 0.0000000004, 0.0000191383, 0.0187036109
0.0136176113, 0.0010768127, 0.0000000004, 0.0000196072, 0.0182085270
0.0136741687, 0.0012002932, 0.0000000005, 0.0000229488, 0.0191193595
0.0137309610, 0.0011492829, 0.0000000004, 0.0000196424, 0.0170910282
0.0137879891, 0.0010722589, 0.0000000003, 0.0000180849, 0.0168662143
0.0138452542, 0.0012172731, 0.0000000004, 0.0000206708, 0.0169811935
0.0139027570, 0.0011624207, 0.0000000004, 0.0000197052, 0.0169518961
0.0139604987, 0.0011076401, 0.0000000002, 0.0000148489, 0.0134058606
0.0140184802, 0.0011871437, 0.0000000003, 0.0000184795, 0.0155663847
0.0140767025, 0.0011792101, 0.0000000004, 0.0000210040, 0.0178119068
0.0141351666, 0.0011335709, 0.0000000003, 0.0000180063, 0.0158845564
0.0141938736, 0.0011872703, 0.0000000003, 0.0000186755, 0.0157297882
0.0142528243, 0.0012404478, 0.0000000005, 0.0000229275, 0.0184832378
0.0143120199, 0.0012361390, 0.0000000003, 0.0000162128, 0.0131156669
0.0143714614, 0.0011803310, 0.0000000004, 0.0000200582, 0.0169937011
0.0144311497, 0.0012616086, 0.0000000004, 0.0000195005, 0.0154568580
0.0144910860, 0.0013027896, 0.0000000003, 0.0000177317, 0.0136105614
0.0145512711, 0.0012052596, 0.0000000004, 0.0000205833, 0.0170778594
0.0146117062, 0.0012237394, 0.0000000004, 0.0000200051, 0.0163475160
0.0146723924, 0.0013094157, 0.0000000004, 0.0000202851, 0.0154917130
0.0147333305, 0.0012621205, 0.0000000002, 0.0000149328, 0.0118315542
0.0147945218, 0.0012104550, 0.0000000003, 0.0000170455, 0.0140819284
0.0148559672, 0.0013082570, 0.0000000004, 0.0000195232, 0.0149230988
0.0149176678, 0.0013217551, 0.0000000005, 0.0000225908, 0.0170915278
0.0149796247, 0.0013005173, 0.0000000006, 0.0000253631, 0.0195023081
0.0150418389, 0.0012743256, 0.0000000004, 0.0000190360, 0.0149381070
0.0151043115, 0.0013652013, 0.0000000005, 0.0000218096, 0.0159753618
0.0151670435, 0.0013561010, 0.0000000006, 0.0000253328, 0.0186806323
0.0152300361, 0.0012539994, 0.0000000006, 0.0000241008, 0.0192191648
0.0152932903, 0.0013267244, 0.0000000004, 0.0000210291, 0.0158504093
0.0153568072, 0.0014370148, 0.0000000005, 0.0000225397, 0.0156851145
0.0154205879, 0.0013435640, 0.0000000006, 0.0000242606, 0.0180568688
0.0154846336, 0.0013301674, 0.0000000005, 0.0000219670, 0.0165144852
0.0155489452, 0.0014396159, 0.0000000004, 0.0000195056, 0.0135492033
0.0156135239, 0.0013747209, 0.0000000004, 0.0000204139, 0.0148494886
0.0156783708, 0.0013789773, 0.0000000004, 0.0000209278, 0.0151763274
0.0157434871, 0.0014312990, 0.0000000003, 0.0000171639, 0.0119918674
0.0158088738, 0.0015298240, 0.0000000006, 0.0000244289, 0.0159684271
0.0158745321, 0.0014001967, 0.0000000006, 0.0000245254, 0.0175156598
0.0159404630, 0.0014017745, 0.0000000005, 0.0000230348, 0.0164326169
0.0160066678, 0.0015549063, 0.0000000005, 0.0000234140, 0.0150581610
0.0160731476, 0.0014219620, 0.0000000006, 0.0000251735, 0.0177033565
0.0161399035, 0.0013879336, 0.0000000005, 0.0000221308, 0.0159451272
0.0162069366, 0.0014534931, 0.0000000005, 0.0000224710, 0.0154600323
0.0162742481, 0.0015934047, 0.0000000006, 0.0000248330, 0.0155848457
0.0163418392, 0.0014548141, 0.0000000005, 0.0000221723, 0.0152406572
0.0164097110, 0.0014426413, 0.0000000005, 0.0000212979, 0.0147631239
0.0164778647, 0.0015868937, 0.0000000005, 0.0000219714, 0.0138455673
0.0165463015, 0.0015466785, 0.0000000006, 0.0000239529, 0.0154866891
0.0166150225, 0.0014449736, 0.0000000006, 0.0000234885, 0.0162553261
0.0166840289, 0.0015245777, 0.0000000006, 0.0000253166, 0.0166056313
0.0167533219, 0.0016786405, 0.0000000005, 0.0000230215, 0.0137143839
0.0168229027, 0.0015228143, 0.0000000005, 0.0000217785, 0.0143015028
0.0168927725, 0.0015441377, 0.0000000006, 0.0000238341, 0.0154352348
0.0169629324, 0.0016459426, 0.0000000006, 0.0000253020, 0.0153723314
0.0170333838, 0.0016719436, 0.0000000003, 0.0000170987, 0.0102268212
