Batch-based tally statistics for PINSPEC
Tally name: Moderator Flux
Tally type: Flux
Tally Domain: Material
User-defined bins
# batches: 50	, # bins: 13
Bin center, Mu, Variance, Std Dev, Rel Err
0.0500000000, 2.8026608295, 0.0000049124, 0.0022163930, 0.0007908174
0.3000000000, 1.5189194286, 0.0000008467, 0.0009201858, 0.0006058161
0.7500000000, 0.4092878996, 0.0000000980, 0.0003130980, 0.0007649822
3.5000000000, 1.0543396433, 0.0000003592, 0.0005993558, 0.0005684656
8.0000000000, 0.2859024758, 0.0000000556, 0.0002357066, 0.0008244301
17.5000000000, 0.5639632670, 0.0000001223, 0.0003497333, 0.0006201348
37.5000000000, 0.4485428426, 0.0000000678, 0.0002603529, 0.0005804415
75.0000000000, 0.4695945276, 0.0000000989, 0.0003144206, 0.0006695577
550.0000000000, 1.6546655557, 0.0000003738, 0.0006113757, 0.0003694859
5500.0000000000, 1.7889846988, 0.0000003438, 0.0005863602, 0.0003277614
55000.0000000000, 2.2172564400, 0.0000006043, 0.0007773557, 0.0003505935
300000.0000000000, 2.8960138531, 0.0000008983, 0.0009477930, 0.0003272750
5250000.0000000000, 8.7184779919, 0.0000136699, 0.0036972833, 0.0004240744
