Batch-based tally statistics for PINSPEC
Tally name: moderator
Tally type: Flux
Tally Domain: Material
Logarithmically spaced bins with width = 0.001800
# batches: 50	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100207663, 0.0160309907, 0.0000000556, 0.0002358586, 0.0147126665
0.0100623851, 0.0010378206, 0.0000000001, 0.0000094020, 0.0090593572
0.0101041767, 0.0009995896, 0.0000000001, 0.0000082828, 0.0082861669
0.0101461419, 0.0009812405, 0.0000000001, 0.0000093213, 0.0094995088
0.0101882814, 0.0010663346, 0.0000000001, 0.0000075525, 0.0070826819
0.0102305959, 0.0010392183, 0.0000000001, 0.0000100074, 0.0096296926
0.0102730862, 0.0009868872, 0.0000000001, 0.0000089526, 0.0090715542
0.0103157529, 0.0010413650, 0.0000000001, 0.0000101535, 0.0097502041
0.0103585969, 0.0011138314, 0.0000000001, 0.0000082307, 0.0073895172
0.0104016188, 0.0010623633, 0.0000000001, 0.0000100258, 0.0094372544
0.0104448193, 0.0010188078, 0.0000000001, 0.0000085001, 0.0083432106
0.0104881993, 0.0011431484, 0.0000000001, 0.0000109826, 0.0096073701
0.0105317595, 0.0011391996, 0.0000000001, 0.0000087903, 0.0077162187
0.0105755006, 0.0010274314, 0.0000000001, 0.0000097422, 0.0094820687
0.0106194233, 0.0010893319, 0.0000000001, 0.0000095317, 0.0087500814
0.0106635285, 0.0011680861, 0.0000000001, 0.0000082807, 0.0070891446
0.0107078168, 0.0011311403, 0.0000000001, 0.0000082970, 0.0073351138
0.0107522891, 0.0010566970, 0.0000000001, 0.0000102759, 0.0097245839
0.0107969461, 0.0011652910, 0.0000000001, 0.0000096649, 0.0082939649
0.0108417885, 0.0012155330, 0.0000000001, 0.0000094357, 0.0077626343
0.0108868172, 0.0011169391, 0.0000000001, 0.0000100912, 0.0090346755
0.0109320330, 0.0011153054, 0.0000000001, 0.0000082635, 0.0074091932
0.0109774365, 0.0012073683, 0.0000000001, 0.0000102675, 0.0085039937
0.0110230286, 0.0012189432, 0.0000000001, 0.0000077191, 0.0063326246
0.0110688100, 0.0011246549, 0.0000000001, 0.0000089305, 0.0079406609
0.0111147816, 0.0011869989, 0.0000000001, 0.0000100210, 0.0084422800
0.0111609441, 0.0012650311, 0.0000000001, 0.0000109487, 0.0086548699
0.0112072983, 0.0011642041, 0.0000000001, 0.0000104238, 0.0089535962
0.0112538451, 0.0011753022, 0.0000000001, 0.0000087440, 0.0074398084
0.0113005852, 0.0012565478, 0.0000000001, 0.0000111059, 0.0088384204
0.0113475194, 0.0012534233, 0.0000000001, 0.0000100521, 0.0080196922
0.0113946485, 0.0011732475, 0.0000000001, 0.0000112204, 0.0095635578
0.0114419734, 0.0012567339, 0.0000000001, 0.0000086875, 0.0069127231
0.0114894948, 0.0013008040, 0.0000000001, 0.0000106394, 0.0081791213
0.0115372136, 0.0012109904, 0.0000000001, 0.0000105837, 0.0087397289
0.0115851306, 0.0012695190, 0.0000000001, 0.0000096988, 0.0076397368
0.0116332466, 0.0012991637, 0.0000000001, 0.0000100507, 0.0077362704
0.0116815624, 0.0012501158, 0.0000000001, 0.0000112467, 0.0089965630
0.0117300789, 0.0012287737, 0.0000000001, 0.0000098233, 0.0079944305
0.0117787969, 0.0013500106, 0.0000000001, 0.0000106816, 0.0079122175
0.0118277172, 0.0013557849, 0.0000000001, 0.0000103488, 0.0076330382
0.0118768407, 0.0012375409, 0.0000000001, 0.0000088555, 0.0071556841
0.0119261683, 0.0013196245, 0.0000000001, 0.0000113568, 0.0086061076
0.0119757007, 0.0014025365, 0.0000000001, 0.0000119988, 0.0085550909
0.0120254388, 0.0013576688, 0.0000000001, 0.0000088250, 0.0065001261
0.0120753835, 0.0012752149, 0.0000000001, 0.0000093849, 0.0073594344
0.0121255356, 0.0013905004, 0.0000000001, 0.0000102473, 0.0073695131
0.0121758961, 0.0014316909, 0.0000000001, 0.0000071219, 0.0049744771
0.0122264657, 0.0013094708, 0.0000000001, 0.0000104470, 0.0079780413
0.0122772453, 0.0013377973, 0.0000000001, 0.0000106496, 0.0079605170
0.0123282358, 0.0014661088, 0.0000000002, 0.0000134090, 0.0091459966
0.0123794381, 0.0014378120, 0.0000000001, 0.0000106576, 0.0074123773
0.0124308531, 0.0012984157, 0.0000000001, 0.0000093474, 0.0071991031
0.0124824815, 0.0014457184, 0.0000000001, 0.0000092271, 0.0063823450
0.0125343245, 0.0015161681, 0.0000000001, 0.0000112896, 0.0074461237
0.0125863827, 0.0014218435, 0.0000000001, 0.0000104290, 0.0073348473
0.0126386571, 0.0014162096, 0.0000000001, 0.0000103542, 0.0073112361
