Batch-based tally statistics for PINSPEC
Tally name: total
Tally type: Flux
Tally Domain: Geometry
Logarithmically spaced bins with width = 0.001800
# batches: 10	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100207663, 0.0133202266, 0.0000018697, 0.0013673747, 0.1026540136
0.0100623851, 0.0008697721, 0.0000000033, 0.0000571746, 0.0657351410
0.0101041767, 0.0008893352, 0.0000000033, 0.0000572626, 0.0643881504
0.0101461419, 0.0009272497, 0.0000000034, 0.0000585659, 0.0631608440
0.0101882814, 0.0008760800, 0.0000000018, 0.0000426293, 0.0486591289
0.0102305959, 0.0008514741, 0.0000000018, 0.0000427887, 0.0502525340
0.0102730862, 0.0008570459, 0.0000000029, 0.0000541425, 0.0631733454
0.0103157529, 0.0009705100, 0.0000000040, 0.0000630648, 0.0649810903
0.0103585969, 0.0010292455, 0.0000000006, 0.0000248757, 0.0241688328
0.0104016188, 0.0008608941, 0.0000000022, 0.0000466907, 0.0542351139
0.0104448193, 0.0009422414, 0.0000000010, 0.0000313650, 0.0332876205
0.0104881993, 0.0010327818, 0.0000000030, 0.0000549697, 0.0532249407
0.0105317595, 0.0009801975, 0.0000000044, 0.0000664279, 0.0677699230
0.0105755006, 0.0009140617, 0.0000000022, 0.0000465890, 0.0509692217
0.0106194233, 0.0009944994, 0.0000000044, 0.0000665461, 0.0669141237
0.0106635285, 0.0009669387, 0.0000000018, 0.0000424022, 0.0438520331
0.0107078168, 0.0009706706, 0.0000000016, 0.0000403433, 0.0415623145
0.0107522891, 0.0008930963, 0.0000000044, 0.0000660909, 0.0740019550
0.0107969461, 0.0011217039, 0.0000000031, 0.0000559842, 0.0499099420
0.0108417885, 0.0010079072, 0.0000000039, 0.0000627381, 0.0622459110
0.0108868172, 0.0011177510, 0.0000000029, 0.0000536523, 0.0480002418
0.0109320330, 0.0009067802, 0.0000000014, 0.0000374443, 0.0412936880
0.0109774365, 0.0010853416, 0.0000000043, 0.0000654949, 0.0603449695
0.0110230286, 0.0010782265, 0.0000000014, 0.0000377349, 0.0349971680
0.0110688100, 0.0010138810, 0.0000000019, 0.0000434316, 0.0428369376
0.0111147816, 0.0011062549, 0.0000000019, 0.0000436603, 0.0394667536
0.0111609441, 0.0011775071, 0.0000000091, 0.0000953032, 0.0809364426
0.0112072983, 0.0011251790, 0.0000000016, 0.0000402290, 0.0357534301
0.0112538451, 0.0010474614, 0.0000000056, 0.0000747572, 0.0713698674
0.0113005852, 0.0011263598, 0.0000000026, 0.0000512627, 0.0455118064
0.0113475194, 0.0011369936, 0.0000000021, 0.0000462386, 0.0406674650
0.0113946485, 0.0010310246, 0.0000000041, 0.0000640204, 0.0620939332
0.0114419734, 0.0012245521, 0.0000000043, 0.0000655290, 0.0535126572
