Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Isotope
Logarithmically spaced bins
# batches: 10	, # bins: 2000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100520775, 0.5769794841, 0.0000929055, 0.0096387482, 0.0167055302
0.0101567749, 0.2885365360, 0.0001047178, 0.0102331709, 0.0354657716
0.0102625628, 0.2873445906, 0.0000999915, 0.0099995740, 0.0347999381
0.0103694525, 0.3031519593, 0.0000464803, 0.0068176483, 0.0224892107
0.0104774556, 0.3053552800, 0.0000424423, 0.0065147768, 0.0213350717
0.0105865835, 0.2976290173, 0.0000388134, 0.0062300382, 0.0209322270
0.0106968481, 0.3131987299, 0.0000262570, 0.0051241626, 0.0163607386
0.0108082611, 0.3220851560, 0.0000396083, 0.0062935093, 0.0195398925
0.0109208346, 0.3093220977, 0.0000493179, 0.0070226698, 0.0227034211
0.0110345805, 0.3206486432, 0.0000916158, 0.0095716132, 0.0298507835
0.0111495112, 0.3336275120, 0.0000389231, 0.0062388382, 0.0187000111
0.0112656389, 0.3230797176, 0.0001276359, 0.0112976063, 0.0349684790
0.0113829762, 0.3313550117, 0.0000499991, 0.0070710010, 0.0213396531
0.0115015356, 0.3395530759, 0.0000810351, 0.0090019498, 0.0265111714
0.0116213299, 0.3518629203, 0.0001402183, 0.0118413824, 0.0336533967
0.0117423718, 0.3392705544, 0.0000842487, 0.0091787115, 0.0270542533
0.0118646745, 0.3437877965, 0.0001179825, 0.0108619728, 0.0315949925
0.0119882510, 0.3650945577, 0.0000568330, 0.0075387642, 0.0206487993
0.0121131147, 0.3602643283, 0.0000823111, 0.0090725469, 0.0251830287
0.0122392788, 0.3594508974, 0.0000666817, 0.0081658888, 0.0227176755
0.0123667570, 0.3814021357, 0.0000852958, 0.0092355704, 0.0242147842
0.0124955630, 0.3779783998, 0.0000961605, 0.0098061452, 0.0259436656
0.0126257105, 0.3685307012, 0.0000938244, 0.0096862973, 0.0262835560
0.0127572136, 0.3759990009, 0.0001974494, 0.0140516706, 0.0373715637
0.0128900864, 0.3961378927, 0.0001258455, 0.0112180893, 0.0283186473
0.0130243431, 0.4002245466, 0.0001230725, 0.0110938024, 0.0277189454
0.0131599982, 0.3902056467, 0.0000783080, 0.0088491790, 0.0226782444
0.0132970661, 0.4057070178, 0.0002098985, 0.0144878734, 0.0357101868
0.0134355617, 0.4152466605, 0.0001183401, 0.0108784223, 0.0261974949
0.0135754998, 0.4089085225, 0.0000840832, 0.0091696891, 0.0224247934
0.0137168954, 0.4208272834, 0.0000963202, 0.0098142858, 0.0233214105
0.0138597638, 0.4371399792, 0.0000954151, 0.0097680654, 0.0223453947
0.0140041202, 0.4337699059, 0.0000522070, 0.0072254405, 0.0166573116
0.0141499801, 0.4234651778, 0.0000890350, 0.0094358340, 0.0222824318
0.0142973592, 0.4471860132, 0.0000777758, 0.0088190617, 0.0197212377
0.0144462734, 0.4512889241, 0.0000537592, 0.0073320655, 0.0162469433
0.0145967385, 0.4340515881, 0.0001079186, 0.0103883878, 0.0239335326
0.0147487709, 0.4560161174, 0.0001058195, 0.0102868628, 0.0225581122
0.0149023867, 0.4738078854, 0.0000769957, 0.0087747175, 0.0185195683
0.0150576025, 0.4549926705, 0.0001455983, 0.0120664138, 0.0265200179
0.0152144350, 0.4640106936, 0.0001027376, 0.0101359566, 0.0218442306
0.0153729009, 0.4939489563, 0.0000909864, 0.0095386788, 0.0193110618
0.0155330174, 0.5023633996, 0.0000374691, 0.0061212022, 0.0121848093
0.0156948015, 0.4709271934, 0.0001706365, 0.0130627904, 0.0277384501
0.0158582708, 0.4917984601, 0.0000853022, 0.0092359167, 0.0187798813
0.0160234426, 0.5167972281, 0.0001287636, 0.0113474069, 0.0219571745
0.0161903348, 0.5011464747, 0.0000364771, 0.0060396272, 0.0120516207
0.0163589652, 0.5000213974, 0.0000972305, 0.0098605516, 0.0197202592
0.0165293520, 0.5329564569, 0.0001313662, 0.0114615111, 0.0215055300
0.0167015135, 0.5269431567, 0.0001472794, 0.0121358727, 0.0230307055
0.0168754681, 0.5032937271, 0.0000534352, 0.0073099400, 0.0145242026
0.0170512345, 0.5408588734, 0.0000779585, 0.0088294116, 0.0163247975
0.0172288317, 0.5580492309, 0.0000954909, 0.0097719458, 0.0175109027
0.0174082786, 0.5369831683, 0.0002440867, 0.0156232728, 0.0290945299
0.0175895945, 0.5379573309, 0.0000734855, 0.0085723671, 0.0159350316
0.0177727990, 0.5703165371, 0.0000677756, 0.0082325953, 0.0144351334
0.0179579116, 0.5817353374, 0.0000901291, 0.0094936327, 0.0163195050
0.0181449522, 0.5415488712, 0.0001156565, 0.0107543701, 0.0198585403
0.0183339410, 0.5749680025, 0.0001560425, 0.0124916980, 0.0217259011
0.0185248981, 0.5923710563, 0.0001373938, 0.0117215106, 0.0197874465
0.0187178442, 0.5735251331, 0.0003822188, 0.0195504163, 0.0340881597
0.0189127999, 0.5842947918, 0.0001331634, 0.0115396437, 0.0197496946
0.0191097862, 0.6110751541, 0.0001684746, 0.0129797754, 0.0212408822
0.0193088242, 0.6231685983, 0.0002256933, 0.0150230907, 0.0241075863
0.0195099353, 0.5918489212, 0.0002205807, 0.0148519582, 0.0250941713
0.0197131410, 0.6215491934, 0.0002534720, 0.0159208035, 0.0256147118
0.0199184632, 0.6463430901, 0.0002517387, 0.0158662760, 0.0245477615
0.0201259240, 0.6223270528, 0.0001565579, 0.0125123104, 0.0201056829
0.0203355456, 0.6145738620, 0.0003838473, 0.0195920221, 0.0318790358
0.0205473505, 0.6575315993, 0.0000471576, 0.0068671366, 0.0104438123
0.0207613614, 0.6645102071, 0.0000312809, 0.0055929288, 0.0084166183
0.0209776014, 0.6331618237, 0.0001083058, 0.0104070078, 0.0164365687
0.0211960936, 0.6673617011, 0.0001628774, 0.0127623440, 0.0191235787
0.0214168615, 0.6804990195, 0.0002020924, 0.0142159189, 0.0208904326
0.0216399288, 0.6760985413, 0.0005275650, 0.0229687831, 0.0339725376
0.0218653195, 0.6502227829, 0.0001485580, 0.0121884369, 0.0187450166
0.0220930578, 0.6991582096, 0.0001101627, 0.0104958439, 0.0150121157
0.0223231680, 0.7075748927, 0.0001529095, 0.0123656562, 0.0174761094
0.0225556750, 0.6693917228, 0.0000618309, 0.0078632614, 0.0117468758
0.0227906036, 0.7041417492, 0.0002391917, 0.0154658248, 0.0219640786
0.0230279792, 0.7218315763, 0.0000594580, 0.0077109013, 0.0106824106
0.0232678271, 0.7156222650, 0.0001045379, 0.0102243800, 0.0142873978
0.0235101732, 0.7047482640, 0.0001771050, 0.0133080812, 0.0188834537
0.0237550434, 0.7459535375, 0.0001462396, 0.0120929568, 0.0162114075
0.0240024641, 0.7540592443, 0.0002642150, 0.0162546931, 0.0215562547
0.0242524618, 0.7129671562, 0.0000638039, 0.0079877367, 0.0112035129
0.0245050633, 0.7501869399, 0.0001000715, 0.0100035765, 0.0133347783
0.0247602958, 0.7786436813, 0.0003945759, 0.0198639334, 0.0255109415
0.0250181867, 0.7464909406, 0.0001742008, 0.0131985166, 0.0176807458
0.0252787636, 0.7524311916, 0.0000971623, 0.0098570959, 0.0131003286
0.0255420546, 0.7972744282, 0.0002498724, 0.0158073536, 0.0198267411
0.0258080879, 0.8038054842, 0.0002247309, 0.0149910267, 0.0186500678
0.0260768920, 0.7453607705, 0.0001805493, 0.0134368645, 0.0180273299
0.0263484959, 0.8118064264, 0.0001971352, 0.0140404860, 0.0172953620
0.0266229287, 0.8281322574, 0.0001477655, 0.0121558830, 0.0146786734
0.0269002198, 0.7792407502, 0.0002787696, 0.0166963947, 0.0214264907
0.0271803990, 0.8097698081, 0.0002420667, 0.0155584929, 0.0192134762
0.0274634965, 0.8435005931, 0.0002300008, 0.0151657758, 0.0179795674
0.0277495426, 0.8311215647, 0.0001863210, 0.0136499444, 0.0164235234
0.0280385679, 0.8034876812, 0.0001339245, 0.0115725745, 0.0144029270
0.0283306037, 0.8653509905, 0.0001378377, 0.0117404281, 0.0135672441
0.0286256811, 0.8784451542, 0.0001856636, 0.0136258431, 0.0155113191
0.0289238319, 0.8259856360, 0.0001533215, 0.0123823055, 0.0149909453
0.0292250881, 0.8690146404, 0.0002169283, 0.0147284875, 0.0169484918
0.0295294820, 0.9039205436, 0.0001481826, 0.0121730279, 0.0134669225
0.0298370463, 0.8504436239, 0.0001686864, 0.0129879338, 0.0152719516
0.0301478141, 0.8818239878, 0.0003594072, 0.0189580372, 0.0214986635
0.0304618187, 0.9255588813, 0.0002316070, 0.0152186408, 0.0164426501
0.0307790937, 0.8741591501, 0.0002919875, 0.0170876404, 0.0195475165
0.0310996734, 0.9047821160, 0.0001662833, 0.0128950870, 0.0142521462
0.0314235921, 0.9340651121, 0.0001731508, 0.0131586789, 0.0140875393
0.0317508845, 0.8949012894, 0.0002118262, 0.0145542502, 0.0162635258
0.0320815859, 0.9209702580, 0.0003979634, 0.0199490197, 0.0216608729
0.0324157316, 0.9539553166, 0.0000853211, 0.0092369406, 0.0096827812
0.0327533577, 0.9466954639, 0.0003679711, 0.0191825734, 0.0202626654
0.0330945003, 0.9139429120, 0.0001851386, 0.0136065642, 0.0148877616
0.0334391961, 0.9822247786, 0.0000840747, 0.0091692238, 0.0093351583
0.0337874821, 0.9532055707, 0.0001735120, 0.0131723950, 0.0138190495
0.0341393956, 0.9578676664, 0.0001443074, 0.0120127997, 0.0125411892
0.0344949745, 0.9988848452, 0.0000993471, 0.0099672999, 0.0099784274
0.0348542569, 0.9773286481, 0.0002832855, 0.0168310887, 0.0172215239
0.0352172815, 0.9769301555, 0.0001446893, 0.0120286868, 0.0123127398
0.0355840871, 1.0230999803, 0.0003060130, 0.0174932261, 0.0170982567
0.0359547132, 0.9768227115, 0.0004257214, 0.0206330161, 0.0211225803
0.0363291995, 1.0225229352, 0.0003119096, 0.0176609617, 0.0172719468
0.0367075863, 1.0517684635, 0.0001683466, 0.0129748453, 0.0123362183
0.0370899142, 0.9683361710, 0.0002270352, 0.0150676879, 0.0155603895
0.0374762242, 1.0584187001, 0.0001959123, 0.0139968678, 0.0132243202
0.0378665578, 1.0578638786, 0.0002499382, 0.0158094325, 0.0149446756
0.0382609570, 1.0313382278, 0.0002053720, 0.0143308062, 0.0138953505
0.0386594640, 1.0647312611, 0.0004366062, 0.0208951244, 0.0196247872
0.0390621217, 1.0750207145, 0.0003206338, 0.0179062511, 0.0166566568
0.0394689732, 1.0592750348, 0.0002460262, 0.0156852233, 0.0148075077
0.0398800623, 1.1007448257, 0.0003847564, 0.0196152093, 0.0178199423
0.0402954331, 1.0399352949, 0.0003389468, 0.0184105077, 0.0177035127
0.0407151302, 1.1254831889, 0.0002597815, 0.0161177376, 0.0143207271
0.0411391987, 1.0797570842, 0.0002323339, 0.0152425034, 0.0141166042
0.0415676840, 1.0921890836, 0.0004807638, 0.0219263275, 0.0200755783
0.0420006323, 1.1350309803, 0.0002126568, 0.0145827557, 0.0128478922
0.0424380899, 1.1050655229, 0.0002231803, 0.0149392190, 0.0135188536
0.0428801038, 1.1453710887, 0.0008107887, 0.0284743512, 0.0248603718
0.0433267216, 1.1391408151, 0.0003239738, 0.0179992726, 0.0158007442
0.0437779911, 1.1295079814, 0.0002062231, 0.0143604703, 0.0127139166
0.0442339608, 1.1600289182, 0.0005612917, 0.0236915961, 0.0204232806
0.0446946796, 1.1054977373, 0.0002357382, 0.0153537694, 0.0138885579
0.0451601971, 1.1966329962, 0.0003789024, 0.0194654160, 0.0162668220
0.0456305631, 1.0952785959, 0.0002175015, 0.0147479337, 0.0134650067
