Batch-based tally statistics for PINSPEC
Tally type: Flux
Logarithmically spaced bins
# batches: 10	, # bins: 2000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100520775, 0.0061246868, 0.0000019152, 0.0013838909, 0.2259529336
0.0101567749, 0.0030222281, 0.0000008002, 0.0008945639, 0.2959948149
0.0102625628, 0.0031447392, 0.0000009479, 0.0009735780, 0.3095894085
0.0103694525, 0.0036553204, 0.0000010337, 0.0010167087, 0.2781448880
0.0104774556, 0.0027113288, 0.0000010936, 0.0010457442, 0.3856943667
0.0105865835, 0.0028165063, 0.0000005086, 0.0007131511, 0.2532041506
0.0106968481, 0.0032930658, 0.0000013902, 0.0011790714, 0.3580467133
0.0108082611, 0.0029735715, 0.0000002704, 0.0005200041, 0.1748752684
0.0109208346, 0.0028980883, 0.0000010870, 0.0010425877, 0.3597501483
0.0110345805, 0.0037132227, 0.0000019011, 0.0013787938, 0.3713199746
0.0111495112, 0.0041175960, 0.0000006484, 0.0008052086, 0.1955530790
0.0112656389, 0.0030172352, 0.0000010715, 0.0010351285, 0.3430718713
0.0113829762, 0.0033856006, 0.0000006268, 0.0007917273, 0.2338513601
0.0115015356, 0.0038692478, 0.0000008644, 0.0009297251, 0.2402857363
0.0116213299, 0.0035122038, 0.0000016619, 0.0012891499, 0.3670487301
0.0117423718, 0.0035914693, 0.0000021685, 0.0014725880, 0.4100238329
0.0118646745, 0.0037638716, 0.0000021895, 0.0014797103, 0.3931351837
0.0119882510, 0.0038872831, 0.0000017116, 0.0013082718, 0.3365517181
0.0121131147, 0.0032901676, 0.0000012436, 0.0011151825, 0.3389439644
0.0122392788, 0.0035301637, 0.0000003328, 0.0005768534, 0.1634069808
0.0123667570, 0.0041594088, 0.0000013521, 0.0011628014, 0.2795592993
0.0124955630, 0.0045572008, 0.0000011714, 0.0010823312, 0.2374991145
0.0126257105, 0.0041439455, 0.0000010031, 0.0010015340, 0.2416860981
0.0127572136, 0.0043617160, 0.0000014828, 0.0012177072, 0.2791807497
0.0128900864, 0.0041939468, 0.0000013724, 0.0011714856, 0.2793277164
0.0130243431, 0.0040953156, 0.0000020728, 0.0014397160, 0.3515519091
0.0131599982, 0.0046340734, 0.0000020340, 0.0014261855, 0.3077606591
0.0132970661, 0.0047098020, 0.0000011839, 0.0010880666, 0.2310217161
0.0134355617, 0.0045242497, 0.0000027281, 0.0016516907, 0.3650750587
0.0135754998, 0.0046365622, 0.0000004457, 0.0006676083, 0.1439877832
0.0137168954, 0.0043044280, 0.0000017648, 0.0013284540, 0.3086249781
0.0138597638, 0.0049473360, 0.0000018180, 0.0013483295, 0.2725364661
0.0140041202, 0.0047233851, 0.0000013927, 0.0011801420, 0.2498509005
0.0141499801, 0.0053721469, 0.0000027400, 0.0016552891, 0.3081243197
0.0142973592, 0.0046321852, 0.0000026922, 0.0016407944, 0.3542160573
0.0144462734, 0.0053907533, 0.0000014696, 0.0012122531, 0.2248763909
0.0145967385, 0.0056789327, 0.0000014683, 0.0012117423, 0.2133750156
0.0147487709, 0.0048756585, 0.0000035528, 0.0018848951, 0.3865929283
0.0149023867, 0.0063841615, 0.0000027391, 0.0016550329, 0.2592404541
0.0150576025, 0.0050901825, 0.0000013526, 0.0011629944, 0.2284779439
0.0152144350, 0.0058202688, 0.0000015447, 0.0012428454, 0.2135374639
0.0153729009, 0.0061666566, 0.0000009605, 0.0009800256, 0.1589233333
0.0155330174, 0.0052750697, 0.0000014092, 0.0011871054, 0.2250407126
