Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Material
Logarithmically spaced bins
# batches: 25	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100207663, 0.0045114547, 0.0000000011, 0.0000334073, 0.0074049998
0.0100623851, 0.0006112227, 0.0000000000, 0.0000064673, 0.0105808682
0.0101041767, 0.0005876503, 0.0000000000, 0.0000049651, 0.0084490170
0.0101461419, 0.0005815723, 0.0000000000, 0.0000070370, 0.0120998767
0.0101882814, 0.0006205474, 0.0000000000, 0.0000061033, 0.0098353503
0.0102305959, 0.0006122904, 0.0000000000, 0.0000051644, 0.0084345933
0.0102730862, 0.0005830190, 0.0000000000, 0.0000060552, 0.0103859994
0.0103157529, 0.0006166539, 0.0000000000, 0.0000064278, 0.0104236133
0.0103585969, 0.0006448247, 0.0000000000, 0.0000055794, 0.0086525284
0.0104016188, 0.0006116467, 0.0000000000, 0.0000067959, 0.0111108820
0.0104448193, 0.0006089330, 0.0000000000, 0.0000044869, 0.0073684790
0.0104881993, 0.0006732313, 0.0000000000, 0.0000064750, 0.0096178048
0.0105317595, 0.0006655367, 0.0000000000, 0.0000058692, 0.0088188121
0.0105755006, 0.0006252936, 0.0000000000, 0.0000054866, 0.0087744225
0.0106194233, 0.0006486589, 0.0000000001, 0.0000077465, 0.0119422723
0.0106635285, 0.0006875610, 0.0000000001, 0.0000073232, 0.0106509519
0.0107078168, 0.0006647889, 0.0000000000, 0.0000057954, 0.0087176071
0.0107522891, 0.0006430251, 0.0000000000, 0.0000063911, 0.0099391432
0.0107969461, 0.0006854442, 0.0000000000, 0.0000062794, 0.0091610403
0.0108417885, 0.0007004666, 0.0000000001, 0.0000071359, 0.0101873419
0.0108868172, 0.0006643104, 0.0000000000, 0.0000064795, 0.0097536822
0.0109320330, 0.0006634183, 0.0000000000, 0.0000069358, 0.0104546016
0.0109774365, 0.0007181716, 0.0000000000, 0.0000057037, 0.0079419906
0.0110230286, 0.0007279007, 0.0000000000, 0.0000057800, 0.0079406845
0.0110688100, 0.0006541429, 0.0000000000, 0.0000069646, 0.0106469755
0.0111147816, 0.0007037263, 0.0000000001, 0.0000073163, 0.0103965652
0.0111609441, 0.0007526811, 0.0000000000, 0.0000069616, 0.0092491007
