Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Material
Logarithmically spaced bins
# batches: 25	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100207663, -0.0401322041, 0.0000000809, 0.0002844276, -0.0070872651
0.0100623851, -0.0018974077, 0.0000000001, 0.0000091875, -0.0048421320
0.0101041767, -0.0018246243, 0.0000000000, 0.0000069713, -0.0038206562
0.0101461419, -0.0018048286, 0.0000000001, 0.0000087356, -0.0048401379
0.0101882814, -0.0019539849, 0.0000000000, 0.0000070161, -0.0035906705
0.0102305959, -0.0019338010, 0.0000000001, 0.0000096443, -0.0049872001
0.0102730862, -0.0018128019, 0.0000000000, 0.0000068139, -0.0037587479
0.0103157529, -0.0018948237, 0.0000000001, 0.0000070925, -0.0037430680
0.0103585969, -0.0020344702, 0.0000000001, 0.0000081953, -0.0040282064
0.0104016188, -0.0019167085, 0.0000000001, 0.0000085135, -0.0044417245
0.0104448193, -0.0018705272, 0.0000000001, 0.0000090523, -0.0048394284
0.0104881993, -0.0020713797, 0.0000000001, 0.0000087938, -0.0042453661
0.0105317595, -0.0020288853, 0.0000000001, 0.0000074786, -0.0036860731
0.0105755006, -0.0018852181, 0.0000000001, 0.0000073116, -0.0038783589
0.0106194233, -0.0019699062, 0.0000000001, 0.0000085662, -0.0043485409
0.0106635285, -0.0021428942, 0.0000000000, 0.0000065463, -0.0030548819
0.0107078168, -0.0020468017, 0.0000000001, 0.0000089511, -0.0043732201
0.0107522891, -0.0019359182, 0.0000000001, 0.0000085319, -0.0044071584
0.0107969461, -0.0021260879, 0.0000000001, 0.0000072044, -0.0033885739
0.0108417885, -0.0021730547, 0.0000000001, 0.0000072041, -0.0033152070
0.0108868172, -0.0020113739, 0.0000000001, 0.0000080102, -0.0039824724
0.0109320330, -0.0020493622, 0.0000000001, 0.0000093177, -0.0045466126
0.0109774365, -0.0022084126, 0.0000000001, 0.0000096421, -0.0043660826
0.0110230286, -0.0021878781, 0.0000000001, 0.0000078927, -0.0036074739
0.0110688100, -0.0019929304, 0.0000000001, 0.0000094433, -0.0047384146
0.0111147816, -0.0021829487, 0.0000000001, 0.0000092169, -0.0042222170
0.0111609441, -0.0023054346, 0.0000000001, 0.0000106909, -0.0046372779
0.0112072983, -0.0021332000, 0.0000000001, 0.0000099451, -0.0046620725
0.0112538451, -0.0021474954, 0.0000000001, 0.0000102408, -0.0047687181
0.0113005852, -0.0022931532, 0.0000000001, 0.0000104098, -0.0045395198
0.0113475194, -0.0022758376, 0.0000000001, 0.0000093963, -0.0041287291
0.0113946485, -0.0021223961, 0.0000000001, 0.0000112548, -0.0053028864
0.0114419734, -0.0022901229, 0.0000000001, 0.0000072858, -0.0031813875
0.0114894948, -0.0023825727, 0.0000000001, 0.0000082294, -0.0034540168
0.0115372136, -0.0021919080, 0.0000000001, 0.0000084911, -0.0038738254
0.0115851306, -0.0022965919, 0.0000000001, 0.0000083506, -0.0036360658
0.0116332466, -0.0023728536, 0.0000000001, 0.0000113800, -0.0047959024
0.0116815624, -0.0023042742, 0.0000000001, 0.0000081827, -0.0035510959
0.0117300789, -0.0022589803, 0.0000000001, 0.0000116238, -0.0051455808
0.0117787969, -0.0024475262, 0.0000000001, 0.0000082698, -0.0033788255
0.0118277172, -0.0024659949, 0.0000000001, 0.0000098788, -0.0040060095
0.0118768407, -0.0022540416, 0.0000000001, 0.0000086744, -0.0038483560
0.0119261683, -0.0024077760, 0.0000000001, 0.0000082523, -0.0034273505
0.0119757007, -0.0025259282, 0.0000000001, 0.0000113422, -0.0044903107
0.0120254388, -0.0024486299, 0.0000000000, 0.0000064266, -0.0026245613
0.0120753835, -0.0023277572, 0.0000000001, 0.0000092538, -0.0039754316
0.0121255356, -0.0025318423, 0.0000000001, 0.0000115068, -0.0045448133
0.0121758961, -0.0026466854, 0.0000000001, 0.0000102457, -0.0038711421
0.0122264657, -0.0024039625, 0.0000000001, 0.0000085855, -0.0035714068
0.0122772453, -0.0024168221, 0.0000000001, 0.0000077128, -0.0031912945
0.0123282358, -0.0026788600, 0.0000000001, 0.0000109727, -0.0040960456
0.0123794381, -0.0026394438, 0.0000000001, 0.0000101586, -0.0038487734
0.0124308531, -0.0024119881, 0.0000000001, 0.0000093916, -0.0038937103
0.0124824815, -0.0025918629, 0.0000000001, 0.0000092614, -0.0035732641
0.0125343245, -0.0027677055, 0.0000000001, 0.0000121376, -0.0043854265
0.0125863827, -0.0025692236, 0.0000000001, 0.0000107583, -0.0041873545
0.0126386571, -0.0026042503, 0.0000000001, 0.0000110661, -0.0042492415
0.0126911487, -0.0027785493, 0.0000000001, 0.0000098123, -0.0035314501
0.0127438583, -0.0027062533, 0.0000000001, 0.0000106332, -0.0039291079
0.0127967867, -0.0025720684, 0.0000000001, 0.0000114241, -0.0044415988
0.0128499351, -0.0027710623, 0.0000000001, 0.0000121949, -0.0044008167
0.0129033041, -0.0028340604, 0.0000000001, 0.0000099361, -0.0035059443
0.0129568948, -0.0026514593, 0.0000000001, 0.0000106618, -0.0040211018
0.0130107081, -0.0028064207, 0.0000000001, 0.0000093550, -0.0033334153
0.0130647449, -0.0028906727, 0.0000000002, 0.0000132086, -0.0045693989
0.0131190061, -0.0027403788, 0.0000000001, 0.0000102871, -0.0037538970
0.0131734926, -0.0026888391, 0.0000000001, 0.0000104255, -0.0038773166
0.0132282055, -0.0029074900, 0.0000000001, 0.0000114422, -0.0039354200
0.0132831456, -0.0029808409, 0.0000000001, 0.0000109149, -0.0036616911
0.0133383139, -0.0027978997, 0.0000000001, 0.0000114112, -0.0040784832
0.0133937113, -0.0028528582, 0.0000000002, 0.0000127040, -0.0044530860
0.0134493388, -0.0031231984, 0.0000000002, 0.0000128318, -0.0041085469
0.0135051973, -0.0029619868, 0.0000000001, 0.0000120525, -0.0040690430
0.0135612878, -0.0027574990, 0.0000000001, 0.0000111554, -0.0040454615
0.0136176113, -0.0029977604, 0.0000000001, 0.0000099813, -0.0033295973
0.0136741687, -0.0031642535, 0.0000000001, 0.0000107879, -0.0034093002
0.0137309610, -0.0029556836, 0.0000000001, 0.0000072889, -0.0024660483
0.0137879891, -0.0029146213, 0.0000000001, 0.0000108332, -0.0037168322
0.0138452542, -0.0032561304, 0.0000000002, 0.0000134899, -0.0041429241
0.0139027570, -0.0030831700, 0.0000000001, 0.0000098721, -0.0032019296
0.0139604987, -0.0029018037, 0.0000000002, 0.0000130724, -0.0045049210
0.0140184802, -0.0031629608, 0.0000000001, 0.0000094016, -0.0029723991
0.0140767025, -0.0032801668, 0.0000000001, 0.0000114578, -0.0034930417
