Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Geometry
Logarithmically spaced bins
# batches: 25	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0100207663, 0.0148366035, 0.0000000104, 0.0001020715, 0.0068797084
0.0100623851, 0.0008259433, 0.0000000000, 0.0000034490, 0.0041758444
0.0101041767, 0.0008018664, 0.0000000000, 0.0000035204, 0.0043902284
0.0101461419, 0.0007909748, 0.0000000000, 0.0000032349, 0.0040897072
0.0101882814, 0.0008575071, 0.0000000000, 0.0000029360, 0.0034238964
0.0102305959, 0.0008470032, 0.0000000000, 0.0000030162, 0.0035610363
0.0102730862, 0.0007934267, 0.0000000000, 0.0000031377, 0.0039546447
0.0103157529, 0.0008332367, 0.0000000000, 0.0000033503, 0.0040208441
0.0103585969, 0.0008885109, 0.0000000000, 0.0000030068, 0.0033841051
0.0104016188, 0.0008402997, 0.0000000000, 0.0000031870, 0.0037927096
0.0104448193, 0.0008242611, 0.0000000000, 0.0000034181, 0.0041469102
0.0104881993, 0.0009055432, 0.0000000000, 0.0000036760, 0.0040594499
0.0105317595, 0.0008928458, 0.0000000000, 0.0000029316, 0.0032833852
0.0105755006, 0.0008298725, 0.0000000000, 0.0000026302, 0.0031693591
0.0106194233, 0.0008688987, 0.0000000000, 0.0000030730, 0.0035366203
0.0106635285, 0.0009384707, 0.0000000000, 0.0000030735, 0.0032750436
0.0107078168, 0.0009034515, 0.0000000000, 0.0000032725, 0.0036222186
0.0107522891, 0.0008557628, 0.0000000000, 0.0000028502, 0.0033305847
0.0107969461, 0.0009346537, 0.0000000000, 0.0000025810, 0.0027614135
0.0108417885, 0.0009543781, 0.0000000000, 0.0000035398, 0.0037089985
0.0108868172, 0.0008863952, 0.0000000000, 0.0000029414, 0.0033183375
0.0109320330, 0.0009019510, 0.0000000000, 0.0000035034, 0.0038843017
0.0109774365, 0.0009675325, 0.0000000000, 0.0000032981, 0.0034087666
0.0110230286, 0.0009660179, 0.0000000000, 0.0000035115, 0.0036349850
0.0110688100, 0.0008851469, 0.0000000000, 0.0000041074, 0.0046403311
0.0111147816, 0.0009588090, 0.0000000000, 0.0000045644, 0.0047604742
0.0111609441, 0.0010135189, 0.0000000000, 0.0000037877, 0.0037372060
0.0112072983, 0.0009406662, 0.0000000000, 0.0000043549, 0.0046296150
0.0112538451, 0.0009494607, 0.0000000000, 0.0000041486, 0.0043693848
0.0113005852, 0.0010054854, 0.0000000000, 0.0000045252, 0.0045004966
0.0113475194, 0.0010054094, 0.0000000000, 0.0000042114, 0.0041887352
0.0113946485, 0.0009383864, 0.0000000000, 0.0000044900, 0.0047847934
0.0114419734, 0.0010120904, 0.0000000000, 0.0000031187, 0.0030814422
0.0114894948, 0.0010474433, 0.0000000000, 0.0000037648, 0.0035942917
0.0115372136, 0.0009678063, 0.0000000000, 0.0000034664, 0.0035817509
0.0115851306, 0.0010156931, 0.0000000000, 0.0000032417, 0.0031916175
0.0116332466, 0.0010502222, 0.0000000000, 0.0000042091, 0.0040077892
0.0116815624, 0.0010195296, 0.0000000000, 0.0000030221, 0.0029641775
0.0117300789, 0.0009949729, 0.0000000000, 0.0000040553, 0.0040757802
0.0117787969, 0.0010810014, 0.0000000000, 0.0000039488, 0.0036529252
0.0118277172, 0.0010876391, 0.0000000000, 0.0000043673, 0.0040153780
0.0118768407, 0.0010010458, 0.0000000000, 0.0000032294, 0.0032260700
0.0119261683, 0.0010605630, 0.0000000000, 0.0000032813, 0.0030939104
0.0119757007, 0.0011198979, 0.0000000000, 0.0000048485, 0.0043294156
0.0120254388, 0.0010881670, 0.0000000000, 0.0000024863, 0.0022848728
0.0120753835, 0.0010340590, 0.0000000000, 0.0000042390, 0.0040993500
0.0121255356, 0.0011201355, 0.0000000000, 0.0000045845, 0.0040927827
0.0121758961, 0.0011762818, 0.0000000000, 0.0000044178, 0.0037557010
0.0122264657, 0.0010651382, 0.0000000000, 0.0000039537, 0.0037118722
0.0122772453, 0.0010730268, 0.0000000000, 0.0000030639, 0.0028553909
0.0123282358, 0.0011828057, 0.0000000000, 0.0000041043, 0.0034699458
0.0123794381, 0.0011691989, 0.0000000000, 0.0000035871, 0.0030680353
0.0124308531, 0.0010681221, 0.0000000000, 0.0000046488, 0.0043523516
0.0124824815, 0.0011482502, 0.0000000000, 0.0000042617, 0.0037115040
0.0125343245, 0.0012237780, 0.0000000000, 0.0000053772, 0.0043939609
0.0125863827, 0.0011393194, 0.0000000000, 0.0000044782, 0.0039305871
0.0126386571, 0.0011541331, 0.0000000000, 0.0000047185, 0.0040883331
0.0126911487, 0.0012299133, 0.0000000000, 0.0000029869, 0.0024285204
0.0127438583, 0.0012016716, 0.0000000000, 0.0000042491, 0.0035359733
0.0127967867, 0.0011449137, 0.0000000000, 0.0000046936, 0.0040995169
0.0128499351, 0.0012349151, 0.0000000000, 0.0000049533, 0.0040110327
0.0129033041, 0.0012599060, 0.0000000000, 0.0000042927, 0.0034071277
0.0129568948, 0.0011833170, 0.0000000000, 0.0000038495, 0.0032531238
0.0130107081, 0.0012500439, 0.0000000000, 0.0000042944, 0.0034353867
0.0130647449, 0.0012874445, 0.0000000000, 0.0000054100, 0.0042021144
0.0131190061, 0.0012216901, 0.0000000000, 0.0000038850, 0.0031799833
0.0131734926, 0.0011987119, 0.0000000000, 0.0000049847, 0.0041583447
0.0132282055, 0.0012867189, 0.0000000000, 0.0000055166, 0.0042873768
0.0132831456, 0.0013211571, 0.0000000000, 0.0000040616, 0.0030743042
0.0133383139, 0.0012447126, 0.0000000000, 0.0000048512, 0.0038974764
0.0133937113, 0.0012717634, 0.0000000000, 0.0000045469, 0.0035752860
0.0134493388, 0.0013923794, 0.0000000000, 0.0000048433, 0.0034784698
0.0135051973, 0.0013212555, 0.0000000000, 0.0000047581, 0.0036011957
0.0135612878, 0.0012356578, 0.0000000000, 0.0000055915, 0.0045251429
0.0136176113, 0.0013380689, 0.0000000000, 0.0000039751, 0.0029707505
0.0136741687, 0.0014127155, 0.0000000000, 0.0000051578, 0.0036509790
0.0137309610, 0.0013195690, 0.0000000000, 0.0000035755, 0.0027095634
0.0137879891, 0.0013089123, 0.0000000000, 0.0000039990, 0.0030552330
0.0138452542, 0.0014516435, 0.0000000000, 0.0000052109, 0.0035896251
0.0139027570, 0.0013811780, 0.0000000000, 0.0000034272, 0.0024813898
0.0139604987, 0.0013033885, 0.0000000000, 0.0000051609, 0.0039595837
0.0140184802, 0.0014127263, 0.0000000000, 0.0000045236, 0.0032020661
0.0140767025, 0.0014641725, 0.0000000000, 0.0000041803, 0.0028550689
0.0141351666, 0.0013677754, 0.0000000000, 0.0000046083, 0.0033691611
0.0141938736, 0.0013899884, 0.0000000000, 0.0000036797, 0.0026473140
0.0142528243, 0.0015277463, 0.0000000000, 0.0000048640, 0.0031837891
0.0143120199, 0.0014062670, 0.0000000000, 0.0000058676, 0.0041724583
0.0143714614, 0.0013805755, 0.0000000000, 0.0000050470, 0.0036557387
0.0144311497, 0.0014951023, 0.0000000000, 0.0000037840, 0.0025309336
0.0144910860, 0.0015326313, 0.0000000000, 0.0000037140, 0.0024232675
0.0145512711, 0.0014243026, 0.0000000000, 0.0000035760, 0.0025107208
0.0146117062, 0.0014489817, 0.0000000000, 0.0000050154, 0.0034613180
0.0146723924, 0.0015868174, 0.0000000000, 0.0000060279, 0.0037987471
