5-B-10(n,elastic) ENDF/B-VII.1
1.0E-5,39.7633
1.31241E-5,34.7233
1.70876E-5,30.4463
2.2426E-5,26.5946
2.91987E-5,23.3271
3.83206E-5,20.3858
4.98935E-5,17.892
6.54808E-5,15.6487
8.52562E-5,13.7484
1.11891E-4,12.041
1.45682E-4,10.597
1.91195E-4,9.30219
2.48937E-4,8.20996
3.26707E-4,7.23395
4.25373E-4,6.41423
5.58264E-4,5.68585
7.26861E-4,5.0785
9.53941E-4,4.54374
0.00136346,3.9639
0.00194878,3.50433
0.00278538,3.14669
0.00398112,2.87441
0.00619694,2.63242
0.0105891,2.44413
0.0198632,2.31734
0.0234661,2.29479
0.0253,2.28573
0.0738726,2.2069
1.07619,2.16996
306.431,2.11848
950.0,2.10652
1000.0,2.10666
2500.0,2.10441
42878.8,2.39742
164665.0,3.36751
240000.0,3.78676
310000.0,3.92593
320000.0,3.92908
480000.0,3.66231
745357.0,2.85982
950000.0,2.40313
1375000.0,1.7691
1550000.0,1.61712
1700000.0,1.69046
1760000.0,1.73241
1820000.0,1.68582
1960000.0,1.48061
2120000.0,1.43014
2240000.0,1.47816
2480000.0,1.7076
2640000.0,1.96292
2780000.0,2.01737
3275000.0,1.38164
3350000.0,1.34157
3400000.0,1.34915
3600000.0,1.16047
3750000.0,1.08248
3800000.0,1.07721
4150000.0,1.29979
4300000.0,1.33382
4500000.0,1.23418
4825000.0,1.05585
5254910.0,0.94531
5400000.0,0.937397
6400000.0,1.01762
6500000.0,1.00647
6600000.0,1.01494
9000000.0,0.860822
9100000.0,0.859567
1.09E7,0.906665
1.2E7,0.922895
1.35E7,0.905216
2.0E7,0.951971
