E(MeV)  pendfb7/B10:102
1e-11  25.1497491
1.02999e-11  24.7809044
1.06087e-11  24.4175825
1.09269e-11  24.059421
1.12544e-11  23.706731
1.1592e-11  23.359012
1.19395e-11  23.0165739
1.22976e-11  22.6789777
1.26662e-11  22.346509
1.30462e-11  22.0186983
1.34372e-11  21.6959511
1.38403e-11  21.3776963
1.42552e-11  21.0643325
1.46827e-11  20.7553802
1.51229e-11  20.4511017
1.55765e-11  20.151098
1.60434e-11  19.8557234
1.65246e-11  19.564474
1.70199e-11  19.277678
1.75304e-11  18.9949319
1.80559e-11  18.7164608
1.85975e-11  18.4419301
1.9155e-11  18.1715819
1.97295e-11  17.9050531
2.03209e-11  17.6425657
2.09305e-11  17.3837654
2.15579e-11  17.1289504
2.22045e-11  16.8776958
2.28701e-11  16.6302875
2.35561e-11  16.3863399
2.42622e-11  16.1461419
2.49899e-11  15.9093118
2.5739e-11  15.6760909
2.6511e-11  15.4461624
2.73057e-11  15.2197241
2.81247e-11  14.9964928
2.89678e-11  14.7766432
2.98367e-11  14.5598955
3.07311e-11  14.3464614
3.16528e-11  14.1360341
3.26017e-11  13.9288031
3.35795e-11  13.7245002
3.45861e-11  13.5233039
3.56235e-11  13.3249429
3.66913e-11  13.1296097
3.77919e-11  12.9370211
3.89247e-11  12.7473767
4.00923e-11  12.5603911
4.12941e-11  12.3762715
4.25327e-11  12.1947295
4.38076e-11  12.01597
4.51216e-11  11.8397192
4.64742e-11  11.6661577
4.78681e-11  11.4950417
4.9303e-11  11.3265292
5.07818e-11  11.1603959
5.23041e-11  10.9967881
5.38729e-11  10.8354878
5.54878e-11  10.6766465
5.71521e-11  10.5200438
5.88653e-11  10.3658249
6.0631e-11  10.2137748
6.24484e-11  10.0640521
6.43215e-11  9.91643477
6.62496e-11  9.77106453
6.82368e-11  9.62773913
7.02822e-11  9.48660652
7.23903e-11  9.34745646
7.45603e-11  9.21042974
7.67967e-11  9.07532859
7.90987e-11  8.94229309
8.14712e-11  8.81112941
8.39134e-11  8.68196251
8.64304e-11  8.55461312
8.90212e-11  8.42921075
9.16913e-11  8.3055724
9.44399e-11  8.18381717
9.72725e-11  8.06377856
1.00188e-10  7.94556755
1.03193e-10  7.82903998
1.06287e-10  7.71425392
1.09475e-10  7.60109484
1.12756e-10  7.48967436
1.16139e-10  7.37979988
1.1962e-10  7.27163282
1.23208e-10  7.1649666
1.26901e-10  7.05993897
1.30707e-10  6.95639443
1.34626e-10  6.854408
1.38664e-10  6.7538554
1.4282e-10  6.65486052
1.47104e-10  6.55724449
1.51513e-10  6.46112231
1.56058e-10  6.36635126
1.60736e-10  6.27302426
1.65557e-10  6.18101558
1.7052e-10  6.09040217
1.75635e-10  6.00106149
1.80899e-10  5.91309663
1.86325e-10  5.82636974
1.91911e-10  5.74095286
1.97667e-10  5.65674391
2.03592e-10  5.57382058
2.09699e-10  5.49206186
2.15985e-10  5.41155391
2.22463e-10  5.33217877
2.29132e-10  5.25401118
2.36004e-10  5.17694928
2.43079e-10  5.10105488
2.5037e-10  5.02623099
2.57875e-10  4.95255149
2.6561e-10  4.87990506
2.73572e-10  4.80837137
2.81777e-10  4.73784456
2.90224e-10  4.66838866
2.98929e-10  4.59991228
3.0789e-10  4.53248116
3.17125e-10  4.46599599
3.26631e-10  4.40053024
3.36428e-10  4.33598226
3.46513e-10  4.27242071
3.56906e-10  4.20975317
3.67605e-10  4.14804074
3.78631e-10  4.08719602
3.89981e-10  4.02728175
4.01678e-10  3.96820885
4.13719e-10  3.91003833
4.26128e-10  3.85268499
4.38901e-10  3.79620813
4.52066e-10  3.74052539
4.65617e-10  3.68569178
4.79583e-10  3.63163031
4.93959e-10  3.57839282
5.08775e-10  3.5259052
5.24026e-10  3.47421757
5.39744e-10  3.42325769
5.55923e-10  3.3730751
5.72598e-10  3.32359871
5.89762e-10  3.27487712
6.07452e-10  3.22684052
6.25661e-10  3.1795379
6.44427e-10  3.13290055
6.63744e-10  3.08697422
6.83653e-10  3.04169455
7.04146e-10  2.99710527
7.25267e-10  2.95314309
7.47007e-10  2.90985262
7.69413e-10  2.86717153
7.92477e-10  2.82514008
8.16247e-10  2.78370125
8.40715e-10  2.74289372
8.65932e-10  2.70266061
8.91889e-10  2.66304173
9.18641e-10  2.62397975
9.46178e-10  2.58551441
9.74558e-10  2.54758996
1.003771e-09  2.51024408
1.033879e-09  2.4734236
1.064871e-09  2.43716505
1.096811e-09  2.40141621
1.129689e-09  2.3662135
1.163573e-09  2.33150579
1.198452e-09  2.29732752
1.234399e-09  2.26363037
1.271402e-09  2.23044695
1.309537e-09  2.19773023
1.348791e-09  2.16551343
1.389247e-09  2.13374988
1.430892e-09  2.10247026
1.47381e-09  2.07163131
1.517989e-09  2.04126242
1.563521e-09  2.01132072
1.610389e-09  1.98183647
1.658691e-09  1.95276692
1.708412e-09  1.92414054
1.759655e-09  1.89591715
1.812403e-09  1.86812427
1.866765e-09  1.84072222
1.922723e-09  1.81373874
1.980394e-09  1.7871345
2.039758e-09  1.76093649
2.100939e-09  1.73510704
2.163917e-09  1.70967143
2.228823e-09  1.68459363
2.295634e-09  1.6598988
2.36449e-09  1.63555122
2.435368e-09  1.61157515
2.508415e-09  1.58793652
2.583608e-09  1.56465829
2.661102e-09  1.54170757
2.740871e-09  1.51910728
2.823082e-09  1.49682472
2.907706e-09  1.47488234
2.994921e-09  1.45324864
3.084697e-09  1.43194487
3.177221e-09  1.41094086
3.272461e-09  1.39025738
3.370617e-09  1.36986484
3.471655e-09  1.34978348
3.575785e-09  1.32998459
3.682973e-09  1.31048785
3.793441e-09  1.29126539
3.907154e-09  1.27233615
4.024346e-09  1.2536733
4.14498e-09  1.23529511
4.269306e-09  1.21717557
4.397283e-09  1.19933236
4.529177e-09  1.18174027
4.664944e-09  1.16441652
4.804866e-09  1.14733653
4.948897e-09  1.13051709
5.097336e-09  1.11393431
5.250134e-09  1.09760448
5.407609e-09  1.08150438
5.569708e-09  1.06564995
5.736768e-09  1.05001849
5.908733e-09  1.03462559
6.085962e-09  1.01944919
6.268395e-09  1.00450431
6.456412e-09  0.989769645
6.649949e-09  0.975259794
6.849411e-09  0.960954011
7.054729e-09  0.946866499
7.266331e-09  0.932977143
7.484147e-09  0.919299629
7.70863e-09  0.905814484
7.939704e-09  0.892535086
8.17785e-09  0.879442458
8.42299e-09  0.866549486
8.675632e-09  0.853837889
8.935694e-09  0.841320116
9.203714e-09  0.828978426
9.479605e-09  0.81682492
9.76394e-09  0.804842348
1.0056625e-08  0.793042476
1.0358267e-08  0.781408532
