24-Cr-52(n,&gamma;) ENDF/B-VII.1
1.0E-5,43.1755
1.30374E-5,37.8131
1.71104E-5,33.0071
2.22778E-5,28.9269
2.92376E-5,25.2503
3.80674E-5,22.129
4.996E-5,19.3164
6.50481E-5,16.9286
8.53698E-5,14.777
1.11152E-4,12.9503
1.45877E-4,11.3043
1.89932E-4,9.90696
2.49268E-4,8.64781
3.24548E-4,7.57879
4.2594E-4,6.61554
5.54575E-4,5.79775
7.2783E-4,5.06086
9.47636E-4,4.43524
0.00124369,3.87152
0.00161928,3.39293
0.00212517,2.96166
0.00276697,2.59554
0.0036314,2.26562
0.00472809,1.98551
0.0062052,1.7331
0.00807918,1.5189
0.0106032,1.32584
0.0138054,1.16167
0.0181183,1.01413
0.0244451,0.873069
0.0253,0.858122
0.033204,0.749222
0.0432317,0.657343
0.0567377,0.573908
0.0738726,0.504108
0.0969512,0.440111
0.138572,0.369141
0.18042,0.323132
0.236786,0.282012
0.308296,0.24807
0.40461,0.216216
0.526803,0.189848
0.691383,0.165706
0.900182,0.14532
1.28662,0.121635
1.68608,0.106341
2.15711,0.0944792
2.81805,0.0825456
3.66794,0.0722871
5.10887,0.0612513
6.85782,0.0529933
8.84641,0.0468856
10.9983,0.041945
14.6717,0.0362859
20.3596,0.0307884
28.1989,0.026235
40.6938,0.0218045
56.3977,0.0185698
81.3624,0.0154259
108.217,0.0133982
138.055,0.0119035
175.973,0.0105046
225.591,0.00925617
315.502,0.00780495
432.867,0.00663212
552.22,0.00587006
703.892,0.00515566
902.363,0.00451796
1180.63,0.00392242
1398.75,0.0036586
1484.18,0.00374219
1522.04,0.00397816
1546.18,0.00437797
1560.17,0.00485511
1570.86,0.00550767
1577.64,0.00617892
1584.48,0.00718448
1590.24,0.00854987
1594.76,0.0102009
1597.98,0.0119263
1601.33,0.0144668
1604.03,0.0174337
1606.34,0.0210372
1608.57,0.0260073
1610.42,0.031892
1611.96,0.0387804
1613.38,0.0476169
1614.61,0.0583439
1615.75,0.0721067
1616.7,0.0882036
1617.55,0.108088
1618.28,0.13155
1618.91,0.159129
1619.52,0.196216
1620.03,0.240342
1620.45,0.294367
1620.74,0.345779
1621.02,0.418396
1621.25,0.503364
1621.47,0.611563
1621.68,0.762654
1621.86,0.940206
1622.04,1.17817
1622.24,1.51629
1622.41,1.93016
1622.59,2.46828
1622.79,3.27204
1623.01,4.38025
1623.23,5.88688
1623.47,7.99186
1623.77,11.2025
1624.1,15.7308
1625.08,31.049
1625.48,35.3167
1625.86,36.822
1625.87,36.822
1626.22,35.5396
1626.6,31.7699
1627.21,22.5126
1627.73,14.3054
1628.06,10.0888
1628.32,7.45358
1628.56,5.43939
1628.79,4.03635
1628.99,3.05408
1629.19,2.32091
1629.36,1.81726
1629.54,1.43083
1629.72,1.13718
1629.9,0.915511
1630.11,0.724593
1630.32,0.584722
1630.56,0.472302
1630.84,0.385399
1631.12,0.32196
1631.44,0.272224
1631.9,0.222458
1632.46,0.180489
1633.07,0.148039
1633.78,0.120746
1634.59,0.098291
1635.56,0.0790835
1636.65,0.063807
1637.93,0.0512445
1639.37,0.0412929
1640.95,0.0335707
1642.8,0.0272246
1644.79,0.0223933
1647.2,0.01827
1649.84,0.0151142
1653.01,0.0125002
1656.8,0.0103918
1660.81,0.00882728
1665.75,0.00751221
1671.39,0.00650539
1679.86,0.0055595
1688.79,0.00492053
1700.07,0.00444174
1711.36,0.00410632
1733.93,0.00373609
1771.54,0.00342791
1854.86,0.00315813
2017.32,0.00293793
2445.04,0.00258213
3046.54,0.00226255
3755.97,0.00197629
4653.92,0.00171698
5871.12,0.00146129
7218.91,0.0012686
8835.52,0.00109114
10860.3,9.30799E-4
13851.8,7.73126E-4
16674.5,6.71558E-4
19160.7,6.09944E-4
19282.1,6.19867E-4
19311.9,6.44685E-4
19323.1,6.75939E-4
19331.5,7.33594E-4
19335.6,7.94775E-4
19338.3,8.71877E-4
19340.0,9.64746E-4
19341.1,0.00106266
19342.1,0.00122578
19343.0,0.0014492
19343.6,0.00171979
19344.3,0.00211094
19344.9,0.00259
19345.6,0.00329367
19346.2,0.00425409
19346.8,0.0055431
19347.5,0.00724004
19348.2,0.00967812
19349.0,0.0131428
19349.8,0.0177501
19350.7,0.0241603
19351.9,0.0351499
19354.9,0.0663166
19356.2,0.0760788
19357.5,0.0805725
19357.8,0.0807068
19358.9,0.0781518
19360.2,0.0701001
19362.0,0.0522299
19364.0,0.0315474
19365.1,0.0224242
19366.0,0.0165657
19366.7,0.0123556
19367.5,0.00923461
19368.2,0.00693911
19368.8,0.00537014
19369.4,0.00416795
19370.0,0.00326275
19370.6,0.00259153
19371.2,0.00210057
19371.9,0.00174534
19372.4,0.00150841
19373.2,0.00127074
19374.1,0.00111783
19375.3,9.80621E-4
19376.9,8.82785E-4
19378.6,8.26559E-4
19381.9,7.60704E-4
19388.4,6.95914E-4
19399.9,6.51598E-4
19424.6,6.2267E-4
19560.4,6.03016E-4
20452.8,5.9021E-4
21311.9,5.97893E-4
21773.9,6.30899E-4
21999.1,6.70529E-4
22213.9,7.54511E-4
22342.8,8.51203E-4
22436.2,9.7472E-4
22514.1,0.00114502
22572.5,0.00134821
22619.2,0.00159496
22659.1,0.00190733
22693.2,0.00229516
22722.4,0.00277779
22746.7,0.00334945
22766.2,0.00398007
22785.6,0.00484883
22802.7,0.00590976
22817.8,0.00721338
22831.4,0.00883519
22844.0,0.0109473
22855.7,0.0137064
22865.7,0.0170364
22874.2,0.0209939
22881.5,0.0256448
22888.9,0.0321877
22895.5,0.0404644
22901.3,0.0506168
22906.0,0.0623785
22910.4,0.0773234
22914.5,0.0968555
22917.8,0.118818
22920.9,0.147352
22923.7,0.182069
22926.0,0.224187
22928.1,0.273894
22929.9,0.33466
22931.5,0.407427
22933.1,0.50705
22934.7,0.643391
22936.0,0.796845
22937.4,1.01111
22938.9,1.32552
22940.7,1.7846
22942.7,2.48153
22946.7,3.95619
22948.6,4.41859
22950.1,4.54582
22951.9,4.38523
22953.9,3.86844
22959.0,1.98487
22960.7,1.47597
22962.3,1.12556
22963.8,0.865572
22965.1,0.690235
22966.7,0.542666
22968.1,0.441736
22969.9,0.35369
22971.7,0.290053
22973.7,0.23597
22976.0,0.191364
22978.7,0.15518
22981.8,0.124444
22985.2,0.100395
22989.1,0.0806756
22993.2,0.0657082
22997.8,0.0532623
23002.8,0.043615
23008.9,0.0349849
23015.4,0.0284508
23023.1,0.0227488
23031.7,0.0183094
23041.4,0.0146938
23051.9,0.0119146
23063.5,0.00968076
23077.4,0.00779548
23092.7,0.0063147
23110.7,0.00508681
23130.2,0.00415268
23149.7,0.00347893
23174.0,0.00287151
23201.3,0.00238981
23236.3,0.00196274
