1-H-2(n,elastic) ENDF/B-VII.1
1.0E-5,137.875
1.31241E-5,120.361
1.70876E-5,105.493
2.2426E-5,92.0979
2.91987E-5,80.7272
3.83206E-5,70.4834
4.98935E-5,61.7889
6.54808E-5,53.9572
8.52562E-5,47.3112
1.11891E-4,41.3262
1.45682E-4,36.249
1.91195E-4,31.6786
2.48937E-4,27.8035
3.26707E-4,24.3178
4.25373E-4,21.3651
5.58264E-4,18.7123
7.26861E-4,16.4686
9.53941E-4,14.4569
0.00124203,12.76
0.00163006,11.2438
0.00212234,9.9704
0.00278538,8.83903
0.00362657,7.89577
0.00475955,7.06537
0.00680278,6.16522
0.00972316,5.45206
0.0138972,4.8974
0.0198632,4.4755
0.0234661,4.31723
0.0253,4.2529
0.0396964,3.94715
0.0678316,3.71888
0.150913,3.54053
0.526803,3.43657
54.7295,3.39525
148350.0,3.17092
384218.0,3.01898
1750000.0,2.64059
3875000.0,1.85469
5000000.0,1.58499
6500000.0,1.32072
8250000.0,1.09076
1.1E7,0.829712
1.325E7,0.680197
1.625E7,0.548588
2.0E7,0.440014
2.45E7,0.34327
2.85E7,0.277703
3.3E7,0.226075
3.8E7,0.186219
4.4E7,0.14913
5.1E7,0.116994
5.9E7,0.0890801
6.7E7,0.0677179
7.5E7,0.0514127
8.2E7,0.0402832
8.8E7,0.0335804
9.6E7,0.027268
1.07E8,0.0207839
1.16E8,0.0168991
1.24E8,0.0146277
1.38E8,0.0118675
1.49E8,0.0103223
1.5E8,0.0102177
