94-Pu-240(n,elastic) ENDF/B-VII.1
1.0E-5,3.98963
1.31241E-5,3.51408
1.70876E-5,3.11451
2.2426E-5,2.75927
2.91987E-5,2.46287
3.83206E-5,2.20166
4.98935E-5,1.98613
7.13124E-5,1.74663
1.01926E-4,1.5589
1.45682E-4,1.41478
2.2858E-4,1.28353
3.55803E-4,1.19673
6.67422E-4,1.12175
0.00148489,1.0722
0.00619694,1.02633
0.0234661,0.957793
0.0253,0.951038
0.169355,0.445151
0.228878,0.259815
0.264968,0.162914
0.290982,0.103442
0.308108,0.0701806
0.32257,0.046689
0.333933,0.0314541
0.342455,0.0220826
0.349428,0.0158549
0.35511,0.0117992
0.360274,0.00894378
0.36389,0.00743623
0.367118,0.00644475
0.370604,0.00576165
0.374091,0.00549361
0.374672,0.00549019
0.378094,0.00571452
0.381645,0.00639907
0.385196,0.00755802
0.389199,0.00945157
0.393331,0.0120804
0.397979,0.015886
0.403661,0.0218087
0.409858,0.0299482
0.416831,0.0413315
0.425353,0.0586747
0.434651,0.0821921
0.445497,0.116155
0.457893,0.164477
0.470805,0.226902
0.484751,0.310205
0.500246,0.425156
0.51884,0.597385
0.537434,0.814223
0.558094,1.1187
0.578754,1.50463
0.60148,2.04598
0.624206,2.7414
0.646932,3.63382
0.668625,4.72194
0.690318,6.10881
0.712011,7.88557
0.733704,10.1781
0.755397,13.1636
0.77709,17.097
0.798783,22.3517
0.81841,28.683
0.837004,36.6432
0.854152,46.4497
0.870886,59.2834
0.885762,74.5643
0.900637,95.1535
0.913859,119.965
0.926668,152.653
0.938238,193.06
0.948155,239.967
0.958072,303.902
0.966749,380.86
0.975013,482.065
0.982244,604.793
0.989062,765.464
0.994846,953.435
1.00011,1185.22
1.00518,1484.79
1.01055,1915.7
1.01551,2448.17
1.02108,3235.68
1.0278,4467.57
1.0446,8137.01
1.05104,9067.29
1.05633,9337.06
1.06261,9012.49
1.06939,8000.72
1.08658,4438.62
1.09339,3309.9
1.09908,2589.69
1.10486,2038.49
1.11023,1657.45
1.11674,1319.7
1.12356,1067.05
1.13079,874.03
1.13854,723.311
1.14783,592.056
1.15868,482.603
1.17004,399.999
1.18451,324.678
1.20062,265.414
1.21797,219.771
1.23822,181.537
1.26074,151.05
1.28822,124.629
1.32251,101.707
1.3597,84.4461
1.40309,70.3675
1.45267,59.1143
1.51878,48.848
1.59109,41.2607
1.68406,34.6471
1.78736,29.6858
1.93198,25.0854
2.09726,21.6644
2.32866,18.598
2.57658,16.4784
2.90714,14.6349
3.36992,13.0117
4.16812,11.4067
5.34236,10.1386
7.26386,9.05232
10.9198,7.9726
16.8149,6.64549
18.2835,6.02406
19.0207,5.40359
19.442,4.73946
19.6965,4.05392
19.8544,3.40161
19.9685,2.74067
20.0563,2.07276
20.1572,1.17004
20.177,1.04125
20.1918,1.00118
20.2029,1.02944
20.2121,1.11253
20.2213,1.27385
20.2292,1.49767
20.2371,1.82708
20.245,2.29416
20.2529,2.9387
20.2603,3.75399
20.2683,4.90004
20.2765,6.45834
20.2853,8.63629
20.2941,11.4839
20.3038,15.5061
20.3134,20.6534
20.3235,27.4277
20.3354,37.4277
20.3485,51.3448
20.3657,73.8563
20.3933,118.335
20.4267,172.362
20.4495,197.618
20.4681,205.807
20.4711,205.956
20.4881,200.749
20.51,180.871
20.5721,94.8299
20.5919,72.4594
20.6083,57.8427
20.6257,46.1853
20.6423,38.0127
20.659,32.1434
20.6798,27.1024
20.703,23.4304
20.7277,20.8249
20.7672,18.1262
20.8264,15.663
20.912,13.5634
21.0217,11.984
21.1972,10.5549
21.478,9.36754
21.794,8.65032
22.3206,7.98674
23.5232,7.25016
26.7736,6.28249
30.836,5.15737
32.867,4.33448
34.0857,3.62965
35.0735,2.84167
35.7535,2.11151
36.2581,1.42903
36.7626,0.627519
36.96,0.318744
37.0519,0.194354
37.1094,0.128923
37.1492,0.0918514
37.178,0.0702462
37.2013,0.0565832
37.2205,0.048268
37.2397,0.0429294
37.2548,0.0410423
37.2589,0.0409062
37.2753,0.0420967
37.2918,0.0462645
37.3082,0.0537005
37.3247,0.0647256
37.3425,0.0811309
37.3631,0.106467
37.385,0.141997
37.409,0.192307
37.4316,0.25229
37.4563,0.333756
37.4837,0.44714
37.5139,0.6049
37.5468,0.824974
37.5797,1.10699
37.6126,1.46674
37.6455,1.92492
37.6784,2.50916
37.7113,3.25687
37.7442,4.21987
37.7771,5.47169
37.81,7.12028
37.8388,9.01667
37.8676,11.518
37.8923,14.3588
37.9169,18.1628
37.9375,22.4433
37.9581,28.2747
37.9766,35.5378
37.994,44.9944
38.0091,56.1671
38.0241,71.2369
38.0392,91.6498
38.0543,119.274
38.0694,156.433
38.0845,205.898
38.0995,270.802
38.116,363.105
38.1335,490.79
38.1533,675.226
38.1752,933.178
38.2065,1384.98
38.2613,2236.06
38.2893,2552.12
38.3181,2696.18
38.3235,2699.14
38.3474,2619.78
38.377,2337.04
38.425,1634.73
38.4648,1054.07
38.4889,768.756
38.5108,564.744
38.5295,431.133
38.5468,335.962
38.564,263.719
38.5813,209.799
38.5997,167.833
38.6189,136.386
38.6381,113.859
38.66,95.4843
38.6847,80.8879
38.719,66.9591
38.7601,55.6623
38.8094,46.3143
38.867,38.6708
38.9342,32.3556
39.0165,26.8915
39.0987,22.9449
39.2111,19.0281
39.3455,15.6918
39.5155,12.6728
39.7348,9.85744
40.0121,7.16155
40.4799,3.38438
40.7349,1.45913
40.8199,0.898556
40.8697,0.625588
40.902,0.485185
40.9283,0.399866
40.9459,0.361735
40.9606,0.343756
40.9694,0.339837
40.9869,0.349679
41.0045,0.386832
41.0206,0.449419
41.0368,0.544422
41.0514,0.664003
41.069,0.857343
41.0866,1.11638
41.1042,1.45635
41.1218,1.89716
41.1393,2.4654
41.1569,3.19745
41.1745,4.1445
41.1921,5.3804
41.2097,7.01413
41.2251,8.8965
41.2405,11.3674
41.2558,14.6562
41.2712,19.0898
41.2844,24.1451
41.2976,30.7663
41.3108,39.4603
41.3234,50.2975
41.3357,63.9478
41.348,81.417
41.3621,107.246
41.3762,140.846
41.3902,183.971
41.4066,248.779
41.423,331.896
41.4424,456.553
41.4635,627.724
41.491,903.445
41.5637,1729.59
41.5966,1983.75
41.6256,2062.72
41.6563,1978.16
41.6903,1714.98
41.7704,860.224
41.7958,637.554
41.817,489.903
41.8381,374.697
41.8592,288.072
41.8779,230.833
41.899,183.734
41.9201,150.244
41.943,124.725
41.9658,106.746
41.9963,90.1513
42.0344,76.293
42.0772,65.6817
42.1358,55.673
42.2179,46.3612
42.3117,39.3308
42.4348,33.2207
42.5872,28.2724
42.7923,23.9887
43.0268,20.8312
43.3081,18.3223
43.7771,15.6834
44.3398,13.7548
45.0901,12.1463
46.2789,10.6031
47.9478,9.30344
50.8777,7.8959
57.7408,5.30944
59.8183,4.23738
61.2201,3.28083
62.2626,2.36923
63.1174,1.45993
63.9565,0.483869
64.1494,0.285301
64.2641,0.183633
64.3475,0.121239
64.41,0.0827335
64.4569,0.059491
64.4934,0.0452676
64.5247,0.0360793
64.5455,0.0316332
64.569,0.0283605
64.5911,0.0270641
64.595,0.0270252
64.6185,0.0280479
64.6393,0.0308523
64.6602,0.0355588
64.681,0.0422882
64.7071,0.0537419
64.7358,0.0705493
64.7644,0.0921471
64.7957,0.121678
64.8322,0.164805
64.8752,0.229047
64.9208,0.315196
64.9677,0.426048
65.0198,0.579999
65.0772,0.793598
65.1397,1.09049
65.1997,1.45158
65.2622,1.92738
65.3248,2.52937
65.3951,3.39906
65.4655,4.5343
65.5359,6.02384
65.5984,7.74643
65.6609,9.97465
65.7235,12.8897
65.786,16.7582
65.8408,21.2394
65.8955,27.1749
65.9424,33.9079
65.9893,42.845
66.0284,52.744
66.0675,65.9788
66.104,82.9364
66.1353,102.986
66.1613,125.629
66.1874,156.302
66.2114,194.784
66.2322,239.472
66.2531,298.322
66.2739,375.834
66.2968,489.174
66.3198,640.073
66.3427,837.572
66.3677,1116.42
66.3943,1494.76
66.4282,2104.76
66.4767,3183.63
66.5449,4747.53
66.5833,5357.84
66.6208,5596.12
66.6242,5597.64
66.6563,5447.37
66.6992,4834.3
66.7743,3175.4
66.8228,2147.26
66.8566,1571.49
66.8869,1172.29
66.9119,918.045
66.9369,722.892
