94-Pu-241(n,&gamma;) ENDF/B-VII.1
1.0E-5,22623.6
1.31241E-5,19747.5
1.70876E-5,17305.5
2.2426E-5,15105.2
2.91987E-5,13237.0
3.83206E-5,11553.3
4.98935E-5,10123.9
6.54808E-5,8835.59
8.52562E-5,7741.82
1.11891E-4,6755.84
1.45682E-4,5918.45
1.91195E-4,5163.76
2.48937E-4,4522.57
3.26707E-4,3944.22
4.25373E-4,3452.9
5.58264E-4,3009.56
7.26861E-4,2632.79
9.53941E-4,2292.45
0.00124203,2002.67
0.00163006,1740.79
0.00212234,1517.59
0.00278538,1315.44
0.00380384,1114.46
0.00518342,943.39
0.00680278,809.82
0.00885724,696.746
0.012142,578.781
0.0158747,490.127
0.0207477,413.304
0.024383,372.239
0.0253,363.414
0.033204,304.568
0.041464,264.222
0.0516848,231.546
0.0617907,210.803
0.0738726,195.854
0.0914211,187.348
0.0945254,187.163
0.113008,193.507
0.129087,209.202
0.15254,247.416
0.172496,293.83
0.186552,341.598
0.202589,420.168
0.219708,535.419
0.242417,705.355
0.250899,748.187
0.259655,764.516
0.268191,747.938
0.279902,678.579
0.312461,397.797
0.327099,300.432
0.340643,233.304
0.354323,183.295
0.368004,146.441
0.382368,117.799
0.398785,93.8217
0.415201,76.2559
0.434354,61.2336
0.455559,49.2098
0.480184,39.226
0.506861,31.5383
0.537642,25.2589
0.567129,20.9266
0.602514,17.2093
0.646644,13.8672
0.690571,11.5121
0.741819,9.54747
0.797948,8.01876
0.861398,6.80492
0.949252,5.6614
1.05175,4.79844
1.16889,4.17554
1.31531,3.72794
1.46661,3.5535
1.48126,3.55283
1.60816,3.69515
1.73486,3.93248
1.74091,3.93286
1.8151,3.80264
1.98398,3.27855
2.09623,3.11683
2.25242,3.05719
2.51598,3.17783
2.77954,3.50595
2.97477,3.91313
3.17977,4.58192
3.32619,5.3068
3.44333,6.1379
3.56047,7.34963
3.64832,8.67153
3.73617,10.5919
3.80451,12.7554
3.86156,15.3922
3.91015,18.5591
3.95432,22.6579
3.99217,27.7158
4.02411,33.7739
4.0525,41.3726
4.07734,50.7691
4.09942,62.6022
4.11874,77.3012
4.13451,94.1028
4.14969,116.761
4.16329,145.566
4.17571,182.751
4.18734,231.601
4.19838,295.589
4.20903,378.412
4.22086,498.998
4.23545,687.812
4.26155,1054.77
4.2748,1177.62
4.28539,1210.43
4.29814,1162.93
4.31028,1042.18
4.34545,558.154
4.35843,416.811
4.36899,328.893
4.37955,262.68
4.38973,215.475
4.40083,178.071
4.41415,146.985
4.42635,127.633
4.44189,111.579
4.45743,102.287
4.47297,98.032
4.48073,97.4857
4.50382,101.265
4.5269,111.927
4.5776,143.091
4.59882,147.836
4.61746,143.626
4.64143,127.79
4.69692,77.8799
4.72133,61.1248
4.74409,49.5578
4.76916,40.3789
4.79696,33.2621
4.83032,27.4761
4.86368,23.5459
4.90816,20.0442
4.96376,17.3891
5.03048,15.5855
5.10876,14.5264
5.18705,14.2304
5.31515,14.7972
5.47883,16.7847
5.85958,23.5871
5.96989,24.6974
6.04106,24.8939
6.18339,24.1167
6.39689,21.9267
6.46806,21.7328
6.53567,22.3429
6.60328,24.197
6.65398,27.1762
6.69624,31.6489
6.73004,37.4458
6.75629,44.2218
6.77853,52.3986
6.80077,63.8294
6.82291,79.6317
6.84675,102.756
6.88104,145.987
6.9111,183.499
6.93271,199.974
6.94524,202.804
6.96152,198.28
6.98132,181.712
7.04559,99.583
7.0681,77.2537
7.0897,61.1484
7.11131,49.3233
7.13651,39.4641
7.16172,32.4958
7.19143,26.6888
7.22293,22.3503
7.26074,18.6904
7.31025,15.4435
7.36336,13.1127
7.42818,11.2079
7.511,9.64378
7.60102,8.59097
7.70904,7.88224
7.83867,7.60564
7.93785,7.7941
8.03702,8.42641
8.10781,9.29111
8.17859,10.7292
8.22578,12.2105
8.27533,14.5211
8.3178,17.528
8.35231,21.1605
8.38328,25.9558
8.4054,30.8249
8.42752,37.6192
8.44816,46.6851
8.46645,58.1374
8.48297,72.6012
8.49889,91.7297
8.51541,118.555
8.5337,157.983
8.55729,222.804
8.58914,314.781
8.60519,347.619
8.62326,362.402
8.62406,362.427
8.63822,353.929
8.65804,317.009
8.71125,166.177
8.72894,126.132
8.74516,97.897
8.76168,76.5191
8.77702,61.9394
8.79294,50.7761
8.81211,41.1104
8.83276,33.7771
8.8534,28.5182
8.88004,23.694
8.91199,19.7309
8.94781,16.7287
8.99376,14.205
9.04891,12.343
9.1163,11.0756
9.20821,10.3899
9.23272,10.3506
9.32462,10.6558
9.38589,11.2933
9.44716,12.4773
9.4876,13.8527
9.52191,15.8638
9.54642,18.2801
9.56602,21.243
9.58563,25.5302
9.60769,32.249
9.65713,51.1795
9.67386,55.7531
9.69224,57.7256
9.71182,55.7967
9.73723,48.3693
9.77927,33.0366
9.80295,26.6566
9.82368,22.9053
9.84736,20.2265
9.87697,18.3596
9.91818,17.0613
10.2228,12.7611
10.4655,9.00507
10.6254,7.1497
10.7675,5.96796
10.9333,5.02458
11.1228,4.35837
11.2649,4.06815
11.4781,3.89302
11.5018,3.89104
11.6912,4.00276
11.8807,4.38062
12.0169,4.89035
12.1305,5.55763
12.244,6.59106
12.3238,7.69663
12.3877,8.9612
12.4515,10.7814
12.5058,13.0456
12.5505,15.7094
12.5952,19.4919
12.6351,24.224
12.6782,31.1402
12.7702,49.3531
12.8062,53.966
12.829,54.9832
12.8673,53.1672
12.9382,43.155
12.9867,37.0092
13.0231,34.4557
13.0487,33.8645
13.0906,35.1428
13.1185,37.7352
13.1534,43.5348
13.1804,50.8183
13.2053,61.0568
13.2253,73.1598
13.2434,89.0593
13.2594,109.016
13.2738,134.092
13.2881,168.734
13.3011,211.0
13.3148,270.056
13.3289,349.974
13.3464,477.484
13.3702,697.633
13.4051,1040.69
13.4242,1172.13
13.4438,1222.11
13.4613,1182.04
13.4813,1050.56
13.5369,515.073
13.5543,379.546
13.57,285.0
13.5843,219.677
13.5964,177.511
13.6093,143.262
13.6222,117.553
13.638,94.4798
13.6559,76.2917
13.6737,63.4703
13.694,53.0688
13.7178,44.3751
13.7464,37.0758
13.7831,30.7257
13.8207,26.4113
13.8657,23.0099
13.9167,20.6507
13.9527,19.6478
14.0247,18.8419
14.0895,19.2427
14.1542,20.6723
14.219,23.3085
14.2838,27.5945
14.3342,32.6302
14.3846,40.0042
14.4238,48.2444
14.4584,58.3988
14.4904,71.4218
14.5187,87.4835
14.5462,109.228
14.5714,137.288
14.5934,171.076
14.615,215.601
14.6388,281.503
14.6658,380.222
14.7331,686.108
14.7561,762.512
14.7813,795.742
14.782,795.788
14.8036,773.59
14.8324,682.801
14.9012,371.408
14.9264,280.585
14.948,220.4
14.9691,175.507
14.9912,140.52
15.0146,113.213
15.0398,91.7874
15.0666,75.1836
15.0979,61.1535
15.1345,49.5172
15.1744,40.5281
15.2185,33.4595
15.2737,27.3366
15.3289,23.1505
15.3952,19.7821
15.4599,17.6886
15.5218,16.5184
15.6042,16.0111
15.6704,16.4486
15.7367,17.6993
15.8044,19.8766
15.9551,26.3604
16.0241,27.6729
16.0305,27.6741
16.0965,26.4827
16.2519,20.0914
16.3084,18.7325
16.3461,18.4587
16.3912,18.9577
16.4403,20.8192
16.4795,23.6465
16.5184,27.9858
16.5659,35.5613
16.6437,49.9316
16.6804,53.8428
16.6971,54.3227
16.7343,52.1847
16.776,45.5816
16.8573,29.5944
16.9001,23.2203
16.9377,19.2172
16.9759,16.3488
17.0142,14.3805
17.0601,12.8488
17.1183,11.7979
17.1765,11.4552
17.2347,11.6907
17.2929,12.5012
17.3618,14.3668
17.4192,17.0026
17.4651,20.2324
17.5072,24.6081
17.544,30.2372
17.5746,37.0841
17.6013,45.7622
17.6235,56.2578
17.6413,68.1342
17.6582,83.8501
17.6737,103.968
17.6892,131.812
17.704,168.022
17.719,217.334
17.7349,287.067
17.7524,387.05
17.7732,538.104
17.8276,999.022
17.8484,1121.76
17.8699,1168.95
17.8702,1168.95
17.887,1140.25
17.9062,1043.54
17.9356,810.749
17.9721,499.953
17.9923,360.962
18.0094,269.413
18.025,205.974
18.0392,162.279
18.0533,129.518
18.0675,105.302
18.083,86.153
18.0988,72.4162
18.1179,61.4743
18.1392,54.3393
18.1627,51.0159
18.1736,50.744
18.1971,52.1625
18.2544,58.7446
18.2652,59.0257
18.2906,57.131
18.3203,50.3977
18.3882,28.14
18.4109,22.2707
18.4335,17.8335
18.458,14.4378
18.4833,12.0421
18.5128,10.1796
18.5513,8.57596
18.5975,7.28548
18.6645,6.01622
18.737,5.07088
18.8235,4.27028
18.9408,3.51717
19.065,2.96982
19.2307,2.47822
19.42,2.12084
19.6367,1.88578
19.7992,1.81024
19.8533,1.80563
20.0074,1.86742
20.123,2.02688
20.2096,2.26853
20.2819,2.62307
20.33,3.00047
20.3739,3.5201
20.407,4.09868
20.4401,4.95406
20.4672,6.00104
20.4889,7.20414
20.5106,8.9034
20.5298,11.0087
20.5479,13.6664
20.5683,17.6872
20.59,23.3023
20.6153,31.6208
20.6726,53.1542
20.7007,60.3736
20.7229,62.2858
20.7412,60.981
20.7672,55.0815
20.8091,39.8112
20.8455,26.5388
20.8699,19.5401
20.8888,15.3446
20.9078,12.139
20.9258,9.8479
20.9469,7.89615
20.9662,6.60848
20.9917,5.39726
21.0173,4.55891
21.0468,3.88039
21.0829,3.30711
21.1281,2.82758
21.1822,2.45484
21.2544,2.15435
21.3267,1.98797
21.4085,1.90798
21.4422,1.90383
21.5204,1.96643
21.5726,2.08894
21.6117,2.25932
21.6508,2.56981
21.6733,2.87871
21.6958,3.37252
21.7127,3.94312
21.7296,4.77704
21.7442,5.79679
21.7594,7.24006
21.7763,9.4143
21.7932,12.2858
21.8132,16.6221
21.8467,25.5985
21.8782,33.897
21.8994,37.747
21.9215,39.2315
21.9431,37.8453
21.966,33.6778
22.0313,16.4903
22.052,12.1543
22.0701,9.2462
22.0867,7.26223
22.1026,5.87144
