92-U-234(n,&gamma;) ENDF/B-VII.1
1.0E-5,5190.36
1.31241E-5,4530.67
1.70876E-5,3970.57
2.2426E-5,3465.92
2.91987E-5,3037.46
3.83206E-5,2651.36
4.98935E-5,2323.59
6.54808E-5,2028.24
8.52562E-5,1777.52
1.11891E-4,1551.57
1.45682E-4,1359.72
1.91195E-4,1186.89
2.48937E-4,1040.13
3.26707E-4,907.84
4.25373E-4,795.555
5.58264E-4,694.349
7.26861E-4,608.464
9.53941E-4,531.025
0.00124203,465.246
0.00163006,405.98
0.00212234,355.651
0.00278538,310.273
0.00362657,271.77
0.00475955,237.447
0.00619694,207.852
0.00813293,181.108
0.0105891,158.612
0.0138972,137.908
0.0180942,120.391
0.0234661,105.44
0.0253,101.314
0.033204,87.7213
0.0432317,76.507
0.0567377,65.8682
0.0738726,56.8511
0.101268,47.651
0.132401,40.5193
0.173043,34.3127
0.226242,28.9656
0.283085,24.7883
0.368577,20.4234
0.462184,17.1556
0.588364,14.1063
0.763523,11.2841
0.951677,9.26983
1.18923,7.60185
1.43358,6.47687
1.6983,5.70252
1.96981,5.23407
2.30919,5.00615
2.37707,4.99927
2.64857,5.12896
2.97947,5.64323
3.25946,6.51132
3.48006,7.62171
3.6752,9.11034
3.83217,10.8524
3.98065,13.2037
4.11428,16.2343
4.23306,20.1249
4.32851,24.538
4.4176,30.2895
4.4982,37.6253
4.56608,46.2502
4.62865,57.2893
4.68699,71.8336
4.73259,87.6668
4.77236,106.392
4.81372,133.329
4.85031,167.073
4.88001,205.256
4.90758,254.298
4.93304,317.814
4.95319,387.601
4.97249,479.99
4.98988,597.337
5.00473,739.289
5.01746,911.474
5.02764,1103.32
5.03782,1371.14
5.04609,1672.97
5.05352,2036.43
5.06094,2519.55
5.06837,3160.41
5.07653,4099.12
5.0847,5338.67
5.09371,7110.77
5.10379,9611.82
5.12309,15500.0
5.13921,20156.0
5.15084,22271.6
5.15969,22791.8
5.1695,22153.4
5.18002,20193.8
5.19733,15193.8
5.216,9550.26
5.22703,6867.04
5.23636,5104.12
5.24485,3882.84
5.25248,3049.08
5.26012,2418.56
5.26807,1929.28
5.27666,1542.93
5.28621,1235.29
5.29575,1014.32
5.30636,835.609
5.31909,680.868
5.33478,545.729
5.3526,437.789
5.37042,359.902
5.39333,287.56
5.41623,235.356
5.44423,188.966
5.47393,153.353
5.50999,122.199
5.54711,99.112
5.59059,79.5238
5.6415,63.1657
5.69347,51.1866
5.75286,41.2463
5.81543,33.5803
5.88967,26.9569
5.97452,21.5278
6.06361,17.417
6.16542,14.0105
6.27996,11.2508
6.41571,8.92675
6.55147,7.2492
6.72116,5.74473
6.89085,4.67066
7.10296,3.70418
7.31508,3.01466
7.55264,2.44853
7.80718,2.00655
8.09241,1.64398
8.43469,1.326
8.83401,1.06229
9.23333,0.873427
9.74675,0.69902
10.2031,0.585283
10.6595,0.498677
11.2299,0.417098
11.9145,0.343955
12.5991,0.292585
13.2836,0.250978
14.4245,0.203995
15.4591,0.174426
16.5092,0.153535
17.9094,0.13656
18.9595,0.13078
19.3095,0.129911
20.0096,0.131341
20.7096,0.138006
21.2042,0.149003
21.5751,0.165171
21.7834,0.180533
21.9949,0.205937
22.1348,0.233937
22.2487,0.271057
22.3333,0.316706
22.387,0.363044
22.4317,0.424952
22.4602,0.489604
22.4829,0.572793
22.4992,0.664256
22.5155,0.800615
22.5301,0.982187
22.5431,1.21121
22.5567,1.54312
22.5687,1.93686
22.5824,2.5322
22.596,3.31196
22.6108,4.39211
22.629,6.0708
22.6564,9.18994
22.6957,13.8399
22.7179,15.6345
22.74,16.2874
22.7621,15.6416
22.7843,13.8647
22.8475,6.58015
22.8672,4.75947
22.8835,3.59211
22.8981,2.79453
22.9126,2.21294
22.9257,1.83425
22.9388,1.56703
22.9538,1.36597
22.9686,1.24732
22.9905,1.17046
23.0015,1.16287
23.0198,1.18261
23.0491,1.2803
23.0784,1.45586
23.1034,1.68713
23.1234,1.9578
23.1434,2.35717
23.1604,2.8682
23.1747,3.49386
23.187,4.24483
23.1992,5.27785
23.2115,6.69839
23.2238,8.63937
23.236,11.2603
23.2483,14.7419
23.2606,19.2736
23.2748,26.081
23.2905,35.7622
23.3091,50.3071
23.3363,76.2979
23.3755,114.719
23.3978,129.551
23.4197,134.844
23.439,130.777
23.4619,116.47
23.4959,83.9524
23.5273,53.1876
23.5462,37.8967
23.5619,27.7915
23.5759,20.7231
23.5884,15.7953
23.6009,12.0001
23.6134,9.13969
23.6244,7.25022
23.6358,5.75731
23.6473,4.64317
23.6604,3.71377
23.6747,2.99528
23.689,2.48835
23.7053,2.0781
23.7258,1.72269
23.7511,1.42248
23.7797,1.18792
23.8141,0.989228
23.8525,0.830795
23.8975,0.698114
23.9514,0.585533
24.0218,0.4852
24.1002,0.410195
24.2033,0.345862
24.3259,0.29785
24.4731,0.262625
24.6431,0.238635
24.859,0.222392
25.1991,0.213581
25.2514,0.213374
25.7999,0.223328
26.3087,0.247627
26.8632,0.291186
27.3288,0.347182
27.7325,0.415144
28.0554,0.491782
28.3783,0.597917
28.6726,0.732295
28.9382,0.904608
29.1707,1.11601
29.3699,1.36879
29.5526,1.68929
29.7186,2.09721
29.8681,2.61251
30.0009,3.25419
30.1171,4.03996
30.2168,4.97503
30.3081,6.1607
30.3911,7.6627
30.4658,9.55668
30.5322,11.9214
30.5872,14.6442
30.6381,18.1366
30.6817,22.313
30.719,27.2964
30.7517,33.4241
30.7782,40.4509
30.8,48.6166
30.8207,59.7552
30.8389,73.8698
30.8553,92.0053
30.8706,115.889
30.8846,145.98
30.8986,186.726
30.9126,241.422
30.9263,312.028
30.9411,412.081
30.9573,554.6
30.9739,742.064
30.9938,1025.76
31.02,1487.05
31.0735,2533.21
31.0993,2903.82
31.125,3070.17
31.1297,3074.38
31.1532,2971.65
31.1773,2675.89
31.2155,1966.79
31.2535,1232.52
31.2753,884.425
31.294,645.671
31.311,475.931
31.3259,360.818
31.3396,279.189
31.3527,219.006
31.3658,172.883
31.3789,137.896
31.3938,108.333
31.4081,87.7262
31.4247,70.5307
31.4413,58.2838
31.4621,47.4949
31.4828,39.8764
31.5088,33.0417
31.5399,27.1913
31.5762,22.2876
31.6198,18.0581
31.6665,14.7806
31.7246,11.8417
31.7921,9.42759
31.8647,7.57895
31.9395,6.198
32.0266,5.02039
32.1263,4.04728
32.2425,3.23553
32.3753,2.57783
32.5165,2.07795
32.6825,1.65802
32.8693,1.32452
33.0727,1.06574
33.2886,0.868428
33.5542,0.694373
33.8483,0.559083
34.1471,0.461954
34.4886,0.379808
34.8301,0.319691
35.2569,0.265261
35.7691,0.219141
36.3667,0.182749
37.135,0.152569
37.818,0.135439
38.5009,0.124647
39.5245,0.117272
39.8651,0.116585
40.8187,0.120508
41.636,0.13124
42.3172,0.147194
42.9302,0.170237
43.4411,0.201155
43.8215,0.236032
44.1461,0.281889
44.3978,0.337115
44.5948,0.404487
44.7356,0.477767
44.8515,0.567938
44.9509,0.684865
45.0304,0.826957
45.09,0.985204
45.1397,1.17965
45.1794,1.41478
45.2059,1.64788
45.2291,1.9434
45.249,2.30971
45.268,2.8158
45.2854,3.47744
45.3003,4.26128
45.3152,5.31838
45.3301,6.73592
45.345,8.61869
45.3595,11.0098
45.3761,14.5769
45.3926,19.2127
45.4113,25.9193
45.4311,35.0084
45.455,48.6306
45.4894,72.7294
45.5464,114.654
45.5795,131.434
45.6097,136.855
45.6391,131.739
45.6696,116.889
45.7219,79.0462
45.7617,50.6484
45.7862,36.3638
45.8059,27.1255
45.8253,19.9629
45.8418,15.2077
45.8584,11.5362
45.8741,8.88429
45.889,6.98037
45.9039,5.54581
