92-U-238(n,elastic) ENDF/B-VII.1
1.0E-5,35.7571
1.31241E-5,31.4932
1.70876E-5,27.9103
2.2426E-5,24.7247
2.91987E-5,22.0664
3.83206E-5,19.7236
4.98935E-5,17.7901
7.13124E-5,15.6413
1.01926E-4,13.9567
1.45682E-4,12.6634
2.2858E-4,11.4863
3.55803E-4,10.7096
6.67422E-4,10.0449
0.00148489,9.62546
0.00619694,9.36444
0.0234661,9.30166
0.0253,9.29983
3.62547,8.50599
4.83873,7.82836
5.41948,7.13756
5.76177,6.38493
5.99429,5.51437
6.14726,4.60432
6.25052,3.71274
6.32624,2.83807
6.39278,1.87352
6.45015,0.966554
6.46774,0.739464
6.47921,0.639341
6.48686,0.609478
6.48992,0.609196
6.49604,0.634978
6.50247,0.711483
6.50767,0.823849
6.51287,0.997045
6.51769,1.2291
6.52235,1.53976
6.52725,1.98449
6.53153,2.50264
6.53581,3.17507
6.54071,4.18517
6.5456,5.52687
6.55019,7.17122
6.55524,9.53114
6.56029,12.6216
6.56534,16.6305
6.57069,22.1305
6.5762,29.4349
6.58232,39.9362
6.58844,53.4362
6.59517,72.3263
6.60251,98.3614
6.61138,137.866
6.62301,202.189
6.65146,381.619
6.66321,436.346
6.67557,463.569
6.67912,464.68
6.6894,451.067
6.70103,409.534
6.72397,284.782
6.74003,199.365
6.75059,154.021
6.75977,122.809
6.76895,98.7444
6.77935,78.7291
6.79006,64.297
6.80077,54.2896
6.813,46.4249
6.82815,39.9049
6.84849,34.2053
6.87756,29.0629
6.90662,25.6905
6.94884,22.4167
7.01003,19.4418
7.08429,17.2231
7.17162,15.5711
7.33604,13.7542
7.59709,12.2825
8.02029,11.1438
8.79929,10.2125
10.6189,9.30603
15.4187,7.69906
17.1519,6.69381
18.1092,5.76556
18.759,4.78721
19.1672,3.90358
19.5019,2.92779
19.7566,1.97762
20.0859,0.547263
20.1382,0.350533
20.1712,0.247018
20.1959,0.184791
20.2144,0.149427
20.2299,0.12902
20.2391,0.121363
20.2494,0.117403
20.2536,0.117273
20.2659,0.122352
20.2775,0.135327
20.2876,0.153803
20.2989,0.183687
20.3112,0.228593
20.3246,0.293764
20.338,0.378694
20.3524,0.49581
