4-Be-9(n,elastic) ENDF/B-VII.1
1.0E-5,118.253
1.31241E-5,103.26
1.70876E-5,90.5364
2.2426E-5,79.0777
2.91987E-5,69.3563
3.83206E-5,60.6045
4.98935E-5,53.183
6.54808E-5,46.5061
8.52562E-5,40.8489
1.09777E-4,36.0988
1.42929E-4,31.7547
1.87582E-4,27.8574
2.44232E-4,24.5675
3.20533E-4,21.6248
4.17334E-4,19.1505
5.47714E-4,16.9485
7.13124E-4,15.1088
0.0010,13.1275
0.00131241,11.8028
0.00187582,10.3771
0.00268109,9.25931
0.00383206,8.40082
0.00596492,7.63017
0.00935912,7.1019
0.0174168,6.66033
0.0250968,6.49897
0.0253,6.49597
0.0738726,6.23551
0.629809,6.11897
150000.0,4.90238
300000.0,4.07436
450000.0,3.54156
530000.0,3.40416
565000.0,3.48071
580000.0,3.63817
590000.0,3.90479
605000.0,5.11577
611250.0,6.27899
617500.0,7.5355
621000.0,7.7656
625000.0,7.36937
635000.0,5.51256
640000.0,4.88183
645000.0,4.4585
652500.0,4.07288
665000.0,3.72771
685000.0,3.50268
725000.0,3.36857
755000.0,3.35125
790000.0,3.42161
797500.0,3.55686
801500.0,3.72305
804500.0,4.05483
806500.0,4.49558
810000.0,5.7098
811000.0,5.83744
812000.0,5.70607
815500.0,4.5726
818000.0,4.07889
820000.0,3.86573
825000.0,3.61942
837500.0,3.46735
1000000.0,3.34013
1175000.0,2.89829
1400000.0,2.29858
1600000.0,1.92613
1800000.0,1.68933
1950000.0,1.6095
2000000.0,1.59803
2100000.0,1.63594
2200000.0,1.74677
2400000.0,2.10775
2575000.0,2.65734
2600000.0,2.743
2650000.0,3.15794
2705000.0,4.00166
2720000.0,4.09873
2750000.0,3.95203
2800000.0,3.53177
2925000.0,2.98919
3125000.0,2.36348
3250000.0,2.10296
3450000.0,1.82915
3700000.0,1.62216
4000000.0,1.41511
4100000.0,1.29671
4200000.0,1.26943
4300000.0,1.35272
4400000.0,1.36382
5500000.0,1.22001
7500000.0,1.12001
8400000.0,1.15999
9100000.0,1.14
9500000.0,1.14999
1.31E7,1.03123
1.46E7,0.983025
1.65E7,0.892045
1.8E7,0.922993
2.0E7,0.895582
