C-Elemental(n,&gamma;) ENDF/B-VII.1
1.0E-5,0.194222
1.30374E-5,0.1701
1.71104E-5,0.14848
2.22778E-5,0.130125
2.92376E-5,0.113587
3.80674E-5,0.0995455
4.996E-5,0.0868934
6.50481E-5,0.0761519
8.53698E-5,0.0664731
1.11152E-4,0.0582559
1.45877E-4,0.0508516
1.89932E-4,0.0445656
2.49268E-4,0.0389014
3.24548E-4,0.0340925
4.2594E-4,0.0297594
5.54575E-4,0.0260806
7.2783E-4,0.0227658
9.47636E-4,0.0199516
0.00124369,0.0174158
0.00161928,0.0152629
0.00212517,0.0133231
0.00276697,0.0116761
0.0036314,0.0101921
0.00472809,0.00893224
0.0062052,0.00779698
0.00807918,0.00683315
0.0106032,0.00596466
0.0138054,0.00522724
0.0181183,0.0045628
0.0244451,0.0039282
0.0253,0.00386127
0.033204,0.00337057
0.0432317,0.00295389
0.0567377,0.00257839
0.0738726,0.00225983
0.0969512,0.00197245
0.126231,0.00172856
0.165666,0.00150921
0.215698,0.00132263
0.283085,0.0011546
0.368577,0.00101181
0.483724,8.83201E-4
0.629809,7.7412E-4
0.826569,6.75656E-4
1.07619,5.92119E-4
1.41241,5.16928E-4
1.83896,4.52953E-4
2.41347,3.95454E-4
3.14234,3.4659E-4
4.12404,3.0251E-4
5.36951,2.65091E-4
7.04701,2.31459E-4
9.17522,2.02802E-4
12.5708,1.73223E-4
16.1668,1.52772E-4
20.8855,1.34384E-4
27.231,1.17727E-4
35.536,1.03025E-4
47.9932,8.86805E-5
66.6104,7.52431E-5
91.8707,6.40989E-5
125.708,5.47675E-5
169.811,4.71377E-5
226.528,4.07977E-5
311.213,3.48388E-5
422.949,2.98566E-5
533.16,2.68037E-5
750.799,2.34376E-5
1044.27,2.05705E-5
1501.6,1.78163E-5
2000.0,1.58793E-5
3010.64,1.40703E-5
4472.14,1.24995E-5
5473.02,1.19454E-5
10000.0,1.09653E-5
20000.0,1.0798E-5
39351.0,1.25978E-5
96475.1,1.68281E-5
173257.0,2.05546E-5
200000.0,2.15996E-5
1000000.0,2.21E-5
5000000.0,2.21381E-5
5474740.0,2.53528E-5
6558080.0,4.19591E-5
8539630.0,8.45921E-5
8724740.0,8.85543E-5
9840590.0,8.67047E-5
1.22425E7,5.84227E-5
1.30581E7,5.05023E-5
1.41414E7,7.3459E-5
1.54213E7,1.27684E-4
1.63081E7,1.73958E-4
1.73914E7,2.17862E-4
1.84747E7,2.34572E-4
1.96187E7,2.27687E-4
2.0E7,2.14271E-4
2.62482E7,2.01161E-4
1.5E8,1.00052E-6
