26-Fe-56(n,&gamma;) ENDF/B-VII.1
1.0E-5,130.351
1.31241E-5,113.784
1.70876E-5,99.7182
2.2426E-5,87.0442
2.91987E-5,76.284
3.83206E-5,66.5883
4.98935E-5,58.3568
6.54808E-5,50.9397
8.52562E-5,44.6429
1.11891E-4,38.9687
1.45682E-4,34.1513
1.91195E-4,29.8111
2.48937E-4,26.126
3.26707E-4,22.805
4.25373E-4,19.986
5.58264E-4,17.4457
7.26861E-4,15.2895
9.53941E-4,13.3462
0.00124203,11.6961
0.00163006,10.2096
0.00212234,8.9473
0.00278538,7.81023
0.00362657,6.84456
0.00475955,5.97491
0.00619694,5.23616
0.00813293,4.57093
0.0105891,4.00562
0.0138972,3.4972
0.0180942,3.06924
0.0234661,2.69941
0.0253,2.59964
0.033204,2.26846
0.0432317,1.99101
0.0567377,1.73714
0.0738726,1.51944
0.0969512,1.32982
0.126231,1.16322
0.165666,1.01385
0.215698,0.888782
0.283085,0.775773
0.368577,0.679416
0.526803,0.568453
0.691383,0.496011
0.900182,0.436698
1.18141,0.379966
1.5382,0.332113
2.00941,0.290564
2.53494,0.258379
3.32689,0.226602
4.33161,0.197937
5.77538,0.170984
8.05615,0.144295
10.573,0.125913
13.766,0.110664
16.087,0.101469
21.1128,0.0883976
26.4757,0.0789579
32.1487,0.0709007
40.1796,0.0630312
48.0359,0.0573119
67.4139,0.0478231
88.1877,0.0411854
105.431,0.0373348
134.801,0.0322061
168.495,0.0281047
201.441,0.0251635
269.576,0.020746
336.963,0.0177317
416.914,0.0151451
529.893,0.0125153
641.14,0.0106592
768.28,0.00912265
902.286,0.00802792
974.501,0.00778399
1022.56,0.00803335
1047.99,0.00857143
1065.72,0.00938107
1077.23,0.0103001
1088.67,0.0118342
1096.3,0.013508
1102.02,0.0152906
1107.74,0.0179106
1112.91,0.0214116
1117.04,0.0255176
1120.66,0.0306438
1123.76,0.0368921
1126.78,0.0456086
1129.28,0.0559482
1131.38,0.0682167
1133.33,0.0841152
1135.04,0.103721
1136.63,0.129484
1137.94,0.159322
1139.05,0.194048
1140.16,0.242211
1141.12,0.300294
1141.95,0.3712
1142.67,0.455245
1143.36,0.569407
1143.9,0.691738
1144.38,0.839983
1144.77,1.00788
1145.17,1.24117
1145.47,1.48613
1145.77,1.83047
1146.03,2.26558
1146.27,2.82942
1146.48,3.54079
1146.69,4.4848
1146.89,5.71727
1147.09,7.36538
1147.28,9.53439
1147.51,12.7105
1147.73,16.7885
1148.01,23.2256
1148.41,34.8896
1148.97,51.8806
1149.32,59.7341
1149.66,62.9406
1149.7,62.9844
1150.01,60.8608
1150.32,54.7326
1150.84,39.3433
1151.31,25.5219
1151.61,18.1233
1151.83,13.7817
1152.05,10.4166
1152.25,8.04901
1152.45,6.23698
1152.65,4.85133
1152.84,3.87978
1153.05,3.07591
1153.29,2.44044
1153.52,2.00346
1153.79,1.63746
1154.13,1.31959
1154.47,1.09588
1154.87,0.905075
1155.34,0.73959
1155.94,0.59238
1156.53,0.486636
1157.23,0.396542
1158.04,0.320384
1159.0,0.256861
1160.03,0.207832
1161.14,0.169664
1162.37,0.13883
1163.76,0.113479
1165.43,0.0916344
1167.34,0.0739633
1169.41,0.060369
1171.63,0.0498691
1174.33,0.0407431
1177.19,0.0338533
1180.53,0.0281196
1184.35,0.023496
1189.11,0.0194799
1194.83,0.0162283
1200.46,0.0140762
1208.5,0.01194
1217.71,0.0103434
1229.69,0.008999
1243.51,0.00801917
1258.25,0.00733471
1287.73,0.00650426
1317.21,0.0060092
1376.17,0.00541101
1464.61,0.0048857
1612.01,0.00427054
1861.86,0.00354393
2191.96,0.00288003
2299.99,0.00273964
2322.49,0.00279303
2330.74,0.00291676
2334.31,0.00305245
2337.87,0.00334638
2339.75,0.00366321
2341.15,0.00407943
2342.19,0.00458971
2342.94,0.00518508
2343.59,0.00603109
2344.06,0.00700852
2344.44,0.008202
2344.8,0.00994895
2345.11,0.0121327
2345.43,0.0152412
2345.69,0.0188992
2345.96,0.0237335
2346.25,0.0305008
2346.56,0.0400004
2346.89,0.0532192
2347.32,0.0744055
2348.56,0.145931
2349.06,0.165309
2349.5,0.171353
2349.97,0.164545
2350.48,0.14398
2351.78,0.0689218
2352.2,0.0492515
2352.54,0.036889
2352.85,0.0281126
2353.15,0.0216569
2353.43,0.017131
2353.71,0.0137797
2353.99,0.0113298
2354.32,0.00930462
2354.7,0.00772755
2355.09,0.0066457
2355.59,0.00576069
2356.18,0.00507688
2356.96,0.00449345
2358.22,0.0039338
2359.63,0.00356622
2361.5,0.00327659
2365.25,0.00298593
2369.01,0.00284715
2378.01,0.00270369
2402.01,0.00258974
2755.93,0.00214007
3099.71,0.00182429
3533.09,0.0015333
3966.47,0.00131145
4486.53,0.0011071
5179.94,9.14121E-4
6046.7,7.51256E-4
6740.11,6.56485E-4
7606.87,5.70535E-4
8646.98,4.96861E-4
9902.56,4.41494E-4
11158.1,4.10056E-4
12221.6,3.9191E-4
12362.2,3.98658E-4
12387.8,4.08173E-4
12405.0,4.26701E-4
12414.9,4.53763E-4
12421.3,4.90001E-4
12425.4,5.32849E-4
12428.8,5.94871E-4
12430.8,6.55623E-4
12432.5,7.35091E-4
12433.8,8.42868E-4
12434.7,9.56381E-4
12435.4,0.00109831
12436.0,0.00128587
12436.5,0.00150446
12437.0,0.00183084
12437.5,0.00229493
12437.9,0.00286622
12438.4,0.00363629
12438.8,0.00466283
12439.3,0.00601333
12439.7,0.00776392
12440.2,0.0102346
12440.7,0.0134923
12441.3,0.0181633
