26-Fe-56(n,elastic) ENDF/B-VII.1
1.0E-5,93.5173
1.31241E-5,81.8115
1.70876E-5,71.8982
2.2426E-5,62.9946
2.91987E-5,55.4677
3.83206E-5,48.7227
4.98935E-5,43.0372
6.54808E-5,37.9618
8.52562E-5,33.7046
1.11891E-4,29.9279
1.45682E-4,26.7854
1.91195E-4,24.0256
2.73274E-4,21.0448
3.90588E-4,18.6955
5.58264E-4,16.8802
7.97923E-4,15.5094
0.00124203,14.3029
0.00212234,13.3744
0.00433567,12.6992
0.0126596,12.2732
0.0234661,12.171
0.0253,12.1623
321.259,10.9238
1010.55,9.27662
1136.35,9.06166
1145.76,9.2266
1146.71,9.52482
1147.25,10.0108
1147.92,11.288
1149.13,15.0351
1149.66,15.7923
1149.7,15.7958
1150.11,15.3848
1150.75,13.5785
1151.48,11.2861
1152.15,10.0079
1153.01,9.36898
1156.06,9.0765
1861.86,8.00759
3099.71,6.85524
4833.23,5.85858
7260.16,4.94481
11576.7,3.83233
17492.4,2.43427
17737.3,2.36809
17747.8,2.37551
20242.8,1.59407
21793.6,0.999252
22780.3,0.576834
22786.6,0.581889
22790.3,0.607115
22793.3,0.667042
22798.9,0.849894
22801.1,0.877769
22803.3,0.84792
22809.2,0.653328
22812.4,0.595823
22814.0,0.581935
22822.8,0.561042
23384.2,0.315566
23719.2,0.184569
23921.9,0.114988
24062.9,0.0734126
24151.0,0.0511751
24225.9,0.0345466
24287.6,0.0231208
24340.5,0.0148881
24378.0,0.010101
24408.8,0.00682673
24433.1,0.0047093
24451.8,0.00333544
24468.3,0.0023484
24482.6,0.00165785
24493.6,0.0012333
24503.6,9.32029E-4
24512.4,7.27912E-4
24520.1,6.00436E-4
24526.6,5.32201E-4
24531.9,5.01835E-4
24535.5,4.94948E-4
24541.8,5.09423E-4
24548.2,5.57917E-4
24554.5,6.40726E-4
24562.2,7.89463E-4
24570.5,0.00100848
24580.1,0.00133824
24591.7,0.00184456
24604.9,0.00257478
24620.3,0.00363572
24635.8,0.00493554
24657.8,0.00720628
24682.0,0.0102755
24710.7,0.0147172
24741.5,0.0205416
24772.4,0.0276518
24807.6,0.0370998
24847.3,0.0497426
24900.2,0.0699971
24961.9,0.0994751
25032.4,0.141332
25120.5,0.208153
25199.8,0.283974
25279.2,0.376711
25358.5,0.488942
25446.6,0.639722
25552.4,0.86586
25640.5,1.09941
25746.3,1.4397
25852.0,1.87348
25957.8,2.40467
26081.2,3.20478
26204.6,4.24081
26328.0,5.58058
26451.3,7.32023
26574.7,9.62508
26698.1,12.6505
26803.9,15.9503
26909.7,20.2134
27033.0,26.5343
27156.4,34.6697
27297.4,46.5917
27678.2,85.6366
27825.5,94.7844
27917.9,96.5077
28066.0,93.2311
28326.9,77.6758
28637.1,58.5112
28883.9,47.1145
29130.7,38.7669
29412.7,31.9586
29765.2,26.0839
30153.0,21.702
30611.3,18.1708
31210.6,15.1104
31951.0,12.6658
32867.6,10.7168
34094.4,9.07153
34208.9,8.959
34223.4,9.09396
34234.1,9.56952
34250.7,8.95188
35632.0,7.78378
36696.1,7.16773
36710.3,7.28835
36714.2,7.61506
36723.4,9.24908
36725.0,9.33028
36728.8,8.94761
36735.9,7.61011
36741.4,7.23077
36885.7,7.06921
38393.6,6.43555
38405.3,6.52798
38418.0,7.22402
38418.1,7.2241
38424.8,6.86357
38432.7,6.48008
40106.6,5.90055
44135.9,5.03469
45846.9,4.77924
45963.5,4.83543
46002.8,5.04596
46016.7,5.36244
46023.7,5.78173
46027.8,6.29302
46030.5,6.91536
46032.5,7.6727
46034.6,8.84518
46036.5,10.535
46038.4,12.9987
46040.4,16.4914
46042.8,22.1253
46048.9,39.8219
46051.4,44.1925
46053.0,45.1124
46055.4,43.3042
46057.7,38.263
46063.8,20.9027
46066.0,15.9268
46067.9,12.6637
46069.9,10.2316
46072.0,8.60525
46074.3,7.43659
46076.3,6.78633
46079.0,6.2418
46084.5,5.67499
46093.1,5.28042
46101.8,5.09472
46128.9,4.87658
46270.0,4.7266
51653.6,4.0739
51927.7,4.16566
52005.6,4.39688
52039.2,4.71222
52056.9,5.06062
52071.9,5.6041
52081.2,6.1754
52090.5,7.11421
52097.7,8.32947
52103.1,9.78531
52107.5,11.5922
52111.3,13.9067
52114.8,17.0041
52117.8,20.7789
52120.7,25.8673
52123.8,33.0806
52127.7,44.991
52134.0,66.1013
52137.0,73.2653
52140.0,75.9768
52143.0,73.5056
52146.7,64.429
52154.8,37.6023
52158.4,28.4693
52161.4,22.5519
52164.7,18.1377
52168.0,14.9278
52171.8,12.3552
52176.3,10.3846
52180.7,9.04239
52186.0,7.93064
52193.1,6.94748
52202.4,6.13779
52213.6,5.53907
52233.7,4.95741
52260.3,4.58814
52316.9,4.27372
52449.5,4.07564
53307.4,3.89512
53506.5,3.87439
53539.3,3.93826
53543.5,4.08552
53547.0,4.39676
53550.4,4.96035
53557.9,6.62644
53561.1,6.88533
53564.2,6.62295
53573.2,4.69957
53576.4,4.27297
53580.2,4.03075
53586.6,3.91331
53661.4,3.86009
53677.8,3.8701
59053.2,3.31906
59153.1,3.3608
59184.4,3.49963
59194.4,3.65735
59202.0,3.96138
59206.0,4.33033
59208.6,4.78629
59210.8,5.42029
59213.1,6.44839
59215.0,7.65633
59217.0,9.53819
59219.4,12.4581
59222.7,17.6809
59227.1,25.2208
59229.4,28.0908
59232.0,29.3232
59232.1,29.324
59234.7,28.1261
59237.5,24.6974
59243.8,14.0487
59246.2,10.7487
59248.3,8.5867
59250.3,7.11581
59252.2,6.07321
59254.4,5.27328
59257.2,4.6618
59261.2,4.19975
59267.8,3.85037
59280.1,3.59464
59306.9,3.42281
59402.9,3.31487
63432.1,2.83608
63449.0,2.86577
63454.0,2.97628
63457.4,3.18804
63460.6,3.5753
63464.4,4.30575
63470.4,5.60223
63473.7,5.90988
63474.1,5.91545
63477.1,5.70349
63481.2,4.92832
63486.2,3.84887
63489.6,3.35318
63492.9,3.07572
63498.4,2.90834
63529.5,2.83903
67046.7,2.30542
68967.1,1.88487
70114.4,1.53166
70959.6,1.18222
71573.7,0.851612
72056.3,0.533905
72563.5,0.167103
72673.6,0.0968597
72741.2,0.0599118
72786.0,0.0392451
72819.0,0.0265292
72844.3,0.0184605
72864.6,0.0132374
72880.9,0.00992526
72894.2,0.00786235
72906.4,0.00652668
72915.9,0.00589937
72925.5,0.00567188
72933.6,0.00584456
72940.9,0.00635555
72947.6,0.00724644
72952.4,0.00826352
72956.2,0.00953579
72959.1,0.0110424
72961.5,0.0130707
72963.4,0.0154683
72965.4,0.0189616
72967.0,0.0231841
72968.6,0.028907
72970.4,0.0371663
72972.3,0.0485692
72974.5,0.0659918
72977.5,0.0960175
72982.4,0.149857
72985.2,0.171646
72987.9,0.179714
72988.0,0.179737
72990.4,0.174093
72992.9,0.156772
72998.1,0.103239
73001.3,0.0724342
73003.3,0.0565722
73005.4,0.0446255
73007.2,0.0372595
73009.0,0.0321184
73011.1,0.0282578
73013.7,0.0258591
73016.7,0.0249122
73017.7,0.024881
73023.8,0.026135
73036.0,0.0314055
73053.5,0.0417004
73075.1,0.0577483
73099.0,0.080201
73126.2,0.112185
73153.0,0.151987
73183.6,0.207382
73214.2,0.27593
73248.6,0.371637
73286.9,0.505182
73329.0,0.69314
73371.0,0.935247
73413.1,1.24292
73459.0,1.67752
73501.1,2.1877
73547.0,2.90419
73592.9,3.83346
73638.8,5.03905
73684.7,6.59641
73738.3,8.96408
73791.8,12.098
73853.0,16.7297
74009.6,31.3122
74071.8,35.1873
74126.9,36.3183
74175.9,35.605
74283.0,30.8216
74442.1,22.8262
74564.5,18.301
74671.7,15.4257
74794.1,13.022
74947.1,10.8924
75130.7,9.13333
75344.9,7.73089
75620.3,6.51315
75987.6,5.44335
76416.0,4.61519
76996.9,3.8509
77027.0,3.83536
77050.6,3.91533
77056.5,4.08535
77060.9,4.45145
77064.6,5.08388
77067.6,5.93929
77071.9,7.65166
77077.2,9.90961
77080.5,10.7262
77082.1,10.8252
77085.4,10.3806
77089.1,9.09512
77095.4,6.37182
77098.8,5.32932
77102.1,4.64288
77105.0,4.29298
77110.0,3.99696
77118.4,3.84378
77170.0,3.68712
77817.2,3.08526
80554.2,1.09101
80641.8,1.0634
80691.8,1.0898
80723.1,1.15734
80746.6,1.2782
80760.7,1.4169
80773.2,1.62987
80781.9,1.87577
80789.4,2.20592
80795.7,2.63382
80800.9,3.17664
80805.1,3.84905
80808.6,4.68061
80811.5,5.6641
80814.2,6.97391
80817.0,8.8159
80819.4,11.0913
80821.9,14.1055
80824.8,18.7384
80828.4,26.1238
80835.8,43.2393
80838.9,47.9911
80842.0,49.7864
80845.2,47.9166
80848.9,41.7791
80857.4,22.2108
80860.5,16.5025
80863.3,12.499
80865.8,9.86226
80868.1,7.99408
80870.9,6.35528
80873.9,5.11045
80876.7,4.29145
80880.2,3.56369
80884.4,2.96173
80889.4,2.47418
80895.4,2.07897
80902.3,1.77258
80911.8,1.49687
80923.2,1.28657
80935.1,1.14271
80952.2,1.00787
80973.5,0.901857
81008.7,0.794017
81056.2,0.703023
81166.3,0.565819
81363.9,0.380415
81557.6,0.223783
81683.0,0.136526
81768.5,0.0859554
81827.3,0.0568252
81872.9,0.0381162
81907.1,0.0265115
81932.8,0.0194787
81955.5,0.0144861
81975.5,0.0111578
81991.6,0.00921534
82005.9,0.0080728
82020.1,0.00752258
82024.9,0.00747659
82038.2,0.0077173
