1-H-2(n,&gamma;) ENDF/B-VII.1
1.0E-5,0.0254372
1.30374E-5,0.0222779
1.71104E-5,0.0194464
2.22778E-5,0.0170425
2.92376E-5,0.0148764
3.80674E-5,0.0130375
4.996E-5,0.0113804
6.50481E-5,0.00997363
8.53698E-5,0.008706
1.11152E-4,0.0076298
1.45877E-4,0.00666006
1.89932E-4,0.00583678
2.49268E-4,0.00509494
3.24548E-4,0.00446513
4.2594E-4,0.00389763
5.54575E-4,0.00341583
7.2783E-4,0.0029817
9.47636E-4,0.00261313
0.00124369,0.00228102
0.00161928,0.00199907
0.00212517,0.00174501
0.00276697,0.00152932
0.0036314,0.00133498
0.00472809,0.00116998
0.0062052,0.0010213
0.00807918,8.95081E-4
0.0106032,7.81344E-4
0.0138054,6.84778E-4
0.0181183,5.97758E-4
0.0244451,5.14631E-4
0.0253,5.05862E-4
0.033204,4.41558E-4
0.0432317,3.86955E-4
0.0567377,3.37742E-4
0.0738726,2.95953E-4
0.0969512,2.58296E-4
0.126231,2.26327E-4
0.165666,1.97524E-4
0.215698,1.73074E-4
0.283085,1.5105E-4
0.368577,1.32353E-4
0.483724,1.15504E-4
0.629809,1.01213E-4
0.826569,8.83304E-5
1.07619,7.7408E-5
1.41241,6.75564E-5
1.83896,5.91926E-5
2.41347,5.16611E-5
3.14234,4.52645E-5
4.12404,3.95043E-5
5.36951,3.46155E-5
7.04701,3.02075E-5
9.17522,2.64691E-5
12.0417,2.31003E-5
15.6783,2.02422E-5
20.5763,1.76668E-5
26.7904,1.54785E-5
35.16,1.35077E-5
45.7784,1.18368E-5
60.0801,1.03331E-5
78.2244,9.05399E-6
102.663,7.89744E-6
136.586,6.83872E-6
177.68,5.98579E-6
238.972,5.15701E-6
327.499,4.39464E-6
453.055,3.73008E-6
589.856,3.2646E-6
806.169,2.79E-6
1090.51,2.39296E-6
1466.76,2.06076E-6
2000.0,1.76031E-6
2754.08,1.52702E-6
3795.47,1.33065E-6
5000.0,1.1902E-6
8253.88,1.04937E-6
10000.0,1.00019E-6
20000.0,1.03008E-6
75732.3,1.67306E-6
120000.0,2.12836E-6
200000.0,2.73999E-6
350000.0,3.58952E-6
550000.0,4.45476E-6
925000.0,5.65428E-6
1500000.0,6.96912E-6
2250000.0,8.16922E-6
3750000.0,9.66577E-6
6050000.0,1.10759E-5
7675000.0,1.16428E-5
7850000.0,1.16546E-5
1.01E7,1.11616E-5
1.41E7,9.47153E-6
1.9E7,8.45709E-6
2.9E7,7.12205E-6
4.05E7,6.14136E-6
5.6E7,5.29226E-6
7.8E7,4.5255E-6
1.0E8,4.00001E-6
1.5E8,4.0E-6
